,10,100,101,1013,1014,102,1031,1041,1043,1044,105,1053,1056,106,107,11,110,111,112,1121,1122,1123,1124,1125,113,114,115,116,12,120,121,122,1231,1233,124,1241,1243,1244,1246,125,127,128,129,13,130,131,1312,1313,1322,133,134,138,1382,1383,1384,139,14,140,141,1411,142,143,144,145,15,150,151,152,153,154,16,160,161,162,163,164,166,17,170,171,1711,1712,172,1721,1722,1723,1724,173,174,175,18,180,181,182,1821,1822,1823,183,1831,1832,186,19,190,191,192,193,194,195,196,20,202,203,21,211,212,213,214,22,23,231,232,233,234,24,241,243,25,253,256,26,27,28,30,31,311,312,32,33,331,332,333,334,34,35,353,356,36,37,38,39,40,41,42,43,44,45,46,50,51,52,53,54,55,56,57,60,61,62,63,64,70,71,72,73,74,75,80,81,811,812,813,82,83,831,833,834,84,841,842,85,86,861,862,863,87,871,872,873,874,90,91,92,93,94
nan,7425.0,993.0,16.0,2.0,54.0,4.0,1.0,35.0,36.0,6.0,1.0,26.0,24.0,7.0,5.0,244.0,1570.0,1990.0,1942.0,36.0,18.0,65.0,65.0,,22.0,519.0,90.0,1.0,1613.0,1798.0,6.0,25.0,6.0,1.0,66.0,23.0,38.0,9.0,13.0,149.0,20.0,154.0,106.0,1590.0,961.0,26.0,2.0,5.0,2.0,12.0,22.0,193.0,6.0,19.0,14.0,55.0,778.0,62.0,537.0,7.0,10.0,49.0,15.0,115.0,357.0,69.0,13.0,15.0,62.0,149.0,316.0,426.0,81.0,23.0,80.0,47.0,19.0,671.0,91.0,64.0,21.0,151.0,907.0,98.0,6.0,46.0,11.0,3341.0,106.0,84.0,156.0,760.0,175.0,263.0,138.0,94.0,68.0,25.0,33.0,8.0,89.0,7.0,4280.0,91.0,445.0,1804.0,48.0,71.0,6.0,6071.0,8.0,9.0,5.0,12.0,2.0,7.0,128.0,105.0,178.0,125.0,4.0,28.0,65.0,4.0,32.0,1.0,139.0,21.0,31.0,229.0,37.0,15.0,1265.0,211.0,104.0,13.0,55.0,182.0,77.0,51.0,40.0,8.0,7.0,104.0,86.0,106.0,3210.0,45.0,4.0,15.0,3885.0,102.0,6250.0,5681.0,34.0,140.0,2070.0,659.0,5832.0,59.0,23.0,41.0,94.0,33.0,586.0,1222.0,332.0,109.0,17.0,60.0,938.0,1461.0,185.0,475.0,12.0,48.0,1124.0,256.0,,1.0,1.0,16.0,33.0,312.0,32.0,10.0,867.0,597.0,20.0,18.0,11.0,1.0,8.0,3.0,41.0,62.0,1.0,5.0,527.0,2015.0,70.0,2.0,3.0,4.0
USA,1758.0,191.0,3.0,,9.0,,,,5.0,2.0,,5.0,5.0,2.0,1.0,105.0,409.0,406.0,611.0,11.0,26.0,13.0,14.0,2.0,2.0,99.0,35.0,,334.0,504.0,2.0,4.0,,,40.0,4.0,16.0,10.0,4.0,40.0,5.0,21.0,39.0,684.0,238.0,1.0,,,,1.0,6.0,58.0,,8.0,6.0,11.0,192.0,9.0,74.0,,1.0,11.0,3.0,2.0,122.0,18.0,2.0,1.0,2.0,13.0,68.0,127.0,31.0,9.0,29.0,19.0,7.0,144.0,4.0,17.0,9.0,47.0,207.0,25.0,1.0,19.0,,1240.0,15.0,3.0,15.0,245.0,54.0,76.0,47.0,6.0,15.0,3.0,,5.0,33.0,3.0,1104.0,11.0,119.0,687.0,9.0,13.0,,1516.0,4.0,1.0,,3.0,,1.0,27.0,12.0,23.0,41.0,1.0,,18.0,,6.0,,24.0,2.0,9.0,50.0,10.0,6.0,338.0,50.0,18.0,2.0,21.0,56.0,13.0,5.0,3.0,5.0,,27.0,18.0,56.0,905.0,3.0,2.0,2.0,1093.0,40.0,2132.0,2012.0,13.0,43.0,721.0,224.0,1709.0,29.0,11.0,32.0,26.0,6.0,196.0,343.0,95.0,29.0,7.0,11.0,294.0,463.0,43.0,99.0,3.0,28.0,254.0,102.0,,,,,2.0,75.0,3.0,2.0,335.0,89.0,1.0,6.0,7.0,,3.0,,27.0,7.0,1.0,,290.0,602.0,14.0,,,
CAN,164.0,10.0,,,,,,,,,,,,,,2.0,35.0,18.0,12.0,,,,,,,10.0,,,24.0,30.0,,,,,2.0,1.0,,,,,,2.0,,19.0,38.0,,1.0,,,,,1.0,,40.0,,1.0,26.0,4.0,1.0,,,,,,3.0,,,,,5.0,,3.0,3.0,,,,2.0,27.0,,1.0,,,9.0,,,,,99.0,,4.0,9.0,7.0,1.0,4.0,1.0,,,,,,,,46.0,,9.0,24.0,,,,95.0,,,,,,,3.0,4.0,6.0,2.0,,,,,,,,,,11.0,2.0,6.0,36.0,,5.0,,2.0,,1.0,,,,,2.0,,,94.0,,,,94.0,,162.0,157.0,,2.0,108.0,10.0,204.0,,,,4.0,,11.0,23.0,10.0,,,,29.0,16.0,,3.0,,2.0,9.0,8.0,,,,,,2.0,,,25.0,5.0,,,,,,,,,,,2.0,52.0,,,,
BFA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,8.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,26.0,27.0,,,,4.0,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,223.0,35.0,,,,1.0,,,,,,3.0,,,,7.0,50.0,38.0,62.0,,,,,,1.0,4.0,,,52.0,55.0,,,,,1.0,,1.0,,1.0,,,1.0,2.0,53.0,64.0,,1.0,,,,,5.0,,,,2.0,26.0,2.0,21.0,,,,,7.0,10.0,2.0,,2.0,6.0,5.0,3.0,20.0,4.0,,5.0,2.0,,40.0,10.0,,,3.0,32.0,11.0,,,,85.0,3.0,1.0,,8.0,,,10.0,2.0,1.0,,,,3.0,,42.0,,8.0,2.0,,,,172.0,2.0,1.0,,3.0,,,,,7.0,,,,,,,,3.0,,3.0,8.0,,,66.0,15.0,24.0,,5.0,13.0,2.0,12.0,,1.0,,3.0,1.0,2.0,76.0,22.0,,,113.0,21.0,229.0,207.0,4.0,4.0,82.0,66.0,177.0,,,43.0,3.0,,42.0,17.0,75.0,8.0,,,28.0,27.0,16.0,2.0,,,42.0,,,,,,,,,,14.0,17.0,,,,,,,2.0,,,,21.0,30.0,2.0,,,
SDN,11.0,4.0,,,22.0,1.0,,,,,,,,,,,2.0,,12.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,24.0,1.0,,,,6.0,,,,,,2.0,,2.0,2.0,,,,,8.0,1.0,2.0,,,,,,,,7.0,,8.0,,8.0,,4.0,,,,,,,,,6.0,,,1.0,,,,16.0,,,,,,,9.0,1.0,,,,,,,,,3.0,,,,1.0,,2.0,,7.0,,,,,,,,,,1.0,,,,,,32.0,,23.0,23.0,,,13.0,2.0,16.0,,,,,,,2.0,2.0,6.0,,,,,2.0,5.0,,,,,5.0,,,2.0,,6.0,,,1.0,1.0,,,,,,,,,,,1.0,17.0,,,,
BHS,5.0,,,,,,,,,,,,,,,,4.0,1.0,2.0,,,1.0,,,,,,,2.0,3.0,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,3.0,,,,,,,,14.0,,,,,,,,,,,,,,,9.0,,,5.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,2.0,14.0,13.0,,,2.0,,6.0,,,,,,,8.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,15.0,4.0,,,4.0,,,,,,,,,,,5.0,,,,,,,10.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,13.0,13.0,,,6.0,,8.0,,,,,,4.0,2.0,,,8.0,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,4.0,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,8.0,,1.0,,,,,,,,,,27.0,,,,,,3.0,,,,,,,,,5.0,,,4.0,,,,11.0,,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,3.0,,,,29.0,6.0,17.0,17.0,,,12.0,15.0,21.0,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
AUS,135.0,28.0,,,,,,,,,,,,,,4.0,32.0,17.0,38.0,,,2.0,,,,5.0,,,30.0,31.0,,,,,,,1.0,,,,,2.0,,48.0,16.0,,,,,,,5.0,,,,,10.0,,16.0,,,,,,7.0,3.0,,,,,5.0,9.0,5.0,,,1.0,,9.0,,2.0,,,18.0,,,1.0,,61.0,4.0,,1.0,40.0,,6.0,3.0,,15.0,,3.0,,,,105.0,4.0,5.0,23.0,,2.0,,88.0,,,,,,,1.0,,1.0,1.0,,,2.0,,1.0,,1.0,,,1.0,1.0,,11.0,5.0,,,1.0,1.0,,,,,,5.0,,,53.0,14.0,,1.0,33.0,4.0,176.0,159.0,3.0,2.0,20.0,3.0,204.0,1.0,,,2.0,,14.0,15.0,10.0,2.0,,3.0,14.0,12.0,,19.0,,1.0,7.0,,,,,,,1.0,,,7.0,15.0,1.0,,,,,,,,,,6.0,31.0,,,,
BEL,15.0,,,,,,,,,,,,,,,,7.0,6.0,3.0,,,,,,,,,,8.0,4.0,,,,,,,,,,,,3.0,,7.0,1.0,,1.0,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,5.0,,,,,10.0,,,,1.0,,1.0,,,,,,,,,13.0,,,10.0,,,,12.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,13.0,,24.0,23.0,,,8.0,1.0,29.0,,,,,,2.0,1.0,,,,,3.0,1.0,,,,,4.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,5.0,6.0,,,,
BRA,94.0,12.0,,,,,,,,,,,,,,1.0,5.0,27.0,12.0,,,,,,1.0,3.0,,,4.0,4.0,,,,,,,,,,,,,,21.0,32.0,,1.0,,,,,6.0,,,4.0,,1.0,,9.0,,,1.0,,,,,,,5.0,,,22.0,,,10.0,,,44.0,,,,,5.0,,,,,14.0,,,2.0,6.0,,,4.0,,,,,,,,19.0,,4.0,10.0,,,,33.0,,,,,,,,,,,,,,,,,7.0,7.0,,8.0,,4.0,22.0,3.0,,,,,3.0,,,5.0,,,,1.0,66.0,,,,108.0,,150.0,132.0,3.0,2.0,75.0,1.0,82.0,1.0,,,,,6.0,10.0,6.0,,,,14.0,4.0,1.0,,,,4.0,,,,,,1.0,,,,3.0,8.0,,,,,,,5.0,,,,33.0,,13.0,,,
DEU,92.0,16.0,2.0,,,,,,,,,,,,,3.0,11.0,21.0,7.0,,,,3.0,,1.0,,5.0,,3.0,17.0,,,,,,,,,,,,,,15.0,6.0,,,,,,1.0,9.0,,,,,4.0,,4.0,,,,,4.0,4.0,3.0,,,,5.0,1.0,5.0,2.0,3.0,,,2.0,9.0,2.0,,,,19.0,,,,,54.0,,,,5.0,2.0,4.0,1.0,,,,,,2.0,,70.0,8.0,19.0,11.0,,11.0,,44.0,,3.0,,,,,,2.0,11.0,,,,,,,,,,,4.0,,,5.0,,,,,2.0,,,,,,,,,10.0,4.0,,1.0,51.0,4.0,91.0,83.0,3.0,2.0,54.0,38.0,76.0,2.0,,,,,4.0,13.0,13.0,,,,8.0,4.0,,10.0,,5.0,24.0,,,,2.0,,,1.0,,,4.0,2.0,,,,,,,,1.0,,,3.0,15.0,,,,
ERI,4.0,,,,,,,,,,,,,,,,4.0,,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,6.0,10.0,,,,,,14.0,,,,,,,6.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,,,,
EUR,38.0,6.0,,,,,,,,,,,,,,2.0,18.0,23.0,7.0,,,,,,1.0,3.0,,,31.0,15.0,1.0,,,,,,,,,3.0,,8.0,2.0,22.0,7.0,,,,,,,6.0,,,2.0,1.0,3.0,,4.0,,,,,,,,,,,1.0,2.0,2.0,4.0,2.0,,,,1.0,,1.0,,,13.0,,,,,,1.0,,,,2.0,,,,,,,,,,29.0,1.0,,7.0,,,,72.0,,,,,,,,1.0,3.0,,,8.0,2.0,,,,,3.0,,,,,8.0,,,,,,,,,1.0,,2.0,,1.0,39.0,,,,37.0,,83.0,69.0,,2.0,84.0,6.0,82.0,,,,,,16.0,10.0,19.0,,,,4.0,11.0,,1.0,,3.0,12.0,2.0,,,,,,1.0,3.0,,5.0,3.0,,,,,,,,,,,4.0,7.0,,,,
FRA,116.0,8.0,,,,,,,,,,,,,,,31.0,47.0,42.0,,,,1.0,,,8.0,,,13.0,13.0,,,,,,,,,4.0,3.0,,2.0,,19.0,10.0,3.0,,9.0,,3.0,,,,,,,1.0,3.0,44.0,2.0,,,,2.0,8.0,,,,,16.0,,1.0,8.0,2.0,3.0,4.0,1.0,9.0,2.0,1.0,,3.0,14.0,,,3.0,,17.0,4.0,2.0,6.0,4.0,1.0,2.0,1.0,,,,,,,,68.0,1.0,6.0,9.0,,,,68.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,33.0,,2.0,,3.0,,,,,,,,,2.0,48.0,4.0,,,76.0,2.0,104.0,95.0,,2.0,82.0,50.0,83.0,2.0,,,4.0,,33.0,16.0,7.0,9.0,2.0,,8.0,8.0,7.0,12.0,,,8.0,,,,3.0,,,2.0,,,3.0,2.0,,,,,,,,,,,25.0,16.0,,,,
GBR,279.0,21.0,,,,,,,,2.0,,,2.0,1.0,,2.0,47.0,76.0,84.0,,,4.0,,,,9.0,,,81.0,44.0,,,,,6.0,,6.0,,1.0,2.0,,11.0,2.0,57.0,29.0,,,,,1.0,1.0,14.0,,,,,26.0,3.0,31.0,,1.0,1.0,1.0,3.0,14.0,1.0,2.0,,,11.0,8.0,20.0,5.0,3.0,,6.0,,99.0,2.0,2.0,,1.0,20.0,1.0,,,,112.0,24.0,,7.0,22.0,,44.0,5.0,,23.0,7.0,21.0,,7.0,,308.0,3.0,26.0,51.0,5.0,13.0,,236.0,,,,2.0,,,5.0,4.0,2.0,8.0,,4.0,5.0,2.0,1.0,,3.0,,,5.0,1.0,1.0,53.0,2.0,11.0,,3.0,12.0,2.0,2.0,2.0,1.0,,6.0,1.0,5.0,104.0,,,,169.0,17.0,447.0,401.0,2.0,2.0,94.0,28.0,316.0,2.0,4.0,,3.0,,41.0,55.0,16.0,,,,19.0,50.0,5.0,24.0,1.0,,47.0,1.0,,,,,,11.0,4.0,,36.0,22.0,,,1.0,,,,,2.0,,,16.0,124.0,,,,
GMB,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,4.0,,,7.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
IND,131.0,11.0,,,4.0,,,1.0,2.0,,,,4.0,,,2.0,41.0,26.0,30.0,1.0,,8.0,1.0,,,12.0,1.0,,22.0,44.0,,,,,1.0,,2.0,,,2.0,,3.0,,18.0,14.0,7.0,,,,,,2.0,,,,1.0,11.0,1.0,22.0,,1.0,,5.0,6.0,1.0,7.0,,,3.0,3.0,7.0,13.0,3.0,,,,,36.0,4.0,,,1.0,26.0,,,,,99.0,,2.0,,8.0,4.0,5.0,9.0,,,,,,,,162.0,6.0,5.0,45.0,,,2.0,118.0,,,,,,,4.0,1.0,1.0,,,,,,,,2.0,,,3.0,,,12.0,1.0,,,4.0,1.0,,,,,,1.0,,10.0,48.0,,,,101.0,4.0,203.0,184.0,1.0,1.0,78.0,3.0,151.0,,,3.0,,,4.0,12.0,12.0,1.0,,5.0,,11.0,,13.0,,,33.0,7.0,,,,,4.0,10.0,4.0,,18.0,17.0,,,,,1.0,,,,,,6.0,40.0,,,,
