EventCode,NumMentions,NumSources,NumArticles
36,10,3,10
36,514,120,514
13,39,20,39
111,4,1,4
129,4,1,4
42,9,1,9
10,20,5,20
20,48,6,48
80,48,6,48
20,12,6,12
42,60,6,60
80,12,6,12
51,10,1,10
10,10,1,10
120,20,2,20
51,10,1,10
42,1,1,1
43,9,1,9
256,10,5,10
256,20,5,20
256,4218,388,4218
256,180,31,180
256,268,88,268
43,1,1,1
36,2,1,2
40,2,1,2
10,1,1,1
36,2,1,2
40,2,1,2
110,234,56,234
110,353,55,353
36,6,2,6
36,6,3,6
10,2,1,2
40,2,1,2
10,1,1,1
10,1,1,1
10,1,1,1
831,42,20,42
831,38,19,38
831,120,20,120
110,235,56,235
110,344,53,344
112,235,56,235
112,353,55,353
30,8,1,8
60,1,1,1
60,5,1,5
111,2,1,2
111,2,1,2
111,2,1,2
120,14,2,14
120,1,1,1
129,2,1,2
20,5,1,5
874,51,13,51
138,18,18,18
138,18,18,18
43,60,6,60
112,7,2,7
42,10,1,10
10,10,1,10
10,4,1,4
10,20,4,20
10,20,4,20
10,6,1,6
51,2,1,2
51,3,1,3
10,20,5,20
10,30,5,30
36,30,2,30
71,1,1,1
71,1,1,1
51,3,1,3
43,10,1,10
110,10,1,10
111,6,1,6
81,6,1,6
81,1,1,1
81,2,1,2
120,1,1,1
120,2,1,2
20,66,8,66
80,52,7,52
831,66,8,66
20,14,7,14
80,13,7,13
831,14,7,14
190,148,1,148
190,74,1,74
190,74,1,74
17,4,1,4
143,9,2,9
1724,12,6,12
1724,50,7,50
90,42,21,42
90,74,19,74
90,78,13,78
90,38,19,38
13,75,14,75
10,1,1,1
10,2,1,2
80,10,1,10
120,10,1,10
13,5,1,5
20,2,1,2
20,3,1,3
42,24,8,24
42,16,8,16
57,15,2,15
43,16,8,16
13,6,2,6
51,6,2,6
10,182,95,182
51,5,1,5
10,6,1,6
51,26,2,26
51,4,2,4
40,5,1,5
36,4,1,4
14,8,3,8
36,5,1,5
42,130,5,80
43,71,9,71
43,8,1,8
46,26,4,26
51,2,1,2
51,233,35,193
100,6,1,6
100,44,11,44
112,7,2,7
42,18,2,14
42,2,1,2
60,7,1,7
36,4,1,4
12,71,8,71
13,220,21,210
14,7,1,7
14,5,1,5
36,3,1,3
36,2,1,2
36,10,1,10
36,95,10,95
36,8,1,8
36,91,11,91
40,2,1,2
40,3,1,3
40,10,1,10
42,20,2,20
43,970,91,960
46,10,1,10
51,12,2,12
51,10,1,10
51,20,2,20
57,10,1,10
60,630,62,630
100,15,2,15
112,438,136,438
112,395,153,393
130,8,1,8
130,2,1,2
130,61,7,61
173,10,1,10
190,6,1,6
20,4,2,4
20,2,2,2
36,39,5,39
36,1,1,1
40,60,6,60
40,6,1,6
40,10,1,10
40,2,1,2
42,2,1,2
42,6,1,6
42,1,1,1
42,8,1,8
42,2,1,2
43,2,1,2
43,10,1,10
84,68,14,68
130,98,23,98
173,8,2,8
173,69,11,61
190,8,2,8
61,21,5,21
40,202,54,202
40,322,75,314
61,8,2,8
61,15,6,15
112,4,1,4
112,6,1,6
130,3,1,3
130,2,1,2
14,2,1,2
14,3,2,3
14,5,2,5
20,20,2,20
20,2,1,2
40,10,1,10
43,60,10,60
51,5,1,5
111,35,5,35
173,5,1,5
173,29,4,29
173,48,1,48
173,3,1,3
190,10,1,5
190,48,1,48
190,1,1,1
190,1,1,1
190,4,1,4
13,35,4,35
20,2,1,2
20,7,2,7
36,10,1,10
43,4,1,4
20,10,1,10
80,10,1,10
36,10,1,10
36,100,10,100
36,130,13,130
36,250,2,250
40,10,1,10
40,1,1,1
42,1,1,1
42,10,1,10
42,10,1,10
42,1,1,1
43,665,63,655
43,609,1,609
51,16,2,16
51,6,1,6
173,10,1,10
43,1,1,1
42,47,11,47
20,168,56,168
36,1,1,1
36,5,1,5
40,10,1,10
40,6,1,6
42,1550,141,1465
42,168,56,168
42,10,1,10
43,5,1,5
43,48,1,48
43,93,29,93
43,10,1,10
43,10,1,10
43,75,9,75
51,20,9,20
51,16,6,16
51,5,1,5
51,10,1,10
51,20,5,20
51,222,26,212
51,193,50,193
61,2,1,2
874,48,48,48
874,6,6,6
173,10,1,10
180,6,1,6
112,30,5,30
46,2,1,2
46,1,1,1
40,3,1,3
40,2,1,2
52,10,1,10
60,2,1,2
13,72,13,72
20,14,2,14
36,3,1,3
40,30,3,30
42,1674,178,1628
42,1215,154,1215
173,94,17,91
190,1,1,1
190,1,1,1
1123,4,1,4
12,429,65,422
12,31,6,31
13,6,1,6
19,6,1,6
241,14,3,14
30,22,2,22
31,10,1,10
31,212,68,212
31,46,23,46
36,10,1,10
36,5,1,5
40,270,27,270
40,10,2,10
40,18,3,18
40,12,1,12
41,3,1,3
41,6,1,6
42,890,100,890
42,8,2,8
46,6,1,6
51,16,2,16
51,5,1,5
51,6,2,6
51,6,1,6
51,6,2,6
51,15,2,15
52,210,21,210
80,24,8,24
100,223,43,223
100,12,2,12
100,62,8,62
110,12,1,12
111,15,2,15
112,64,8,64
112,14,7,14
128,10,1,10
130,33,10,33
173,15,3,15
190,28,7,28
190,42,7,42
190,22,7,22
190,18,3,18
40,10,1,10
43,10,1,10
14,4,1,4
43,28,7,28
112,2,1,2
190,6,1,4
36,10,1,10
20,230,26,230
36,10,1,10
36,10,1,10
36,10,1,10
42,1065,91,975
42,66,8,66
42,11,2,11
46,12,1,12
311,10,1,10
46,3,1,3
46,7,1,7
42,77,8,77
42,2,1,2
