EventCode,NumMentions,NumSources,NumArticles
10,61600727,12707450,60015794
11,2289511,476946,2273656
12,14273795,2797432,14038979
13,12176944,2962619,12059987
14,6293459,1258587,6229621
15,4299787,861660,4167538
16,2618830,553394,2565332
17,3739775,723154,3631273
18,1353055,275129,1332559
19,91880,21261,91622
20,48914744,9143282,47797079
21,127158,25180,125651
22,783163,164295,777194
23,853654,150390,837074
24,22031,4037,21646
25,935666,193645,928152
26,1870142,426031,1855538
27,217558,40671,215721
28,149193,30523,147428
30,10737022,2142231,10618216
31,1566635,255049,1539261
32,481768,97488,477595
33,1159810,215258,1149881
34,19206,3486,18770
35,546715,107243,542416
36,28672764,5070584,28082399
37,262993,46475,259664
38,22231,5179,22047
39,91532,20030,90526
40,40906941,7902928,40005497
41,773237,167828,764413
42,53301870,10645223,51963851
43,52174959,10093765,50673258
44,621939,152933,611613
45,969109,197427,955307
46,19361206,3822742,19021314
50,6526599,1306594,6444119
51,36521090,7307241,35606850
52,647576,139768,641914
53,198510,47564,196109
54,211759,43799,209306
55,972874,200795,946485
56,194279,39487,190335
57,5750210,1113854,5653554
60,8540606,1593212,8401707
61,3861989,704667,3755465
62,720293,138785,709170
63,207774,44970,204123
64,369709,78898,367104
70,9506060,2001188,9385285
71,10109183,1775911,9828572
72,1203727,244596,1190124
73,3038603,541459,2964545
74,117765,23093,116555
75,552216,124067,542143
80,6988921,1435613,6869160
81,2157188,416569,2101557
82,90405,17954,89713
83,213108,38083,210297
84,6935312,1333027,6789201
85,254607,54787,251726
86,117748,24007,114295
87,85922,21253,85284
90,17057386,3053394,16618791
91,234217,45681,232827
92,26313,5357,25919
93,29252,7032,28928
94,26610,5620,26448
100,7214759,1421472,7140121
101,122817,22891,120540
102,6920,1552,6910
104,4,1,4
105,30902,5982,30786
106,36989,9683,36719
107,7510,1063,7492
110,11922043,2427507,11758090
111,13496071,2777240,13252880
112,16586842,3468765,16292165
113,153915,34535,152547
114,3485660,672641,3438806
115,784293,154766,773075
116,10597,2008,10550
120,14386305,2832341,14144189
121,28837,5856,28562
122,170223,36788,166992
123,14120,2223,13696
124,748002,147417,743389
125,1021573,227603,1013396
126,3990,1145,3982
127,191455,36931,189818
128,1681594,313773,1643157
129,795569,174782,762561
130,8081789,1566665,7990065
131,210808,44436,208644
132,6237,1377,6199
133,240261,43237,236345
134,83354,19732,83124
136,4240,882,4236
137,16335,4415,16246
138,1772128,355021,1752772
139,277775,50479,275302
140,857558,142037,808819
141,5205956,924804,5018927
142,140885,20716,137222
143,435269,74401,425507
144,151853,25481,148550
145,590580,94477,563460
150,574841,113322,563785
151,108822,20957,108063
152,162191,30830,158694
153,203530,34339,201468
154,898340,184194,889718
160,3712713,723618,3656581
161,734584,159870,724764
162,305586,69272,302726
163,1333004,274285,1311199
164,786370,154854,771560
165,275,94,275
166,256424,53558,253298
170,436712,77312,430814
171,411860,62074,404189
172,7875194,1384226,7613872
173,26457371,5152061,25704864
174,1013704,218012,1000868
175,1069261,153596,1017847
180,5561543,1040794,5366661
181,1132212,240168,1111923
