,20,12,13,190,152,10,71,40,193,173,46,112,141,180,60,100,43,42,30,36,51,62,80,130,128,181,874,50,120,140,84,183,841,124,110,57,145,111,35,70,26,27,160,192,14,90,114,172,73,55,1711,1712,182,17,191,1821,18,31,311,194,23,15,175,61,72,161,1724,37,129,231,11,16,81,1123,134,831,75,1121,195,1831,138,22,233,32,33,44,85,171,253,83,164,842,170,25,54,41,1124,144,353,211,214,1723,142,1384,143,174,332,1041,39,1043,121,125,163,45,154,1721,53,241,1823,127,91,56,186,82,1832,115,122,873,331,102,202,356,213,150,1241,87,93,153,833,139,131,1054,1312,203,1014,28,64,38,113,166,312,52,234,1383,871,1122,1246,63,21,101,1053,151,872,106,133,184,333,1822,201,1233,1662,1056,1044,834,232,19,162,1243,74,105,351,334,86,256,34,196,92,243,1412,123,185,1244,861,24,107,1722,341,355,136,862,1411,1031,1125,1232,1013,137
nan,6973.0,1981.0,1789.0,4341.0,22.0,8339.0,1834.0,5262.0,1382.0,3121.0,2474.0,1986.0,1147.0,641.0,1351.0,1150.0,6616.0,7125.0,1293.0,3717.0,5915.0,140.0,1150.0,1069.0,158.0,183.0,469.0,795.0,2010.0,92.0,802.0,72.0,435.0,75.0,1836.0,768.0,152.0,2731.0,171.0,1008.0,475.0,61.0,537.0,504.0,1046.0,1966.0,542.0,731.0,556.0,233.0,52.0,152.0,189.0,572.0,73.0,183.0,244.0,166.0,203.0,180.0,208.0,512.0,149.0,406.0,213.0,114.0,13.0,80.0,85.0,90.0,273.0,292.0,206.0,114.0,19.0,289.0,40.0,24.0,164.0,25.0,234.0,136.0,39.0,69.0,194.0,62.0,47.0,30.0,25.0,42.0,71.0,33.0,85.0,129.0,43.0,116.0,110.0,15.0,127.0,16.0,80.0,32.0,37.0,33.0,93.0,104.0,48.0,28.0,14.0,63.0,6.0,279.0,88.0,123.0,164.0,113.0,50.0,70.0,27.0,28.0,17.0,52.0,117.0,31.0,29.0,71.0,25.0,3.0,73.0,4.0,7.0,51.0,15.0,77.0,19.0,20.0,3.0,64.0,65.0,18.0,24.0,2.0,8.0,10.0,65.0,15.0,47.0,7.0,11.0,24.0,11.0,87.0,44.0,11.0,35.0,5.0,11.0,21.0,28.0,22.0,40.0,17.0,2.0,10.0,17.0,8.0,7.0,44.0,2.0,5.0,1.0,6.0,16.0,5.0,13.0,15.0,12.0,17.0,18.0,5.0,2.0,1.0,4.0,13.0,10.0,5.0,2.0,2.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,6.0,2.0,,,,
GBR,256.0,149.0,92.0,155.0,1.0,405.0,30.0,264.0,29.0,151.0,165.0,61.0,35.0,13.0,62.0,40.0,404.0,413.0,112.0,209.0,261.0,5.0,39.0,73.0,11.0,2.0,42.0,60.0,110.0,5.0,20.0,4.0,25.0,1.0,101.0,71.0,,156.0,9.0,33.0,14.0,,5.0,28.0,50.0,85.0,13.0,30.0,13.0,13.0,8.0,1.0,5.0,39.0,2.0,6.0,2.0,11.0,2.0,34.0,4.0,34.0,,27.0,7.0,7.0,,12.0,2.0,9.0,11.0,16.0,4.0,4.0,,5.0,2.0,,,3.0,14.0,1.0,2.0,,6.0,2.0,,,,1.0,2.0,5.0,1.0,2.0,6.0,17.0,1.0,,1.0,,,1.0,3.0,3.0,,6.0,2.0,3.0,1.0,,,7.0,,8.0,8.0,,2.0,,4.0,,1.0,3.0,2.0,,,,,,1.0,,,3.0,,1.0,,,,,5.0,2.0,,,,,,,1.0,,,,,6.0,,,3.0,,2.0,3.0,,,2.0,,,2.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
ZWE,30.0,22.0,12.0,16.0,,53.0,3.0,48.0,7.0,28.0,10.0,25.0,37.0,12.0,6.0,7.0,62.0,65.0,17.0,15.0,28.0,,12.0,5.0,,1.0,,10.0,5.0,2.0,,,2.0,,12.0,5.0,9.0,17.0,1.0,4.0,2.0,2.0,11.0,,2.0,17.0,2.0,4.0,,,,1.0,3.0,,,,,1.0,6.0,,,2.0,1.0,6.0,2.0,1.0,,1.0,,,,,,5.0,,3.0,,6.0,,,,1.0,,4.0,1.0,,,2.0,,,9.0,,7.0,2.0,6.0,2.0,1.0,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,16.0,5.0,2.0,22.0,3.0,16.0,1.0,6.0,16.0,40.0,10.0,5.0,4.0,,3.0,2.0,63.0,67.0,11.0,20.0,11.0,,8.0,,,,1.0,15.0,5.0,,3.0,,3.0,,8.0,,,8.0,,,,,2.0,2.0,5.0,4.0,,3.0,1.0,,2.0,,,,,,1.0,,5.0,,5.0,6.0,,5.0,1.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,8.0,,1.0,,,,1.0,,,2.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,1681.0,396.0,684.0,975.0,4.0,2164.0,536.0,1687.0,466.0,1105.0,906.0,535.0,312.0,162.0,360.0,338.0,2392.0,2519.0,308.0,1322.0,1858.0,36.0,279.0,198.0,25.0,67.0,212.0,279.0,476.0,15.0,249.0,9.0,93.0,33.0,426.0,140.0,5.0,706.0,73.0,382.0,186.0,10.0,147.0,168.0,238.0,431.0,92.0,254.0,127.0,57.0,6.0,25.0,44.0,191.0,12.0,50.0,59.0,57.0,35.0,33.0,51.0,171.0,10.0,95.0,23.0,44.0,2.0,6.0,30.0,17.0,68.0,52.0,101.0,16.0,10.0,35.0,23.0,8.0,32.0,4.0,46.0,20.0,10.0,14.0,44.0,23.0,19.0,4.0,6.0,8.0,25.0,1.0,5.0,25.0,5.0,14.0,24.0,3.0,34.0,1.0,10.0,6.0,,1.0,10.0,40.0,,,,11.0,,34.0,50.0,32.0,26.0,5.0,13.0,16.0,7.0,14.0,2.0,5.0,44.0,2.0,3.0,25.0,5.0,,22.0,1.0,4.0,12.0,7.0,29.0,11.0,10.0,,,16.0,3.0,6.0,,3.0,,8.0,3.0,13.0,1.0,4.0,5.0,5.0,24.0,6.0,,15.0,,1.0,8.0,12.0,1.0,8.0,2.0,,5.0,,,2.0,4.0,,2.0,,1.0,,,8.0,4.0,3.0,8.0,3.0,1.0,,1.0,4.0,11.0,1.0,,,,,,,5.0,,1.0,,1.0,1.0,,6.0,1.0,,,,,,
VAT,2.0,3.0,,,,16.0,5.0,8.0,,2.0,,3.0,,,6.0,,16.0,18.0,6.0,11.0,3.0,,1.0,,,,,,3.0,,3.0,,,,,6.0,,,3.0,,3.0,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,132.0,38.0,48.0,33.0,,187.0,34.0,170.0,26.0,115.0,32.0,37.0,25.0,15.0,35.0,26.0,241.0,247.0,30.0,75.0,87.0,,34.0,73.0,,5.0,3.0,16.0,35.0,,21.0,,3.0,2.0,40.0,30.0,,34.0,1.0,18.0,5.0,,9.0,23.0,18.0,45.0,8.0,56.0,20.0,,,,5.0,2.0,,1.0,6.0,8.0,3.0,,4.0,12.0,,33.0,1.0,5.0,,,,,6.0,3.0,1.0,,,5.0,6.0,,,,6.0,9.0,,1.0,2.0,,2.0,,,,,,3.0,3.0,,4.0,,,,1.0,,,,,,,,,,14.0,,,,1.0,,,13.0,,1.0,,,,6.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,4.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,67.0,11.0,20.0,58.0,2.0,119.0,52.0,66.0,5.0,31.0,34.0,26.0,2.0,8.0,12.0,4.0,118.0,142.0,17.0,28.0,38.0,,11.0,12.0,10.0,4.0,2.0,22.0,29.0,,9.0,8.0,2.0,,15.0,11.0,,45.0,5.0,8.0,3.0,,19.0,37.0,35.0,14.0,1.0,12.0,4.0,,,,3.0,2.0,,2.0,18.0,1.0,8.0,,2.0,,,23.0,6.0,,,,,,1.0,,,,,1.0,8.0,2.0,,,9.0,1.0,2.0,,4.0,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,3.0,2.0,1.0,,,,2.0,,1.0,,,,,,,2.0,,,,,6.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
PER,2.0,,,,,4.0,4.0,,,3.0,4.0,5.0,5.0,,,,25.0,23.0,2.0,2.0,14.0,,2.0,2.0,,,,,1.0,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
