,61,120,42,43,26,51,161,40,46,80,190,111,130,163,1312,20,57,141,166,36,50,112,44,13,15,10,110,30,14,841,12,60,72,145,1621,1711,1121,11,124,100,154,71,54,1041,831,150,125,70,241,253,84,90,17,160,113,193,214,138,051,012,030,0332,040,070,010,036,071,013,0874,171,042,020,050,085,172,043,046,052,060,174,1384,173,041,022,180,026,1044,143,061,114,139,014,086,080,090,1122,170,015,072,0841,082,084,0831,194,129,092,128,331,833,53,16,73,27,311,192,32,256,31,22,85,23,33,106,1721,1124,332,334,127,93,1622,191,52,91,1411,140,175,45,1822,353,1244,35,39,126,862,874,1123,81,37,28,234,122,181,231,86,151,105,1243,1053,25,82,21,213,55,186,144,356,64,134,75,1712,18,1014,1313,164,182,1383,41,233,56,115,1821,1231,195,211,1723,871,133,1662,153,62,344,1043,101,254,183,162,87,1056,83,1724,1832,1246,842,057,017,016,038,0214,0862,0231,035,081,0353,0356,031,055,044,025,073,011,021,028,0311,033,0341,045,053,075,185,018,091,056,0213,062,023,1823,037,0833,1031,0331,0234,---,032,123,0241,083,1241,0344,054,063,064,0333,027,0233,0355,1831,0256,0871,152,131,087,0842,203,92,834,333,121,142,74,19,63,202,351,38,116,107,1211,196,312,201,102,242,24,136,341,1125,1013,1722,1382,1623,873,34,1233,255,811,94,861,355,1054,184,232,243,1311,1213,1245,863
VEN,104.0,105.0,238.0,200.0,20.0,730.0,78.0,246.0,144.0,75.0,71.0,173.0,92.0,374.0,33.0,172.0,33.0,65.0,5.0,145.0,30.0,126.0,11.0,54.0,59.0,171.0,105.0,79.0,44.0,24.0,64.0,36.0,15.0,19.0,3.0,23.0,15.0,20.0,11.0,97.0,11.0,18.0,4.0,20.0,48.0,20.0,11.0,8.0,29.0,4.0,13.0,27.0,5.0,84.0,12.0,12.0,6.0,13.0,93.0,4.0,7.0,2.0,19.0,2.0,27.0,9.0,2.0,7.0,5.0,2.0,31.0,15.0,4.0,6.0,56.0,18.0,14.0,3.0,1.0,30.0,6.0,49.0,4.0,3.0,9.0,1.0,1.0,4.0,4.0,3.0,12.0,11.0,2.0,3.0,3.0,2.0,11.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,6.0,3.0,7.0,12.0,7.0,1.0,14.0,6.0,33.0,15.0,1.0,15.0,29.0,5.0,3.0,12.0,6.0,8.0,1.0,2.0,4.0,4.0,6.0,1.0,3.0,8.0,3.0,5.0,3.0,6.0,10.0,4.0,3.0,7.0,10.0,2.0,1.0,3.0,15.0,9.0,1.0,4.0,1.0,6.0,5.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,756.0,3974.0,11367.0,10600.0,536.0,9907.0,188.0,9866.0,4834.0,2118.0,6988.0,3590.0,2141.0,541.0,74.0,12034.0,1336.0,1183.0,25.0,7163.0,1631.0,4367.0,123.0,3356.0,1182.0,14920.0,3738.0,2824.0,1807.0,903.0,3881.0,2677.0,321.0,154.0,6.0,136.0,106.0,492.0,161.0,2353.0,286.0,3418.0,42.0,45.0,539.0,183.0,420.0,2054.0,81.0,46.0,1828.0,3870.0,911.0,1084.0,35.0,2669.0,252.0,413.0,896.0,339.0,278.0,11.0,1071.0,147.0,1492.0,657.0,361.0,279.0,74.0,152.0,1067.0,1169.0,86.0,18.0,1786.0,971.0,475.0,11.0,253.0,285.0,67.0,7390.0,18.0,30.0,1506.0,63.0,21.0,148.0,70.0,1104.0,94.0,202.0,,161.0,367.0,8.0,156.0,131.0,39.0,88.0,2.0,197.0,26.0,156.0,159.0,1.0,493.0,179.0,124.0,55.0,770.0,780.0,82.0,358.0,828.0,139.0,22.0,538.0,277.0,113.0,314.0,434.0,12.0,242.0,172.0,87.0,16.0,61.0,13.0,35.0,120.0,217.0,113.0,14.0,152.0,150.0,298.0,142.0,266.0,11.0,223.0,13.0,,13.0,696.0,166.0,590.0,81.0,69.0,85.0,79.0,314.0,208.0,42.0,65.0,6.0,74.0,101.0,281.0,35.0,40.0,82.0,210.0,248.0,50.0,69.0,83.0,41.0,108.0,309.0,322.0,149.0,31.0,106.0,304.0,32.0,158.0,80.0,58.0,242.0,344.0,10.0,142.0,24.0,54.0,48.0,43.0,2.0,56.0,221.0,10.0,92.0,29.0,3.0,73.0,30.0,21.0,10.0,108.0,48.0,15.0,19.0,67.0,151.0,69.0,45.0,2.0,21.0,2.0,17.0,31.0,54.0,26.0,19.0,47.0,16.0,6.0,26.0,94.0,55.0,19.0,9.0,23.0,42.0,1.0,28.0,4.0,5.0,18.0,23.0,14.0,6.0,4.0,12.0,26.0,66.0,7.0,17.0,10.0,15.0,4.0,2.0,19.0,3.0,6.0,7.0,46.0,4.0,1.0,2.0,5.0,8.0,4.0,4.0,2.0,66.0,2.0,1.0,41.0,54.0,1.0,3.0,5.0,6.0,8.0,50.0,6.0,66.0,32.0,18.0,23.0,16.0,2.0,6.0,13.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,7.0,4.0,11.0,2.0,3.0,11.0,3.0,10.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,6.0,1.0,,
USA,269.0,962.0,3756.0,3535.0,125.0,2911.0,111.0,2904.0,1664.0,526.0,1984.0,1004.0,633.0,262.0,43.0,3531.0,397.0,228.0,15.0,2042.0,385.0,1632.0,61.0,1500.0,446.0,4004.0,1081.0,858.0,495.0,199.0,847.0,896.0,96.0,8.0,3.0,32.0,28.0,198.0,65.0,595.0,30.0,916.0,26.0,33.0,94.0,10.0,96.0,691.0,17.0,5.0,643.0,1058.0,189.0,354.0,18.0,1343.0,125.0,93.0,318.0,113.0,120.0,4.0,379.0,78.0,465.0,183.0,143.0,171.0,26.0,38.0,404.0,381.0,49.0,3.0,597.0,368.0,199.0,5.0,98.0,168.0,61.0,2713.0,8.0,12.0,555.0,32.0,23.0,30.0,12.0,223.0,20.0,89.0,7.0,65.0,136.0,5.0,25.0,48.0,17.0,14.0,,62.0,19.0,27.0,79.0,,103.0,45.0,25.0,30.0,304.0,167.0,28.0,69.0,238.0,38.0,18.0,179.0,70.0,40.0,70.0,132.0,3.0,81.0,41.0,13.0,2.0,17.0,,17.0,21.0,53.0,52.0,,21.0,2.0,86.0,21.0,56.0,4.0,74.0,6.0,1.0,4.0,285.0,31.0,177.0,35.0,10.0,19.0,37.0,61.0,82.0,23.0,20.0,,22.0,15.0,83.0,1.0,18.0,59.0,52.0,62.0,20.0,47.0,22.0,13.0,55.0,80.0,59.0,16.0,3.0,21.0,165.0,4.0,45.0,25.0,14.0,134.0,128.0,,19.0,11.0,10.0,13.0,6.0,,9.0,60.0,2.0,10.0,12.0,,4.0,8.0,6.0,7.0,37.0,52.0,,7.0,22.0,26.0,21.0,18.0,,27.0,,7.0,12.0,32.0,4.0,2.0,17.0,9.0,2.0,21.0,19.0,21.0,8.0,5.0,3.0,15.0,1.0,2.0,4.0,4.0,6.0,7.0,4.0,,7.0,1.0,11.0,32.0,1.0,,2.0,,,,5.0,,4.0,3.0,4.0,,,2.0,3.0,,7.0,,,,1.0,,27.0,23.0,,1.0,,5.0,2.0,16.0,,,14.0,3.0,15.0,2.0,4.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,6.0,,,,,1.0,,,,,,1.0,,
IND,6.0,72.0,275.0,251.0,17.0,139.0,,237.0,180.0,38.0,116.0,88.0,11.0,4.0,,139.0,49.0,60.0,,201.0,25.0,57.0,1.0,29.0,2.0,247.0,66.0,23.0,9.0,12.0,76.0,39.0,2.0,4.0,,1.0,2.0,4.0,,47.0,7.0,26.0,,1.0,5.0,2.0,11.0,42.0,,,31.0,71.0,63.0,19.0,,53.0,1.0,14.0,4.0,1.0,3.0,,3.0,1.0,9.0,8.0,2.0,,,1.0,11.0,7.0,,,23.0,10.0,9.0,,7.0,4.0,4.0,117.0,,,22.0,,,6.0,2.0,23.0,,,,,3.0,,2.0,,,1.0,,,,5.0,,,,7.0,,2.0,6.0,17.0,,7.0,3.0,,,4.0,2.0,,2.0,2.0,,6.0,,1.0,,1.0,,,1.0,12.0,1.0,,4.0,2.0,1.0,1.0,2.0,,5.0,,,,5.0,1.0,3.0,,2.0,4.0,,2.0,1.0,,,,,10.0,3.0,4.0,,,1.0,8.0,,,,2.0,2.0,16.0,40.0,9.0,4.0,10.0,8.0,,,,,11.0,24.0,,1.0,,,,1.0,,,1.0,,,,,,,,,2.0,,,,1.0,6.0,1.0,,,,,,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,65.0,67.0,425.0,386.0,11.0,282.0,6.0,290.0,119.0,62.0,199.0,88.0,76.0,13.0,1.0,356.0,40.0,25.0,2.0,235.0,24.0,143.0,6.0,89.0,89.0,422.0,111.0,71.0,33.0,12.0,95.0,52.0,,,,1.0,10.0,10.0,3.0,76.0,,97.0,1.0,,15.0,,10.0,31.0,,18.0,92.0,100.0,13.0,17.0,3.0,36.0,4.0,6.0,39.0,4.0,4.0,,57.0,6.0,55.0,46.0,14.0,15.0,,,68.0,64.0,8.0,,61.0,44.0,6.0,,4.0,60.0,,491.0,2.0,,52.0,,,1.0,9.0,16.0,1.0,5.0,,1.0,8.0,1.0,12.0,3.0,,2.0,,5.0,1.0,,2.0,,17.0,10.0,3.0,5.0,12.0,14.0,1.0,10.0,23.0,,,25.0,9.0,,2.0,17.0,,1.0,4.0,,,,,,,,3.0,,1.0,,2.0,3.0,14.0,,5.0,3.0,,6.0,6.0,22.0,41.0,,,,,7.0,20.0,,,,,6.0,21.0,4.0,,86.0,21.0,40.0,1.0,,,,23.0,,25.0,,,2.0,3.0,,4.0,1.0,1.0,2.0,9.0,,5.0,,,1.0,,,2.0,2.0,,,,,3.0,,,2.0,5.0,1.0,,,2.0,3.0,,1.0,,7.0,,,,,,,1.0,,,3.0,2.0,1.0,,,,,,1.0,,2.0,,,,,5.0,,,,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,1.0,,2.0,,,,,,29.0,,,1.0,1.0,7.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
CHL,3.0,7.0,4.0,5.0,,19.0,,1.0,,,2.0,1.0,4.0,,,8.0,2.0,,,8.0,,6.0,,2.0,,10.0,4.0,3.0,6.0,,,2.0,,,,,,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,3.0,,4.0,,2.0,,,,,,,,,,3.0,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,21.0,46.0,140.0,139.0,11.0,144.0,7.0,126.0,67.0,25.0,43.0,33.0,37.0,3.0,3.0,156.0,18.0,13.0,1.0,118.0,19.0,23.0,1.0,41.0,6.0,159.0,53.0,65.0,23.0,4.0,112.0,17.0,,,,,,1.0,,28.0,1.0,23.0,,,4.0,,3.0,7.0,,,3.0,31.0,1.0,14.0,,11.0,,10.0,4.0,1.0,,,4.0,,6.0,11.0,4.0,,,,9.0,6.0,,,16.0,7.0,6.0,,1.0,,,23.0,,,9.0,1.0,,,,14.0,,,,2.0,,,,,,,,,,,,,10.0,,,,2.0,10.0,,6.0,4.0,5.0,1.0,10.0,8.0,2.0,1.0,6.0,1.0,,,,,5.0,,,2.0,9.0,3.0,,,,4.0,1.0,,,2.0,2.0,,,5.0,,5.0,1.0,,,,2.0,,,,,1.0,,7.0,,1.0,1.0,2.0,2.0,,,,,1.0,,6.0,2.0,,12.0,,3.0,,,2.0,,1.0,,,1.0,,,1.0,,,,,4.0,1.0,,,,,1.0,4.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,,,5.0,2.0,,7.0,,15.0,14.0,,3.0,3.0,3.0,,,4.0,,2.0,,8.0,,,,3.0,,11.0,2.0,3.0,,1.0,5.0,1.0,,,,,,1.0,,7.0,,,,,,,,3.0,,,1.0,4.0,2.0,,,,,,,,,,2.0,,11.0,,,1.0,,,6.0,,,,,6.0,,,,,,8.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,53.0,118.0,272.0,248.0,18.0,320.0,9.0,482.0,281.0,51.0,216.0,126.0,86.0,41.0,21.0,195.0,93.0,24.0,,202.0,108.0,204.0,21.0,73.0,62.0,354.0,58.0,198.0,31.0,19.0,134.0,56.0,11.0,,,9.0,5.0,5.0,1.0,62.0,14.0,26.0,8.0,2.0,7.0,8.0,12.0,21.0,3.0,,39.0,127.0,16.0,16.0,4.0,34.0,38.0,26.0,23.0,1.0,17.0,,30.0,2.0,32.0,9.0,4.0,7.0,4.0,2.0,34.0,18.0,,17.0,35.0,23.0,21.0,3.0,1.0,9.0,,261.0,2.0,,10.0,1.0,1.0,1.0,,10.0,5.0,,,9.0,4.0,2.0,1.0,7.0,2.0,1.0,,,,17.0,11.0,,12.0,3.0,,3.0,156.0,7.0,2.0,11.0,12.0,15.0,,14.0,17.0,44.0,2.0,10.0,,3.0,2.0,13.0,7.0,2.0,,,,7.0,1.0,,,,13.0,10.0,11.0,1.0,3.0,,,,23.0,6.0,6.0,4.0,1.0,1.0,,4.0,4.0,,4.0,,,2.0,4.0,2.0,,,2.0,3.0,,3.0,4.0,,6.0,5.0,7.0,2.0,,6.0,4.0,2.0,6.0,,1.0,,,,8.0,,,,,,,6.0,,,,,,,,,2.0,,,,,4.0,,,,9.0,,2.0,,,,,,,10.0,,4.0,,,,1.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,4.0,,6.0,,,,,,,,,,,,4.0,,,,,,,,1.0,,3.0,,,,3.0,
