,112,145,40,20,874,175,71,129,1712,13,173,60,100,142,51,46,10,26,841,11,160,110,141,90,43,42,36,14,61,45,80,84,1711,190,193,130,12,30,172,57,50,37,111,87,1383,1124,241,831,1724,39,70,331,192,180,27,311,32,73,114,120,17,52,842,161,15,174,150,91,154,194,16,1014,81,140,353,33,86,22,55,56,128,138,181,1721,164,125,195,74,18,1121,137,833,1411,191,1041,53,1231,124,171,1821,44,162,28,62,1823,21,23,72,1053,31,231,25,356,256,83,234,41,182,1723,1243,143,139,1123,170,127,35,871,1384,75,122,64,1043,115,63,93,203,186,105,152,213,82,163,1312,133,211,106,233,183,1822,101,85,253,332,131,214,243,166,873,1233,333,862,113,134,1044,1313,54,144,153,334,1832,151,202,344,38,355,1031,312,1241,1013,1056,201,255,92,834,1831,19,813,196,34,1246,185,1122,107,232,1244,24,244,121,861,102,1413,341
nan,2079.0,137.0,5340.0,7189.0,534.0,101.0,1901.0,75.0,201.0,1701.0,3193.0,1421.0,1256.0,76.0,6035.0,2687.0,8979.0,408.0,590.0,200.0,451.0,1881.0,968.0,2066.0,7041.0,7556.0,3998.0,982.0,426.0,130.0,1190.0,943.0,68.0,3581.0,1356.0,1169.0,2029.0,1594.0,965.0,664.0,809.0,40.0,1924.0,31.0,22.0,128.0,180.0,323.0,24.0,22.0,1126.0,57.0,494.0,690.0,42.0,164.0,68.0,509.0,575.0,2149.0,536.0,107.0,18.0,127.0,537.0,174.0,94.0,33.0,140.0,63.0,367.0,39.0,182.0,127.0,64.0,176.0,16.0,169.0,213.0,55.0,195.0,250.0,165.0,97.0,73.0,221.0,90.0,23.0,168.0,30.0,2.0,63.0,17.0,70.0,41.0,36.0,8.0,65.0,64.0,188.0,76.0,43.0,16.0,136.0,38.0,20.0,206.0,307.0,45.0,261.0,142.0,188.0,45.0,17.0,29.0,37.0,116.0,180.0,44.0,11.0,73.0,58.0,53.0,64.0,27.0,71.0,33.0,34.0,58.0,48.0,64.0,28.0,118.0,22.0,2.0,12.0,75.0,3.0,35.0,18.0,30.0,160.0,24.0,77.0,22.0,7.0,43.0,31.0,90.0,20.0,12.0,8.0,39.0,18.0,105.0,6.0,24.0,7.0,6.0,23.0,6.0,41.0,20.0,21.0,7.0,45.0,21.0,14.0,6.0,4.0,17.0,11.0,6.0,13.0,2.0,2.0,3.0,18.0,6.0,6.0,2.0,4.0,9.0,8.0,6.0,23.0,1.0,4.0,11.0,4.0,8.0,3.0,5.0,2.0,2.0,2.0,1.0,4.0,2.0,,,
IND,92.0,14.0,158.0,136.0,4.0,3.0,34.0,,7.0,31.0,151.0,21.0,40.0,17.0,156.0,79.0,190.0,10.0,41.0,,15.0,40.0,91.0,64.0,258.0,286.0,121.0,10.0,8.0,3.0,29.0,27.0,6.0,103.0,23.0,24.0,34.0,22.0,37.0,14.0,4.0,,116.0,,3.0,,,1.0,,,3.0,1.0,17.0,17.0,,4.0,2.0,9.0,15.0,89.0,23.0,1.0,,3.0,,1.0,,,1.0,,17.0,,3.0,8.0,,3.0,,4.0,1.0,,2.0,4.0,7.0,2.0,1.0,7.0,,,10.0,1.0,,,,7.0,,2.0,,,4.0,6.0,,,,,6.0,,4.0,1.0,3.0,6.0,,9.0,5.0,,,,20.0,3.0,3.0,,,,,2.0,,,1.0,,2.0,,,2.0,7.0,3.0,,,,,,,,4.0,,5.0,,,,2.0,1.0,,,,2.0,,,1.0,,,,,,,,3.0,,1.0,10.0,8.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
LKA,1.0,1.0,10.0,17.0,,,7.0,,,4.0,16.0,4.0,5.0,,27.0,6.0,11.0,1.0,8.0,,,7.0,,6.0,60.0,63.0,31.0,7.0,6.0,,10.0,6.0,,8.0,,3.0,1.0,,1.0,2.0,10.0,2.0,8.0,,,,,,,,2.0,,2.0,,,,,,9.0,2.0,7.0,,,5.0,,,,,,2.0,16.0,,,,,,,2.0,,,,,,,4.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,107.0,,286.0,89.0,82.0,,22.0,3.0,2.0,41.0,85.0,41.0,22.0,3.0,128.0,186.0,168.0,19.0,11.0,1.0,24.0,49.0,10.0,34.0,134.0,151.0,129.0,16.0,3.0,,14.0,7.0,1.0,74.0,12.0,59.0,47.0,85.0,27.0,58.0,51.0,,59.0,,,2.0,2.0,5.0,,,12.0,,14.0,4.0,4.0,,5.0,8.0,11.0,49.0,15.0,2.0,,82.0,5.0,13.0,3.0,,14.0,9.0,19.0,,1.0,4.0,3.0,,2.0,,1.0,,12.0,9.0,2.0,1.0,11.0,17.0,5.0,2.0,2.0,,,,,,,2.0,,,2.0,,,1.0,,,,,5.0,8.0,,,,16.0,8.0,,,1.0,6.0,1.0,,3.0,3.0,9.0,6.0,,,,,,1.0,,,1.0,3.0,4.0,,,,,,,,10.0,1.0,,,,,4.0,1.0,,9.0,,6.0,,,,,,,5.0,3.0,,,3.0,,4.0,,3.0,,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
USA,646.0,9.0,1515.0,1884.0,264.0,8.0,477.0,33.0,50.0,710.0,1040.0,421.0,340.0,6.0,1596.0,903.0,2323.0,91.0,75.0,62.0,175.0,575.0,132.0,567.0,2472.0,2592.0,1061.0,294.0,96.0,37.0,232.0,320.0,18.0,1038.0,500.0,273.0,435.0,413.0,289.0,147.0,176.0,27.0,485.0,9.0,2.0,21.0,131.0,144.0,8.0,15.0,463.0,6.0,161.0,227.0,9.0,22.0,6.0,128.0,136.0,532.0,147.0,34.0,2.0,62.0,177.0,65.0,20.0,10.0,36.0,6.0,83.0,2.0,83.0,24.0,21.0,41.0,11.0,37.0,114.0,14.0,56.0,44.0,26.0,8.0,18.0,33.0,6.0,1.0,46.0,20.0,,14.0,1.0,17.0,36.0,16.0,6.0,33.0,20.0,48.0,19.0,12.0,3.0,25.0,9.0,13.0,43.0,75.0,10.0,71.0,28.0,65.0,22.0,6.0,6.0,5.0,30.0,80.0,3.0,6.0,14.0,17.0,18.0,4.0,3.0,28.0,1.0,6.0,33.0,6.0,21.0,,67.0,15.0,,,25.0,1.0,3.0,,4.0,39.0,3.0,,1.0,,8.0,,5.0,4.0,6.0,2.0,6.0,20.0,37.0,,7.0,,,5.0,1.0,20.0,2.0,6.0,2.0,17.0,3.0,1.0,,1.0,,1.0,,,,,2.0,3.0,,10.0,,,,7.0,2.0,,,,,,,,,2.0,,4.0,,,,,,
VEN,43.0,,133.0,137.0,19.0,6.0,11.0,,,51.0,12.0,13.0,45.0,,513.0,35.0,126.0,48.0,2.0,4.0,18.0,49.0,95.0,8.0,101.0,155.0,68.0,21.0,17.0,2.0,25.0,2.0,9.0,24.0,12.0,35.0,28.0,19.0,9.0,8.0,37.0,,47.0,,,,62.0,13.0,,,26.0,3.0,4.0,1.0,8.0,,5.0,16.0,6.0,144.0,43.0,4.0,,5.0,14.0,2.0,16.0,,8.0,,4.0,,,21.0,1.0,11.0,4.0,10.0,,,,9.0,2.0,6.0,1.0,5.0,,,,,,,1.0,2.0,6.0,12.0,,9.0,,,,,,,,,1.0,41.0,,,,18.0,,,2.0,,4.0,,,,5.0,19.0,2.0,4.0,,,,2.0,1.0,,,,,,,,3.0,,,,4.0,50.0,3.0,4.0,,,,,,,,,6.0,,,,,,,8.0,,,,,,2.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
CAN,35.0,,118.0,171.0,24.0,1.0,30.0,,3.0,27.0,116.0,56.0,20.0,,176.0,31.0,214.0,4.0,8.0,5.0,4.0,24.0,5.0,32.0,160.0,168.0,77.0,8.0,32.0,1.0,16.0,31.0,13.0,73.0,80.0,34.0,34.0,35.0,21.0,9.0,7.0,,27.0,,,,,3.0,,,20.0,,13.0,4.0,,1.0,,12.0,15.0,34.0,5.0,,1.0,1.0,60.0,5.0,,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,6.0,,4.0,5.0,4.0,,,2.0,,,3.0,,,,,,,3.0,,2.0,,1.0,,,,4.0,,,3.0,,6.0,10.0,,2.0,,,,2.0,4.0,1.0,,,,1.0,,1.0,,,2.0,,12.0,1.0,,1.0,,2.0,,,1.0,,,3.0,,4.0,,,,,3.0,,,,,,,2.0,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,42.0,,130.0,158.0,28.0,,42.0,2.0,4.0,53.0,117.0,47.0,36.0,,300.0,104.0,203.0,15.0,22.0,2.0,16.0,74.0,36.0,45.0,272.0,278.0,139.0,16.0,92.0,2.0,28.0,15.0,,65.0,15.0,63.0,83.0,76.0,46.0,66.0,61.0,26.0,41.0,2.0,,1.0,,1.0,,2.0,34.0,,9.0,9.0,2.0,23.0,9.0,31.0,8.0,47.0,30.0,13.0,,15.0,,1.0,11.0,,4.0,6.0,6.0,,2.0,2.0,1.0,8.0,,,,,1.0,10.0,,2.0,5.0,4.0,1.0,,2.0,,,3.0,,1.0,,,,,,4.0,14.0,1.0,,6.0,,,6.0,2.0,3.0,10.0,,2.0,,,,,7.0,3.0,,,,2.0,,1.0,,,,,2.0,,2.0,3.0,,,,,,,,,,8.0,,,,1.0,,,,3.0,,,,,,,1.0,,,5.0,,,1.0,1.0,,8.0,,,,,,,,3.0,,,,,,,,,,1.0,,4.0,,,,,,2.0,,,,,,,,,,
AFR,12.0,1.0,86.0,70.0,4.0,,7.0,,,17.0,39.0,12.0,23.0,,62.0,25.0,92.0,5.0,6.0,,12.0,29.0,1.0,14.0,154.0,166.0,78.0,11.0,20.0,2.0,2.0,4.0,2.0,33.0,11.0,11.0,33.0,40.0,3.0,23.0,9.0,4.0,21.0,,,,3.0,10.0,,,14.0,,2.0,,,1.0,,10.0,6.0,12.0,22.0,1.0,,1.0,3.0,,2.0,1.0,,,10.0,,,2.0,2.0,2.0,3.0,1.0,2.0,,3.0,1.0,1.0,,,,2.0,1.0,4.0,,,1.0,,3.0,,,,,,2.0,,,,,,1.0,,3.0,,1.0,,4.0,,,,,,10.0,,1.0,,,,,,2.0,1.0,,,,,1.0,,,,,3.0,,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,2.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
