,172,40,42,112,190,10,30,43,51,71,874,90,110,111,192,20,36,84,180,128,33,231,61,130,1821,27,120,138,31,125,141,70,17,12,18,73,1712,80,46,60,173,160,26,14,154,11,15,831,1053,13,1721,100,191,233,841,50,16,85,1123,124,39,57,62,75,114,193,22,35,162,182,311,45,23,152,1383,171,1711,25,164,253,44,166,145,214,63,174,81,842,195,163,92,142,1823,55,143,1121,241,181,1822,186,175,356,331,139,183,32,41,106,113,54,312,353,82,72,129,150,332,115,334,24,333,170,1312,53,52,211,161,83,64,144,213,1723,256,153,91,21,1241,140,232,1014,1313,87,1231,86,38,1124,137,1041,1384,1122,1044,194,133,122,37,19,1243,56,1043,873,234,861,1056,203,28,242,74,101,833,862,134,34,127,1411,93,1233,1722,202,1831,1832,1724,834,131,872,185,1431,871,184,107,121,812,1412,123,341,102,201,1244,244,1031,151,1246,314,1013,1621,196,105,243,1623,813,811,1125,94,1382,1232
AUS,78.0,96.0,324.0,81.0,141.0,293.0,46.0,304.0,164.0,48.0,11.0,73.0,38.0,92.0,18.0,214.0,113.0,46.0,12.0,11.0,7.0,4.0,35.0,40.0,5.0,1.0,51.0,9.0,4.0,5.0,17.0,44.0,24.0,44.0,4.0,38.0,15.0,42.0,69.0,51.0,115.0,7.0,4.0,32.0,19.0,4.0,36.0,2.0,2.0,71.0,3.0,23.0,3.0,23.0,10.0,8.0,13.0,3.0,2.0,3.0,1.0,18.0,10.0,5.0,14.0,11.0,9.0,4.0,2.0,4.0,5.0,6.0,5.0,1.0,2.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,32.0,136.0,277.0,59.0,92.0,248.0,44.0,263.0,252.0,27.0,15.0,15.0,36.0,46.0,5.0,115.0,140.0,14.0,17.0,6.0,3.0,1.0,42.0,20.0,8.0,3.0,45.0,3.0,19.0,,49.0,23.0,28.0,21.0,6.0,6.0,3.0,21.0,99.0,31.0,26.0,17.0,6.0,16.0,,11.0,12.0,2.0,,75.0,3.0,8.0,1.0,,3.0,20.0,13.0,,3.0,,,79.0,2.0,1.0,9.0,22.0,1.0,,1.0,1.0,1.0,5.0,,,4.0,,,,,,19.0,,6.0,,3.0,,2.0,,8.0,7.0,,,,,1.0,,16.0,3.0,1.0,1.0,8.0,8.0,4.0,8.0,3.0,1.0,2.0,2.0,3.0,6.0,2.0,5.0,23.0,3.0,3.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,51.0,361.0,332.0,47.0,157.0,295.0,77.0,317.0,224.0,63.0,14.0,73.0,57.0,69.0,29.0,248.0,169.0,21.0,42.0,9.0,23.0,2.0,45.0,33.0,6.0,3.0,52.0,3.0,26.0,3.0,35.0,62.0,11.0,50.0,2.0,19.0,10.0,29.0,146.0,70.0,180.0,25.0,22.0,31.0,2.0,7.0,49.0,14.0,6.0,59.0,4.0,79.0,3.0,,3.0,17.0,11.0,,2.0,2.0,,38.0,3.0,15.0,7.0,21.0,5.0,5.0,4.0,8.0,7.0,11.0,8.0,,,,,,2.0,,7.0,1.0,,4.0,,3.0,12.0,,,,,,,8.0,1.0,4.0,1.0,4.0,1.0,,,4.0,12.0,1.0,,4.0,12.0,,2.0,2.0,,3.0,,5.0,,,,5.0,3.0,1.0,33.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,1586.0,8930.0,11296.0,3337.0,6023.0,13948.0,2434.0,10465.0,9752.0,3183.0,795.0,3503.0,3102.0,2869.0,688.0,10958.0,7029.0,1550.0,1182.0,341.0,343.0,212.0,667.0,1747.0,330.0,70.0,3375.0,387.0,471.0,353.0,1309.0,1887.0,870.0,3240.0,249.0,709.0,284.0,1762.0,4711.0,2399.0,5278.0,737.0,525.0,1461.0,241.0,423.0,841.0,508.0,39.0,2741.0,172.0,1856.0,111.0,53.0,931.0,1346.0,541.0,42.0,129.0,116.0,12.0,1407.0,223.0,80.0,945.0,2023.0,233.0,140.0,54.0,253.0,264.0,295.0,332.0,27.0,20.0,125.0,89.0,242.0,79.0,14.0,107.0,43.0,153.0,161.0,45.0,297.0,433.0,33.0,126.0,180.0,14.0,74.0,27.0,218.0,125.0,70.0,213.0,221.0,186.0,141.0,105.0,108.0,134.0,75.0,40.0,136.0,273.0,12.0,95.0,61.0,6.0,125.0,27.0,352.0,137.0,119.0,77.0,303.0,4.0,5.0,25.0,112.0,15.0,58.0,174.0,61.0,176.0,73.0,80.0,26.0,34.0,52.0,31.0,42.0,68.0,33.0,25.0,179.0,13.0,130.0,9.0,36.0,11.0,55.0,6.0,104.0,10.0,56.0,27.0,7.0,18.0,115.0,56.0,43.0,77.0,24.0,39.0,56.0,47.0,11.0,120.0,10.0,13.0,27.0,44.0,5.0,35.0,21.0,106.0,19.0,45.0,4.0,60.0,20.0,4.0,5.0,19.0,7.0,32.0,30.0,7.0,21.0,41.0,4.0,7.0,2.0,31.0,3.0,2.0,15.0,4.0,1.0,2.0,2.0,1.0,3.0,6.0,3.0,3.0,17.0,10.0,1.0,4.0,8.0,10.0,3.0,7.0,2.0,1.0,7.0,4.0,2.0,2.0,
EUR,27.0,174.0,198.0,58.0,23.0,172.0,73.0,194.0,289.0,50.0,17.0,27.0,41.0,61.0,5.0,227.0,207.0,14.0,4.0,4.0,2.0,,59.0,47.0,,2.0,133.0,,7.0,13.0,12.0,25.0,3.0,107.0,4.0,,,22.0,177.0,45.0,7.0,21.0,6.0,33.0,9.0,7.0,10.0,,,46.0,,29.0,,,1.0,94.0,1.0,,,3.0,2.0,54.0,16.0,4.0,13.0,3.0,10.0,7.0,,,12.0,7.0,1.0,6.0,1.0,,,1.0,4.0,4.0,,2.0,,,,,,,,26.0,,,,,,,11.0,2.0,,5.0,,4.0,19.0,14.0,,9.0,,2.0,,,,3.0,1.0,5.0,6.0,1.0,,,,,,,,2.0,1.0,4.0,8.0,,1.0,,,,,,4.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,,,4.0,,1.0,,4.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,,9.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,
USA,514.0,2384.0,3612.0,994.0,1644.0,3327.0,571.0,3385.0,2529.0,797.0,323.0,819.0,738.0,670.0,237.0,2977.0,2004.0,498.0,381.0,76.0,108.0,39.0,236.0,420.0,74.0,7.0,792.0,66.0,142.0,69.0,182.0,601.0,212.0,692.0,51.0,186.0,39.0,421.0,1527.0,610.0,1743.0,237.0,99.0,424.0,50.0,129.0,328.0,217.0,4.0,1101.0,35.0,403.0,16.0,9.0,172.0,377.0,158.0,2.0,36.0,38.0,19.0,392.0,46.0,47.0,167.0,819.0,42.0,25.0,14.0,98.0,73.0,65.0,73.0,5.0,3.0,41.0,14.0,79.0,22.0,9.0,30.0,14.0,7.0,34.0,21.0,84.0,199.0,5.0,24.0,92.0,3.0,3.0,4.0,90.0,20.0,27.0,150.0,40.0,12.0,46.0,2.0,71.0,25.0,9.0,9.0,30.0,47.0,,50.0,11.0,,39.0,11.0,105.0,86.0,27.0,14.0,141.0,,3.0,7.0,9.0,4.0,25.0,46.0,12.0,78.0,16.0,20.0,8.0,9.0,11.0,2.0,1.0,18.0,12.0,5.0,26.0,2.0,11.0,4.0,15.0,7.0,45.0,8.0,20.0,,57.0,13.0,,,36.0,6.0,14.0,31.0,9.0,13.0,18.0,5.0,2.0,8.0,,20.0,,14.0,1.0,12.0,3.0,26.0,,8.0,1.0,7.0,,2.0,,7.0,3.0,,4.0,5.0,3.0,20.0,,2.0,2.0,4.0,1.0,,5.0,,,,,,,2.0,,1.0,4.0,,1.0,,,,,,,,3.0,,,,2.0
IND,34.0,153.0,280.0,118.0,168.0,260.0,32.0,261.0,228.0,115.0,12.0,60.0,65.0,99.0,9.0,169.0,148.0,36.0,9.0,1.0,4.0,2.0,11.0,22.0,10.0,,132.0,8.0,3.0,5.0,159.0,14.0,9.0,46.0,4.0,20.0,10.0,43.0,68.0,23.0,195.0,31.0,17.0,8.0,6.0,20.0,,4.0,2.0,16.0,9.0,60.0,9.0,,36.0,8.0,7.0,1.0,6.0,,,23.0,,2.0,40.0,26.0,3.0,1.0,,5.0,8.0,3.0,,,,2.0,2.0,5.0,3.0,,,,5.0,,5.0,18.0,5.0,,,2.0,,13.0,,1.0,4.0,,,5.0,2.0,1.0,3.0,5.0,6.0,,1.0,7.0,12.0,,2.0,,,2.0,2.0,,,3.0,2.0,2.0,,,,2.0,,6.0,8.0,,2.0,1.0,2.0,1.0,1.0,2.0,,3.0,1.0,,2.0,6.0,,10.0,,,,,1.0,5.0,,4.0,,,,1.0,14.0,,,,,,4.0,,4.0,,,,8.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,
IRN,18.0,125.0,143.0,59.0,131.0,182.0,33.0,137.0,113.0,6.0,40.0,36.0,22.0,53.0,15.0,109.0,53.0,9.0,12.0,11.0,,,39.0,63.0,,,46.0,13.0,1.0,,11.0,19.0,28.0,18.0,10.0,,2.0,42.0,77.0,14.0,105.0,14.0,27.0,7.0,,2.0,1.0,6.0,,45.0,,14.0,,,9.0,6.0,12.0,,2.0,,,40.0,,3.0,17.0,11.0,1.0,3.0,,4.0,7.0,,,,3.0,1.0,,1.0,2.0,,11.0,,2.0,,,9.0,1.0,,13.0,80.0,,3.0,2.0,,,,,2.0,2.0,8.0,,15.0,,,3.0,,,,5.0,,,4.0,,56.0,,4.0,7.0,,,,,,,,4.0,,6.0,,,,,,3.0,,,,,,,,,13.0,,2.0,,6.0,,,1.0,,,9.0,,,,,,,,6.0,1.0,,1.0,,,,32.0,,,,,,,,,,,2.0,,,,,1.0,,5.0,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,
MEX,15.0,77.0,139.0,28.0,55.0,78.0,21.0,129.0,57.0,26.0,6.0,46.0,12.0,13.0,28.0,49.0,37.0,5.0,3.0,2.0,2.0,3.0,17.0,12.0,5.0,,28.0,,4.0,,5.0,15.0,4.0,11.0,,3.0,1.0,10.0,35.0,12.0,55.0,17.0,,54.0,43.0,1.0,13.0,,,26.0,,10.0,2.0,5.0,7.0,28.0,10.0,,1.0,,6.0,25.0,13.0,8.0,6.0,12.0,4.0,,,2.0,,,1.0,,,,2.0,,,,,,,2.0,16.0,18.0,5.0,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,,2.0,,2.0,,52.0,,6.0,6.0,2.0,,,,1.0,3.0,,1.0,,,,,,,3.0,,,,,,,,,,,,31.0,5.0,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
