,12,110,42,51,20,40,50,43,60,120,13,72,39,46,70,14,10,112,192,81,190,36,138,71,141,173,214,182,111,100,30,130,172,213,26,61,1014,193,31,84,57,63,25,52,80,170,37,831,353,90,114,41,125,32,874,35,62,1123,1243,174,180,1823,15,231,64,163,17,232,27,311,128,11,45,1124,73,22,127,16,23,115,153,171,1712,1821,1053,154,234,1121,142,160,256,1721,33,55,871,194,841,139,18,842,1822,186,1241,833,101,143,241,196,75,164,331,44,85,124,129,131,140,87,83,82,1041,74,1013,211,181,175,233,56,91,1312,1044,145,183,53,1043,151,332,1384,195,1711,1831,38,356,54,134,150,333,113,253,105,144,34,1722,1411,133,94,1233,1246,1313,161,202,201,334,28,21,122,19,1383,1724,191,1122,1056,152,1723,116,166,92,1231,834,162,24,93,86,312,813,1382,185,1125,873,341,344,1832,136,203,872,102,862,1031,861,811,1622,1623,1244,863,106,314,137,121,1621,1311,355,1412,812,184,254,123,132,351,212,243,1661,1322
nan,4176.0,4338.0,13262.0,11391.0,14276.0,12130.0,1781.0,12312.0,3060.0,4406.0,3903.0,340.0,36.0,6285.0,2077.0,2202.0,17528.0,4562.0,899.0,579.0,7323.0,8850.0,576.0,4262.0,1632.0,7022.0,380.0,340.0,4123.0,2379.0,3245.0,2336.0,1962.0,47.0,789.0,938.0,132.0,2500.0,618.0,2162.0,1645.0,53.0,341.0,221.0,2309.0,221.0,82.0,551.0,216.0,4704.0,1221.0,240.0,416.0,317.0,695.0,272.0,415.0,191.0,33.0,254.0,1638.0,48.0,1318.0,241.0,126.0,262.0,1009.0,22.0,109.0,454.0,436.0,597.0,344.0,190.0,852.0,343.0,50.0,679.0,352.0,347.0,58.0,100.0,503.0,426.0,80.0,179.0,96.0,62.0,41.0,1163.0,34.0,221.0,541.0,302.0,66.0,131.0,1134.0,85.0,412.0,39.0,157.0,281.0,67.0,137.0,61.0,115.0,119.0,7.0,134.0,167.0,195.0,149.0,62.0,225.0,266.0,59.0,148.0,19.0,97.0,33.0,54.0,27.0,7.0,38.0,409.0,123.0,68.0,71.0,53.0,57.0,32.0,126.0,32.0,69.0,71.0,48.0,115.0,83.0,122.0,128.0,217.0,8.0,94.0,55.0,37.0,137.0,28.0,60.0,45.0,20.0,52.0,5.0,4.0,9.0,43.0,2.0,26.0,6.0,10.0,197.0,17.0,12.0,25.0,64.0,40.0,95.0,32.0,33.0,17.0,122.0,18.0,24.0,35.0,73.0,6.0,9.0,8.0,1.0,6.0,45.0,7.0,7.0,18.0,20.0,2.0,3.0,13.0,7.0,23.0,10.0,5.0,29.0,8.0,25.0,5.0,6.0,20.0,6.0,10.0,14.0,2.0,2.0,2.0,3.0,2.0,6.0,7.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,
CAN,80.0,87.0,419.0,276.0,332.0,282.0,33.0,397.0,56.0,82.0,86.0,,1.0,188.0,30.0,32.0,406.0,81.0,19.0,20.0,110.0,194.0,4.0,103.0,20.0,171.0,31.0,6.0,51.0,36.0,67.0,39.0,32.0,1.0,13.0,114.0,5.0,62.0,41.0,48.0,56.0,,6.0,4.0,41.0,3.0,,45.0,6.0,111.0,20.0,5.0,7.0,4.0,6.0,2.0,9.0,,1.0,12.0,25.0,,35.0,7.0,2.0,4.0,13.0,,1.0,13.0,6.0,12.0,4.0,,20.0,14.0,,8.0,6.0,4.0,,2.0,5.0,,3.0,4.0,3.0,1.0,,18.0,,2.0,3.0,14.0,,,5.0,,20.0,,,18.0,,1.0,,,,,13.0,,2.0,1.0,,1.0,,,1.0,,,,2.0,1.0,,1.0,7.0,,,,3.0,,,,,,,,,,,1.0,,,,1.0,,,,,,4.0,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,114.0,91.0,311.0,184.0,280.0,332.0,100.0,280.0,40.0,90.0,40.0,6.0,,260.0,32.0,32.0,235.0,43.0,9.0,5.0,58.0,258.0,8.0,79.0,13.0,24.0,1.0,,102.0,78.0,88.0,87.0,34.0,1.0,10.0,91.0,,10.0,,13.0,45.0,,3.0,2.0,35.0,,,3.0,4.0,41.0,9.0,2.0,2.0,11.0,28.0,3.0,10.0,2.0,,6.0,,,10.0,2.0,,14.0,8.0,,,5.0,25.0,1.0,3.0,4.0,11.0,11.0,5.0,3.0,1.0,,,,2.0,,,25.0,,,,34.0,1.0,2.0,5.0,,,,19.0,,,3.0,2.0,8.0,,9.0,,,2.0,,5.0,1.0,4.0,11.0,,1.0,7.0,1.0,,2.0,,1.0,,,1.0,,,,6.0,,1.0,4.0,,4.0,,2.0,1.0,,,2.0,5.0,,,,3.0,,,1.0,2.0,,3.0,1.0,,,,,,,,2.0,,12.0,,,,,1.0,,,,,,,9.0,,4.0,,,2.0,,,,,,,,,,,,8.0,,,,,,2.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
CHN,88.0,96.0,556.0,287.0,325.0,378.0,106.0,509.0,109.0,122.0,89.0,9.0,2.0,277.0,63.0,27.0,372.0,108.0,26.0,4.0,94.0,250.0,13.0,104.0,23.0,259.0,,7.0,102.0,65.0,137.0,97.0,76.0,1.0,34.0,161.0,,29.0,18.0,30.0,129.0,4.0,9.0,17.0,71.0,18.0,12.0,5.0,1.0,121.0,6.0,4.0,5.0,3.0,10.0,8.0,7.0,2.0,,2.0,15.0,,13.0,4.0,3.0,9.0,43.0,,10.0,31.0,11.0,7.0,3.0,,3.0,16.0,2.0,13.0,6.0,,,1.0,3.0,2.0,1.0,5.0,,4.0,,23.0,,10.0,13.0,3.0,4.0,2.0,25.0,9.0,6.0,,5.0,2.0,,1.0,,,,4.0,2.0,29.0,6.0,5.0,,,9.0,1.0,2.0,,,,,5.0,,3.0,3.0,,2.0,1.0,,1.0,2.0,,,,,,2.0,1.0,,1.0,2.0,,10.0,8.0,2.0,9.0,,4.0,,,,,,,,,,,,15.0,,,,,2.0,1.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,3.0,17.0,28.0,51.0,16.0,72.0,4.0,29.0,3.0,1.0,10.0,,,48.0,1.0,2.0,42.0,6.0,,,2.0,50.0,,10.0,1.0,,,,11.0,,8.0,,2.0,,1.0,2.0,,1.0,,3.0,,,,,4.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,12.0,5.0,28.0,39.0,51.0,63.0,3.0,25.0,17.0,7.0,11.0,,,33.0,1.0,,47.0,13.0,1.0,1.0,34.0,11.0,1.0,10.0,6.0,6.0,,1.0,14.0,8.0,12.0,4.0,,,6.0,,,3.0,,1.0,5.0,,,,5.0,,,3.0,,3.0,,,,,10.0,,5.0,,,,,,,,,,,,1.0,,,,,3.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,7.0,,,,9.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,1157.0,1164.0,4692.0,3516.0,4322.0,3842.0,459.0,4458.0,917.0,1111.0,1558.0,55.0,7.0,2166.0,669.0,623.0,4800.0,1547.0,321.0,229.0,2094.0,2574.0,122.0,1325.0,341.0,2675.0,158.0,108.0,1042.0,540.0,990.0,574.0,629.0,6.0,233.0,322.0,14.0,873.0,201.0,670.0,417.0,11.0,50.0,72.0,572.0,29.0,23.0,130.0,53.0,1403.0,304.0,77.0,114.0,64.0,309.0,68.0,115.0,24.0,27.0,85.0,638.0,14.0,493.0,81.0,48.0,81.0,238.0,7.0,10.0,107.0,78.0,189.0,129.0,43.0,206.0,68.0,17.0,240.0,77.0,297.0,2.0,26.0,86.0,132.0,7.0,37.0,12.0,22.0,12.0,362.0,8.0,40.0,120.0,92.0,14.0,9.0,213.0,21.0,71.0,3.0,14.0,70.0,27.0,24.0,14.0,40.0,47.0,,66.0,68.0,39.0,62.0,23.0,80.0,83.0,23.0,18.0,9.0,25.0,6.0,7.0,8.0,,7.0,92.0,7.0,15.0,28.0,24.0,2.0,5.0,13.0,4.0,30.0,22.0,9.0,14.0,6.0,14.0,31.0,,2.0,17.0,20.0,9.0,18.0,6.0,15.0,8.0,,24.0,,,6.0,13.0,,,3.0,6.0,43.0,10.0,,1.0,7.0,16.0,21.0,17.0,18.0,12.0,23.0,,2.0,2.0,29.0,,4.0,1.0,1.0,4.0,26.0,3.0,1.0,1.0,,,1.0,3.0,8.0,1.0,1.0,1.0,3.0,,,,,1.0,2.0,,23.0,,,2.0,3.0,1.0,,3.0,4.0,,,,,1.0,,,,,3.0,,,,
PER,2.0,4.0,31.0,3.0,23.0,22.0,,31.0,3.0,5.0,3.0,10.0,,16.0,2.0,1.0,16.0,1.0,,,14.0,21.0,,1.0,1.0,5.0,,,,,3.0,2.0,1.0,,,12.0,,2.0,,7.0,7.0,,,,9.0,,,,,5.0,,,,,,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,14.0,29.0,72.0,34.0,72.0,82.0,23.0,62.0,4.0,30.0,11.0,,,36.0,6.0,13.0,71.0,41.0,,8.0,27.0,94.0,,26.0,1.0,89.0,7.0,,13.0,18.0,12.0,7.0,10.0,,5.0,12.0,1.0,9.0,10.0,1.0,5.0,6.0,4.0,,12.0,8.0,,4.0,1.0,18.0,3.0,4.0,6.0,1.0,,2.0,,,,21.0,11.0,,6.0,,,,,,,4.0,7.0,,1.0,,3.0,1.0,,6.0,1.0,2.0,,,,,,,,2.0,,,,,,3.0,,,4.0,,8.0,,,5.0,3.0,3.0,,,1.0,,2.0,1.0,2.0,,,,,,,,,,1.0,,,,4.0,,3.0,,,,,,,,,,,,,4.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
