,874,193,173,141,15,51,61,14,17,36,20,13,130,100,42,115,43,10,190,131,112,30,32,60,40,46,111,172,25,50,80,1014,1832,26,180,192,114,110,31,841,120,90,831,128,139,129,41,1123,52,166,171,174,182,194,12,1124,154,11,71,73,160,161,55,84,18,16,140,70,23,353,124,191,86,153,72,1821,331,1121,233,81,1233,125,164,57,75,45,145,64,842,1621,1723,143,138,311,127,33,163,1711,1053,35,1241,185,91,231,150,152,1831,333,34,1122,186,833,74,133,214,27,356,134,181,53,195,63,19,1823,175,253,1712,1724,1822,56,1721,1384,334,85,1383,83,22,202,170,234,54,183,62,113,241,1043,39,203,1243,871,144,94,44,21,37,122,862,355,1044,82,28,256,1041,232,1312,1056,142,162,121,92,244,151,123,211,332,101,1031,116,312,106,1244,243,24,87,834,196,102,201,1231,1722,93,341,1246,137,1013,811,1125,1411,107,1313,213,873,1211,861
nan,358.0,3287.0,4278.0,1458.0,649.0,7432.0,418.0,1152.0,656.0,4917.0,7748.0,2072.0,1241.0,1375.0,8610.0,134.0,7956.0,10468.0,5761.0,47.0,2847.0,1855.0,103.0,1706.0,6569.0,3285.0,3124.0,1267.0,165.0,941.0,1365.0,93.0,19.0,291.0,954.0,460.0,746.0,2759.0,278.0,605.0,2230.0,2644.0,236.0,275.0,37.0,463.0,140.0,183.0,138.0,42.0,75.0,175.0,251.0,97.0,2340.0,217.0,145.0,307.0,1826.0,623.0,579.0,73.0,157.0,1151.0,669.0,301.0,182.0,1271.0,212.0,124.0,84.0,64.0,9.0,50.0,238.0,251.0,95.0,73.0,64.0,351.0,16.0,184.0,134.0,780.0,58.0,157.0,101.0,60.0,50.0,8.0,98.0,154.0,281.0,175.0,50.0,229.0,126.0,36.0,45.0,84.0,29.0,5.0,43.0,131.0,136.0,45.0,125.0,9.0,11.0,21.0,149.0,105.0,16.0,56.0,137.0,47.0,34.0,21.0,161.0,42.0,127.0,26.0,22.0,35.0,116.0,17.0,186.0,20.0,76.0,53.0,80.0,31.0,2.0,22.0,24.0,33.0,140.0,92.0,67.0,49.0,24.0,24.0,168.0,31.0,41.0,46.0,12.0,15.0,42.0,29.0,32.0,17.0,75.0,9.0,41.0,37.0,15.0,3.0,3.0,29.0,16.0,11.0,27.0,13.0,24.0,10.0,19.0,26.0,11.0,1.0,2.0,15.0,9.0,19.0,17.0,19.0,1.0,10.0,4.0,8.0,3.0,6.0,3.0,6.0,2.0,17.0,2.0,2.0,5.0,11.0,4.0,12.0,8.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,,,
USA,188.0,1089.0,1574.0,305.0,297.0,2090.0,136.0,259.0,172.0,1545.0,2052.0,954.0,296.0,322.0,3072.0,87.0,2917.0,2531.0,1385.0,9.0,793.0,465.0,11.0,562.0,2159.0,969.0,620.0,406.0,40.0,236.0,360.0,6.0,4.0,66.0,257.0,143.0,131.0,580.0,65.0,158.0,516.0,756.0,41.0,81.0,6.0,238.0,71.0,46.0,32.0,40.0,27.0,82.0,70.0,13.0,454.0,66.0,28.0,134.0,558.0,205.0,174.0,28.0,42.0,404.0,99.0,100.0,17.0,495.0,52.0,41.0,39.0,10.0,,3.0,24.0,62.0,30.0,13.0,22.0,107.0,2.0,52.0,34.0,184.0,26.0,31.0,4.0,9.0,9.0,,34.0,36.0,52.0,32.0,13.0,56.0,82.0,7.0,11.0,29.0,17.0,3.0,19.0,53.0,43.0,10.0,,3.0,,2.0,90.0,18.0,13.0,5.0,48.0,9.0,15.0,11.0,52.0,20.0,16.0,8.0,8.0,5.0,14.0,5.0,51.0,12.0,3.0,8.0,8.0,7.0,,14.0,9.0,16.0,48.0,32.0,8.0,5.0,3.0,3.0,41.0,17.0,7.0,8.0,,2.0,11.0,3.0,14.0,6.0,35.0,13.0,4.0,12.0,5.0,,,2.0,1.0,5.0,,1.0,4.0,,1.0,3.0,5.0,1.0,,21.0,2.0,6.0,3.0,1.0,1.0,,3.0,,,,1.0,2.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,,,2.0,,
CAN,20.0,163.0,67.0,33.0,11.0,186.0,84.0,30.0,29.0,125.0,227.0,60.0,25.0,20.0,249.0,,230.0,213.0,112.0,,69.0,25.0,2.0,22.0,159.0,75.0,203.0,43.0,9.0,25.0,36.0,1.0,,10.0,24.0,22.0,6.0,39.0,2.0,4.0,31.0,42.0,4.0,3.0,,1.0,20.0,3.0,1.0,,,13.0,7.0,,64.0,2.0,3.0,,60.0,7.0,11.0,,5.0,25.0,15.0,13.0,6.0,18.0,4.0,8.0,1.0,,,,5.0,,,2.0,,33.0,,7.0,1.0,34.0,5.0,2.0,,,,,4.0,2.0,13.0,6.0,,11.0,24.0,5.0,,,,,,1.0,18.0,10.0,,,,,,,2.0,2.0,1.0,,,,20.0,,2.0,1.0,2.0,,,3.0,5.0,,,,,,,,,,6.0,1.0,,,,,,,,,,,1.0,,,,4.0,,,,1.0,,,,2.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,18.0,7.0,51.0,2.0,11.0,42.0,4.0,,4.0,14.0,15.0,2.0,6.0,18.0,,13.0,22.0,24.0,,2.0,1.0,,5.0,23.0,8.0,11.0,,,1.0,5.0,,,,8.0,7.0,1.0,30.0,4.0,,4.0,1.0,,,,,,1.0,,,,,,,8.0,,,,4.0,,,,,,,,39.0,3.0,,,,,,,,,,,,2.0,,,3.0,,2.0,,,,,,,12.0,1.0,2.0,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,15.0,57.0,128.0,51.0,27.0,264.0,41.0,52.0,28.0,285.0,254.0,97.0,71.0,63.0,572.0,,527.0,327.0,179.0,,83.0,114.0,9.0,41.0,243.0,202.0,112.0,62.0,2.0,59.0,57.0,,,8.0,25.0,29.0,17.0,115.0,10.0,22.0,133.0,108.0,19.0,12.0,3.0,18.0,2.0,3.0,6.0,2.0,2.0,3.0,7.0,,124.0,,4.0,5.0,57.0,13.0,46.0,4.0,6.0,29.0,64.0,6.0,4.0,36.0,4.0,3.0,2.0,2.0,1.0,,5.0,6.0,6.0,1.0,3.0,11.0,,7.0,,59.0,4.0,2.0,,,,,2.0,3.0,7.0,3.0,5.0,9.0,7.0,1.0,1.0,2.0,,,,5.0,8.0,4.0,,,6.0,,3.0,,1.0,,4.0,,8.0,,5.0,2.0,2.0,6.0,,3.0,,,9.0,,2.0,,4.0,,2.0,,,,2.0,2.0,2.0,,,4.0,8.0,,,3.0,,,2.0,2.0,2.0,,4.0,,2.0,1.0,,,,,,,,,,,,,,,,7.0,,,4.0,,1.0,,1.0,1.0,4.0,,,2.0,,,2.0,,,,3.0,,4.0,,,,,,,,,,,
EUR,8.0,16.0,8.0,13.0,3.0,58.0,28.0,11.0,,163.0,129.0,15.0,30.0,27.0,128.0,,111.0,97.0,110.0,,18.0,38.0,,4.0,70.0,67.0,36.0,36.0,,29.0,8.0,,,1.0,4.0,3.0,12.0,35.0,5.0,,55.0,8.0,1.0,2.0,,,,,,,,5.0,,,26.0,2.0,4.0,1.0,27.0,1.0,29.0,1.0,,15.0,4.0,,,8.0,3.0,,,3.0,,,3.0,,,,,1.0,,,,16.0,6.0,8.0,1.0,,,,,5.0,3.0,9.0,4.0,,26.0,,,,5.0,,,1.0,1.0,1.0,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,,4.0,2.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
IRL,13.0,17.0,37.0,25.0,9.0,184.0,3.0,28.0,12.0,176.0,93.0,29.0,15.0,18.0,235.0,,216.0,127.0,41.0,,22.0,22.0,,10.0,98.0,85.0,22.0,31.0,3.0,13.0,21.0,,,1.0,18.0,8.0,2.0,38.0,6.0,9.0,25.0,17.0,1.0,1.0,1.0,2.0,,,4.0,,2.0,4.0,,,30.0,,3.0,6.0,9.0,2.0,13.0,,3.0,10.0,3.0,6.0,2.0,11.0,1.0,6.0,1.0,,3.0,,5.0,2.0,,,,3.0,,6.0,,43.0,1.0,1.0,,,,,1.0,,1.0,2.0,,,,,,3.0,,,,2.0,,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,9.0,,,2.0,3.0,,,,,,,,,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,9.0,13.0,35.0,7.0,4.0,33.0,16.0,3.0,6.0,19.0,34.0,16.0,16.0,6.0,91.0,,91.0,38.0,81.0,,7.0,13.0,,11.0,71.0,38.0,15.0,8.0,,,6.0,,,,5.0,8.0,4.0,13.0,6.0,7.0,8.0,1.0,2.0,,,,,,,,,,5.0,,6.0,,3.0,,2.0,11.0,2.0,3.0,1.0,8.0,2.0,,,,,,,,,,11.0,,,,,,,1.0,,21.0,,,,,,,,,2.0,2.0,,2.0,1.0,,1.0,,,,5.0,,1.0,,,,,,,,,,,1.0,,,7.0,,2.0,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,6.0,19.0,16.0,19.0,3.0,48.0,1.0,7.0,6.0,58.0,41.0,9.0,7.0,6.0,101.0,,95.0,62.0,27.0,1.0,22.0,11.0,2.0,8.0,61.0,28.0,12.0,7.0,,48.0,3.0,1.0,,3.0,3.0,,3.0,7.0,,4.0,18.0,59.0,2.0,2.0,,8.0,4.0,,,,1.0,1.0,,,12.0,,,4.0,8.0,1.0,1.0,,5.0,12.0,8.0,1.0,5.0,6.0,,,,,,,,6.0,2.0,2.0,,1.0,,2.0,,10.0,1.0,,,,,,,2.0,,,,,,,,7.0,,,,,,,,,,,1.0,,,1.0,5.0,,,,,,,6.0,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
