,43,42,193,20,112,13,115,190,10,120,80,60,1723,51,14,831,73,174,110,33,114,173,17,195,46,36,111,40,30,57,100,84,841,31,37,50,127,12,141,161,180,192,874,130,214,61,41,70,81,871,52,172,353,241,32,63,1014,1123,25,45,124,1243,125,26,71,181,154,90,128,75,331,55,842,1053,1821,72,171,182,15,16,23,862,1712,231,833,11,311,253,1121,160,22,129,44,186,62,194,1241,28,122,191,18,87,312,113,138,139,834,163,35,333,213,140,162,1721,54,27,151,1711,91,1822,1312,142,143,170,1124,164,233,150,39,873,1044,64,83,175,131,153,202,145,24,1043,1724,152,234,1384,1823,185,1041,341,85,1031,56,356,1233,105,332,106,1313,243,1831,134,1383,211,53,121,74,19,1222,1722,144,232,861,1246,166,101,344,82,94,93,203,21,137,256,1122,1382,811,183,1013,1411,1832,1056,132,133,1412,351,314,92,86,107,334,123,1385,244,34,116,1125,1244,1621,863,872,1623,1054,242,1211,355,38,196
nan,12018.0,12902.0,2778.0,13435.0,4294.0,3396.0,255.0,6543.0,16636.0,4369.0,2271.0,3027.0,85.0,11275.0,2004.0,747.0,782.0,279.0,4288.0,524.0,1318.0,6752.0,971.0,165.0,5183.0,8123.0,3991.0,11073.0,3041.0,1798.0,2329.0,2032.0,973.0,494.0,129.0,1552.0,107.0,3723.0,1591.0,148.0,1713.0,1014.0,641.0,1939.0,346.0,723.0,179.0,2307.0,1072.0,83.0,242.0,2099.0,272.0,97.0,133.0,42.0,200.0,176.0,240.0,381.0,222.0,40.0,393.0,630.0,3913.0,452.0,254.0,4673.0,460.0,155.0,183.0,316.0,68.0,87.0,371.0,320.0,134.0,325.0,1177.0,794.0,367.0,32.0,367.0,245.0,138.0,689.0,462.0,64.0,64.0,912.0,311.0,390.0,153.0,185.0,254.0,340.0,79.0,43.0,63.0,106.0,326.0,13.0,12.0,38.0,440.0,78.0,6.0,238.0,243.0,24.0,37.0,141.0,47.0,199.0,93.0,76.0,36.0,71.0,90.0,105.0,22.0,48.0,112.0,88.0,166.0,143.0,88.0,162.0,19.0,11.0,16.0,103.0,109.0,77.0,45.0,67.0,55.0,110.0,38.0,76.0,32.0,56.0,74.0,40.0,63.0,11.0,41.0,10.0,28.0,19.0,65.0,97.0,21.0,5.0,72.0,4.0,7.0,10.0,56.0,33.0,54.0,15.0,68.0,9.0,51.0,47.0,2.0,17.0,21.0,18.0,4.0,21.0,44.0,47.0,7.0,46.0,7.0,9.0,35.0,31.0,2.0,31.0,2.0,11.0,5.0,23.0,15.0,5.0,4.0,8.0,2.0,38.0,2.0,2.0,2.0,4.0,9.0,6.0,14.0,5.0,2.0,2.0,1.0,5.0,4.0,2.0,6.0,3.0,1.0,2.0,,,,,,
AUS,441.0,484.0,112.0,232.0,121.0,105.0,2.0,168.0,399.0,50.0,41.0,53.0,1.0,223.0,45.0,11.0,30.0,16.0,88.0,16.0,9.0,170.0,17.0,,109.0,180.0,131.0,256.0,54.0,78.0,43.0,27.0,18.0,9.0,,34.0,2.0,77.0,14.0,1.0,28.0,22.0,16.0,36.0,7.0,71.0,12.0,68.0,8.0,1.0,10.0,83.0,2.0,,1.0,2.0,2.0,2.0,2.0,7.0,2.0,,2.0,16.0,75.0,7.0,3.0,58.0,14.0,,2.0,1.0,,8.0,15.0,4.0,4.0,4.0,40.0,23.0,4.0,,5.0,8.0,3.0,6.0,3.0,1.0,4.0,12.0,2.0,,3.0,8.0,2.0,1.0,,,1.0,8.0,9.0,,,1.0,2.0,,,3.0,1.0,,1.0,8.0,1.0,4.0,,,,,,,,,,,6.0,4.0,1.0,,,,,,,,,,5.0,,,1.0,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,2.0,,17.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
ITA,290.0,314.0,3.0,77.0,11.0,40.0,,34.0,124.0,27.0,8.0,17.0,1.0,110.0,13.0,,6.0,21.0,27.0,2.0,,29.0,37.0,2.0,91.0,91.0,57.0,113.0,42.0,97.0,10.0,2.0,13.0,1.0,,20.0,,38.0,5.0,,1.0,6.0,5.0,17.0,,35.0,,16.0,1.0,,,11.0,1.0,,8.0,,,,1.0,,,,9.0,7.0,11.0,5.0,,37.0,,,1.0,5.0,,,3.0,1.0,,2.0,6.0,4.0,,3.0,,,,1.0,7.0,,,3.0,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,8.0,,,1.0,,7.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,4724.0,5024.0,1108.0,4036.0,1642.0,1519.0,132.0,2183.0,4554.0,1009.0,725.0,939.0,25.0,3693.0,515.0,129.0,190.0,191.0,1046.0,179.0,250.0,2810.0,251.0,30.0,2015.0,2692.0,1227.0,3692.0,944.0,635.0,693.0,683.0,236.0,185.0,19.0,413.0,23.0,870.0,406.0,35.0,558.0,280.0,199.0,502.0,112.0,282.0,61.0,831.0,564.0,19.0,96.0,781.0,101.0,32.0,35.0,19.0,50.0,94.0,71.0,109.0,67.0,12.0,99.0,180.0,1220.0,68.0,43.0,1376.0,111.0,35.0,73.0,92.0,20.0,31.0,101.0,78.0,33.0,124.0,497.0,222.0,67.0,4.0,95.0,74.0,40.0,173.0,107.0,24.0,25.0,264.0,115.0,195.0,57.0,85.0,93.0,125.0,21.0,6.0,11.0,18.0,106.0,5.0,2.0,22.0,100.0,16.0,8.0,79.0,105.0,9.0,15.0,38.0,4.0,34.0,68.0,20.0,17.0,7.0,23.0,22.0,3.0,,21.0,6.0,50.0,143.0,21.0,26.0,7.0,3.0,8.0,41.0,44.0,3.0,21.0,10.0,9.0,2.0,3.0,18.0,18.0,,13.0,8.0,19.0,4.0,3.0,1.0,10.0,9.0,15.0,30.0,5.0,3.0,15.0,1.0,,,,11.0,17.0,,30.0,5.0,17.0,44.0,,2.0,6.0,3.0,,,9.0,18.0,7.0,10.0,,,3.0,17.0,,2.0,5.0,2.0,,9.0,5.0,,,3.0,,1.0,,,,,6.0,,8.0,,,,1.0,,,1.0,,,,,1.0,3.0,,,,
BRA,90.0,92.0,6.0,22.0,9.0,5.0,,12.0,63.0,15.0,8.0,16.0,,33.0,1.0,,,4.0,13.0,,6.0,39.0,1.0,,11.0,20.0,4.0,36.0,18.0,73.0,5.0,24.0,40.0,,2.0,2.0,1.0,3.0,11.0,,3.0,5.0,8.0,,,19.0,,,,,,,3.0,,,,4.0,,,,,,2.0,,2.0,7.0,,19.0,1.0,4.0,,,,4.0,6.0,1.0,1.0,,,5.0,2.0,,1.0,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,215.0,227.0,15.0,168.0,62.0,43.0,1.0,51.0,257.0,46.0,45.0,63.0,1.0,151.0,16.0,1.0,8.0,6.0,34.0,5.0,6.0,60.0,31.0,,177.0,163.0,64.0,203.0,49.0,47.0,22.0,20.0,13.0,4.0,6.0,56.0,,49.0,38.0,,9.0,12.0,7.0,37.0,3.0,43.0,2.0,26.0,4.0,,3.0,44.0,3.0,,9.0,,4.0,,2.0,4.0,4.0,,4.0,13.0,33.0,4.0,2.0,68.0,3.0,,6.0,9.0,,,6.0,7.0,,5.0,8.0,10.0,3.0,,,4.0,2.0,3.0,4.0,6.0,,5.0,5.0,5.0,9.0,1.0,,4.0,1.0,,,,,,,3.0,10.0,,,,,,,,2.0,,2.0,,,6.0,2.0,2.0,4.0,3.0,,2.0,,3.0,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,10.0,4.0,,,,,,,,2.0,,,5.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
DOM,10.0,8.0,,2.0,1.0,1.0,,4.0,4.0,,,,,3.0,,,,,,1.0,,1.0,,,1.0,,1.0,44.0,1.0,,,4.0,,,,8.0,,2.0,,,,,,7.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,705.0,798.0,26.0,364.0,111.0,136.0,7.0,75.0,395.0,129.0,37.0,83.0,,374.0,62.0,6.0,16.0,8.0,120.0,11.0,40.0,177.0,57.0,2.0,385.0,331.0,135.0,469.0,184.0,342.0,77.0,40.0,7.0,38.0,10.0,173.0,6.0,126.0,51.0,16.0,9.0,6.0,28.0,90.0,,319.0,,52.0,3.0,,1.0,98.0,2.0,,9.0,4.0,9.0,,14.0,6.0,,4.0,17.0,22.0,96.0,28.0,3.0,120.0,6.0,2.0,6.0,9.0,5.0,3.0,1.0,7.0,,2.0,30.0,23.0,3.0,7.0,9.0,4.0,,8.0,47.0,2.0,1.0,20.0,7.0,7.0,26.0,1.0,5.0,3.0,1.0,,2.0,1.0,9.0,,,8.0,4.0,1.0,,40.0,6.0,,,1.0,3.0,23.0,24.0,5.0,5.0,1.0,1.0,5.0,1.0,,,8.0,3.0,1.0,1.0,7.0,,,2.0,1.0,,2.0,,,2.0,4.0,,1.0,,4.0,,1.0,,,,,2.0,,,5.0,,,1.0,,,3.0,,,,8.0,4.0,,3.0,,,,,,,,6.0,,,2.0,,,1.0,2.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,
SYR,234.0,271.0,5.0,128.0,38.0,30.0,,229.0,192.0,76.0,39.0,38.0,1.0,201.0,35.0,6.0,16.0,3.0,54.0,1.0,35.0,45.0,1.0,7.0,80.0,39.0,217.0,104.0,46.0,79.0,67.0,5.0,8.0,,,34.0,16.0,30.0,70.0,1.0,8.0,94.0,75.0,40.0,,3.0,,31.0,3.0,2.0,3.0,9.0,,,4.0,,2.0,,2.0,10.0,1.0,,3.0,3.0,8.0,7.0,6.0,9.0,3.0,12.0,37.0,,,,,9.0,,5.0,9.0,7.0,2.0,,2.0,,2.0,,,,,7.0,7.0,,,,,17.0,,,,,6.0,15.0,,,8.0,,,10.0,3.0,,,1.0,1.0,,41.0,,,3.0,,3.0,,,,,8.0,9.0,,5.0,,8.0,,,,,,,,,,,,,,5.0,,,,,,,,24.0,,2.0,7.0,,,,,,,,1.0,,4.0,,,,,,,5.0,4.0,,,1.0,,,3.0,,,4.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,6.0,,,,
