,43,61,81,20,42,90,180,181,16,26,51,173,110,14,80,10,15,84,112,40,36,50,163,111,57,100,13,130,190,12,30,46,60,874,114,138,52,171,841,64,70,160,1313,128,194,154,120,1123,183,353,73,214,25,35,134,172,193,11,311,71,831,18,145,1621,1124,233,33,192,91,75,124,31,141,1383,1821,182,166,191,17,125,45,22,1043,129,174,44,234,82,1822,164,161,127,19,1241,175,55,332,231,1712,186,152,351,63,1053,72,32,334,1121,131,1721,1724,842,143,37,1243,41,253,195,1723,144,24,833,23,133,56,170,93,115,1711,140,27,356,28,256,202,113,331,341,101,211,62,1823,344,241,243,150,139,74,85,162,121,1384,1831,1122,1832,871,87,116,54,86,53,1041,333,1246,1014,83,1031,94,151,137,153,203,1233,1312,834,213,1056,873,1382,122,142,1232,232,34,862,254,1044,201,39,812,185,196,861,1244,1411,1125,811,21,102,1231,123,1833,105,863,314,251,92,1012,1622,106,1722,132,312,1234,242,1311,1211,244,872,1054,136
nan,12387.0,818.0,934.0,14206.0,13407.0,4546.0,1606.0,531.0,776.0,674.0,11411.0,6781.0,4269.0,2182.0,2236.0,17505.0,1405.0,2006.0,4368.0,11659.0,8569.0,1707.0,226.0,4050.0,1615.0,2353.0,3695.0,1996.0,7165.0,3842.0,3152.0,5601.0,3257.0,681.0,1292.0,353.0,222.0,161.0,1012.0,126.0,2395.0,935.0,18.0,448.0,219.0,217.0,4285.0,163.0,46.0,177.0,979.0,245.0,278.0,166.0,34.0,2194.0,2805.0,638.0,351.0,4176.0,547.0,300.0,122.0,11.0,208.0,72.0,559.0,906.0,90.0,161.0,224.0,614.0,1559.0,32.0,400.0,282.0,42.0,97.0,936.0,439.0,397.0,345.0,90.0,386.0,267.0,180.0,104.0,59.0,171.0,180.0,141.0,104.0,48.0,79.0,99.0,263.0,59.0,234.0,393.0,196.0,66.0,2.0,51.0,66.0,341.0,192.0,17.0,91.0,64.0,174.0,41.0,65.0,151.0,84.0,58.0,229.0,43.0,182.0,62.0,21.0,13.0,147.0,336.0,53.0,76.0,115.0,18.0,252.0,109.0,119.0,72.0,65.0,56.0,24.0,33.0,86.0,159.0,17.0,53.0,35.0,264.0,77.0,12.0,96.0,9.0,153.0,81.0,97.0,42.0,52.0,23.0,59.0,84.0,12.0,9.0,69.0,13.0,11.0,50.0,14.0,63.0,50.0,49.0,18.0,163.0,91.0,8.0,7.0,7.0,16.0,47.0,30.0,20.0,25.0,5.0,46.0,14.0,5.0,11.0,55.0,39.0,1.0,22.0,16.0,24.0,2.0,14.0,1.0,9.0,1.0,13.0,11.0,21.0,4.0,13.0,3.0,1.0,20.0,2.0,1.0,3.0,3.0,7.0,6.0,1.0,2.0,5.0,2.0,3.0,3.0,3.0,1.0,5.0,2.0,6.0,1.0,,,,,
GBR,895.0,63.0,21.0,572.0,977.0,151.0,43.0,3.0,25.0,17.0,583.0,248.0,250.0,110.0,118.0,738.0,44.0,59.0,166.0,470.0,480.0,104.0,,217.0,165.0,109.0,206.0,99.0,294.0,280.0,221.0,264.0,134.0,39.0,29.0,19.0,22.0,11.0,48.0,9.0,76.0,56.0,6.0,19.0,3.0,12.0,179.0,8.0,,3.0,27.0,3.0,20.0,12.0,,86.0,99.0,10.0,19.0,150.0,128.0,11.0,,,1.0,1.0,28.0,67.0,2.0,7.0,11.0,19.0,79.0,,16.0,22.0,3.0,5.0,58.0,11.0,15.0,18.0,4.0,2.0,21.0,1.0,4.0,,2.0,11.0,9.0,2.0,2.0,,,11.0,2.0,10.0,10.0,9.0,,,12.0,,4.0,30.0,,6.0,2.0,3.0,,5.0,,8.0,2.0,4.0,,5.0,7.0,,,5.0,9.0,,1.0,12.0,,5.0,7.0,29.0,1.0,13.0,,4.0,,,6.0,7.0,2.0,1.0,16.0,15.0,,8.0,,4.0,13.0,,3.0,2.0,1.0,,,,,4.0,,,3.0,,2.0,2.0,,1.0,7.0,1.0,,,,,,,,7.0,,4.0,1.0,,,4.0,3.0,,1.0,,,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
AUS,400.0,20.0,6.0,262.0,446.0,134.0,42.0,10.0,19.0,20.0,215.0,225.0,87.0,37.0,73.0,476.0,34.0,31.0,111.0,352.0,165.0,21.0,,130.0,53.0,36.0,112.0,23.0,179.0,97.0,84.0,169.0,66.0,4.0,15.0,4.0,6.0,,10.0,,81.0,6.0,,20.0,,24.0,68.0,5.0,1.0,5.0,33.0,,1.0,1.0,,44.0,86.0,7.0,13.0,81.0,4.0,14.0,2.0,,4.0,,9.0,10.0,,4.0,1.0,9.0,,,6.0,14.0,2.0,3.0,35.0,2.0,7.0,5.0,2.0,,8.0,2.0,,,1.0,,,,4.0,1.0,,3.0,,2.0,13.0,5.0,,,3.0,,3.0,4.0,,8.0,,,,,1.0,,6.0,2.0,6.0,1.0,1.0,,1.0,1.0,3.0,,2.0,,,2.0,,1.0,,1.0,,,,,3.0,,,1.0,5.0,3.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,1.0,,,,,,,,2.0,2.0,,,,,3.0,,,1.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,468.0,104.0,39.0,518.0,494.0,88.0,47.0,42.0,8.0,11.0,252.0,182.0,92.0,47.0,54.0,408.0,20.0,60.0,64.0,303.0,188.0,63.0,9.0,115.0,71.0,43.0,93.0,32.0,95.0,111.0,112.0,186.0,74.0,11.0,29.0,4.0,8.0,,25.0,,48.0,26.0,,63.0,,2.0,132.0,,,1.0,6.0,15.0,2.0,,,72.0,39.0,18.0,8.0,89.0,59.0,5.0,,,7.0,9.0,15.0,16.0,3.0,54.0,9.0,22.0,33.0,,4.0,11.0,2.0,,18.0,3.0,6.0,5.0,,3.0,20.0,7.0,1.0,1.0,,4.0,6.0,,,,,5.0,,6.0,7.0,11.0,,,1.0,2.0,3.0,,2.0,4.0,,6.0,,,,2.0,1.0,4.0,6.0,,3.0,,2.0,10.0,7.0,1.0,,1.0,,14.0,,1.0,,1.0,1.0,,,6.0,2.0,,1.0,,10.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,
ESP,157.0,8.0,,111.0,161.0,58.0,16.0,5.0,5.0,1.0,36.0,60.0,9.0,7.0,33.0,136.0,14.0,7.0,28.0,71.0,52.0,16.0,,29.0,15.0,18.0,25.0,1.0,101.0,6.0,11.0,12.0,23.0,5.0,14.0,5.0,,11.0,3.0,5.0,15.0,2.0,,,2.0,,40.0,31.0,,,6.0,2.0,,,,13.0,11.0,2.0,3.0,6.0,3.0,,,,,3.0,,3.0,,1.0,2.0,1.0,10.0,,11.0,9.0,,,10.0,,1.0,,,,17.0,24.0,2.0,,1.0,,1.0,5.0,,,,47.0,,,2.0,2.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,13.0,,,1.0,,,,,,,2.0,9.0,,,,,2.0,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,14.0,,,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
USA,4616.0,284.0,503.0,4245.0,4959.0,1478.0,609.0,54.0,273.0,233.0,3723.0,2585.0,1119.0,656.0,570.0,4911.0,558.0,703.0,1711.0,3932.0,2995.0,497.0,72.0,1202.0,529.0,579.0,1701.0,472.0,2132.0,967.0,956.0,1975.0,1028.0,201.0,310.0,106.0,72.0,55.0,169.0,21.0,921.0,236.0,3.0,94.0,54.0,60.0,1061.0,82.0,14.0,62.0,295.0,76.0,93.0,52.0,30.0,847.0,1066.0,194.0,65.0,1336.0,84.0,89.0,7.0,,50.0,1.0,181.0,279.0,31.0,51.0,47.0,267.0,422.0,13.0,129.0,72.0,15.0,19.0,232.0,113.0,96.0,99.0,17.0,182.0,95.0,89.0,29.0,5.0,18.0,73.0,43.0,26.0,42.0,39.0,12.0,69.0,16.0,64.0,119.0,65.0,13.0,,20.0,4.0,54.0,34.0,8.0,12.0,34.0,44.0,33.0,17.0,14.0,11.0,25.0,44.0,9.0,18.0,12.0,6.0,2.0,38.0,81.0,1.0,23.0,12.0,12.0,101.0,13.0,28.0,9.0,12.0,21.0,11.0,7.0,40.0,37.0,6.0,31.0,2.0,44.0,10.0,4.0,20.0,,28.0,24.0,7.0,12.0,24.0,5.0,12.0,,9.0,2.0,8.0,5.0,,37.0,6.0,67.0,4.0,9.0,,59.0,29.0,,3.0,1.0,1.0,5.0,5.0,,9.0,1.0,22.0,,2.0,,9.0,2.0,,11.0,,11.0,,4.0,,,,1.0,,,2.0,,7.0,,6.0,3.0,,,,,3.0,,,,,,,1.0,1.0,4.0,,6.0,,,3.0,,,
IRL,155.0,30.0,1.0,149.0,163.0,31.0,34.0,1.0,9.0,2.0,100.0,53.0,43.0,24.0,31.0,173.0,12.0,10.0,28.0,95.0,77.0,12.0,,45.0,13.0,7.0,40.0,24.0,44.0,56.0,46.0,40.0,24.0,7.0,6.0,3.0,3.0,,6.0,,13.0,5.0,,2.0,,1.0,44.0,,,,,1.0,3.0,,,7.0,15.0,3.0,,41.0,7.0,3.0,,,,,4.0,8.0,,,3.0,4.0,9.0,,3.0,9.0,,,15.0,2.0,7.0,4.0,,,2.0,,,,,2.0,3.0,,,,,,1.0,,5.0,,,,,,,5.0,,,,,,,2.0,,,,,,8.0,,,2.0,2.0,,,,,,,6.0,,2.0,,,,,,,,,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,116.0,21.0,2.0,50.0,125.0,23.0,15.0,2.0,3.0,5.0,106.0,55.0,38.0,1.0,27.0,114.0,,4.0,87.0,81.0,16.0,15.0,21.0,55.0,,28.0,26.0,28.0,75.0,26.0,34.0,13.0,20.0,26.0,10.0,11.0,,3.0,6.0,,13.0,9.0,,10.0,11.0,2.0,53.0,4.0,,1.0,3.0,,,,,10.0,4.0,2.0,1.0,34.0,9.0,30.0,,,2.0,,6.0,12.0,,4.0,1.0,,7.0,,,2.0,,,2.0,,4.0,,,,3.0,,,,4.0,,8.0,,,3.0,,,,,2.0,7.0,,,2.0,,1.0,2.0,,,,,,,,,,6.0,,,,,,,6.0,,1.0,,,,4.0,2.0,,2.0,,,,2.0,,,,,,2.0,,,,4.0,2.0,1.0,6.0,,,7.0,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,324.0,46.0,43.0,280.0,349.0,213.0,28.0,,42.0,23.0,338.0,242.0,113.0,54.0,84.0,520.0,85.0,45.0,211.0,644.0,205.0,118.0,28.0,143.0,75.0,72.0,172.0,71.0,226.0,95.0,98.0,366.0,153.0,24.0,9.0,8.0,10.0,,22.0,14.0,21.0,16.0,,11.0,10.0,39.0,150.0,3.0,,6.0,8.0,17.0,11.0,4.0,2.0,64.0,78.0,27.0,27.0,53.0,13.0,14.0,,,2.0,4.0,11.0,17.0,4.0,4.0,1.0,9.0,50.0,,1.0,5.0,2.0,1.0,8.0,11.0,16.0,4.0,4.0,10.0,14.0,6.0,2.0,,8.0,1.0,23.0,,,,7.0,7.0,,1.0,3.0,6.0,,,3.0,5.0,25.0,22.0,,4.0,,,,,,,1.0,14.0,6.0,7.0,4.0,,,,4.0,,3.0,1.0,4.0,,2.0,1.0,,,,,,8.0,5.0,,,2.0,32.0,3.0,,7.0,,16.0,6.0,,4.0,,,3.0,,,,,3.0,,8.0,3.0,11.0,,5.0,,14.0,5.0,,,,,,,,2.0,,3.0,2.0,,,4.0,,,,,,2.0,9.0,,,,,,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
