,71,36,31,173,190,1821,20,30,120,51,10,70,1822,81,90,45,231,1241,111,841,130,172,42,831,100,13,110,12,46,112,33,234,1712,43,40,52,192,15,25,141,37,60,181,55,80,84,113,50,61,180,191,14,174,1823,21,139,57,35,26,211,23,1124,19,41,74,1041,114,125,154,186,871,18,44,874,160,17,128,193,138,182,151,72,124,171,1121,91,1123,11,56,73,163,166,162,75,161,22,233,131,241,833,1721,16,1711,194,140,127,353,53,64,115,122,129,1383,214,1246,842,54,63,254,145,164,87,152,331,134,150,137,311,83,213,195,107,170,32,101,356,144,175,93,1233,1043,1311,256,27,1722,1411,85,143,1723,24,1014,242,39,1056,332,133,62,153,862,38,834,1243,183,106,1312,1053,811,341,1384,82,1031,312,1832,28,873,1831,1724,1662,334,232,202,253,86,1413,142,1231,116,196,203,121,212,34,861,314,92,1033,1122,1044,184,333,1244,1622,251,351,1313,105,863,1621,185,1054,123,102,1125,344,243,872,1013,1211,244
nan,4097.0,7846.0,662.0,6151.0,6679.0,339.0,12873.0,2998.0,3978.0,10329.0,16098.0,2304.0,155.0,650.0,4375.0,266.0,177.0,50.0,3465.0,871.0,2073.0,2271.0,11930.0,614.0,2138.0,3446.0,4121.0,3683.0,5264.0,3966.0,480.0,89.0,317.0,11051.0,11031.0,217.0,968.0,1048.0,194.0,1362.0,66.0,2956.0,331.0,213.0,1975.0,2340.0,63.0,1653.0,865.0,1539.0,175.0,1873.0,218.0,80.0,42.0,102.0,1509.0,236.0,590.0,30.0,390.0,172.0,51.0,308.0,30.0,56.0,1192.0,373.0,225.0,202.0,66.0,321.0,136.0,676.0,949.0,981.0,387.0,2560.0,384.0,313.0,36.0,358.0,196.0,116.0,70.0,87.0,143.0,519.0,53.0,877.0,246.0,66.0,154.0,134.0,122.0,255.0,84.0,68.0,85.0,167.0,145.0,587.0,95.0,75.0,142.0,82.0,256.0,59.0,122.0,209.0,55.0,214.0,20.0,249.0,12.0,53.0,75.0,39.0,3.0,125.0,106.0,12.0,30.0,175.0,24.0,156.0,8.0,388.0,117.0,17.0,125.0,2.0,123.0,140.0,59.0,56.0,47.0,114.0,14.0,25.0,75.0,13.0,6.0,57.0,14.0,11.0,50.0,98.0,36.0,16.0,135.0,11.0,8.0,16.0,66.0,42.0,274.0,43.0,26.0,3.0,14.0,75.0,39.0,7.0,59.0,68.0,10.0,18.0,54.0,21.0,12.0,16.0,19.0,41.0,29.0,15.0,21.0,2.0,18.0,7.0,25.0,32.0,2.0,3.0,17.0,7.0,8.0,9.0,50.0,12.0,4.0,11.0,6.0,2.0,3.0,3.0,20.0,11.0,2.0,28.0,3.0,2.0,1.0,3.0,6.0,2.0,1.0,5.0,10.0,1.0,2.0,2.0,8.0,4.0,4.0,1.0,1.0,,
USA,1366.0,2576.0,206.0,2352.0,2212.0,109.0,3634.0,822.0,983.0,3246.0,4542.0,885.0,29.0,310.0,1443.0,98.0,74.0,18.0,1005.0,178.0,591.0,818.0,4400.0,114.0,537.0,1487.0,1026.0,893.0,2070.0,1582.0,170.0,11.0,63.0,4205.0,3380.0,61.0,320.0,384.0,65.0,313.0,9.0,908.0,102.0,66.0,505.0,777.0,17.0,385.0,293.0,561.0,40.0,561.0,117.0,11.0,17.0,26.0,527.0,59.0,131.0,6.0,99.0,53.0,15.0,80.0,14.0,12.0,382.0,98.0,53.0,58.0,15.0,54.0,58.0,249.0,372.0,306.0,76.0,1018.0,121.0,125.0,5.0,65.0,77.0,36.0,31.0,31.0,41.0,185.0,10.0,202.0,81.0,24.0,102.0,66.0,41.0,75.0,49.0,46.0,58.0,54.0,28.0,220.0,11.0,17.0,24.0,8.0,70.0,25.0,50.0,82.0,6.0,92.0,3.0,93.0,,31.0,17.0,9.0,7.0,13.0,41.0,1.0,11.0,39.0,13.0,21.0,,86.0,41.0,11.0,20.0,,12.0,26.0,10.0,5.0,8.0,10.0,5.0,11.0,11.0,7.0,,8.0,1.0,,18.0,12.0,14.0,3.0,29.0,,,2.0,10.0,10.0,71.0,1.0,8.0,,4.0,15.0,8.0,4.0,41.0,12.0,4.0,2.0,5.0,1.0,3.0,5.0,,3.0,1.0,3.0,9.0,,1.0,1.0,5.0,5.0,,,5.0,3.0,3.0,,,2.0,,,,,,,,,,7.0,1.0,,,,,,,1.0,3.0,,,,,2.0,,,1.0,,
AUS,112.0,188.0,12.0,178.0,151.0,6.0,239.0,48.0,57.0,219.0,381.0,49.0,,2.0,45.0,5.0,2.0,,86.0,16.0,42.0,48.0,396.0,6.0,22.0,99.0,48.0,67.0,131.0,55.0,7.0,,10.0,376.0,182.0,1.0,30.0,55.0,1.0,14.0,,47.0,2.0,2.0,47.0,23.0,,28.0,39.0,27.0,,36.0,14.0,,1.0,,22.0,5.0,15.0,,12.0,,,,,1.0,18.0,1.0,6.0,8.0,,20.0,,16.0,6.0,26.0,8.0,83.0,8.0,5.0,,6.0,5.0,4.0,1.0,,,8.0,,20.0,,,,4.0,,5.0,1.0,,,,1.0,8.0,,,2.0,,4.0,,5.0,,2.0,,,,,,1.0,,,,1.0,,,3.0,,,2.0,9.0,1.0,,1.0,,1.0,6.0,,,,,,,,,,3.0,,,,1.0,,3.0,6.0,,,,1.0,,12.0,2.0,,,,1.0,,,,,,,,1.0,,,,1.0,2.0,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,77.0,245.0,8.0,154.0,168.0,9.0,286.0,94.0,121.0,260.0,347.0,48.0,8.0,3.0,112.0,1.0,,,97.0,23.0,85.0,73.0,508.0,5.0,65.0,132.0,126.0,123.0,291.0,115.0,11.0,7.0,4.0,470.0,378.0,6.0,9.0,9.0,7.0,74.0,2.0,91.0,18.0,14.0,62.0,43.0,2.0,124.0,250.0,8.0,3.0,37.0,10.0,1.0,,,265.0,7.0,16.0,3.0,5.0,,6.0,3.0,7.0,,23.0,12.0,25.0,10.0,,11.0,19.0,5.0,10.0,60.0,5.0,35.0,17.0,11.0,1.0,27.0,1.0,1.0,,,,13.0,,16.0,32.0,3.0,,2.0,7.0,1.0,,,,,12.0,9.0,7.0,,2.0,,5.0,8.0,,6.0,,7.0,,,,,8.0,2.0,,,5.0,,,3.0,,5.0,,43.0,,,,,8.0,,6.0,1.0,,,,,,,,2.0,2.0,,4.0,,4.0,,,,3.0,,6.0,,7.0,,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,2.0,
NZL,26.0,66.0,2.0,40.0,70.0,1.0,109.0,24.0,25.0,70.0,66.0,17.0,,5.0,11.0,2.0,1.0,,54.0,4.0,8.0,51.0,144.0,7.0,17.0,46.0,52.0,19.0,69.0,31.0,1.0,,,146.0,110.0,4.0,5.0,13.0,6.0,6.0,,14.0,,2.0,24.0,,,10.0,6.0,3.0,4.0,31.0,,1.0,,,6.0,1.0,4.0,2.0,2.0,,4.0,,,,10.0,1.0,,2.0,,7.0,,5.0,,7.0,6.0,94.0,10.0,2.0,,1.0,,1.0,,5.0,,1.0,,1.0,,3.0,,3.0,,3.0,,1.0,,,2.0,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,21.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,48.0,48.0,31.0,41.0,247.0,,91.0,49.0,35.0,98.0,117.0,35.0,1.0,7.0,45.0,5.0,,,39.0,16.0,9.0,10.0,94.0,,12.0,28.0,11.0,27.0,56.0,59.0,2.0,2.0,6.0,99.0,83.0,,4.0,10.0,2.0,11.0,,26.0,,,14.0,15.0,3.0,27.0,48.0,5.0,2.0,5.0,,,,,42.0,2.0,8.0,,3.0,8.0,,8.0,,,45.0,2.0,5.0,23.0,,8.0,6.0,7.0,5.0,9.0,,4.0,6.0,1.0,,12.0,,,,,2.0,6.0,2.0,6.0,14.0,,,3.0,10.0,,,,,,,16.0,,3.0,3.0,5.0,2.0,,,,,,,3.0,,17.0,,,,,,,,1.0,,3.0,,3.0,,,,,2.0,2.0,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
VCT,1.0,3.0,,,,,,,2.0,3.0,2.0,2.0,,,3.0,,,,,,,,9.0,,,,,1.0,,,,,,9.0,12.0,1.0,,,,,,3.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,1.0,13.0,,31.0,37.0,2.0,41.0,5.0,1.0,66.0,35.0,5.0,,6.0,8.0,1.0,,,7.0,22.0,2.0,3.0,63.0,5.0,2.0,17.0,9.0,6.0,8.0,16.0,,,2.0,56.0,26.0,,,1.0,,5.0,,9.0,,,4.0,14.0,11.0,,14.0,1.0,,2.0,,,,,,,,,,,,,,,2.0,,,2.0,,,,,3.0,2.0,,1.0,8.0,3.0,,,2.0,,,,,4.0,,2.0,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,73.0,228.0,7.0,18.0,32.0,2.0,215.0,90.0,75.0,143.0,188.0,32.0,,,43.0,20.0,2.0,1.0,70.0,18.0,37.0,21.0,233.0,15.0,48.0,62.0,56.0,146.0,110.0,20.0,4.0,3.0,2.0,204.0,197.0,1.0,9.0,5.0,4.0,13.0,6.0,21.0,13.0,1.0,45.0,14.0,,125.0,50.0,,2.0,40.0,3.0,,,2.0,64.0,4.0,5.0,3.0,,1.0,,2.0,,,8.0,4.0,3.0,,,3.0,3.0,18.0,25.0,5.0,,3.0,8.0,,,2.0,,5.0,,2.0,,2.0,,6.0,8.0,,,6.0,2.0,3.0,3.0,,,3.0,,2.0,,,,4.0,3.0,2.0,,,,6.0,,2.0,1.0,,3.0,,,,3.0,,,1.0,,1.0,,14.0,,,,,2.0,3.0,,8.0,,,,,3.0,,1.0,2.0,,,5.0,,,1.0,,,,,,,9.0,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
