,172,84,42,14,173,193,43,10,57,81,130,214,71,51,40,1721,190,46,874,111,124,36,20,112,180,45,60,100,114,30,73,141,128,23,841,12,80,50,17,90,110,1124,192,120,15,145,233,1712,16,13,160,70,231,41,1821,64,353,175,33,181,11,153,122,26,831,1043,151,25,27,171,18,186,144,234,143,83,194,195,833,131,142,241,140,19,163,138,31,1243,1383,139,203,75,1053,22,54,1823,311,1123,52,134,191,152,1711,182,161,55,150,1831,72,61,1044,125,162,213,174,1384,842,356,44,133,332,63,105,331,253,28,1246,154,37,164,127,1056,82,113,211,115,56,1723,129,333,170,1014,35,1121,1822,91,32,74,62,1233,183,1312,1041,1241,1411,166,813,123,871,202,334,811,1244,87,312,53,1013,1122,39,1621,1722,102,256,21,1724,85,106,34,862,101,86,94,121,834,38,24,861,872,1311,873,1313,1125,254,232,196,137
nan,834.0,1013.0,7263.0,1098.0,3215.0,1565.0,6825.0,8991.0,588.0,210.0,1081.0,138.0,1594.0,6078.0,5852.0,101.0,4002.0,2558.0,336.0,2141.0,68.0,4012.0,6918.0,2133.0,763.0,133.0,1417.0,1169.0,579.0,1363.0,525.0,710.0,201.0,169.0,567.0,1977.0,1183.0,840.0,659.0,2028.0,2262.0,81.0,559.0,2091.0,400.0,107.0,79.0,234.0,287.0,1825.0,486.0,1222.0,160.0,99.0,202.0,63.0,171.0,96.0,180.0,384.0,233.0,50.0,15.0,318.0,280.0,48.0,15.0,112.0,25.0,37.0,218.0,79.0,17.0,60.0,84.0,37.0,91.0,191.0,84.0,46.0,12.0,56.0,111.0,21.0,133.0,272.0,203.0,31.0,20.0,54.0,28.0,103.0,44.0,165.0,31.0,35.0,134.0,132.0,136.0,13.0,76.0,23.0,34.0,208.0,79.0,108.0,62.0,47.0,247.0,320.0,11.0,206.0,43.0,23.0,206.0,36.0,45.0,35.0,109.0,16.0,27.0,27.0,4.0,74.0,27.0,17.0,15.0,138.0,56.0,60.0,21.0,7.0,23.0,33.0,18.0,94.0,62.0,28.0,59.0,30.0,71.0,123.0,82.0,40.0,61.0,24.0,69.0,18.0,156.0,13.0,30.0,27.0,33.0,13.0,8.0,5.0,28.0,6.0,27.0,40.0,24.0,2.0,12.0,11.0,5.0,37.0,6.0,6.0,5.0,1.0,12.0,1.0,21.0,6.0,15.0,13.0,9.0,2.0,1.0,10.0,4.0,10.0,9.0,1.0,2.0,13.0,1.0,2.0,6.0,1.0,4.0,3.0,1.0,4.0,,
CAN,30.0,11.0,202.0,12.0,30.0,24.0,209.0,166.0,19.0,4.0,43.0,1.0,28.0,110.0,127.0,,69.0,55.0,6.0,55.0,6.0,43.0,127.0,26.0,9.0,1.0,15.0,10.0,9.0,48.0,8.0,16.0,3.0,,7.0,39.0,35.0,54.0,12.0,14.0,40.0,2.0,25.0,22.0,2.0,,1.0,4.0,,28.0,4.0,22.0,,,,1.0,,,7.0,6.0,3.0,1.0,,6.0,,,,1.0,,,2.0,5.0,,,,,,,,,,,,3.0,,3.0,5.0,,,,2.0,7.0,,1.0,,,1.0,,,,1.0,,,10.0,,7.0,,,,22.0,,1.0,14.0,,2.0,,,,2.0,3.0,,1.0,,2.0,,,,3.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
HND,,8.0,15.0,,12.0,,14.0,9.0,,,,,,,3.0,,,,,2.0,,,3.0,,,,,,,,,,,,,5.0,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,2.0,1.0,34.0,4.0,4.0,,33.0,9.0,6.0,,2.0,,6.0,17.0,22.0,2.0,5.0,7.0,,1.0,,15.0,6.0,2.0,3.0,,1.0,1.0,,6.0,3.0,,1.0,,1.0,3.0,3.0,1.0,2.0,5.0,4.0,,,4.0,,,,,,,,6.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,302.0,361.0,2533.0,212.0,1090.0,605.0,2410.0,2302.0,175.0,77.0,273.0,19.0,467.0,1644.0,1643.0,30.0,1041.0,823.0,115.0,520.0,22.0,1072.0,1878.0,629.0,212.0,58.0,439.0,275.0,117.0,324.0,91.0,146.0,56.0,46.0,75.0,407.0,321.0,259.0,144.0,576.0,551.0,25.0,182.0,479.0,136.0,8.0,21.0,48.0,65.0,827.0,199.0,457.0,55.0,29.0,33.0,23.0,41.0,11.0,36.0,28.0,75.0,,6.0,71.0,13.0,8.0,4.0,16.0,2.0,20.0,23.0,27.0,3.0,9.0,12.0,16.0,18.0,58.0,8.0,10.0,,13.0,15.0,5.0,67.0,66.0,73.0,6.0,7.0,28.0,1.0,43.0,11.0,47.0,,11.0,33.0,55.0,37.0,4.0,14.0,4.0,7.0,65.0,26.0,42.0,17.0,,35.0,79.0,4.0,23.0,36.0,5.0,85.0,8.0,10.0,3.0,21.0,6.0,6.0,11.0,,32.0,1.0,,,36.0,5.0,20.0,7.0,,1.0,6.0,5.0,38.0,6.0,3.0,25.0,7.0,4.0,17.0,25.0,2.0,19.0,8.0,15.0,3.0,42.0,,3.0,4.0,3.0,1.0,,4.0,,,16.0,9.0,5.0,,2.0,6.0,6.0,17.0,,,,,2.0,,1.0,13.0,5.0,8.0,,2.0,1.0,,2.0,6.0,15.0,3.0,1.0,1.0,,,,,2.0,,,,,
AUS,24.0,23.0,215.0,10.0,134.0,110.0,194.0,188.0,16.0,4.0,21.0,,43.0,118.0,104.0,,99.0,30.0,7.0,36.0,1.0,106.0,158.0,61.0,21.0,3.0,22.0,46.0,6.0,31.0,3.0,11.0,10.0,10.0,6.0,31.0,19.0,34.0,14.0,43.0,26.0,11.0,15.0,36.0,10.0,,7.0,11.0,7.0,62.0,2.0,14.0,3.0,4.0,9.0,3.0,2.0,,2.0,8.0,1.0,,,7.0,2.0,,,1.0,,3.0,2.0,,,1.0,,1.0,,9.0,,1.0,,4.0,,,,5.0,12.0,1.0,,,,7.0,,2.0,,2.0,6.0,1.0,8.0,,,,,4.0,,1.0,,,1.0,14.0,,,,,46.0,,,,4.0,,,5.0,,6.0,3.0,2.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
CHN,28.0,5.0,270.0,12.0,48.0,3.0,258.0,200.0,100.0,4.0,50.0,5.0,65.0,184.0,155.0,1.0,55.0,139.0,6.0,54.0,2.0,203.0,143.0,43.0,,5.0,23.0,26.0,7.0,75.0,5.0,12.0,10.0,,3.0,53.0,17.0,116.0,25.0,28.0,38.0,,13.0,33.0,13.0,,,2.0,5.0,52.0,3.0,27.0,,,4.0,,,,,2.0,,,2.0,15.0,2.0,,,18.0,,,1.0,4.0,,,,,,1.0,,,,,,4.0,8.0,1.0,20.0,,,,,,,6.0,,,26.0,,3.0,,,,,4.0,,3.0,,,,59.0,,,1.0,2.0,,,,,11.0,,1.0,3.0,,3.0,3.0,,,5.0,,11.0,,,,,6.0,3.0,2.0,1.0,3.0,,2.0,6.0,1.0,,,,,3.0,12.0,,,2.0,1.0,,,,,2.0,,,1.0,1.0,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,
IND,12.0,22.0,184.0,25.0,79.0,19.0,158.0,137.0,8.0,14.0,16.0,,7.0,85.0,82.0,,76.0,64.0,2.0,62.0,2.0,73.0,107.0,60.0,9.0,,19.0,11.0,10.0,16.0,3.0,17.0,3.0,1.0,3.0,18.0,6.0,12.0,62.0,44.0,96.0,2.0,1.0,38.0,1.0,1.0,,4.0,2.0,28.0,14.0,4.0,3.0,,9.0,1.0,,6.0,,5.0,2.0,,,8.0,15.0,1.0,,1.0,,,1.0,,,2.0,1.0,,3.0,1.0,,1.0,,,,,5.0,2.0,4.0,1.0,,2.0,,,,4.0,,1.0,,1.0,1.0,,4.0,1.0,2.0,5.0,,,1.0,2.0,2.0,,,6.0,,,5.0,,3.0,,2.0,,,,,1.0,,,,3.0,5.0,,2.0,,4.0,,,,,1.0,,,,23.0,1.0,7.0,2.0,,,,2.0,,,2.0,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ALB,,3.0,3.0,,1.0,,3.0,6.0,,,,,,1.0,,,7.0,2.0,,3.0,,2.0,1.0,1.0,,,,2.0,,,3.0,4.0,,,,,,,,,4.0,,,,,2.0,,,,3.0,,7.0,,,,,,1.0,,,,,,,9.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
