,30,61,17,51,42,40,84,192,12,43,173,186,15,193,36,83,46,129,130,180,80,112,181,71,111,20,52,100,10,874,57,1821,841,128,45,190,191,31,14,33,25,13,110,1123,60,120,63,1124,231,90,70,50,172,1411,16,311,333,1043,1712,11,831,91,162,124,174,214,73,833,1121,1383,143,72,141,182,160,81,26,56,114,134,152,241,18,331,55,122,23,353,195,334,125,1721,138,44,145,312,154,144,253,194,21,341,39,53,74,871,115,1723,136,133,164,140,213,41,19,1823,153,32,54,1711,175,183,834,1384,1014,127,62,161,163,1233,842,171,356,256,1822,22,86,139,332,1042,142,27,170,101,131,150,37,106,1053,1243,75,233,862,35,1312,812,64,1241,1044,1244,1246,1313,113,102,151,166,1056,211,1031,234,87,344,1724,1831,243,873,1122,185,232,94,28,1041,255,121,82,116,203,1621,1012,1013,202,1832,107,123,85,1722,132,93,1232,196,254,314,105,24,861,1623,34,38,244,1125,242,201,137,872,811,1211,92
nan,3069.0,698.0,1008.0,11462.0,13254.0,11255.0,2136.0,832.0,3720.0,12368.0,6648.0,228.0,948.0,3209.0,8211.0,118.0,5643.0,689.0,2167.0,1606.0,2199.0,4310.0,248.0,3780.0,3810.0,13242.0,238.0,2253.0,16780.0,627.0,1380.0,418.0,1023.0,513.0,316.0,7057.0,188.0,584.0,2165.0,623.0,231.0,3588.0,4224.0,218.0,2878.0,3926.0,48.0,191.0,289.0,4693.0,2568.0,1641.0,2148.0,7.0,592.0,345.0,47.0,77.0,436.0,494.0,508.0,94.0,55.0,165.0,261.0,302.0,821.0,156.0,99.0,73.0,172.0,284.0,1364.0,343.0,1145.0,619.0,583.0,81.0,1217.0,59.0,84.0,60.0,416.0,274.0,197.0,72.0,308.0,267.0,157.0,19.0,293.0,244.0,468.0,172.0,76.0,7.0,295.0,40.0,46.0,121.0,43.0,5.0,22.0,75.0,45.0,93.0,300.0,51.0,1.0,39.0,111.0,203.0,53.0,211.0,28.0,41.0,63.0,151.0,63.0,104.0,96.0,28.0,16.0,60.0,107.0,71.0,275.0,116.0,248.0,16.0,83.0,85.0,66.0,48.0,138.0,266.0,18.0,84.0,65.0,6.0,30.0,83.0,129.0,44.0,77.0,150.0,112.0,9.0,87.0,52.0,151.0,139.0,12.0,141.0,42.0,2.0,109.0,45.0,25.0,4.0,10.0,13.0,38.0,3.0,28.0,14.0,27.0,54.0,10.0,114.0,11.0,4.0,46.0,11.0,5.0,15.0,7.0,2.0,25.0,22.0,16.0,47.0,5.0,3.0,57.0,2.0,38.0,2.0,24.0,4.0,37.0,11.0,2.0,8.0,20.0,8.0,1.0,21.0,2.0,6.0,1.0,2.0,13.0,15.0,4.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,,,
USA,901.0,244.0,273.0,3649.0,5051.0,3747.0,758.0,304.0,960.0,4817.0,2625.0,43.0,452.0,1228.0,2625.0,23.0,1999.0,296.0,752.0,589.0,649.0,1501.0,76.0,1323.0,936.0,3749.0,79.0,516.0,4727.0,210.0,385.0,171.0,223.0,90.0,87.0,2103.0,44.0,217.0,625.0,235.0,46.0,1648.0,1108.0,96.0,896.0,976.0,15.0,61.0,107.0,1587.0,943.0,438.0,683.0,,191.0,76.0,3.0,12.0,129.0,180.0,105.0,15.0,26.0,57.0,105.0,105.0,218.0,74.0,36.0,21.0,32.0,59.0,279.0,116.0,327.0,288.0,152.0,16.0,234.0,33.0,49.0,23.0,102.0,64.0,54.0,26.0,84.0,78.0,24.0,,61.0,56.0,106.0,81.0,3.0,2.0,57.0,15.0,7.0,6.0,12.0,1.0,3.0,33.0,15.0,41.0,182.0,14.0,1.0,5.0,37.0,25.0,14.0,41.0,9.0,15.0,2.0,47.0,24.0,25.0,9.0,2.0,,11.0,18.0,27.0,82.0,48.0,138.0,2.0,22.0,14.0,18.0,9.0,40.0,79.0,4.0,14.0,9.0,4.0,11.0,5.0,36.0,4.0,32.0,38.0,23.0,3.0,9.0,26.0,53.0,23.0,2.0,45.0,9.0,,29.0,29.0,1.0,7.0,,4.0,9.0,,2.0,13.0,4.0,5.0,1.0,5.0,4.0,,17.0,,,2.0,7.0,1.0,8.0,8.0,6.0,3.0,,3.0,1.0,,5.0,,24.0,2.0,20.0,2.0,,,16.0,2.0,2.0,,,,,,,3.0,,,,3.0,,,1.0,,1.0,1.0,,,
CAN,89.0,52.0,29.0,397.0,361.0,376.0,66.0,34.0,106.0,339.0,129.0,8.0,23.0,67.0,154.0,1.0,171.0,,103.0,23.0,38.0,74.0,5.0,117.0,103.0,307.0,2.0,37.0,425.0,1.0,31.0,2.0,21.0,13.0,6.0,134.0,,11.0,61.0,15.0,3.0,93.0,108.0,1.0,60.0,48.0,7.0,3.0,13.0,78.0,59.0,27.0,42.0,,17.0,11.0,,,3.0,16.0,14.0,4.0,4.0,10.0,1.0,1.0,9.0,6.0,,,,1.0,17.0,9.0,9.0,17.0,15.0,,18.0,,,8.0,10.0,10.0,3.0,1.0,7.0,4.0,1.0,9.0,5.0,7.0,30.0,3.0,,,3.0,,,,9.0,,1.0,,,,7.0,1.0,,2.0,,,,10.0,1.0,,,14.0,,,,,,,,,16.0,,12.0,,6.0,,,,3.0,7.0,,,1.0,,,1.0,4.0,,1.0,5.0,,,,4.0,35.0,4.0,,,,,1.0,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
SAU,33.0,17.0,3.0,246.0,224.0,139.0,14.0,2.0,34.0,196.0,46.0,9.0,2.0,9.0,91.0,,75.0,143.0,14.0,1.0,17.0,48.0,,12.0,90.0,99.0,3.0,24.0,108.0,12.0,39.0,2.0,7.0,6.0,3.0,221.0,,4.0,10.0,9.0,1.0,43.0,39.0,5.0,95.0,16.0,4.0,2.0,,13.0,17.0,37.0,5.0,,11.0,15.0,2.0,,,4.0,2.0,,,,2.0,,4.0,,,,,5.0,17.0,5.0,3.0,4.0,2.0,,1.0,,,,2.0,2.0,,,5.0,2.0,6.0,,2.0,,5.0,6.0,1.0,,3.0,,2.0,12.0,1.0,,2.0,,,,,,,,,,,22.0,,18.0,,7.0,1.0,,,,,,,5.0,,14.0,7.0,,,,2.0,1.0,8.0,3.0,,,2.0,,3.0,,15.0,,4.0,1.0,2.0,,4.0,4.0,8.0,4.0,,8.0,,,4.0,,,,,,,,,,1.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,6.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,
CUB,23.0,8.0,5.0,116.0,63.0,23.0,,4.0,66.0,62.0,23.0,,,7.0,28.0,,9.0,,37.0,,13.0,35.0,11.0,4.0,58.0,34.0,5.0,9.0,54.0,,3.0,,10.0,6.0,,8.0,3.0,,14.0,2.0,,11.0,55.0,3.0,8.0,12.0,,,,6.0,11.0,17.0,15.0,,,,,,,5.0,,,3.0,6.0,,,,7.0,,,,9.0,10.0,,26.0,21.0,,,1.0,,,,,8.0,,,,,,7.0,,,1.0,1.0,,,8.0,,,1.0,16.0,,,,,,9.0,,,,,,,,,,,,,45.0,,,,,,,,1.0,28.0,,,,,,1.0,2.0,,,,,,,15.0,,2.0,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,121.0,78.0,54.0,506.0,746.0,438.0,59.0,39.0,136.0,685.0,371.0,4.0,17.0,87.0,393.0,,245.0,5.0,78.0,43.0,79.0,142.0,6.0,153.0,169.0,493.0,14.0,63.0,601.0,22.0,116.0,7.0,50.0,34.0,16.0,277.0,18.0,25.0,59.0,22.0,10.0,208.0,136.0,7.0,100.0,114.0,8.0,3.0,8.0,143.0,58.0,76.0,105.0,,36.0,14.0,,3.0,21.0,6.0,22.0,4.0,1.0,,42.0,5.0,26.0,1.0,,,1.0,8.0,82.0,19.0,28.0,9.0,25.0,1.0,37.0,,2.0,5.0,20.0,5.0,20.0,2.0,24.0,7.0,3.0,,4.0,6.0,15.0,7.0,1.0,,4.0,4.0,1.0,12.0,,,,1.0,1.0,,3.0,3.0,,2.0,7.0,30.0,6.0,4.0,2.0,,1.0,3.0,,1.0,12.0,3.0,,2.0,4.0,7.0,17.0,15.0,10.0,4.0,,4.0,1.0,3.0,7.0,11.0,,1.0,2.0,,,1.0,4.0,,2.0,7.0,,,,2.0,29.0,14.0,2.0,3.0,1.0,,,,,,,,5.0,,,,4.0,,,,,,,,,,,,,2.0,,2.0,,,4.0,,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,
MKD,2.0,,,1.0,15.0,8.0,,,2.0,15.0,2.0,,,,4.0,,9.0,,,,3.0,1.0,,1.0,,1.0,,4.0,6.0,,,,3.0,1.0,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,12.0,,6.0,9.0,6.0,24.0,,,2.0,6.0,4.0,,,,,,22.0,,1.0,,3.0,,,,,1.0,5.0,8.0,4.0,,3.0,,,,,,,,1.0,,,3.0,,,,1.0,,,,1.0,4.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,2.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,32.0,15.0,6.0,32.0,83.0,144.0,16.0,1.0,12.0,75.0,12.0,,,7.0,88.0,,67.0,,5.0,6.0,8.0,8.0,,4.0,27.0,37.0,,5.0,74.0,,43.0,3.0,1.0,2.0,4.0,25.0,3.0,3.0,14.0,2.0,,13.0,19.0,,8.0,12.0,,,,21.0,12.0,51.0,13.0,,,2.0,,,,,,,,,,,4.0,,,,,,1.0,4.0,1.0,,9.0,1.0,4.0,,,,5.0,1.0,,,,3.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,3.0,,,,,,1.0,,,,1.0,,,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
