,112,172,190,180,14,193,31,30,71,51,1712,20,43,42,61,84,173,41,60,36,46,100,130,40,52,10,841,12,1123,120,874,174,13,353,57,80,1383,45,90,111,114,1014,83,70,73,192,26,141,11,50,231,1724,181,128,214,91,160,1723,93,186,834,1821,35,15,55,64,110,1823,161,1044,18,32,831,124,163,182,162,312,170,17,194,234,72,143,154,25,1121,81,125,33,16,27,56,1124,82,62,22,1711,1312,311,145,138,833,44,183,1721,150,1053,1831,175,331,129,23,195,1243,54,241,164,140,86,139,1822,1013,53,1041,232,122,191,1246,166,356,153,21,332,151,233,871,37,127,1832,115,256,19,121,213,862,202,144,171,341,75,842,334,1241,105,113,116,133,134,196,1722,131,63,1043,101,253,152,92,39,107,28,1621,1384,351,38,123,24,1313,203,811,1122,333,1233,211,813,1412,243,85,106,34,1244,74,142,87,344,102,1211,1031,1056,242,94,873,137,1411,1311,185,1622,1125,313
nan,3397.0,1625.0,7353.0,1340.0,1732.0,3530.0,466.0,2437.0,2948.0,10106.0,331.0,11231.0,11094.0,11893.0,804.0,1802.0,5947.0,210.0,2504.0,6615.0,4817.0,1775.0,1676.0,9450.0,212.0,14401.0,943.0,2985.0,214.0,3366.0,488.0,147.0,2886.0,234.0,1487.0,1792.0,50.0,305.0,3970.0,3200.0,1223.0,134.0,41.0,1954.0,720.0,764.0,544.0,1187.0,494.0,1479.0,170.0,42.0,396.0,421.0,186.0,46.0,803.0,73.0,12.0,179.0,8.0,336.0,185.0,903.0,223.0,58.0,3311.0,131.0,126.0,11.0,446.0,119.0,537.0,138.0,291.0,363.0,36.0,13.0,111.0,955.0,186.0,79.0,342.0,158.0,305.0,201.0,68.0,356.0,292.0,344.0,448.0,65.0,65.0,192.0,45.0,235.0,225.0,64.0,24.0,279.0,89.0,578.0,104.0,128.0,66.0,145.0,179.0,37.0,109.0,106.0,167.0,166.0,284.0,155.0,35.0,44.0,67.0,128.0,116.0,23.0,70.0,90.0,5.0,61.0,39.0,15.0,75.0,123.0,11.0,27.0,53.0,70.0,53.0,95.0,18.0,71.0,88.0,82.0,45.0,11.0,251.0,17.0,25.0,19.0,16.0,12.0,29.0,29.0,95.0,6.0,120.0,63.0,20.0,50.0,1.0,58.0,2.0,66.0,44.0,10.0,27.0,46.0,19.0,70.0,55.0,42.0,54.0,6.0,11.0,1.0,50.0,3.0,49.0,1.0,9.0,3.0,10.0,10.0,9.0,8.0,8.0,20.0,6.0,35.0,15.0,1.0,2.0,31.0,13.0,14.0,3.0,23.0,30.0,9.0,3.0,5.0,1.0,1.0,2.0,7.0,7.0,10.0,4.0,5.0,4.0,1.0,,,
USA,1035.0,444.0,2028.0,395.0,417.0,1630.0,150.0,590.0,820.0,3025.0,58.0,2977.0,4110.0,4253.0,284.0,565.0,2031.0,104.0,669.0,2030.0,1662.0,327.0,356.0,2851.0,74.0,3754.0,153.0,653.0,93.0,682.0,238.0,34.0,1270.0,73.0,411.0,391.0,9.0,103.0,1194.0,970.0,223.0,13.0,20.0,714.0,205.0,250.0,118.0,275.0,121.0,347.0,48.0,14.0,67.0,84.0,54.0,10.0,215.0,23.0,11.0,65.0,2.0,83.0,74.0,334.0,83.0,22.0,736.0,12.0,48.0,2.0,182.0,24.0,98.0,57.0,107.0,173.0,4.0,,13.0,279.0,54.0,11.0,75.0,16.0,45.0,43.0,20.0,147.0,65.0,95.0,168.0,1.0,13.0,58.0,8.0,45.0,59.0,8.0,11.0,84.0,1.0,127.0,23.0,44.0,14.0,18.0,28.0,12.0,,,37.0,105.0,69.0,38.0,8.0,8.0,13.0,40.0,9.0,3.0,15.0,13.0,,21.0,3.0,11.0,25.0,17.0,5.0,8.0,14.0,3.0,10.0,17.0,4.0,13.0,16.0,28.0,13.0,,106.0,,7.0,3.0,6.0,3.0,14.0,4.0,32.0,,45.0,8.0,7.0,35.0,,11.0,,13.0,16.0,,4.0,22.0,15.0,15.0,19.0,1.0,4.0,1.0,,,10.0,,5.0,,,,2.0,1.0,,6.0,,7.0,1.0,3.0,,1.0,,11.0,1.0,,2.0,8.0,,,,1.0,,1.0,,2.0,2.0,,,,,2.0,,,
EUR,22.0,21.0,16.0,2.0,18.0,4.0,5.0,62.0,55.0,115.0,,168.0,142.0,146.0,53.0,17.0,6.0,2.0,23.0,98.0,58.0,21.0,19.0,98.0,10.0,124.0,6.0,48.0,,52.0,10.0,1.0,39.0,1.0,28.0,28.0,,5.0,34.0,45.0,7.0,,,35.0,2.0,7.0,4.0,14.0,,29.0,,,,9.0,1.0,1.0,10.0,,1.0,,,,5.0,9.0,3.0,,52.0,,2.0,,,2.0,9.0,,4.0,3.0,,,1.0,10.0,,,2.0,1.0,,3.0,,4.0,3.0,4.0,1.0,,,2.0,,,1.0,,1.0,4.0,,3.0,,5.0,,1.0,2.0,,,,4.0,2.0,1.0,1.0,,4.0,1.0,,,,1.0,,,,1.0,,1.0,,,,2.0,,,,,2.0,,,1.0,2.0,1.0,,,,,,,,,,9.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,1.0,,
IND,84.0,20.0,175.0,18.0,88.0,16.0,5.0,26.0,12.0,111.0,20.0,109.0,225.0,229.0,7.0,11.0,123.0,2.0,15.0,109.0,82.0,32.0,40.0,110.0,4.0,158.0,17.0,24.0,5.0,43.0,8.0,1.0,26.0,,2.0,28.0,,1.0,29.0,82.0,43.0,1.0,,10.0,4.0,4.0,2.0,24.0,,6.0,,,,4.0,2.0,,19.0,,,4.0,,9.0,2.0,4.0,,,157.0,1.0,,,5.0,,6.0,,10.0,7.0,,,,18.0,,,2.0,13.0,15.0,,2.0,5.0,,,3.0,,,,,3.0,,,,4.0,7.0,19.0,3.0,3.0,2.0,2.0,3.0,,8.0,7.0,1.0,,,3.0,,,,5.0,2.0,,1.0,1.0,,,5.0,,,,,,1.0,,2.0,,3.0,,,,,1.0,3.0,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,34.0,20.0,88.0,31.0,10.0,112.0,8.0,22.0,21.0,96.0,1.0,65.0,150.0,153.0,3.0,14.0,31.0,,19.0,49.0,29.0,15.0,12.0,96.0,,80.0,5.0,18.0,14.0,16.0,3.0,,31.0,6.0,19.0,7.0,,,16.0,48.0,6.0,,,8.0,8.0,3.0,6.0,2.0,3.0,15.0,,,,5.0,,,,,,,,1.0,,13.0,1.0,,8.0,,,,9.0,,,1.0,,5.0,,,,8.0,,,,,,2.0,,,3.0,1.0,4.0,,,4.0,,8.0,,,,2.0,,12.0,,10.0,3.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,4.0,1.0,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,75.0,65.0,166.0,30.0,41.0,39.0,20.0,68.0,97.0,218.0,8.0,339.0,307.0,345.0,101.0,55.0,112.0,12.0,59.0,150.0,82.0,42.0,59.0,267.0,4.0,339.0,13.0,51.0,3.0,70.0,21.0,1.0,69.0,3.0,55.0,46.0,,9.0,81.0,48.0,21.0,20.0,1.0,45.0,23.0,16.0,7.0,12.0,6.0,40.0,3.0,9.0,32.0,26.0,1.0,1.0,33.0,2.0,,11.0,,,2.0,22.0,1.0,3.0,40.0,1.0,8.0,,2.0,2.0,4.0,2.0,4.0,4.0,,1.0,,8.0,,,2.0,,30.0,10.0,5.0,13.0,,6.0,3.0,,1.0,,1.0,11.0,9.0,,,42.0,,11.0,1.0,31.0,1.0,,3.0,,,,7.0,,5.0,2.0,2.0,3.0,,,,,2.0,9.0,,1.0,,,6.0,3.0,,4.0,3.0,,,,,,4.0,,,,69.0,2.0,,,1.0,3.0,,,,,9.0,,,2.0,,1.0,,1.0,,,,1.0,,2.0,,,1.0,,,,1.0,,,,,,1.0,,,,3.0,,,1.0,,,,2.0,,5.0,2.0,,,,,,,,,1.0,,,,,,,,2.0,
GBR,126.0,35.0,267.0,41.0,49.0,75.0,14.0,146.0,109.0,459.0,3.0,452.0,660.0,719.0,20.0,60.0,236.0,,93.0,439.0,238.0,65.0,128.0,393.0,6.0,515.0,53.0,143.0,1.0,151.0,12.0,10.0,122.0,3.0,107.0,105.0,,7.0,120.0,149.0,20.0,1.0,,73.0,21.0,28.0,16.0,44.0,14.0,57.0,6.0,,26.0,28.0,6.0,1.0,39.0,1.0,,7.0,,22.0,28.0,25.0,18.0,8.0,97.0,17.0,7.0,,13.0,7.0,12.0,1.0,13.0,17.0,,,3.0,62.0,2.0,,9.0,2.0,19.0,27.0,,6.0,13.0,8.0,6.0,,5.0,2.0,3.0,8.0,10.0,1.0,,42.0,3.0,7.0,,6.0,1.0,,7.0,,,9.0,6.0,15.0,3.0,4.0,,,2.0,8.0,5.0,,4.0,9.0,,3.0,,,3.0,,,2.0,5.0,,,2.0,,4.0,,4.0,,,,1.0,,,,1.0,6.0,1.0,,,1.0,4.0,,,,,,,,,,,,3.0,5.0,,,,,,3.0,,,,,,1.0,,,,,8.0,,,,,,2.0,,,,1.0,4.0,,,,,,4.0,,,1.0,,,,3.0,,,2.0
PSE,13.0,5.0,100.0,4.0,4.0,47.0,,22.0,10.0,56.0,4.0,34.0,40.0,42.0,,3.0,47.0,,9.0,33.0,22.0,19.0,16.0,54.0,3.0,97.0,4.0,16.0,1.0,40.0,,2.0,14.0,,4.0,11.0,,2.0,27.0,14.0,3.0,3.0,,3.0,1.0,3.0,,6.0,1.0,5.0,2.0,,5.0,,,,4.0,,,1.0,,2.0,,6.0,,,15.0,,,,,,,,,13.0,3.0,,1.0,5.0,47.0,,,,,6.0,,,4.0,,3.0,3.0,,4.0,,,,2.0,,,2.0,5.0,,,,,,,,7.0,,,1.0,6.0,,,,,3.0,,,2.0,,1.0,,,,1.0,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
ISR,54.0,13.0,267.0,4.0,19.0,210.0,6.0,41.0,10.0,219.0,9.0,162.0,279.0,285.0,24.0,16.0,108.0,14.0,36.0,79.0,87.0,30.0,30.0,251.0,11.0,339.0,62.0,49.0,1.0,87.0,5.0,8.0,114.0,2.0,18.0,38.0,,10.0,72.0,102.0,10.0,5.0,,17.0,12.0,9.0,3.0,17.0,10.0,21.0,3.0,,8.0,2.0,1.0,,4.0,,,3.0,,5.0,1.0,15.0,10.0,4.0,37.0,1.0,8.0,,39.0,2.0,,,24.0,43.0,,,1.0,23.0,36.0,,4.0,,4.0,8.0,,1.0,15.0,1.0,11.0,6.0,1.0,2.0,,6.0,1.0,6.0,,4.0,4.0,7.0,2.0,8.0,1.0,,5.0,,,7.0,,6.0,5.0,5.0,,18.0,,,,,,2.0,,1.0,1.0,,,,,,,2.0,,2.0,3.0,2.0,,,2.0,,,,,,,,1.0,,,,1.0,,,,,2.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,
