,873,15,46,130,61,83,1122,1822,20,190,161,1124,42,43,111,51,141,40,173,180,36,90,100,163,110,26,70,71,10,17,31,84,112,194,57,22,164,14,16,120,13,193,874,81,50,30,114,60,41,841,128,144,12,80,181,192,62,172,56,11,37,52,171,73,75,214,33,35,332,1723,231,160,842,831,871,1711,195,1831,834,131,1123,115,25,182,18,23,72,241,64,1043,129,145,154,1121,138,143,833,1821,55,124,311,151,125,1712,234,174,186,166,356,45,1241,139,353,140,19,170,191,53,85,121,93,28,331,44,27,106,1014,213,1243,113,183,1621,1312,134,1384,91,150,32,211,233,203,1721,256,142,1053,162,1724,153,133,1044,1722,1823,253,21,333,152,185,101,122,39,1246,232,127,1383,202,1031,54,175,86,105,243,1041,82,63,1056,862,1832,1233,1411,34,87,196,74,1054,312,1623,242,334,344,116,201,251,92,102,1311,872,24,1313
BHR,13.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,6.0,6.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,18.0,,14.0,,,,,,7.0,5.0,,,18.0,18.0,,8.0,,14.0,,4.0,2.0,3.0,9.0,3.0,11.0,6.0,2.0,5.0,5.0,1.0,1.0,2.0,3.0,1.0,8.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,8.0,641.0,2844.0,1186.0,461.0,43.0,23.0,103.0,7277.0,4625.0,97.0,130.0,7846.0,7356.0,1955.0,6657.0,767.0,5756.0,4110.0,848.0,4119.0,2754.0,1169.0,203.0,2196.0,343.0,1323.0,1826.0,9645.0,696.0,281.0,1096.0,2460.0,95.0,570.0,178.0,128.0,1069.0,304.0,2276.0,1906.0,1885.0,464.0,292.0,864.0,1744.0,677.0,1587.0,152.0,840.0,281.0,14.0,2199.0,1173.0,190.0,594.0,155.0,1059.0,66.0,327.0,59.0,112.0,91.0,585.0,54.0,215.0,218.0,73.0,59.0,58.0,155.0,534.0,55.0,245.0,62.0,72.0,179.0,62.0,4.0,28.0,156.0,140.0,108.0,191.0,180.0,232.0,225.0,54.0,89.0,64.0,125.0,79.0,237.0,38.0,322.0,80.0,95.0,311.0,167.0,133.0,161.0,47.0,192.0,221.0,34.0,101.0,118.0,13.0,46.0,163.0,20.0,45.0,143.0,90.0,9.0,66.0,69.0,41.0,21.0,7.0,13.0,29.0,60.0,74.0,40.0,14.0,96.0,44.0,39.0,55.0,42.0,1.0,34.0,15.0,39.0,52.0,80.0,72.0,14.0,41.0,19.0,133.0,48.0,33.0,42.0,13.0,17.0,63.0,59.0,20.0,8.0,42.0,12.0,16.0,14.0,15.0,4.0,41.0,23.0,5.0,7.0,15.0,18.0,33.0,10.0,12.0,33.0,61.0,7.0,7.0,3.0,17.0,25.0,22.0,7.0,7.0,11.0,12.0,12.0,5.0,12.0,3.0,18.0,3.0,5.0,3.0,4.0,6.0,2.0,1.0,6.0,7.0,1.0,2.0,,,,
CHN,,22.0,285.0,95.0,208.0,,,,176.0,184.0,,,332.0,286.0,88.0,200.0,48.0,248.0,116.0,13.0,135.0,56.0,61.0,13.0,61.0,11.0,48.0,17.0,234.0,18.0,10.0,9.0,89.0,3.0,141.0,8.0,33.0,32.0,16.0,70.0,84.0,12.0,9.0,,85.0,95.0,16.0,55.0,7.0,18.0,1.0,,67.0,36.0,16.0,5.0,16.0,42.0,,2.0,8.0,6.0,1.0,14.0,,5.0,8.0,5.0,,,19.0,45.0,,3.0,,,,,,,,3.0,8.0,,9.0,,3.0,2.0,,2.0,3.0,,7.0,,51.0,1.0,,1.0,2.0,2.0,11.0,,3.0,5.0,,5.0,,2.0,,19.0,,4.0,,,,4.0,2.0,4.0,,,,,2.0,21.0,,,,,,4.0,,,2.0,,1.0,,,2.0,2.0,,,6.0,4.0,2.0,,,,,,1.0,,1.0,,,,,2.0,,,1.0,,,4.0,,,,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,,70.0,63.0,18.0,6.0,1.0,2.0,1.0,91.0,176.0,,7.0,144.0,132.0,81.0,68.0,7.0,102.0,45.0,10.0,23.0,39.0,26.0,1.0,22.0,,5.0,14.0,162.0,16.0,1.0,21.0,44.0,3.0,16.0,,3.0,12.0,5.0,20.0,39.0,85.0,5.0,2.0,18.0,20.0,9.0,22.0,,8.0,1.0,1.0,27.0,27.0,5.0,10.0,,21.0,,3.0,2.0,,3.0,4.0,1.0,,4.0,4.0,,,,23.0,,,,,11.0,5.0,,,4.0,5.0,5.0,7.0,8.0,,1.0,,,1.0,,1.0,,,6.0,,,2.0,,,,12.0,,2.0,,,8.0,,,11.0,,,1.0,11.0,,3.0,,,,,,,,5.0,3.0,,1.0,,1.0,3.0,2.0,,,,,,9.0,1.0,,,,9.0,,,,,,,,3.0,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
USA,17.0,270.0,1123.0,285.0,214.0,15.0,,11.0,2000.0,1231.0,41.0,27.0,2798.0,2644.0,482.0,2021.0,205.0,1662.0,1550.0,283.0,1293.0,841.0,309.0,76.0,588.0,106.0,526.0,574.0,2621.0,224.0,88.0,391.0,808.0,29.0,160.0,43.0,31.0,309.0,70.0,632.0,991.0,765.0,160.0,121.0,273.0,479.0,142.0,528.0,16.0,198.0,56.0,2.0,500.0,280.0,73.0,138.0,27.0,389.0,17.0,113.0,18.0,30.0,34.0,163.0,20.0,68.0,57.0,26.0,12.0,7.0,51.0,171.0,3.0,42.0,16.0,13.0,83.0,,,12.0,37.0,59.0,43.0,78.0,32.0,47.0,63.0,17.0,23.0,5.0,63.0,4.0,24.0,8.0,113.0,8.0,9.0,49.0,33.0,44.0,40.0,10.0,48.0,39.0,,27.0,18.0,24.0,4.0,39.0,14.0,7.0,22.0,6.0,3.0,3.0,9.0,21.0,7.0,,1.0,7.0,23.0,68.0,3.0,3.0,13.0,8.0,12.0,20.0,15.0,,11.0,1.0,7.0,7.0,23.0,21.0,4.0,6.0,3.0,28.0,5.0,,4.0,2.0,10.0,5.0,14.0,,7.0,5.0,,18.0,1.0,2.0,2.0,7.0,6.0,2.0,2.0,6.0,14.0,14.0,2.0,,11.0,7.0,3.0,3.0,1.0,,,2.0,3.0,3.0,,3.0,3.0,,4.0,,6.0,2.0,,,,,,,,,,,2.0,,,
JOR,10.0,1.0,11.0,3.0,8.0,,,,16.0,21.0,3.0,,28.0,25.0,9.0,40.0,1.0,37.0,10.0,2.0,7.0,5.0,2.0,2.0,3.0,2.0,4.0,4.0,30.0,4.0,,5.0,6.0,,4.0,,,9.0,3.0,12.0,7.0,8.0,4.0,2.0,10.0,9.0,5.0,1.0,2.0,1.0,1.0,,12.0,4.0,,3.0,,1.0,,5.0,,,,,3.0,,6.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,4.0,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
IRN,,2.0,127.0,99.0,38.0,,,,88.0,48.0,5.0,4.0,85.0,81.0,47.0,54.0,7.0,141.0,35.0,6.0,45.0,28.0,38.0,73.0,41.0,10.0,11.0,21.0,161.0,4.0,1.0,10.0,78.0,11.0,49.0,4.0,,15.0,35.0,71.0,37.0,4.0,35.0,2.0,36.0,72.0,3.0,11.0,8.0,7.0,9.0,,37.0,12.0,2.0,30.0,,4.0,2.0,4.0,,,,5.0,,,2.0,4.0,2.0,,1.0,39.0,,2.0,,,20.0,,,,,,3.0,,3.0,7.0,27.0,,,,,12.0,33.0,,49.0,3.0,,,,,2.0,12.0,6.0,,,,4.0,,3.0,10.0,,4.0,,,,,,4.0,3.0,,,,,2.0,,,,,,,,,,,1.0,,2.0,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,8.0,,,,,1.0,,,,,,2.0,,,,,,,,,,7.0,,,,,,,,,,,,,
GBR,,15.0,138.0,66.0,20.0,,4.0,3.0,271.0,154.0,5.0,1.0,465.0,456.0,123.0,288.0,42.0,240.0,116.0,24.0,234.0,88.0,45.0,7.0,63.0,10.0,35.0,58.0,415.0,43.0,10.0,29.0,71.0,4.0,74.0,1.0,7.0,33.0,9.0,61.0,121.0,33.0,27.0,4.0,52.0,66.0,6.0,41.0,,31.0,9.0,,121.0,29.0,11.0,23.0,2.0,41.0,2.0,13.0,2.0,1.0,,21.0,7.0,5.0,2.0,,1.0,4.0,10.0,36.0,,24.0,2.0,2.0,,1.0,,,4.0,5.0,3.0,8.0,4.0,3.0,6.0,4.0,1.0,5.0,,,,,13.0,1.0,1.0,16.0,7.0,6.0,6.0,,2.0,6.0,,5.0,9.0,2.0,4.0,2.0,,1.0,2.0,4.0,,2.0,3.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,3.0,,1.0,2.0,4.0,,3.0,,,2.0,2.0,,,,,2.0,2.0,2.0,4.0,,,,,,3.0,,,1.0,,,1.0,,,,1.0,,,,2.0,1.0,1.0,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,
