,61,10,17,172,100,112,14,13,20,130,18,51,43,42,874,73,40,90,12,841,46,60,30,141,57,71,110,120,36,55,160,70,331,111,190,193,80,173,26,180,163,50,27,1041,1821,84,114,241,11,186,174,192,231,31,83,1711,21,161,154,75,1312,44,34,41,013,042,043,051,031,020,010,071,012,040,017,1384,080,030,036,060,0311,025,22,1721,164,25,54,138,15,181,1723,353,124,139,311,62,33,125,45,195,1822,16,1053,1043,23,170,1823,165,37,113,39,81,1712,64,1014,194,182,0231,061,044,026,070,106,090,035,084,046,050,015,073,185,014,057,072,086,1124,0874,0353,128,842,1233,332,873,253,151,1031,1243,35,213,53,32,82,211,214,055,0841,0214,023,028,127,0331,083,075,033,145,140,52,175,356,1123,831,833,202,183,72,87,143,133,191,1831,101,93,256,115,1056,333,150,233,871,122,162,129,232,1241,153,166,144,74,1121,24,203,171,1411,28,1044,91,131,1383,121,56,19,1246,862,142,1722,152,1313,234,86,834,85,105,134,1724,312,1832,196,63,872,334,1623,1054,344,38,813,1621,811,92,021,062,011,052,0831,032,081,0356,064,041,022,016,018,091,039,054,0256,0211,056,063,0871,0332,0833,045,027,0813,037,0872,---,0333,053,019,0842,074,0341,0234,034,0253,0334,136
AFR,14.0,100.0,4.0,4.0,17.0,16.0,34.0,16.0,53.0,7.0,5.0,101.0,87.0,95.0,6.0,11.0,39.0,15.0,17.0,13.0,27.0,24.0,8.0,13.0,20.0,15.0,27.0,18.0,27.0,2.0,2.0,16.0,6.0,11.0,46.0,20.0,13.0,22.0,9.0,6.0,4.0,7.0,1.0,3.0,2.0,5.0,6.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,24.0,24.0,16.0,1.0,5.0,8.0,4.0,3.0,17.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,109.0,202.0,36.0,36.0,47.0,45.0,30.0,56.0,124.0,90.0,10.0,120.0,212.0,221.0,8.0,18.0,238.0,24.0,50.0,22.0,148.0,39.0,79.0,10.0,129.0,40.0,56.0,57.0,141.0,4.0,10.0,28.0,2.0,102.0,126.0,20.0,30.0,146.0,12.0,,10.0,85.0,,,1.0,8.0,20.0,,1.0,,3.0,11.0,,7.0,,,,3.0,15.0,,,15.0,,2.0,17.0,41.0,37.0,29.0,3.0,50.0,21.0,7.0,4.0,50.0,5.0,1.0,16.0,9.0,50.0,13.0,3.0,,7.0,4.0,29.0,11.0,2.0,25.0,26.0,8.0,2.0,5.0,7.0,3.0,9.0,12.0,9.0,4.0,3.0,1.0,2.0,10.0,1.0,1.0,5.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,44.0,3.0,11.0,2.0,1.0,2.0,1.0,6.0,18.0,19.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,13.0,146.0,11.0,25.0,11.0,28.0,16.0,41.0,77.0,37.0,1.0,77.0,142.0,146.0,11.0,2.0,45.0,32.0,34.0,7.0,26.0,18.0,11.0,18.0,2.0,24.0,24.0,11.0,51.0,1.0,9.0,15.0,,30.0,58.0,17.0,17.0,70.0,,10.0,,31.0,,4.0,4.0,10.0,12.0,,6.0,,2.0,2.0,,4.0,,,,1.0,,,,2.0,,,19.0,36.0,34.0,48.0,,31.0,26.0,4.0,7.0,20.0,9.0,,4.0,9.0,31.0,28.0,,1.0,,,1.0,1.0,,1.0,13.0,2.0,1.0,1.0,,,3.0,,,11.0,3.0,,,1.0,8.0,2.0,1.0,,,,,,,3.0,4.0,,,,3.0,2.0,6.0,,1.0,13.0,,6.0,,11.0,7.0,2.0,2.0,,,3.0,4.0,,,,,,5.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,308.0,7546.0,573.0,801.0,1114.0,2014.0,852.0,1491.0,5726.0,1080.0,172.0,5391.0,5672.0,6097.0,351.0,401.0,4267.0,1912.0,1582.0,453.0,2112.0,1102.0,1233.0,634.0,403.0,1459.0,1949.0,1880.0,3061.0,77.0,391.0,959.0,66.0,1977.0,4587.0,1808.0,884.0,3518.0,232.0,787.0,161.0,557.0,28.0,26.0,269.0,791.0,687.0,37.0,255.0,99.0,96.0,403.0,133.0,192.0,17.0,87.0,8.0,87.0,224.0,44.0,36.0,55.0,3.0,74.0,252.0,1046.0,980.0,809.0,24.0,927.0,1141.0,196.0,267.0,674.0,100.0,22.0,160.0,192.0,536.0,263.0,30.0,16.0,135.0,108.0,95.0,134.0,28.0,326.0,605.0,227.0,44.0,95.0,126.0,51.0,136.0,86.0,119.0,145.0,130.0,153.0,74.0,210.0,44.0,32.0,165.0,49.0,30.0,,47.0,37.0,4.0,240.0,187.0,50.0,73.0,165.0,192.0,24.0,85.0,7.0,31.0,198.0,4.0,329.0,13.0,238.0,405.0,121.0,70.0,84.0,2.0,153.0,101.0,35.0,6.0,157.0,35.0,8.0,186.0,38.0,7.0,28.0,19.0,6.0,28.0,5.0,31.0,55.0,12.0,22.0,55.0,14.0,13.0,128.0,13.0,75.0,22.0,25.0,5.0,28.0,13.0,9.0,3.0,25.0,74.0,61.0,88.0,50.0,44.0,113.0,140.0,75.0,17.0,32.0,189.0,12.0,111.0,24.0,74.0,71.0,31.0,5.0,33.0,67.0,14.0,16.0,82.0,48.0,37.0,28.0,24.0,124.0,8.0,24.0,78.0,10.0,11.0,6.0,52.0,1.0,8.0,56.0,5.0,19.0,7.0,26.0,11.0,19.0,5.0,38.0,5.0,3.0,4.0,17.0,2.0,11.0,8.0,18.0,11.0,4.0,19.0,2.0,26.0,7.0,3.0,6.0,10.0,8.0,7.0,13.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,9.0,21.0,80.0,15.0,42.0,11.0,78.0,10.0,2.0,22.0,26.0,25.0,30.0,4.0,3.0,3.0,3.0,1.0,5.0,2.0,5.0,3.0,14.0,18.0,6.0,2.0,9.0,4.0,1.0,6.0,10.0,4.0,1.0,3.0,5.0,5.0,1.0,1.0,4.0,1.0
USA,106.0,2000.0,163.0,218.0,244.0,581.0,196.0,701.0,1420.0,358.0,15.0,1516.0,2072.0,2152.0,161.0,88.0,1437.0,533.0,333.0,87.0,751.0,334.0,322.0,134.0,153.0,332.0,390.0,444.0,952.0,22.0,105.0,360.0,21.0,426.0,1078.0,606.0,172.0,1277.0,67.0,210.0,62.0,197.0,6.0,,55.0,241.0,120.0,12.0,77.0,31.0,23.0,112.0,37.0,38.0,5.0,10.0,7.0,33.0,56.0,20.0,11.0,25.0,,24.0,112.0,397.0,391.0,242.0,,262.0,344.0,63.0,62.0,245.0,38.0,3.0,50.0,63.0,180.0,48.0,4.0,9.0,28.0,18.0,37.0,32.0,11.0,104.0,151.0,109.0,7.0,26.0,25.0,3.0,29.0,7.0,41.0,36.0,36.0,52.0,17.0,30.0,,4.0,56.0,5.0,1.0,2.0,2.0,22.0,3.0,74.0,35.0,35.0,14.0,39.0,61.0,9.0,23.0,2.0,17.0,49.0,,132.0,3.0,85.0,115.0,22.0,25.0,20.0,,42.0,20.0,6.0,,50.0,12.0,9.0,22.0,1.0,1.0,1.0,16.0,,2.0,,3.0,12.0,3.0,5.0,9.0,2.0,,46.0,1.0,19.0,14.0,4.0,2.0,3.0,3.0,4.0,7.0,6.0,3.0,4.0,21.0,3.0,11.0,11.0,18.0,20.0,1.0,13.0,47.0,5.0,18.0,6.0,10.0,2.0,2.0,1.0,4.0,35.0,1.0,1.0,18.0,6.0,4.0,7.0,1.0,42.0,1.0,4.0,1.0,6.0,,,17.0,,,13.0,,3.0,,1.0,8.0,8.0,,9.0,1.0,,,2.0,,,,6.0,2.0,,7.0,2.0,2.0,3.0,,,,7.0,,13.0,,2.0,,1.0,,,,,2.0,4.0,15.0,8.0,8.0,2.0,21.0,,2.0,2.0,10.0,2.0,10.0,1.0,,,1.0,5.0,,,,1.0,3.0,2.0,,,,,1.0,,1.0,2.0,,,,,1.0,,4.0,
GBR,12.0,298.0,30.0,44.0,38.0,89.0,27.0,57.0,258.0,58.0,18.0,276.0,379.0,394.0,18.0,14.0,190.0,61.0,105.0,32.0,149.0,56.0,62.0,41.0,64.0,40.0,78.0,107.0,201.0,6.0,13.0,20.0,1.0,98.0,167.0,46.0,48.0,120.0,2.0,21.0,4.0,34.0,,1.0,7.0,53.0,12.0,,8.0,2.0,6.0,40.0,3.0,7.0,,2.0,,3.0,3.0,2.0,,1.0,,4.0,9.0,50.0,48.0,49.0,,33.0,30.0,1.0,14.0,17.0,7.0,1.0,8.0,15.0,9.0,6.0,,4.0,1.0,,2.0,2.0,,1.0,17.0,3.0,1.0,3.0,3.0,2.0,,5.0,1.0,2.0,1.0,2.0,,5.0,,1.0,3.0,,1.0,,2.0,,,1.0,3.0,1.0,,4.0,6.0,,5.0,1.0,,4.0,,8.0,1.0,16.0,11.0,2.0,,,,3.0,8.0,2.0,,,,2.0,3.0,,,,,,,,,7.0,,,1.0,,,7.0,,,,3.0,,2.0,,,6.0,,,1.0,9.0,,,2.0,6.0,4.0,,2.0,,1.0,2.0,,9.0,1.0,1.0,,,9.0,,6.0,,8.0,1.0,3.0,1.0,,,,,,,,2.0,,,1.0,,1.0,,4.0,1.0,,,1.0,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,2.0,,1.0,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
NOR,,5.0,,5.0,2.0,2.0,4.0,5.0,10.0,,,2.0,4.0,4.0,2.0,3.0,4.0,,4.0,6.0,2.0,4.0,,,2.0,1.0,,2.0,3.0,,3.0,1.0,,3.0,6.0,2.0,2.0,1.0,,,,2.0,,,,,,,,,3.0,,,1.0,,,,,2.0,,,,,,,3.0,2.0,3.0,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,17.0,45.0,4.0,6.0,3.0,5.0,1.0,3.0,16.0,7.0,2.0,34.0,40.0,46.0,4.0,,24.0,7.0,7.0,1.0,,2.0,10.0,1.0,1.0,12.0,20.0,2.0,32.0,1.0,,2.0,,8.0,33.0,17.0,8.0,29.0,,2.0,2.0,,,,4.0,3.0,2.0,,2.0,1.0,2.0,4.0,4.0,1.0,,,,,,,,,,2.0,,6.0,9.0,,,1.0,6.0,4.0,4.0,1.0,,,,,4.0,,,,1.0,,,,,3.0,,1.0,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,2.0,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,4.0,2.0,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,27.0,54.0,4.0,6.0,12.0,5.0,7.0,15.0,53.0,16.0,,70.0,89.0,91.0,3.0,15.0,39.0,12.0,40.0,2.0,21.0,14.0,29.0,6.0,5.0,26.0,23.0,31.0,31.0,1.0,,9.0,3.0,28.0,9.0,8.0,9.0,9.0,2.0,,9.0,19.0,,2.0,,7.0,9.0,1.0,,4.0,,6.0,,1.0,,,,,,4.0,2.0,,,,3.0,21.0,21.0,22.0,,19.0,7.0,,5.0,12.0,2.0,,,1.0,3.0,2.0,,,2.0,,,,,5.0,,,2.0,,,,3.0,,,,,,3.0,1.0,,,,,2.0,,,,,,,,,2.0,,,5.0,,,1.0,,,,,6.0,1.0,,6.0,,2.0,,,,,,,4.0,,,,,,,,,,,,9.0,,,4.0,,,,,,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,,2.0,,,2.0,,,2.0,,,1.0,1.0,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
