,84,841,43,33,42,12,51,112,190,150,141,130,160,40,120,46,22,111,173,11,100,174,60,10,172,45,193,20,61,181,52,182,13,14,36,41,50,57,80,874,129,164,1823,38,138,1056,110,154,16,26,241,353,62,192,70,30,15,71,1712,90,114,162,25,17,18,23,73,180,191,32,171,134,72,125,1821,166,170,311,1822,332,1383,194,161,163,128,54,831,115,91,1123,842,81,1124,233,55,834,124,214,27,331,1723,183,152,231,37,1711,19,202,195,1013,31,1121,83,256,44,211,127,356,74,1721,1832,35,53,871,203,234,833,63,153,175,186,131,1041,106,86,1043,75,1012,341,145,1831,122,143,93,28,1382,1014,133,1313,333,121,56,92,144,1241,64,1384,1053,94,140,101,82,142,213,1312,85,113,1246,139,873,151,1722,185,21,123,1724,334,232,1125,253,201,255,1044,1244,132,312,87,1233,196,1122,34,872,1243,861,105,39,1031,812,344,813,862,24,102,116,811,1411,107,1622,314,242
nan,1479.0,907.0,10079.0,368.0,10857.0,3158.0,9174.0,3153.0,5856.0,135.0,1011.0,1969.0,844.0,8654.0,3403.0,4652.0,209.0,3011.0,4997.0,427.0,1694.0,213.0,2377.0,13439.0,1817.0,239.0,2570.0,10942.0,790.0,330.0,174.0,265.0,2982.0,1527.0,6474.0,190.0,1236.0,1180.0,1902.0,613.0,192.0,227.0,69.0,10.0,520.0,15.0,3253.0,240.0,554.0,567.0,116.0,155.0,266.0,736.0,1901.0,2440.0,864.0,2824.0,338.0,3378.0,925.0,44.0,225.0,824.0,223.0,226.0,723.0,1296.0,157.0,133.0,90.0,36.0,384.0,316.0,424.0,48.0,97.0,301.0,168.0,72.0,34.0,195.0,151.0,209.0,481.0,56.0,431.0,221.0,59.0,145.0,65.0,548.0,141.0,56.0,158.0,6.0,157.0,219.0,58.0,163.0,48.0,77.0,63.0,261.0,46.0,85.0,44.0,26.0,232.0,4.0,535.0,38.0,61.0,36.0,111.0,28.0,71.0,42.0,31.0,154.0,9.0,178.0,48.0,56.0,15.0,69.0,154.0,21.0,63.0,50.0,132.0,52.0,48.0,3.0,16.0,90.0,93.0,1.0,15.0,93.0,23.0,72.0,99.0,11.0,58.0,1.0,100.0,65.0,14.0,27.0,6.0,80.0,5.0,29.0,30.0,74.0,39.0,44.0,7.0,115.0,28.0,38.0,27.0,38.0,60.0,19.0,43.0,12.0,61.0,6.0,17.0,2.0,11.0,43.0,6.0,31.0,7.0,6.0,4.0,17.0,2.0,4.0,15.0,3.0,2.0,7.0,5.0,10.0,12.0,9.0,6.0,1.0,38.0,1.0,5.0,20.0,6.0,1.0,3.0,1.0,3.0,4.0,3.0,8.0,4.0,4.0,3.0,2.0,1.0,
USA,458.0,233.0,3739.0,95.0,3949.0,789.0,2830.0,1045.0,1718.0,19.0,266.0,656.0,381.0,2380.0,903.0,1528.0,55.0,766.0,1645.0,169.0,383.0,50.0,699.0,3744.0,819.0,85.0,1044.0,3120.0,262.0,43.0,71.0,56.0,1235.0,414.0,1902.0,86.0,395.0,318.0,512.0,255.0,100.0,44.0,14.0,,169.0,,802.0,50.0,192.0,128.0,13.0,48.0,61.0,237.0,660.0,865.0,326.0,827.0,90.0,1043.0,210.0,24.0,60.0,209.0,48.0,64.0,150.0,451.0,33.0,29.0,30.0,18.0,110.0,66.0,149.0,36.0,18.0,65.0,6.0,18.0,4.0,60.0,83.0,130.0,145.0,20.0,58.0,119.0,11.0,39.0,5.0,212.0,39.0,23.0,41.0,2.0,79.0,50.0,3.0,40.0,9.0,19.0,25.0,76.0,31.0,9.0,18.0,11.0,61.0,,181.0,7.0,18.0,9.0,39.0,8.0,18.0,14.0,7.0,42.0,,41.0,28.0,19.0,,5.0,29.0,11.0,2.0,2.0,20.0,33.0,3.0,1.0,12.0,18.0,63.0,,1.0,13.0,,16.0,16.0,,4.0,1.0,24.0,8.0,,2.0,4.0,8.0,,9.0,12.0,29.0,10.0,10.0,4.0,15.0,7.0,2.0,3.0,31.0,14.0,6.0,12.0,3.0,17.0,19.0,7.0,3.0,6.0,15.0,,14.0,3.0,1.0,,8.0,2.0,,1.0,2.0,,2.0,,2.0,,3.0,1.0,,27.0,,,3.0,2.0,,,,1.0,1.0,,2.0,,,1.0,2.0,,
JOR,5.0,8.0,54.0,2.0,62.0,13.0,41.0,13.0,19.0,,4.0,11.0,2.0,40.0,6.0,22.0,,10.0,25.0,,,,4.0,70.0,,,6.0,37.0,21.0,,1.0,,11.0,1.0,12.0,,3.0,23.0,10.0,2.0,,,1.0,,6.0,,4.0,,2.0,1.0,,2.0,,1.0,5.0,2.0,2.0,11.0,,,8.0,,,1.0,,,1.0,5.0,,1.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,24.0,61.0,387.0,10.0,429.0,127.0,226.0,113.0,133.0,6.0,26.0,90.0,124.0,313.0,135.0,205.0,5.0,137.0,126.0,5.0,74.0,7.0,84.0,385.0,204.0,17.0,16.0,335.0,255.0,8.0,29.0,4.0,141.0,30.0,334.0,25.0,75.0,186.0,61.0,28.0,3.0,9.0,,,35.0,1.0,133.0,1.0,46.0,18.0,,1.0,19.0,45.0,62.0,113.0,13.0,71.0,2.0,124.0,35.0,5.0,10.0,39.0,6.0,4.0,15.0,15.0,,2.0,,,20.0,3.0,7.0,2.0,35.0,31.0,12.0,,,6.0,14.0,30.0,12.0,1.0,4.0,4.0,2.0,1.0,,22.0,,,,,,7.0,,16.0,,,,2.0,12.0,2.0,2.0,2.0,,,10.0,,4.0,5.0,11.0,,10.0,3.0,3.0,17.0,,7.0,,,,,1.0,,,,2.0,12.0,,,,,3.0,,,4.0,,,,3.0,8.0,,3.0,,,,,,,,,,,,,4.0,3.0,,,,2.0,,,,,,,1.0,,2.0,,,1.0,,1.0,,,,3.0,,,,,,,7.0,,,1.0,,,,,,,,,,,,,,,,,2.0
DEU,18.0,9.0,148.0,,177.0,38.0,87.0,34.0,46.0,10.0,39.0,22.0,14.0,158.0,84.0,66.0,2.0,80.0,50.0,6.0,29.0,6.0,34.0,144.0,28.0,9.0,23.0,137.0,17.0,6.0,3.0,,44.0,5.0,56.0,4.0,6.0,68.0,39.0,21.0,4.0,13.0,,,2.0,,46.0,1.0,9.0,11.0,3.0,4.0,13.0,12.0,21.0,17.0,4.0,27.0,3.0,26.0,17.0,,4.0,18.0,1.0,2.0,19.0,17.0,1.0,,,,3.0,1.0,,,3.0,,,,,,11.0,1.0,,,10.0,2.0,,,2.0,,9.0,,,,3.0,,,,,,,7.0,,,,,,,8.0,,,,,1.0,,,,1.0,,3.0,4.0,1.0,,2.0,,,,,,4.0,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
POL,1.0,1.0,31.0,,35.0,8.0,42.0,21.0,28.0,,3.0,16.0,4.0,29.0,4.0,9.0,4.0,24.0,22.0,1.0,8.0,,9.0,30.0,23.0,1.0,8.0,38.0,17.0,,,,20.0,,38.0,6.0,12.0,,6.0,,,,,,,,2.0,,,4.0,,,,1.0,5.0,2.0,3.0,7.0,,6.0,12.0,,1.0,2.0,1.0,,2.0,3.0,,,,,,,2.0,,,,,,,,,,2.0,10.0,1.0,,,,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,1.0,6.0,184.0,,223.0,78.0,61.0,43.0,133.0,13.0,4.0,125.0,87.0,125.0,23.0,44.0,2.0,54.0,57.0,2.0,39.0,37.0,3.0,132.0,12.0,8.0,18.0,45.0,6.0,,4.0,4.0,51.0,4.0,30.0,,13.0,33.0,38.0,29.0,,,,,29.0,,15.0,14.0,1.0,1.0,,,4.0,9.0,9.0,6.0,7.0,9.0,,32.0,4.0,,4.0,2.0,7.0,,20.0,,2.0,1.0,,,22.0,,,65.0,,8.0,2.0,3.0,,167.0,51.0,6.0,,,,2.0,,1.0,,3.0,2.0,,,,2.0,2.0,,,,58.0,3.0,,4.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,2.0,,4.0,,,,,5.0,,,,,,,,,,,,,,,4.0,,1.0,2.0,,,1.0,,,,2.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,12.0,4.0,206.0,1.0,217.0,171.0,108.0,161.0,181.0,,13.0,464.0,34.0,218.0,115.0,167.0,9.0,92.0,61.0,15.0,91.0,18.0,9.0,270.0,26.0,42.0,21.0,231.0,65.0,5.0,8.0,,145.0,31.0,156.0,6.0,91.0,188.0,56.0,178.0,,3.0,,2.0,180.0,,125.0,25.0,63.0,36.0,,1.0,6.0,8.0,15.0,106.0,29.0,29.0,2.0,40.0,22.0,,23.0,7.0,25.0,6.0,2.0,26.0,,6.0,,1.0,33.0,8.0,,11.0,,8.0,1.0,14.0,8.0,85.0,8.0,60.0,7.0,,,,,39.0,,,23.0,,1.0,,7.0,,,,,2.0,1.0,,8.0,1.0,2.0,,48.0,,1.0,,,,,,2.0,5.0,,5.0,,2.0,4.0,17.0,,,,,,,3.0,22.0,,,8.0,,,,,2.0,,5.0,,,,,3.0,,1.0,,,,,,,4.0,5.0,,,,,,4.0,,,2.0,4.0,6.0,20.0,4.0,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,4.0,2.0,,,,,,,,,,,,,,
ISR,17.0,32.0,160.0,,178.0,91.0,210.0,73.0,125.0,7.0,34.0,29.0,21.0,224.0,116.0,89.0,5.0,87.0,126.0,4.0,46.0,2.0,22.0,239.0,34.0,15.0,32.0,149.0,18.0,9.0,2.0,5.0,60.0,22.0,121.0,,36.0,56.0,60.0,10.0,,11.0,1.0,,11.0,9.0,50.0,4.0,18.0,25.0,1.0,1.0,23.0,12.0,17.0,35.0,7.0,38.0,8.0,40.0,19.0,4.0,1.0,19.0,,,6.0,31.0,4.0,8.0,,,12.0,19.0,,,2.0,9.0,4.0,11.0,2.0,16.0,14.0,33.0,4.0,4.0,2.0,4.0,,6.0,7.0,7.0,4.0,2.0,,,2.0,,,1.0,1.0,,1.0,,23.0,1.0,,,14.0,,3.0,,,,11.0,,10.0,14.0,,,,4.0,5.0,6.0,2.0,,2.0,,,4.0,4.0,,1.0,,,2.0,3.0,,,,,,4.0,,,,,4.0,,,,1.0,,4.0,1.0,,4.0,,,7.0,,,,,10.0,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
