,15,14,42,43,10,12,51,55,110,130,173,190,111,60,13,20,17,71,180,40,11,30,36,90,128,172,193,61,125,112,160,1122,311,56,70,1121,114,94,46,33,214,1711,84,141,81,841,16,231,28,120,874,100,73,26,44,80,163,211,101,124,52,31,154,150,1124,41,1821,27,22,831,57,50,334,25,138,91,181,23,45,191,182,192,1822,170,134,164,127,62,1123,1712,186,174,64,72,332,161,18,75,203,241,1723,1243,139,35,233,143,142,195,353,871,202,32,1721,21,234,341,129,331,1014,116,115,83,862,175,162,122,183,861,194,113,1383,74,151,171,256,842,1312,312,53,1041,131,356,873,333,833,121,145,54,85,133,253,213,140,1823,19,82,1125,1053,834,166,63,185,1044,232,1662,144,105,1231,152,87,1043,1384,1233,1241,86,196,1244,1246,37,1724,106,1832,34,1411,1722,153,1031,811,1313,863,92,39,1382,24,251,93,242,1621,1831,872,1622,1056,812,38,1013,1042,107,314,123,351,102,136,201,243,1211
AUS,24.0,29.0,330.0,330.0,404.0,65.0,137.0,5.0,66.0,44.0,182.0,239.0,73.0,48.0,76.0,242.0,37.0,62.0,57.0,203.0,3.0,54.0,165.0,105.0,23.0,41.0,57.0,51.0,3.0,60.0,9.0,5.0,7.0,1.0,26.0,3.0,16.0,10.0,72.0,1.0,14.0,7.0,42.0,22.0,21.0,45.0,16.0,2.0,2.0,62.0,17.0,32.0,12.0,8.0,2.0,20.0,1.0,1.0,1.0,1.0,5.0,10.0,8.0,5.0,5.0,13.0,10.0,1.0,1.0,3.0,38.0,68.0,1.0,8.0,5.0,2.0,4.0,2.0,1.0,1.0,1.0,10.0,5.0,4.0,1.0,6.0,2.0,8.0,3.0,6.0,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,,2.0,24.0,16.0,26.0,6.0,19.0,,3.0,,7.0,2.0,5.0,1.0,11.0,11.0,,1.0,,10.0,,,9.0,5.0,,,2.0,,1.0,,,,,,3.0,,,,9.0,,,,7.0,2.0,,2.0,,,,9.0,2.0,,,,1.0,6.0,,,,,,,,,,,,,,1.0,,3.0,,,,,2.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,1032.0,1678.0,13305.0,12393.0,14576.0,3350.0,11255.0,326.0,3342.0,1788.0,6440.0,7147.0,3057.0,2879.0,3075.0,11255.0,2162.0,3500.0,1370.0,10056.0,563.0,2822.0,7904.0,4272.0,444.0,2073.0,2762.0,822.0,418.0,3525.0,839.0,22.0,312.0,85.0,2076.0,53.0,1022.0,10.0,5521.0,383.0,209.0,64.0,1991.0,1133.0,612.0,889.0,593.0,205.0,24.0,3686.0,564.0,1926.0,936.0,609.0,148.0,1924.0,197.0,35.0,75.0,210.0,195.0,566.0,320.0,113.0,150.0,223.0,419.0,74.0,216.0,699.0,1330.0,1401.0,17.0,219.0,426.0,63.0,269.0,296.0,311.0,97.0,273.0,903.0,130.0,144.0,40.0,154.0,40.0,429.0,147.0,306.0,160.0,152.0,93.0,483.0,78.0,121.0,398.0,106.0,19.0,83.0,50.0,71.0,76.0,155.0,97.0,99.0,21.0,279.0,181.0,51.0,36.0,164.0,150.0,32.0,50.0,13.0,343.0,144.0,148.0,12.0,215.0,73.0,21.0,111.0,53.0,44.0,55.0,8.0,134.0,63.0,23.0,35.0,36.0,131.0,8.0,73.0,17.0,10.0,48.0,60.0,49.0,44.0,12.0,13.0,143.0,15.0,90.0,35.0,14.0,70.0,31.0,31.0,156.0,72.0,21.0,27.0,3.0,82.0,11.0,24.0,26.0,20.0,18.0,21.0,6.0,10.0,7.0,2.0,44.0,26.0,69.0,58.0,30.0,23.0,15.0,13.0,4.0,6.0,77.0,8.0,10.0,2.0,10.0,17.0,6.0,67.0,7.0,5.0,11.0,7.0,6.0,19.0,4.0,9.0,2.0,18.0,6.0,10.0,28.0,6.0,2.0,7.0,3.0,6.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,
BGD,1.0,2.0,34.0,31.0,31.0,1.0,18.0,,4.0,1.0,21.0,29.0,13.0,1.0,3.0,9.0,6.0,6.0,,4.0,2.0,8.0,12.0,15.0,,,4.0,6.0,2.0,32.0,3.0,,2.0,,3.0,,3.0,,19.0,1.0,,,,4.0,,4.0,,,,4.0,,3.0,6.0,2.0,,8.0,1.0,,,,,1.0,2.0,1.0,,2.0,2.0,,,,,24.0,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,29.0,34.0,722.0,651.0,409.0,99.0,405.0,5.0,73.0,43.0,173.0,287.0,60.0,89.0,112.0,291.0,245.0,112.0,82.0,435.0,5.0,133.0,369.0,135.0,11.0,57.0,61.0,93.0,11.0,76.0,17.0,2.0,18.0,1.0,95.0,2.0,11.0,,276.0,7.0,3.0,4.0,58.0,25.0,27.0,24.0,5.0,2.0,3.0,74.0,16.0,56.0,14.0,13.0,69.0,35.0,2.0,2.0,1.0,2.0,10.0,7.0,10.0,,2.0,2.0,,,7.0,4.0,68.0,55.0,,3.0,5.0,,49.0,7.0,15.0,,11.0,49.0,3.0,5.0,,3.0,,26.0,2.0,,10.0,5.0,8.0,22.0,,13.0,5.0,6.0,,,,3.0,,8.0,1.0,1.0,,3.0,3.0,,,12.0,1.0,,,,4.0,2.0,1.0,,1.0,3.0,1.0,,1.0,,,,8.0,6.0,1.0,,,,,2.0,,,,,,,,1.0,,,1.0,3.0,,,,1.0,2.0,,,,,2.0,,1.0,,7.0,,,,,,,2.0,2.0,3.0,2.0,2.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,5.0,33.0,317.0,296.0,197.0,135.0,70.0,,41.0,125.0,195.0,70.0,49.0,6.0,161.0,192.0,27.0,24.0,7.0,378.0,1.0,121.0,184.0,40.0,6.0,19.0,34.0,235.0,2.0,98.0,13.0,,21.0,,33.0,6.0,9.0,,270.0,5.0,,6.0,7.0,15.0,9.0,4.0,1.0,,,52.0,7.0,64.0,6.0,55.0,24.0,42.0,10.0,,,,5.0,16.0,7.0,1.0,,,12.0,3.0,,2.0,18.0,47.0,,6.0,10.0,6.0,2.0,1.0,16.0,,12.0,99.0,,,1.0,72.0,2.0,7.0,,1.0,,3.0,,10.0,5.0,3.0,2.0,10.0,,2.0,,,2.0,10.0,7.0,1.0,,,,,,,1.0,,,,4.0,1.0,,,,,,,7.0,,,,,,,,,,,,,,5.0,,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,37.0,,,,,,,,1.0,,,,,,4.0,,,,28.0,1.0,3.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,3.0,6.0,35.0,32.0,56.0,12.0,34.0,,9.0,,13.0,4.0,7.0,3.0,13.0,30.0,9.0,5.0,2.0,32.0,1.0,4.0,13.0,4.0,,9.0,2.0,,,6.0,,,,,,,,,25.0,,,,4.0,3.0,2.0,5.0,,,,7.0,,5.0,,,,19.0,,,,,,,,,,2.0,,,1.0,12.0,4.0,,,,1.0,,,,,,,4.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,4.0,25.0,370.0,345.0,177.0,65.0,207.0,,58.0,53.0,21.0,96.0,58.0,47.0,55.0,193.0,65.0,58.0,13.0,216.0,,51.0,145.0,36.0,9.0,35.0,9.0,51.0,2.0,13.0,7.0,,13.0,,34.0,1.0,8.0,,128.0,16.0,1.0,,16.0,11.0,6.0,19.0,2.0,,,40.0,4.0,35.0,9.0,14.0,,43.0,9.0,,,,8.0,4.0,15.0,1.0,,,7.0,,7.0,,71.0,54.0,,1.0,6.0,1.0,2.0,,8.0,,,19.0,2.0,,,2.0,3.0,15.0,2.0,5.0,1.0,,,11.0,3.0,1.0,10.0,7.0,,1.0,,,2.0,1.0,,,,,,,,2.0,10.0,,1.0,,3.0,2.0,,,2.0,,,,,,,,,1.0,,,,1.0,,2.0,,,,1.0,2.0,,,,1.0,,,,2.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,2.0,10.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,18.0,30.0,239.0,222.0,196.0,44.0,208.0,5.0,36.0,33.0,82.0,169.0,77.0,71.0,89.0,124.0,25.0,41.0,14.0,307.0,11.0,31.0,115.0,56.0,22.0,24.0,38.0,7.0,5.0,46.0,11.0,4.0,2.0,2.0,36.0,4.0,7.0,,76.0,2.0,3.0,7.0,7.0,24.0,8.0,18.0,6.0,1.0,,81.0,15.0,26.0,6.0,5.0,1.0,37.0,15.0,,,3.0,2.0,18.0,3.0,4.0,4.0,,,3.0,8.0,5.0,40.0,34.0,,2.0,17.0,4.0,9.0,1.0,9.0,,3.0,32.0,1.0,,,2.0,2.0,4.0,4.0,6.0,8.0,3.0,2.0,8.0,,6.0,30.0,6.0,1.0,,,1.0,,3.0,,1.0,5.0,16.0,3.0,3.0,4.0,,2.0,,,,4.0,3.0,,,4.0,,,1.0,3.0,,2.0,,38.0,1.0,,,,,,11.0,1.0,,,,1.0,1.0,,,4.0,,3.0,2.0,,1.0,,,,3.0,1.0,,,,,,,,1.0,,,,,,,2.0,2.0,1.0,1.0,,,,,,,,2.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
