,46,20,30,40,73,32,10,50,172,120,190,51,36,831,874,16,13,15,112,128,82,84,42,35,111,45,90,173,1124,62,43,14,57,141,130,841,25,60,80,193,22,52,61,70,100,56,110,192,26,195,1243,160,1123,125,1822,72,12,37,140,180,18,71,115,331,114,181,143,17,213,311,154,23,332,83,138,1711,175,1831,182,41,81,1821,101,163,233,31,33,862,174,191,11,44,129,185,131,194,38,186,145,234,1041,1712,139,333,164,171,1042,1384,55,161,86,142,214,231,28,871,353,1823,166,1014,124,132,842,74,1723,91,53,1043,24,64,1312,153,1724,1053,113,144,21,833,241,253,1044,19,1721,1241,1013,1121,54,1122,162,75,1383,170,85,150,27,1832,356,134,127,63,812,184,121,242,1313,312,183,122,151,133,203,252,106,211,256,201,334,105,123,861,152,39,1722,1056,344,87,202,872,1246,1233,92,196,1031,341,1311,873,1662,93,1213,314,243,34,137,116,1411,1621,834,863,1244,010,051,020,046,060,016,043,071,0841,042,090,0831,057,030,036,013,033,014,0214,012,0871,027,022,073,080,015,035,040,041,061,070,084,0874,017,0833,052,018,045,062,0331,019,081,044,023,025,050,026,055,011,0311,072,0253,031,024,083,032,0353,054,092,021,0241,0233,0873,037,0356,0842,0231,0332,091,0234,086,085,0811,056,075,064,0256,0333,053,---,0834,0232,232,136,1125,0314,811,074,0861,1054,087
nan,4857.0,11013.0,2367.0,9497.0,830.0,97.0,13410.0,1416.0,1834.0,3759.0,6624.0,9152.0,6652.0,458.0,481.0,622.0,2761.0,1056.0,3934.0,392.0,29.0,1565.0,10837.0,106.0,3455.0,300.0,3569.0,6176.0,230.0,304.0,10219.0,1430.0,1215.0,1583.0,1784.0,960.0,273.0,2513.0,1691.0,2336.0,245.0,203.0,764.0,1997.0,1982.0,47.0,3320.0,729.0,582.0,197.0,68.0,758.0,166.0,442.0,147.0,417.0,3046.0,67.0,222.0,1569.0,285.0,2940.0,177.0,147.0,1053.0,310.0,176.0,830.0,33.0,262.0,246.0,252.0,82.0,89.0,516.0,72.0,227.0,45.0,336.0,195.0,560.0,406.0,46.0,180.0,38.0,463.0,406.0,20.0,257.0,146.0,420.0,113.0,202.0,8.0,60.0,232.0,20.0,131.0,157.0,68.0,43.0,312.0,79.0,35.0,118.0,107.0,9.0,57.0,211.0,101.0,12.0,12.0,199.0,170.0,38.0,73.0,188.0,56.0,14.0,141.0,165.0,9.0,52.0,30.0,64.0,51.0,35.0,76.0,11.0,45.0,38.0,46.0,26.0,34.0,52.0,39.0,26.0,123.0,68.0,39.0,14.0,24.0,144.0,49.0,4.0,48.0,37.0,27.0,44.0,63.0,14.0,102.0,27.0,82.0,73.0,3.0,45.0,31.0,25.0,45.0,1.0,1.0,6.0,2.0,10.0,20.0,30.0,73.0,20.0,73.0,10.0,1.0,5.0,34.0,27.0,2.0,9.0,5.0,4.0,5.0,39.0,9.0,11.0,15.0,3.0,7.0,27.0,4.0,12.0,9.0,4.0,10.0,6.0,6.0,5.0,5.0,1.0,6.0,7.0,4.0,3.0,6.0,2.0,10.0,3.0,5.0,3.0,3.0,2.0,1272.0,982.0,1024.0,475.0,299.0,74.0,993.0,299.0,84.0,1102.0,342.0,84.0,174.0,299.0,676.0,314.0,45.0,115.0,38.0,321.0,5.0,6.0,17.0,102.0,200.0,95.0,20.0,865.0,31.0,90.0,222.0,169.0,66.0,81.0,12.0,27.0,24.0,12.0,35.0,29.0,13.0,53.0,9.0,58.0,27.0,116.0,51.0,17.0,51.0,43.0,45.0,2.0,79.0,4.0,18.0,16.0,24.0,1.0,2.0,4.0,6.0,6.0,5.0,9.0,11.0,3.0,16.0,10.0,8.0,4.0,2.0,3.0,2.0,3.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,1.0,,,,,,,
THA,14.0,24.0,10.0,43.0,,,45.0,11.0,4.0,,35.0,11.0,31.0,,4.0,,5.0,1.0,2.0,,,1.0,65.0,,15.0,,2.0,23.0,,,59.0,4.0,10.0,2.0,10.0,3.0,,14.0,13.0,2.0,,,9.0,7.0,5.0,,3.0,,1.0,,,1.0,,1.0,,,2.0,,,2.0,,2.0,,,1.0,4.0,,6.0,,1.0,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,1461.0,3134.0,815.0,2898.0,206.0,48.0,3583.0,403.0,690.0,918.0,1879.0,2809.0,2036.0,127.0,185.0,236.0,1352.0,410.0,1402.0,90.0,8.0,658.0,3952.0,21.0,837.0,124.0,1050.0,2259.0,142.0,68.0,3806.0,372.0,353.0,264.0,487.0,180.0,79.0,765.0,481.0,1051.0,65.0,75.0,299.0,622.0,492.0,23.0,954.0,233.0,131.0,29.0,22.0,180.0,90.0,112.0,24.0,88.0,744.0,26.0,69.0,501.0,49.0,830.0,74.0,42.0,267.0,53.0,29.0,239.0,17.0,78.0,55.0,72.0,33.0,34.0,142.0,8.0,19.0,,153.0,61.0,218.0,115.0,6.0,112.0,23.0,179.0,102.0,7.0,89.0,35.0,127.0,30.0,102.0,3.0,24.0,24.0,6.0,48.0,34.0,8.0,10.0,82.0,22.0,8.0,37.0,33.0,2.0,9.0,38.0,30.0,2.0,3.0,59.0,43.0,6.0,17.0,54.0,8.0,11.0,13.0,49.0,6.0,3.0,7.0,29.0,12.0,26.0,16.0,,17.0,11.0,5.0,6.0,9.0,26.0,4.0,14.0,27.0,23.0,10.0,3.0,8.0,33.0,15.0,,14.0,5.0,14.0,8.0,54.0,3.0,8.0,8.0,25.0,11.0,,9.0,5.0,2.0,8.0,,1.0,,,4.0,2.0,11.0,10.0,6.0,17.0,3.0,,1.0,7.0,3.0,,1.0,,,,2.0,3.0,4.0,,1.0,,3.0,,1.0,12.0,1.0,,,,,4.0,,,4.0,,,,,3.0,2.0,,1.0,4.0,,468.0,372.0,395.0,189.0,135.0,27.0,427.0,102.0,14.0,466.0,106.0,18.0,48.0,84.0,231.0,150.0,14.0,66.0,17.0,82.0,,,10.0,31.0,57.0,39.0,5.0,308.0,23.0,44.0,73.0,102.0,17.0,37.0,2.0,14.0,3.0,8.0,3.0,18.0,5.0,34.0,4.0,4.0,7.0,41.0,9.0,7.0,19.0,6.0,7.0,,26.0,4.0,4.0,4.0,5.0,1.0,,,3.0,3.0,1.0,5.0,,,1.0,,2.0,,5.0,,,3.0,1.0,1.0,,,,1.0,3.0,3.0,,,2.0,2.0,,,,,
BOL,,6.0,1.0,6.0,2.0,,3.0,,,,,3.0,2.0,,,,2.0,,1.0,,,1.0,5.0,,,,,3.0,,,4.0,,,,,,,,2.0,,,,,,,,1.0,,,,,2.0,,,,,6.0,,,,,3.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,234.0,501.0,165.0,435.0,23.0,13.0,557.0,59.0,88.0,121.0,315.0,488.0,337.0,29.0,36.0,13.0,166.0,25.0,235.0,16.0,3.0,49.0,789.0,8.0,187.0,11.0,148.0,361.0,19.0,19.0,761.0,66.0,99.0,67.0,130.0,55.0,11.0,105.0,80.0,43.0,7.0,20.0,47.0,69.0,60.0,4.0,185.0,28.0,17.0,2.0,3.0,29.0,17.0,12.0,4.0,6.0,143.0,2.0,19.0,57.0,8.0,149.0,,6.0,17.0,11.0,1.0,61.0,13.0,11.0,9.0,19.0,,,27.0,11.0,2.0,,17.0,2.0,24.0,30.0,,6.0,10.0,23.0,8.0,,48.0,21.0,14.0,10.0,2.0,,2.0,,,5.0,,,2.0,21.0,5.0,,2.0,3.0,,4.0,23.0,7.0,1.0,,7.0,8.0,,2.0,7.0,2.0,2.0,1.0,9.0,,1.0,1.0,,,6.0,,,5.0,,,,,5.0,4.0,,4.0,4.0,6.0,,4.0,3.0,1.0,,4.0,,9.0,,11.0,3.0,4.0,2.0,4.0,2.0,,5.0,,5.0,6.0,,,,,2.0,2.0,3.0,,,5.0,,,,2.0,,2.0,,,,,5.0,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,47.0,67.0,37.0,12.0,7.0,2.0,67.0,10.0,5.0,68.0,14.0,3.0,26.0,9.0,35.0,19.0,1.0,10.0,3.0,5.0,,,,,19.0,3.0,,39.0,,2.0,3.0,8.0,,5.0,,,5.0,,3.0,,4.0,,,,1.0,2.0,,,1.0,,,,8.0,,,1.0,1.0,,,,,,,,,,5.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,
IRL,26.0,78.0,30.0,78.0,16.0,2.0,103.0,12.0,10.0,25.0,42.0,79.0,79.0,3.0,8.0,4.0,21.0,9.0,17.0,3.0,,8.0,175.0,,21.0,2.0,20.0,50.0,,,156.0,10.0,38.0,7.0,15.0,5.0,,10.0,8.0,5.0,2.0,2.0,10.0,13.0,4.0,,21.0,4.0,7.0,,,5.0,,5.0,,3.0,31.0,,1.0,10.0,4.0,41.0,,,3.0,1.0,,12.0,,,3.0,2.0,,,2.0,1.0,,,1.0,,3.0,8.0,,,,3.0,4.0,,,1.0,2.0,,,,,,,2.0,,,,7.0,,,,,,,6.0,,,,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,11.0,5.0,1.0,4.0,,13.0,3.0,,13.0,,,3.0,,17.0,2.0,,,,,,1.0,,,,3.0,,11.0,,,,,2.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,150.0,209.0,28.0,248.0,14.0,,171.0,16.0,12.0,41.0,179.0,177.0,177.0,24.0,5.0,5.0,22.0,7.0,77.0,5.0,,16.0,241.0,,81.0,7.0,43.0,143.0,3.0,2.0,222.0,16.0,17.0,216.0,28.0,19.0,4.0,17.0,28.0,76.0,1.0,2.0,15.0,16.0,33.0,,92.0,7.0,14.0,,,8.0,3.0,14.0,,16.0,32.0,,13.0,40.0,6.0,22.0,,,21.0,3.0,38.0,23.0,,4.0,,1.0,4.0,,20.0,,6.0,1.0,19.0,2.0,20.0,16.0,,,,5.0,1.0,,,1.0,4.0,2.0,,,,,,1.0,7.0,,6.0,2.0,14.0,,,,,,6.0,2.0,,,2.0,,6.0,,1.0,5.0,3.0,6.0,,,,2.0,,,6.0,,,,,,,,,,,,,,,2.0,2.0,,,,4.0,,,,,3.0,3.0,1.0,2.0,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,9.0,16.0,12.0,33.0,7.0,,28.0,3.0,,22.0,5.0,5.0,2.0,6.0,19.0,2.0,,,,4.0,,,,6.0,,,,29.0,,1.0,,,,1.0,,,,,,,,,,4.0,1.0,4.0,5.0,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
NGA,109.0,200.0,66.0,162.0,9.0,2.0,363.0,22.0,24.0,59.0,140.0,241.0,47.0,6.0,2.0,4.0,63.0,10.0,43.0,13.0,,15.0,238.0,2.0,55.0,7.0,38.0,108.0,,4.0,236.0,21.0,31.0,8.0,42.0,40.0,3.0,23.0,23.0,22.0,3.0,1.0,8.0,42.0,26.0,,72.0,16.0,8.0,1.0,1.0,26.0,2.0,2.0,12.0,12.0,46.0,,,6.0,1.0,22.0,,,3.0,16.0,1.0,10.0,,4.0,,,3.0,,4.0,10.0,,,2.0,7.0,10.0,7.0,2.0,1.0,,1.0,3.0,,3.0,,9.0,,,,,,,7.0,3.0,4.0,1.0,7.0,3.0,,,2.0,,,12.0,3.0,,,,,6.0,,,4.0,,1.0,1.0,,,,,4.0,,,,,1.0,,,3.0,4.0,,,2.0,3.0,,,,,1.0,,,,,1.0,1.0,,,,,2.0,,6.0,,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,39.0,29.0,13.0,3.0,10.0,,14.0,,1.0,10.0,3.0,1.0,4.0,1.0,15.0,4.0,,1.0,,6.0,,,,5.0,3.0,,,3.0,,2.0,1.0,,,,,,,,,3.0,,3.0,,3.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,438.0,292.0,188.0,648.0,27.0,2.0,376.0,167.0,87.0,100.0,105.0,321.0,324.0,9.0,21.0,29.0,141.0,21.0,134.0,10.0,,35.0,522.0,6.0,259.0,7.0,97.0,111.0,1.0,5.0,483.0,49.0,98.0,105.0,131.0,34.0,50.0,76.0,40.0,14.0,15.0,4.0,189.0,55.0,60.0,,103.0,17.0,62.0,3.0,,71.0,9.0,6.0,4.0,7.0,157.0,10.0,8.0,14.0,22.0,63.0,1.0,8.0,32.0,21.0,,29.0,3.0,36.0,6.0,3.0,,,8.0,,4.0,,,14.0,3.0,4.0,3.0,7.0,,39.0,10.0,,24.0,3.0,22.0,32.0,5.0,,7.0,1.0,,4.0,3.0,,,8.0,4.0,3.0,2.0,7.0,,,6.0,34.0,,,10.0,2.0,,,1.0,2.0,2.0,8.0,9.0,1.0,,3.0,3.0,,5.0,10.0,,,,,,2.0,8.0,,,1.0,5.0,2.0,,,17.0,,,,10.0,2.0,2.0,7.0,,5.0,3.0,8.0,3.0,,1.0,3.0,,15.0,,,,,,2.0,,2.0,,1.0,,,,3.0,4.0,,2.0,,1.0,,,1.0,,2.0,,,2.0,,,,,,,,,,1.0,2.0,5.0,,,,,,,,,,,31.0,11.0,23.0,23.0,7.0,,37.0,,,44.0,3.0,,20.0,15.0,36.0,,,6.0,,10.0,,,,6.0,1.0,,3.0,86.0,,14.0,1.0,6.0,,,,2.0,1.0,5.0,10.0,,2.0,,,,8.0,8.0,6.0,,,5.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
