,57,114,130,160,172,42,173,190,14,20,40,874,17,15,46,12,13,36,10,80,90,51,30,60,43,71,100,111,353,141,16,181,112,180,193,33,50,150,1123,140,21,73,841,41,61,194,84,213,45,192,55,1014,231,241,31,52,70,1124,22,120,110,233,831,833,122,138,186,332,72,11,139,331,1821,311,124,153,1712,1723,191,1053,128,163,195,35,161,171,182,356,1721,23,129,174,81,32,170,93,1822,1711,53,813,26,113,203,1831,27,214,83,115,154,25,1823,1243,842,19,18,91,164,234,1043,127,125,202,56,143,64,834,862,62,166,1041,1125,152,145,37,1122,175,873,162,38,86,131,1384,44,871,1244,1233,1411,1724,82,1013,75,183,85,101,1031,1121,1241,253,54,133,28,24,116,121,34,63,1662,1383,142,144,102,1056,334,1312,355,105,106,151,1722,1313,1431,1832,74,256,243,92,333,211,1246,137,87,1044,39,344,861,134,232,136,1231,1621,341,312,196,1382,185,1311,201,1033,020,042,043,072,010,012,022,051,080,036,050,014,070,0874,040,046,073,090,026,031,017,0231,060,0831,013,071,011,030,015,081,057,0841,061,084,018,016,055,033,0356,083,086,032,052,075,0862,035,044,064,023,0311,045,037,082,0353,0331,0211,0213,0233,063,039,0234,021,025,0871,034,053,0241,0214,0833,062,019,027,0332,091,0253,0333,054,0341,0842,028,041,0232,074,056,---,0312,872,1414,1623,087,085,351,94
nan,1682.0,1277.0,1936.0,877.0,1891.0,12721.0,6458.0,7163.0,1727.0,12123.0,10672.0,520.0,955.0,982.0,5031.0,3214.0,3154.0,8369.0,15159.0,1794.0,4371.0,10823.0,3020.0,2932.0,11851.0,3503.0,2149.0,3517.0,230.0,1416.0,625.0,449.0,4157.0,1523.0,2524.0,548.0,1444.0,167.0,162.0,214.0,27.0,899.0,868.0,229.0,853.0,268.0,1590.0,60.0,356.0,946.0,406.0,239.0,248.0,113.0,625.0,165.0,2363.0,195.0,287.0,3987.0,3569.0,142.0,511.0,130.0,89.0,540.0,262.0,104.0,316.0,518.0,77.0,192.0,541.0,384.0,152.0,30.0,359.0,60.0,112.0,70.0,428.0,265.0,146.0,169.0,135.0,149.0,298.0,48.0,178.0,343.0,217.0,291.0,432.0,133.0,111.0,14.0,155.0,79.0,56.0,13.0,623.0,63.0,28.0,24.0,46.0,231.0,95.0,204.0,299.0,296.0,91.0,43.0,60.0,15.0,220.0,76.0,126.0,72.0,74.0,60.0,512.0,12.0,54.0,92.0,85.0,2.0,17.0,245.0,38.0,35.0,16.0,44.0,122.0,68.0,27.0,147.0,10.0,62.0,11.0,25.0,72.0,51.0,236.0,78.0,3.0,16.0,37.0,15.0,19.0,11.0,132.0,27.0,32.0,49.0,13.0,66.0,27.0,17.0,51.0,79.0,34.0,13.0,17.0,20.0,13.0,35.0,1.0,27.0,19.0,29.0,3.0,16.0,18.0,60.0,1.0,21.0,10.0,25.0,11.0,5.0,5.0,11.0,27.0,21.0,4.0,8.0,31.0,43.0,17.0,9.0,4.0,6.0,10.0,5.0,9.0,22.0,14.0,1.0,6.0,13.0,1.0,18.0,12.0,2.0,7.0,1.0,1.0,1.0,1108.0,1111.0,1048.0,29.0,1321.0,224.0,28.0,811.0,196.0,697.0,115.0,140.0,152.0,47.0,910.0,487.0,56.0,418.0,67.0,66.0,93.0,19.0,226.0,43.0,290.0,252.0,38.0,254.0,118.0,32.0,152.0,106.0,67.0,145.0,15.0,80.0,54.0,43.0,5.0,17.0,6.0,6.0,26.0,8.0,6.0,21.0,23.0,19.0,15.0,38.0,30.0,9.0,5.0,15.0,17.0,2.0,3.0,7.0,8.0,4.0,15.0,6.0,20.0,20.0,4.0,5.0,6.0,11.0,11.0,12.0,3.0,7.0,6.0,5.0,4.0,4.0,6.0,2.0,4.0,1.0,23.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,
TUR,61.0,4.0,38.0,2.0,27.0,181.0,74.0,223.0,15.0,130.0,120.0,4.0,56.0,1.0,111.0,37.0,34.0,80.0,158.0,19.0,37.0,101.0,61.0,62.0,174.0,2.0,22.0,78.0,8.0,21.0,2.0,7.0,92.0,3.0,7.0,1.0,30.0,8.0,15.0,2.0,,13.0,5.0,,34.0,8.0,6.0,2.0,3.0,3.0,3.0,4.0,,,3.0,9.0,10.0,2.0,1.0,50.0,57.0,2.0,1.0,,,17.0,35.0,,,1.0,,,1.0,4.0,,,3.0,,,1.0,1.0,19.0,2.0,,2.0,,1.0,3.0,1.0,5.0,,8.0,1.0,11.0,2.0,2.0,4.0,3.0,,,10.0,9.0,,,,1.0,1.0,1.0,6.0,5.0,,,1.0,,1.0,,,,,,2.0,,,,,,3.0,1.0,,,,,1.0,,,3.0,,,,,2.0,,9.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,5.0,,,,2.0,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,36.0,98.0,98.0,,34.0,3.0,,7.0,3.0,16.0,,3.0,,3.0,14.0,16.0,2.0,13.0,,,3.0,,7.0,,,,,5.0,,,,,1.0,5.0,,,2.0,,2.0,,,,,,3.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
USA,551.0,327.0,533.0,235.0,628.0,5054.0,2334.0,2102.0,512.0,3542.0,3364.0,239.0,310.0,409.0,1867.0,767.0,1397.0,2813.0,4296.0,472.0,1381.0,3872.0,887.0,843.0,4873.0,1131.0,517.0,986.0,64.0,275.0,208.0,32.0,1436.0,508.0,1235.0,158.0,338.0,29.0,75.0,34.0,10.0,215.0,181.0,70.0,362.0,57.0,540.0,15.0,103.0,313.0,165.0,28.0,90.0,27.0,218.0,57.0,760.0,96.0,67.0,1081.0,896.0,31.0,115.0,37.0,11.0,151.0,89.0,28.0,109.0,180.0,15.0,51.0,153.0,93.0,76.0,1.0,117.0,17.0,26.0,16.0,117.0,138.0,41.0,51.0,69.0,39.0,139.0,7.0,37.0,71.0,89.0,78.0,191.0,47.0,23.0,4.0,26.0,8.0,28.0,,197.0,17.0,3.0,,18.0,68.0,32.0,127.0,67.0,66.0,22.0,30.0,6.0,18.0,20.0,11.0,53.0,1.0,15.0,10.0,86.0,4.0,8.0,13.0,41.0,8.0,7.0,62.0,16.0,4.0,6.0,9.0,32.0,25.0,5.0,10.0,2.0,31.0,10.0,10.0,36.0,18.0,61.0,14.0,3.0,1.0,,7.0,6.0,2.0,37.0,15.0,6.0,15.0,4.0,20.0,6.0,2.0,7.0,9.0,4.0,1.0,5.0,2.0,5.0,19.0,1.0,18.0,,3.0,,,2.0,12.0,,1.0,3.0,6.0,2.0,2.0,2.0,,6.0,,,,15.0,5.0,6.0,2.0,,3.0,6.0,,,12.0,,,,4.0,,,,,3.0,,5.0,,344.0,432.0,385.0,6.0,350.0,66.0,9.0,272.0,50.0,214.0,26.0,40.0,44.0,21.0,279.0,170.0,20.0,131.0,13.0,14.0,29.0,4.0,57.0,8.0,135.0,78.0,9.0,73.0,51.0,14.0,52.0,27.0,44.0,61.0,6.0,10.0,17.0,6.0,,3.0,1.0,9.0,3.0,6.0,,3.0,6.0,2.0,3.0,10.0,8.0,3.0,4.0,2.0,2.0,,,4.0,1.0,4.0,,5.0,5.0,2.0,1.0,2.0,,3.0,4.0,10.0,3.0,,,,,2.0,5.0,,,1.0,13.0,2.0,,,,,,,5.0,2.0,2.0,,
DEU,73.0,12.0,37.0,11.0,24.0,224.0,53.0,67.0,51.0,188.0,187.0,13.0,9.0,4.0,114.0,59.0,38.0,153.0,134.0,38.0,57.0,151.0,58.0,37.0,208.0,33.0,29.0,51.0,6.0,12.0,2.0,,84.0,2.0,12.0,1.0,24.0,1.0,9.0,,,10.0,6.0,2.0,13.0,4.0,11.0,,8.0,4.0,2.0,5.0,,,28.0,1.0,28.0,16.0,4.0,49.0,56.0,,3.0,,,7.0,4.0,,,10.0,,,2.0,1.0,1.0,,,1.0,3.0,,3.0,1.0,,,,1.0,8.0,,,4.0,,5.0,2.0,,2.0,,1.0,2.0,,,8.0,,2.0,,2.0,1.0,1.0,1.0,,7.0,1.0,,,,1.0,1.0,8.0,,,,,,2.0,2.0,4.0,,,1.0,,,2.0,,,,,,,,,,,1.0,16.0,,6.0,,,,,,3.0,,,,,,,,,4.0,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,18.0,22.0,20.0,,21.0,14.0,,4.0,5.0,21.0,,8.0,,,26.0,17.0,,7.0,,2.0,8.0,,7.0,,,6.0,,7.0,,1.0,4.0,,,,,,,,,,,,,1.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
ITA,72.0,2.0,6.0,1.0,11.0,154.0,34.0,46.0,5.0,87.0,80.0,4.0,26.0,2.0,65.0,26.0,18.0,61.0,81.0,7.0,22.0,88.0,36.0,22.0,133.0,10.0,21.0,24.0,,6.0,2.0,2.0,50.0,4.0,10.0,6.0,3.0,3.0,,,,9.0,2.0,,22.0,4.0,6.0,,1.0,,1.0,,,,3.0,,13.0,1.0,,19.0,17.0,2.0,1.0,,,1.0,2.0,,,,,,,,,,5.0,,,,,,2.0,2.0,,1.0,4.0,,3.0,,,2.0,,5.0,,,,,,,6.0,,,,,,,1.0,2.0,1.0,,,,3.0,1.0,,,,,,,,,2.0,,,,12.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,5.0,,4.0,6.0,,2.0,2.0,2.0,,1.0,,,6.0,15.0,1.0,1.0,,,,,,,2.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,40.0,,3.0,1.0,7.0,27.0,2.0,4.0,,22.0,19.0,1.0,1.0,,2.0,1.0,3.0,12.0,29.0,3.0,16.0,13.0,9.0,3.0,24.0,7.0,,2.0,,,,,6.0,,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,9.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,,3.0,,,4.0,1.0,,,,,,2.0,,,1.0,,,,,3.0,,1.0,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,121.0,23.0,157.0,23.0,105.0,718.0,302.0,366.0,82.0,478.0,442.0,29.0,46.0,44.0,220.0,169.0,177.0,357.0,485.0,88.0,113.0,548.0,156.0,82.0,683.0,152.0,109.0,187.0,3.0,41.0,29.0,7.0,144.0,44.0,59.0,8.0,87.0,3.0,3.0,7.0,,11.0,43.0,9.0,53.0,2.0,49.0,6.0,5.0,16.0,17.0,5.0,17.0,4.0,11.0,5.0,89.0,10.0,11.0,139.0,170.0,8.0,35.0,,1.0,29.0,4.0,2.0,9.0,13.0,1.0,8.0,13.0,10.0,8.0,,8.0,2.0,2.0,,11.0,10.0,3.0,9.0,4.0,3.0,13.0,3.0,16.0,2.0,5.0,13.0,8.0,14.0,2.0,5.0,11.0,3.0,2.0,,13.0,2.0,1.0,,2.0,8.0,3.0,5.0,12.0,11.0,12.0,1.0,1.0,3.0,7.0,1.0,5.0,1.0,7.0,,13.0,,,3.0,,,2.0,22.0,1.0,,2.0,2.0,4.0,4.0,2.0,1.0,,,1.0,2.0,,1.0,10.0,1.0,,,,,2.0,,8.0,1.0,5.0,1.0,,3.0,,,,17.0,2.0,2.0,,3.0,,3.0,,,4.0,1.0,,15.0,,,,3.0,,,,,,,,2.0,,,1.0,7.0,,,,3.0,,,,,,,,,,16.0,,,,,1.0,,57.0,133.0,124.0,,71.0,20.0,6.0,48.0,12.0,35.0,8.0,15.0,8.0,2.0,36.0,23.0,3.0,22.0,2.0,2.0,11.0,3.0,24.0,2.0,15.0,16.0,,9.0,4.0,,3.0,2.0,6.0,6.0,,,7.0,1.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,3.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,
EUR,111.0,3.0,42.0,16.0,27.0,245.0,17.0,85.0,21.0,181.0,249.0,20.0,9.0,8.0,115.0,80.0,48.0,163.0,143.0,35.0,23.0,158.0,67.0,47.0,241.0,55.0,39.0,71.0,1.0,3.0,,1.0,48.0,1.0,6.0,,65.0,2.0,,,,7.0,2.0,,75.0,,20.0,,12.0,24.0,1.0,,,2.0,4.0,2.0,32.0,7.0,5.0,43.0,40.0,2.0,1.0,,,16.0,9.0,,,1.0,4.0,1.0,,7.0,,,,,3.0,,14.0,16.0,,4.0,6.0,,2.0,2.0,,4.0,8.0,2.0,2.0,4.0,1.0,2.0,2.0,,2.0,,21.0,,,,2.0,,1.0,,4.0,10.0,,,,1.0,2.0,,8.0,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,3.0,,4.0,,,,,,1.0,,,,,,,,2.0,,4.0,4.0,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,9.0,15.0,15.0,,9.0,4.0,,3.0,2.0,7.0,1.0,4.0,2.0,,17.0,13.0,,6.0,,1.0,4.0,,2.0,,3.0,5.0,,1.0,,,9.0,,3.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
FRA,92.0,5.0,17.0,6.0,28.0,336.0,100.0,103.0,29.0,189.0,218.0,32.0,14.0,11.0,158.0,31.0,68.0,251.0,231.0,26.0,29.0,145.0,62.0,35.0,318.0,28.0,25.0,80.0,3.0,11.0,12.0,1.0,42.0,13.0,57.0,5.0,5.0,8.0,2.0,,,4.0,11.0,2.0,15.0,,22.0,4.0,1.0,9.0,3.0,,5.0,,17.0,1.0,21.0,2.0,1.0,44.0,25.0,3.0,,4.0,3.0,2.0,9.0,1.0,2.0,11.0,1.0,,8.0,5.0,1.0,6.0,1.0,1.0,2.0,,3.0,3.0,1.0,,,,6.0,2.0,,,,,3.0,16.0,2.0,,,1.0,,,20.0,3.0,,,,2.0,,4.0,11.0,2.0,,,1.0,,4.0,,,,1.0,,1.0,,,3.0,,,,8.0,,,,,,,,,,,,,,,9.0,,,,,,,,1.0,,,1.0,,,1.0,,3.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,13.0,46.0,45.0,,16.0,3.0,,17.0,1.0,8.0,5.0,,3.0,6.0,49.0,13.0,,1.0,3.0,1.0,2.0,,7.0,,,4.0,1.0,6.0,,,7.0,,,,,1.0,,1.0,,,,,,,,2.0,2.0,,,,2.0,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
