,190,112,1712,10,20,40,30,110,120,11,124,71,26,55,1123,46,36,42,173,43,60,61,841,57,51,130,22,182,80,160,214,111,100,192,62,193,171,13,14,84,139,172,180,17,1821,50,90,12,311,70,23,15,35,181,125,141,175,231,138,75,1124,73,52,45,114,1723,191,142,831,154,18,353,128,150,170,81,163,1622,145,332,56,194,72,871,1721,356,1384,1722,186,195,153,32,833,241,25,1383,874,115,164,33,54,1014,842,211,16,113,1241,129,1711,83,313,31,37,140,161,162,82,133,174,183,152,1823,122,151,91,44,1041,1411,1043,834,213,166,127,334,1822,1121,53,233,27,144,253,131,873,234,1724,331,143,39,107,1244,1013,34,1053,1233,1312,333,1832,41,38,19,21,87,28,1044,102,1056,203,86,105,101,1246,1831,862,243,85,106,232,202,256,134,1243,123,1031,1122,24,63,74,341,861,251,1621,64,93,1313,185,244,121,94,344,811,872,312,137,136,92
nan,4231.0,1893.0,192.0,8060.0,6131.0,6191.0,1581.0,1733.0,1923.0,215.0,78.0,1611.0,480.0,118.0,100.0,2790.0,4283.0,7444.0,2942.0,6864.0,1282.0,485.0,475.0,712.0,5632.0,1038.0,121.0,172.0,1262.0,471.0,144.0,1715.0,1071.0,515.0,117.0,1461.0,59.0,1767.0,846.0,817.0,29.0,975.0,723.0,614.0,200.0,830.0,1986.0,1678.0,169.0,1019.0,178.0,411.0,88.0,151.0,153.0,815.0,160.0,124.0,249.0,61.0,72.0,560.0,134.0,189.0,517.0,66.0,58.0,29.0,236.0,186.0,143.0,72.0,267.0,120.0,70.0,259.0,170.0,4.0,103.0,51.0,49.0,85.0,185.0,59.0,116.0,50.0,25.0,16.0,121.0,68.0,39.0,69.0,51.0,20.0,117.0,11.0,354.0,118.0,139.0,163.0,30.0,76.0,15.0,22.0,304.0,12.0,13.0,117.0,50.0,37.0,2.0,229.0,62.0,147.0,61.0,39.0,32.0,61.0,92.0,36.0,25.0,70.0,17.0,21.0,27.0,65.0,43.0,29.0,24.0,7.0,4.0,29.0,40.0,18.0,101.0,26.0,44.0,42.0,30.0,25.0,11.0,16.0,12.0,32.0,8.0,63.0,72.0,5.0,12.0,10.0,6.0,5.0,26.0,10.0,10.0,7.0,2.0,67.0,4.0,11.0,19.0,13.0,58.0,15.0,1.0,17.0,10.0,9.0,12.0,9.0,9.0,13.0,9.0,10.0,19.0,7.0,7.0,9.0,10.0,10.0,6.0,1.0,2.0,3.0,1.0,11.0,14.0,1.0,2.0,3.0,11.0,10.0,2.0,1.0,2.0,1.0,2.0,6.0,2.0,,,,,,
CAN,53.0,15.0,1.0,121.0,116.0,106.0,40.0,25.0,16.0,6.0,,26.0,1.0,,,77.0,60.0,242.0,77.0,206.0,23.0,33.0,3.0,39.0,92.0,20.0,3.0,2.0,13.0,6.0,2.0,20.0,11.0,10.0,,22.0,2.0,33.0,10.0,13.0,,24.0,5.0,3.0,1.0,23.0,24.0,42.0,8.0,13.0,15.0,7.0,,1.0,,2.0,,4.0,7.0,7.0,5.0,4.0,2.0,,7.0,2.0,,7.0,2.0,1.0,,3.0,,,,8.0,8.0,,,,,,1.0,3.0,,2.0,,,4.0,,,,2.0,,,,6.0,,,,,,,1.0,4.0,,,,,1.0,,7.0,,2.0,,,,,3.0,,,,,,,2.0,,,,,2.0,2.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
NGA,84.0,69.0,,280.0,169.0,105.0,42.0,57.0,59.0,1.0,,16.0,10.0,,,96.0,33.0,180.0,104.0,177.0,36.0,7.0,24.0,,165.0,32.0,2.0,,23.0,2.0,3.0,51.0,31.0,8.0,,16.0,,36.0,21.0,14.0,1.0,9.0,20.0,10.0,35.0,8.0,22.0,34.0,4.0,22.0,1.0,4.0,1.0,15.0,5.0,16.0,1.0,,1.0,,,9.0,4.0,8.0,5.0,,1.0,2.0,16.0,2.0,13.0,,2.0,1.0,,4.0,1.0,,7.0,1.0,1.0,,6.0,,2.0,,,,,,,3.0,,8.0,11.0,,4.0,11.0,,4.0,,9.0,,,11.0,,,,2.0,,,2.0,,4.0,1.0,,,2.0,1.0,1.0,3.0,1.0,,,,,1.0,6.0,,,5.0,,1.0,,,1.0,,1.0,10.0,,,,,3.0,,,2.0,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
PAK,41.0,22.0,7.0,117.0,72.0,110.0,24.0,19.0,37.0,1.0,1.0,11.0,18.0,1.0,3.0,65.0,217.0,164.0,34.0,149.0,12.0,8.0,8.0,10.0,128.0,4.0,,1.0,14.0,9.0,,13.0,20.0,2.0,,31.0,,27.0,8.0,10.0,,8.0,3.0,11.0,2.0,16.0,15.0,26.0,,12.0,,7.0,3.0,,3.0,14.0,,,3.0,,,4.0,4.0,,1.0,,3.0,,1.0,3.0,1.0,4.0,,,3.0,1.0,,,6.0,,10.0,,4.0,,1.0,,,,5.0,1.0,,,6.0,,5.0,,1.0,,4.0,,,2.0,,,8.0,,,,,1.0,,1.0,,,5.0,,,1.0,5.0,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,1165.0,496.0,14.0,2008.0,1635.0,1854.0,402.0,420.0,355.0,82.0,31.0,479.0,117.0,39.0,17.0,907.0,1252.0,2721.0,912.0,2565.0,350.0,158.0,111.0,224.0,1645.0,238.0,30.0,73.0,301.0,130.0,35.0,445.0,200.0,184.0,14.0,515.0,26.0,809.0,225.0,287.0,10.0,299.0,201.0,186.0,26.0,284.0,611.0,378.0,41.0,353.0,29.0,158.0,17.0,41.0,43.0,145.0,17.0,44.0,52.0,47.0,20.0,81.0,23.0,42.0,71.0,9.0,13.0,1.0,18.0,60.0,38.0,19.0,37.0,20.0,7.0,90.0,60.0,,12.0,4.0,12.0,14.0,38.0,20.0,15.0,32.0,2.0,10.0,18.0,18.0,3.0,24.0,6.0,6.0,15.0,5.0,134.0,59.0,51.0,33.0,2.0,12.0,4.0,8.0,62.0,7.0,3.0,59.0,10.0,5.0,,92.0,22.0,27.0,38.0,9.0,5.0,1.0,29.0,8.0,,15.0,5.0,7.0,10.0,50.0,1.0,,6.0,4.0,2.0,4.0,12.0,7.0,2.0,7.0,6.0,9.0,4.0,7.0,2.0,4.0,5.0,4.0,3.0,21.0,11.0,1.0,,,2.0,,13.0,6.0,2.0,2.0,1.0,31.0,,,1.0,2.0,29.0,3.0,1.0,6.0,1.0,5.0,,3.0,1.0,,,,16.0,3.0,1.0,,1.0,3.0,3.0,1.0,,,,2.0,4.0,,,,3.0,6.0,,3.0,,,,,,,,,,,
CHN,34.0,39.0,,220.0,229.0,535.0,93.0,67.0,50.0,16.0,,23.0,19.0,5.0,,259.0,254.0,310.0,85.0,301.0,27.0,135.0,12.0,67.0,178.0,38.0,1.0,3.0,55.0,34.0,,52.0,42.0,17.0,,11.0,,61.0,46.0,16.0,,48.0,3.0,16.0,,86.0,39.0,48.0,19.0,34.0,3.0,5.0,13.0,,8.0,43.0,3.0,2.0,6.0,1.0,4.0,2.0,2.0,1.0,9.0,,,,1.0,,3.0,1.0,3.0,,7.0,17.0,29.0,,3.0,,,1.0,2.0,20.0,5.0,54.0,,,4.0,,,1.0,4.0,1.0,8.0,,6.0,1.0,29.0,3.0,13.0,,,3.0,14.0,,,,,,,6.0,10.0,,7.0,,,,7.0,,2.0,,6.0,,,33.0,,,3.0,,,,,1.0,1.0,,8.0,,,,,,,2.0,,2.0,3.0,,,,1.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,8.0,,,,,2.0,,,,,,,,3.0,,,,,
CHE,1.0,2.0,,26.0,28.0,34.0,10.0,4.0,8.0,,,11.0,5.0,1.0,,23.0,18.0,29.0,9.0,24.0,7.0,1.0,1.0,11.0,36.0,1.0,3.0,,11.0,2.0,,17.0,,,,2.0,,3.0,,2.0,,2.0,,4.0,,1.0,9.0,4.0,,,,6.0,,,,7.0,,7.0,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
PSE,50.0,21.0,,61.0,49.0,36.0,19.0,27.0,58.0,4.0,,22.0,,,2.0,21.0,35.0,94.0,80.0,78.0,10.0,,18.0,3.0,58.0,13.0,,3.0,16.0,11.0,,49.0,12.0,7.0,,9.0,,15.0,15.0,23.0,,1.0,5.0,2.0,,13.0,10.0,28.0,3.0,4.0,,1.0,1.0,7.0,24.0,29.0,2.0,3.0,1.0,6.0,,6.0,3.0,8.0,2.0,,4.0,,,,,,1.0,,6.0,2.0,21.0,,,,,12.0,2.0,,,2.0,,,4.0,,,,1.0,,,,,,3.0,3.0,4.0,,,,3.0,,,,3.0,,,,,4.0,10.0,17.0,,3.0,,,,,,,,16.0,,,,,,,7.0,,1.0,,,,,,4.0,,,,,4.0,4.0,,,,,,2.0,3.0,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
AFG,325.0,5.0,3.0,46.0,15.0,85.0,24.0,9.0,23.0,,,2.0,3.0,,13.0,203.0,26.0,111.0,12.0,105.0,17.0,,7.0,1.0,36.0,11.0,,10.0,6.0,11.0,,24.0,8.0,1.0,3.0,11.0,,32.0,6.0,6.0,,3.0,22.0,5.0,,40.0,4.0,11.0,,5.0,,28.0,3.0,,,2.0,,,4.0,,3.0,5.0,,,,,,,,,,,3.0,4.0,,,,,,,,22.0,7.0,,,6.0,,,3.0,16.0,,,,,,,8.0,,9.0,1.0,,,1.0,,7.0,,,,,,,,,,2.0,,,,1.0,6.0,,,,,,8.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,6.0,,,,,3.0,5.0,,,,,,,1.0,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,,
