,192,112,36,40,20,10,51,181,173,186,180,71,874,190,115,128,100,42,193,43,841,1053,70,45,80,13,16,30,46,52,130,114,57,60,110,111,172,31,120,62,11,14,50,182,61,1123,1243,72,331,41,63,90,170,174,32,1712,12,15,17,23,73,138,160,84,842,163,214,26,1823,231,124,154,1821,22,33,125,44,356,353,164,150,831,129,141,25,161,139,142,311,81,122,1241,1041,332,35,140,1233,175,75,145,1124,64,55,241,131,1721,191,194,53,233,134,21,1121,213,1014,185,171,56,195,251,1711,1044,334,166,39,232,101,1723,833,19,143,151,105,92,28,1831,91,18,862,38,202,116,133,153,1031,1724,871,1244,27,127,54,113,211,333,83,85,74,1822,1312,1043,1384,234,873,37,82,253,137,314,1056,1383,256,1411,183,34,144,1013,201,203,24,107,102,1246,1722,1122,312,355,341,1054,123,152,136,86,162,1832,1412,1213,165,106,94,121,87,196,243,811,93,1231,834,1234,861,244,1413,313,254,1621,1311,242,1125,1211,863,184
nan,855.0,4229.0,7855.0,10216.0,12013.0,15377.0,9746.0,307.0,6447.0,191.0,1531.0,3223.0,747.0,6404.0,332.0,604.0,2138.0,12088.0,2141.0,11350.0,1014.0,80.0,1965.0,375.0,2036.0,3388.0,666.0,2896.0,5182.0,209.0,2032.0,1259.0,1409.0,2890.0,3380.0,3355.0,1739.0,630.0,3926.0,314.0,584.0,1665.0,1480.0,242.0,831.0,152.0,40.0,308.0,152.0,186.0,22.0,4241.0,155.0,255.0,151.0,272.0,3304.0,984.0,844.0,270.0,853.0,410.0,797.0,2104.0,83.0,250.0,266.0,676.0,85.0,210.0,192.0,204.0,580.0,205.0,423.0,411.0,245.0,49.0,221.0,155.0,154.0,540.0,405.0,1111.0,281.0,131.0,60.0,38.0,334.0,535.0,59.0,94.0,24.0,84.0,170.0,206.0,20.0,157.0,158.0,112.0,123.0,112.0,264.0,142.0,77.0,172.0,124.0,108.0,67.0,57.0,29.0,41.0,74.0,28.0,161.0,27.0,120.0,56.0,180.0,3.0,98.0,6.0,9.0,39.0,14.0,8.0,30.0,43.0,106.0,26.0,118.0,30.0,26.0,9.0,51.0,46.0,89.0,263.0,21.0,4.0,17.0,9.0,66.0,51.0,12.0,41.0,90.0,4.0,49.0,50.0,85.0,47.0,50.0,43.0,88.0,38.0,19.0,163.0,23.0,53.0,16.0,67.0,8.0,73.0,28.0,46.0,7.0,3.0,3.0,26.0,41.0,21.0,51.0,3.0,33.0,5.0,1.0,36.0,9.0,6.0,2.0,9.0,8.0,12.0,8.0,5.0,24.0,3.0,2.0,30.0,17.0,13.0,36.0,5.0,3.0,2.0,1.0,2.0,5.0,5.0,7.0,3.0,4.0,3.0,2.0,3.0,11.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,,,,,,
LBN,1.0,28.0,31.0,38.0,34.0,48.0,53.0,2.0,32.0,3.0,6.0,1.0,15.0,16.0,,,8.0,64.0,2.0,59.0,6.0,,5.0,,18.0,7.0,1.0,22.0,14.0,,16.0,1.0,,18.0,13.0,52.0,4.0,,14.0,3.0,,3.0,4.0,,,,1.0,,2.0,,,2.0,2.0,6.0,,1.0,23.0,,4.0,,2.0,,9.0,9.0,,50.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,5.0,2.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,331.0,1679.0,2690.0,2975.0,3469.0,4574.0,3272.0,93.0,2625.0,55.0,548.0,1124.0,289.0,2164.0,138.0,86.0,537.0,4682.0,858.0,4502.0,182.0,14.0,759.0,162.0,605.0,1449.0,242.0,931.0,1923.0,105.0,574.0,218.0,449.0,957.0,944.0,970.0,579.0,181.0,950.0,75.0,214.0,490.0,619.0,94.0,320.0,53.0,17.0,85.0,48.0,46.0,9.0,1259.0,27.0,69.0,27.0,66.0,829.0,450.0,346.0,80.0,195.0,95.0,291.0,689.0,16.0,145.0,105.0,208.0,30.0,56.0,85.0,57.0,104.0,69.0,132.0,100.0,66.0,12.0,51.0,44.0,19.0,110.0,235.0,222.0,83.0,61.0,8.0,3.0,118.0,236.0,19.0,41.0,3.0,15.0,39.0,36.0,4.0,7.0,69.0,22.0,40.0,36.0,125.0,79.0,53.0,51.0,15.0,15.0,28.0,25.0,9.0,6.0,31.0,11.0,15.0,3.0,37.0,13.0,26.0,1.0,6.0,,,5.0,9.0,2.0,17.0,15.0,22.0,9.0,22.0,5.0,3.0,3.0,4.0,1.0,18.0,86.0,12.0,,4.0,1.0,14.0,1.0,1.0,36.0,35.0,3.0,9.0,21.0,15.0,15.0,7.0,18.0,18.0,11.0,7.0,18.0,6.0,13.0,4.0,5.0,2.0,16.0,6.0,3.0,,,,6.0,11.0,,4.0,,7.0,,2.0,,2.0,,,11.0,2.0,,,1.0,4.0,1.0,,9.0,2.0,7.0,5.0,,,3.0,,3.0,,1.0,2.0,,2.0,,,1.0,9.0,3.0,,,,,,,,,,,,
GBR,41.0,267.0,441.0,588.0,734.0,815.0,690.0,11.0,264.0,15.0,49.0,139.0,48.0,359.0,10.0,89.0,101.0,1047.0,43.0,986.0,72.0,1.0,84.0,23.0,89.0,323.0,46.0,179.0,325.0,22.0,185.0,53.0,220.0,127.0,245.0,452.0,104.0,30.0,226.0,8.0,49.0,85.0,102.0,18.0,42.0,8.0,1.0,23.0,9.0,8.0,7.0,170.0,1.0,20.0,7.0,8.0,253.0,25.0,61.0,5.0,20.0,32.0,47.0,85.0,3.0,16.0,7.0,27.0,5.0,11.0,10.0,14.0,17.0,11.0,11.0,15.0,26.0,5.0,11.0,8.0,2.0,134.0,9.0,45.0,23.0,35.0,1.0,2.0,21.0,11.0,4.0,,2.0,5.0,3.0,2.0,,2.0,16.0,11.0,6.0,11.0,42.0,4.0,,5.0,2.0,4.0,13.0,,1.0,3.0,3.0,,,,6.0,,5.0,,1.0,,1.0,,,,1.0,6.0,1.0,,21.0,,,,3.0,7.0,1.0,23.0,2.0,,,,,,1.0,1.0,7.0,,2.0,6.0,2.0,2.0,,,4.0,,,9.0,1.0,2.0,2.0,1.0,,3.0,1.0,7.0,,,,,2.0,,2.0,,,,,,,2.0,,,,,2.0,,,,,2.0,18.0,7.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,
QAT,2.0,10.0,43.0,169.0,26.0,38.0,103.0,,9.0,2.0,,51.0,2.0,12.0,,,4.0,120.0,,129.0,1.0,,8.0,3.0,10.0,32.0,6.0,29.0,61.0,,6.0,1.0,87.0,2.0,5.0,7.0,7.0,2.0,8.0,2.0,,4.0,31.0,,4.0,,,2.0,,3.0,2.0,3.0,,3.0,,,7.0,8.0,,1.0,4.0,1.0,5.0,1.0,,29.0,,5.0,,,,,,,,,8.0,,,,,,,,2.0,7.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,4.0,61.0,59.0,179.0,93.0,155.0,99.0,1.0,63.0,5.0,3.0,15.0,8.0,96.0,,4.0,49.0,167.0,6.0,160.0,9.0,,11.0,7.0,23.0,39.0,22.0,33.0,97.0,5.0,70.0,7.0,60.0,32.0,42.0,76.0,12.0,2.0,66.0,4.0,5.0,11.0,31.0,,15.0,6.0,,9.0,,,,24.0,7.0,2.0,,5.0,33.0,10.0,20.0,,8.0,7.0,8.0,5.0,,9.0,2.0,10.0,,1.0,4.0,1.0,,3.0,2.0,,5.0,2.0,,11.0,,3.0,,12.0,35.0,5.0,,,10.0,6.0,4.0,2.0,,4.0,2.0,7.0,,,3.0,,,,,,2.0,,,10.0,,2.0,1.0,3.0,1.0,,,,,,2.0,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,,,,,8.0,,,,1.0,,,2.0,,1.0,,1.0,,,,,,,,,2.0,,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
EUR,11.0,26.0,166.0,275.0,278.0,157.0,174.0,4.0,44.0,,,58.0,10.0,37.0,,61.0,73.0,267.0,,244.0,11.0,,34.0,11.0,38.0,40.0,4.0,55.0,204.0,3.0,32.0,12.0,118.0,51.0,51.0,39.0,36.0,8.0,54.0,4.0,,18.0,102.0,,87.0,1.0,,3.0,3.0,4.0,,42.0,5.0,,3.0,,94.0,2.0,7.0,2.0,3.0,,11.0,15.0,,25.0,,22.0,,,6.0,11.0,2.0,,8.0,9.0,21.0,2.0,1.0,4.0,2.0,,,25.0,5.0,2.0,1.0,,29.0,1.0,,,,,1.0,4.0,,,9.0,,,,,,2.0,,8.0,,3.0,5.0,,,,,2.0,,,,7.0,,,,,,,,,,8.0,,,,,,,,,3.0,1.0,,2.0,,,,,,,,,7.0,,,,,,4.0,,,3.0,,,1.0,,5.0,3.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,4.0,,,,,,,,,,,,,,,2.0,1.0,,,,
CHN,35.0,97.0,234.0,382.0,371.0,330.0,230.0,11.0,196.0,5.0,20.0,80.0,27.0,136.0,1.0,9.0,61.0,476.0,12.0,430.0,25.0,,60.0,7.0,47.0,100.0,12.0,133.0,330.0,1.0,57.0,43.0,157.0,78.0,107.0,111.0,73.0,20.0,77.0,57.0,11.0,36.0,159.0,4.0,172.0,,,17.0,3.0,28.0,7.0,66.0,5.0,20.0,,9.0,79.0,20.0,29.0,3.0,13.0,7.0,34.0,42.0,,6.0,,18.0,,4.0,,14.0,,,8.0,8.0,19.0,4.0,2.0,15.0,22.0,1.0,10.0,30.0,29.0,9.0,,,30.0,7.0,,,,3.0,5.0,,,,10.0,,8.0,11.0,3.0,2.0,,11.0,1.0,4.0,1.0,,,,,,1.0,,1.0,1.0,,,3.0,,,15.0,,,1.0,,,,,,,,,2.0,4.0,1.0,,,,,,,,,9.0,,1.0,,7.0,,3.0,,,5.0,11.0,10.0,1.0,,2.0,,,,,9.0,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,2.0,1.0,,
AFG,,11.0,66.0,121.0,32.0,89.0,79.0,,38.0,1.0,8.0,4.0,21.0,180.0,,,8.0,125.0,20.0,120.0,2.0,,5.0,1.0,4.0,25.0,,44.0,184.0,1.0,13.0,,10.0,10.0,17.0,17.0,4.0,2.0,34.0,7.0,,6.0,88.0,2.0,11.0,7.0,,11.0,,,3.0,3.0,,12.0,1.0,5.0,19.0,6.0,1.0,5.0,,3.0,6.0,7.0,7.0,,10.0,11.0,,,,5.0,,,,16.0,2.0,8.0,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,6.0,5.0,2.0,,,,,1.0,,5.0,6.0,2.0,,,,,,,,,28.0,,,,,2.0,1.0,,,,,,,,2.0,,,1.0,2.0,5.0,,,,,,,,,,,5.0,,1.0,,,,,,2.0,,,,1.0,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,8.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
