,90,42,43,40,46,180,190,36,130,10,20,30,172,192,14,71,112,114,140,1822,11,111,62,13,57,110,23,51,80,160,33,163,17,35,1712,173,100,120,1821,1823,12,72,61,84,25,841,170,60,73,70,125,181,50,1721,1123,141,166,91,133,54,37,311,41,31,124,213,16,32,45,22,183,203,193,150,56,253,174,122,26,113,83,1244,75,231,128,1043,874,234,182,194,63,52,353,53,1044,331,191,15,81,161,186,332,1384,18,138,233,44,27,211,1121,831,115,1056,85,1243,171,214,1711,1014,39,175,1124,871,55,833,129,132,1241,82,195,862,19,241,144,143,202,1312,1383,1053,154,151,333,863,131,1246,1122,1724,185,28,64,93,121,127,1723,86,101,145,38,842,1831,134,164,162,106,873,21,861,152,334,74,153,356,1722,232,212,139,243,312,142,102,1041,1031,105,1411,196,256,341,1622,1233,811,1832,1231,92,872,201
CHN,52.0,249.0,211.0,165.0,115.0,9.0,69.0,163.0,59.0,166.0,158.0,54.0,34.0,7.0,20.0,53.0,86.0,13.0,6.0,9.0,6.0,83.0,4.0,59.0,42.0,59.0,6.0,167.0,30.0,10.0,2.0,21.0,14.0,4.0,1.0,77.0,36.0,94.0,2.0,4.0,77.0,23.0,70.0,24.0,7.0,31.0,3.0,70.0,23.0,27.0,12.0,2.0,54.0,14.0,2.0,32.0,2.0,1.0,1.0,12.0,12.0,11.0,3.0,5.0,1.0,2.0,5.0,4.0,4.0,9.0,1.0,1.0,16.0,16.0,2.0,2.0,5.0,1.0,7.0,6.0,1.0,5.0,4.0,2.0,9.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,4.0,3.0,7.0,2.0,3.0,3.0,4.0,9.0,1.0,8.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,2278.0,7789.0,7185.0,5481.0,3013.0,852.0,3962.0,4312.0,1224.0,9304.0,6971.0,1465.0,876.0,501.0,1087.0,1662.0,2215.0,751.0,97.0,101.0,374.0,2140.0,126.0,1873.0,607.0,2131.0,149.0,5773.0,1172.0,511.0,219.0,185.0,810.0,67.0,188.0,3745.0,1249.0,2214.0,206.0,41.0,2329.0,289.0,450.0,1229.0,199.0,647.0,103.0,1489.0,426.0,1138.0,177.0,195.0,727.0,83.0,108.0,777.0,14.0,39.0,35.0,32.0,31.0,167.0,164.0,262.0,105.0,12.0,474.0,80.0,165.0,138.0,43.0,19.0,1554.0,134.0,48.0,48.0,135.0,43.0,363.0,16.0,37.0,6.0,54.0,102.0,293.0,36.0,371.0,48.0,127.0,66.0,19.0,116.0,136.0,45.0,5.0,96.0,70.0,566.0,198.0,69.0,156.0,51.0,28.0,240.0,217.0,61.0,67.0,53.0,13.0,42.0,258.0,141.0,6.0,11.0,33.0,68.0,130.0,99.0,73.0,19.0,55.0,89.0,38.0,135.0,65.0,119.0,9.0,40.0,16.0,130.0,38.0,19.0,59.0,19.0,56.0,8.0,22.0,17.0,51.0,203.0,61.0,6.0,1.0,21.0,11.0,5.0,11.0,10.0,28.0,57.0,8.0,11.0,35.0,51.0,13.0,18.0,51.0,5.0,58.0,15.0,9.0,63.0,27.0,1.0,11.0,11.0,3.0,10.0,10.0,25.0,41.0,24.0,6.0,5.0,2.0,59.0,13.0,2.0,14.0,4.0,17.0,3.0,1.0,1.0,22.0,5.0,4.0,1.0,11.0,6.0,2.0,1.0,2.0,2.0,
USA,666.0,3348.0,3126.0,1888.0,1183.0,295.0,1151.0,1457.0,309.0,2561.0,2021.0,426.0,285.0,175.0,263.0,547.0,738.0,155.0,32.0,13.0,140.0,881.0,41.0,986.0,250.0,573.0,66.0,2036.0,324.0,151.0,91.0,162.0,384.0,16.0,30.0,1359.0,287.0,580.0,40.0,4.0,542.0,96.0,118.0,372.0,58.0,116.0,13.0,479.0,89.0,508.0,73.0,59.0,252.0,8.0,59.0,179.0,9.0,15.0,3.0,9.0,2.0,39.0,49.0,114.0,54.0,9.0,209.0,20.0,90.0,42.0,5.0,,703.0,30.0,8.0,10.0,45.0,13.0,119.0,7.0,8.0,4.0,45.0,32.0,64.0,7.0,176.0,5.0,71.0,35.0,9.0,42.0,50.0,23.0,,21.0,18.0,214.0,65.0,14.0,44.0,19.0,1.0,51.0,52.0,21.0,41.0,2.0,3.0,8.0,64.0,58.0,2.0,3.0,7.0,30.0,20.0,12.0,13.0,1.0,5.0,36.0,8.0,33.0,13.0,47.0,,17.0,7.0,22.0,,4.0,40.0,15.0,7.0,,15.0,9.0,10.0,55.0,4.0,2.0,1.0,8.0,,2.0,4.0,,13.0,22.0,,4.0,15.0,11.0,2.0,5.0,12.0,5.0,5.0,,1.0,7.0,8.0,,4.0,7.0,,12.0,2.0,3.0,1.0,9.0,,2.0,,6.0,12.0,2.0,,,4.0,,,1.0,,,,,2.0,,2.0,1.0,,,
CAN,97.0,296.0,284.0,112.0,57.0,17.0,99.0,61.0,42.0,233.0,138.0,39.0,26.0,12.0,13.0,37.0,40.0,8.0,,,7.0,31.0,,71.0,70.0,37.0,1.0,126.0,20.0,6.0,4.0,3.0,14.0,1.0,2.0,51.0,17.0,60.0,,,43.0,,39.0,27.0,3.0,10.0,,43.0,9.0,33.0,5.0,3.0,14.0,,2.0,1.0,,,,,2.0,11.0,,,7.0,2.0,2.0,4.0,1.0,3.0,,,55.0,,,1.0,,,11.0,,,,,1.0,12.0,,4.0,1.0,29.0,,,,3.0,,2.0,3.0,4.0,15.0,5.0,2.0,5.0,,,6.0,2.0,,,,2.0,1.0,8.0,,,,,,8.0,,,,,3.0,,5.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,2.0,,,,,3.0,2.0,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK,,14.0,13.0,20.0,38.0,,12.0,11.0,4.0,16.0,6.0,13.0,,,,,2.0,3.0,,2.0,,21.0,20.0,6.0,4.0,,,11.0,10.0,,,5.0,,,,13.0,6.0,1.0,,,1.0,,,4.0,,3.0,,,,,,,6.0,,,3.0,,,,,,,,,,,11.0,,,,,,,1.0,,6.0,,,3.0,,,6.0,,,,,,,,7.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,18.0,69.0,63.0,27.0,39.0,2.0,39.0,45.0,11.0,78.0,66.0,5.0,3.0,2.0,8.0,9.0,25.0,12.0,,,2.0,10.0,,17.0,12.0,13.0,2.0,45.0,10.0,9.0,1.0,,1.0,1.0,4.0,16.0,12.0,8.0,,,12.0,1.0,1.0,28.0,7.0,24.0,,9.0,4.0,8.0,1.0,6.0,21.0,,1.0,3.0,,,,,,,2.0,,,,1.0,2.0,1.0,2.0,2.0,,14.0,,,,,,3.0,,,,,1.0,,,3.0,,,,,,15.0,,,,,5.0,,,,1.0,,5.0,4.0,,,,,,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
JPN,20.0,96.0,89.0,83.0,59.0,37.0,58.0,42.0,10.0,118.0,66.0,56.0,9.0,9.0,16.0,6.0,12.0,8.0,2.0,,2.0,49.0,5.0,18.0,84.0,45.0,2.0,32.0,13.0,5.0,11.0,12.0,17.0,2.0,1.0,50.0,22.0,25.0,,,15.0,3.0,51.0,14.0,5.0,16.0,,12.0,2.0,14.0,,,16.0,3.0,,5.0,,,,,,7.0,4.0,9.0,3.0,,4.0,1.0,7.0,2.0,1.0,,6.0,2.0,1.0,,,,6.0,,,,1.0,2.0,1.0,18.0,,,8.0,1.0,,,,1.0,,1.0,,,2.0,1.0,4.0,,,4.0,4.0,,,,3.0,1.0,,,,,,2.0,1.0,,,18.0,,,,4.0,,,,,,8.0,,,,,,,2.0,,,,,,,,,,,,,3.0,,,4.0,,1.0,,3.0,4.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,
COG,,12.0,8.0,2.0,,,,,,3.0,2.0,1.0,6.0,3.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,,4.0,1.0,,,1.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,,18.0,13.0,,18.0,,,2.0,3.0,5.0,6.0,2.0,,3.0,,4.0,,,,,,1.0,,,,,,11.0,,,,1.0,,,,3.0,,1.0,,,4.0,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
