,36,42,13,173,43,10,100,190,15,130,14,84,831,81,111,50,12,30,35,90,46,51,40,20,57,141,841,26,140,214,175,1124,52,60,874,193,19,31,192,33,112,120,110,154,80,332,1041,150,37,145,163,170,41,62,1123,1243,180,181,172,1411,61,73,17,1821,70,23,231,311,32,71,1712,312,160,28,16,11,72,115,1822,183,114,171,27,124,125,164,75,185,186,56,1053,122,127,174,182,1043,128,138,1721,18,194,54,353,139,195,203,22,143,1724,91,133,55,113,191,21,25,39,45,1044,151,833,129,331,241,64,1711,161,213,44,1125,153,1121,83,871,1014,253,101,53,74,82,105,92,1384,1723,256,131,234,24,1722,63,333,233,152,94,1241,211,356,134,842,811,144,86,334,142,1832,1231,351,196,861,1312,166,85,1412,232,93,1823,1831,872,1383,38,1031,123,106,202,116,1233,162,1313,137,121,863,1056,341,1622,1246,1122,126,251,862,243,834,87,254,344,212,314,201,873,813,1054,102,244,132,1431,242,1621,255,1244
nan,7202.0,12427.0,3382.0,6870.0,11343.0,15850.0,2280.0,6224.0,1086.0,1993.0,1777.0,1994.0,762.0,777.0,3189.0,1346.0,3683.0,2860.0,167.0,4571.0,4830.0,9987.0,10572.0,12222.0,1452.0,1150.0,865.0,626.0,207.0,403.0,142.0,135.0,186.0,3008.0,546.0,2260.0,30.0,525.0,791.0,530.0,3793.0,4133.0,3564.0,298.0,2141.0,81.0,44.0,171.0,81.0,160.0,298.0,119.0,178.0,237.0,129.0,51.0,1374.0,299.0,1627.0,26.0,868.0,810.0,840.0,294.0,1920.0,386.0,207.0,415.0,159.0,3394.0,373.0,9.0,818.0,53.0,735.0,638.0,363.0,244.0,113.0,74.0,1146.0,115.0,94.0,212.0,367.0,187.0,114.0,13.0,162.0,54.0,122.0,75.0,50.0,245.0,266.0,75.0,623.0,351.0,153.0,191.0,117.0,74.0,189.0,81.0,142.0,39.0,226.0,105.0,31.0,91.0,99.0,241.0,69.0,169.0,49.0,275.0,55.0,440.0,36.0,57.0,152.0,169.0,154.0,105.0,100.0,88.0,84.0,42.0,138.0,19.0,45.0,90.0,89.0,59.0,118.0,39.0,51.0,63.0,52.0,36.0,16.0,4.0,58.0,37.0,19.0,45.0,84.0,6.0,6.0,47.0,19.0,102.0,24.0,21.0,39.0,40.0,71.0,37.0,39.0,9.0,52.0,18.0,10.0,34.0,16.0,8.0,3.0,6.0,13.0,40.0,33.0,17.0,1.0,22.0,7.0,60.0,44.0,2.0,21.0,26.0,5.0,1.0,22.0,17.0,2.0,7.0,28.0,4.0,7.0,7.0,3.0,13.0,6.0,4.0,47.0,6.0,4.0,1.0,28.0,6.0,6.0,18.0,1.0,4.0,3.0,5.0,1.0,8.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,
NZL,51.0,73.0,20.0,35.0,69.0,90.0,10.0,23.0,7.0,3.0,14.0,4.0,,1.0,21.0,32.0,38.0,16.0,5.0,10.0,26.0,68.0,72.0,73.0,13.0,10.0,6.0,2.0,,,,,,11.0,6.0,16.0,,1.0,7.0,,7.0,14.0,6.0,,6.0,,,,,,3.0,,,,,,7.0,,5.0,,28.0,,6.0,,4.0,2.0,2.0,2.0,,17.0,,,2.0,,,1.0,,,,,1.0,,,,6.0,1.0,7.0,,3.0,,1.0,,,5.0,,,3.0,,,,,,5.0,,,,,,,,,3.0,,,,1.0,,12.0,,,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,173.0,463.0,85.0,134.0,434.0,393.0,53.0,168.0,25.0,74.0,72.0,53.0,7.0,6.0,56.0,53.0,77.0,54.0,2.0,153.0,84.0,300.0,188.0,284.0,79.0,6.0,11.0,11.0,1.0,3.0,,2.0,7.0,57.0,17.0,78.0,,18.0,13.0,16.0,65.0,39.0,78.0,3.0,23.0,1.0,,3.0,,,1.0,,,4.0,2.0,5.0,40.0,,52.0,1.0,40.0,13.0,11.0,,45.0,7.0,7.0,12.0,1.0,93.0,5.0,,31.0,2.0,10.0,1.0,7.0,1.0,1.0,,18.0,1.0,,2.0,7.0,,,,3.0,,1.0,,,2.0,19.0,1.0,11.0,4.0,,2.0,,4.0,1.0,1.0,,,3.0,,,2.0,1.0,8.0,3.0,3.0,,2.0,,19.0,,,3.0,,2.0,,,1.0,9.0,,1.0,,,1.0,,,,1.0,,,,3.0,,,,1.0,1.0,1.0,1.0,,,,,9.0,,,,,1.0,1.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,
CHN,236.0,490.0,119.0,166.0,439.0,373.0,67.0,122.0,10.0,139.0,52.0,59.0,12.0,7.0,169.0,141.0,127.0,114.0,12.0,129.0,239.0,296.0,323.0,281.0,207.0,67.0,35.0,14.0,10.0,9.0,3.0,,,53.0,19.0,30.0,,12.0,11.0,10.0,201.0,123.0,110.0,50.0,46.0,3.0,,32.0,4.0,5.0,59.0,19.0,4.0,57.0,7.0,,8.0,7.0,55.0,,211.0,9.0,22.0,4.0,121.0,10.0,1.0,17.0,3.0,72.0,15.0,,32.0,1.0,55.0,4.0,6.0,1.0,7.0,6.0,35.0,6.0,,8.0,1.0,16.0,,,5.0,2.0,,2.0,5.0,4.0,5.0,4.0,8.0,44.0,12.0,10.0,3.0,8.0,,,10.0,3.0,4.0,1.0,2.0,4.0,5.0,3.0,2.0,3.0,,4.0,,5.0,8.0,9.0,3.0,6.0,8.0,,1.0,4.0,10.0,,7.0,21.0,,1.0,,2.0,3.0,2.0,,3.0,2.0,,,,1.0,,3.0,,,,,10.0,,,,,2.0,16.0,2.0,,,,,,1.0,,,,,,1.0,3.0,,5.0,,,4.0,,,,3.0,,,,,,,,1.0,4.0,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,
USA,2282.0,5047.0,1735.0,2622.0,4725.0,4524.0,555.0,1978.0,461.0,481.0,536.0,726.0,200.0,374.0,963.0,460.0,838.0,799.0,59.0,1438.0,2031.0,3202.0,3436.0,3674.0,406.0,273.0,197.0,175.0,43.0,133.0,5.0,43.0,85.0,897.0,243.0,948.0,7.0,179.0,229.0,142.0,1412.0,1141.0,1015.0,35.0,645.0,4.0,10.0,36.0,18.0,5.0,179.0,13.0,49.0,72.0,55.0,33.0,453.0,67.0,561.0,30.0,278.0,233.0,241.0,104.0,776.0,127.0,73.0,85.0,24.0,1199.0,116.0,3.0,259.0,18.0,229.0,216.0,75.0,162.0,5.0,11.0,299.0,41.0,9.0,72.0,99.0,70.0,38.0,8.0,66.0,13.0,17.0,12.0,9.0,124.0,144.0,6.0,127.0,85.0,42.0,65.0,25.0,22.0,50.0,17.0,33.0,3.0,44.0,21.0,9.0,25.0,39.0,80.0,14.0,43.0,21.0,47.0,51.0,142.0,8.0,38.0,36.0,81.0,31.0,56.0,36.0,9.0,27.0,6.0,56.0,9.0,1.0,41.0,25.0,9.0,28.0,8.0,12.0,23.0,7.0,13.0,12.0,,13.0,18.0,13.0,26.0,9.0,2.0,,18.0,3.0,22.0,7.0,3.0,12.0,5.0,11.0,3.0,9.0,1.0,20.0,3.0,2.0,6.0,6.0,4.0,,,,12.0,18.0,11.0,,4.0,2.0,7.0,,,4.0,1.0,3.0,,4.0,,,7.0,28.0,,3.0,7.0,,3.0,1.0,,1.0,2.0,,,3.0,6.0,,2.0,,,,3.0,,3.0,,,,,,2.0,,,,3.0
FIN,6.0,14.0,3.0,4.0,12.0,12.0,2.0,3.0,,1.0,1.0,4.0,,,2.0,4.0,,3.0,,4.0,14.0,3.0,27.0,5.0,6.0,,1.0,,,,,,,2.0,,1.0,,2.0,,,3.0,2.0,2.0,,3.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,164.0,382.0,186.0,317.0,351.0,620.0,83.0,171.0,66.0,100.0,58.0,27.0,22.0,109.0,129.0,140.0,108.0,141.0,6.0,295.0,337.0,269.0,602.0,329.0,118.0,52.0,18.0,4.0,12.0,84.0,8.0,8.0,6.0,88.0,12.0,90.0,1.0,22.0,33.0,11.0,259.0,155.0,123.0,12.0,147.0,9.0,,57.0,4.0,2.0,26.0,,12.0,70.0,,4.0,49.0,4.0,34.0,,29.0,5.0,11.0,,29.0,11.0,4.0,23.0,8.0,58.0,8.0,,16.0,1.0,109.0,21.0,18.0,,3.0,,121.0,1.0,6.0,3.0,33.0,1.0,8.0,,10.0,,1.0,,,6.0,14.0,,13.0,62.0,3.0,32.0,5.0,16.0,3.0,4.0,23.0,,,,,,10.0,27.0,,,,18.0,,5.0,,3.0,,4.0,5.0,1.0,10.0,6.0,7.0,,6.0,,,1.0,2.0,2.0,4.0,6.0,2.0,,,6.0,,3.0,4.0,,,,3.0,,2.0,2.0,,3.0,,,5.0,3.0,3.0,,8.0,1.0,,,,3.0,,,3.0,,,,,3.0,,,,4.0,,,,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,8.0,33.0,9.0,4.0,29.0,9.0,,15.0,,7.0,1.0,2.0,1.0,,3.0,15.0,2.0,33.0,,4.0,12.0,4.0,13.0,7.0,46.0,,,,,,,,,,6.0,,,1.0,11.0,,28.0,4.0,,,4.0,,,1.0,,,1.0,,,,,,,,,,8.0,1.0,4.0,1.0,5.0,,,,,,,,,,,7.0,,,,,4.0,,2.0,5.0,,10.0,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,221.0,149.0,52.0,17.0,132.0,175.0,25.0,25.0,3.0,37.0,11.0,11.0,9.0,1.0,44.0,109.0,89.0,93.0,1.0,40.0,167.0,124.0,172.0,221.0,61.0,2.0,15.0,26.0,1.0,,,,12.0,46.0,27.0,1.0,,,8.0,2.0,22.0,91.0,58.0,4.0,37.0,,,,,,12.0,,2.0,,,,1.0,2.0,22.0,,72.0,5.0,13.0,2.0,36.0,5.0,,8.0,2.0,50.0,,,8.0,,,1.0,1.0,,1.0,,14.0,,,,5.0,2.0,7.0,,4.0,,,,1.0,,,,17.0,,,,1.0,,1.0,5.0,,1.0,6.0,,,2.0,,,,1.0,,2.0,1.0,10.0,,,,1.0,5.0,1.0,,,2.0,,2.0,,,2.0,,,,3.0,,2.0,,,,,,,2.0,2.0,4.0,,,,,,,,,,14.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,2.0,,,1.0,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
