,190,10,13,60,195,40,203,173,20,42,193,841,51,141,43,90,128,36,100,33,1031,110,84,112,31,73,52,180,14,80,120,1014,1832,46,150,61,62,26,72,12,30,57,1123,25,16,15,171,17,55,71,111,115,125,130,162,160,70,1721,174,50,11,23,151,192,114,233,75,1124,122,35,871,231,129,1711,172,170,1821,182,45,154,194,81,256,181,874,27,191,138,175,356,18,1233,1384,1241,186,124,166,163,164,833,101,214,22,28,161,1121,64,93,311,32,140,831,131,41,353,144,842,56,1822,85,37,145,1712,152,143,53,1243,127,332,153,1053,1246,333,241,183,105,74,1056,202,91,113,1723,133,139,213,234,82,331,1621,1831,1722,1044,211,1043,83,39,1041,253,1823,232,44,134,24,21,813,344,107,312,1411,1724,54,872,862,19,873,63,1383,87,1312,1125,811,196,1313,1244,106,334,94,142,137,136,38,243,102,255,1013,92,242,244,86,201,1054
nan,4315.0,7608.0,1521.0,1210.0,111.0,4565.0,39.0,2661.0,6302.0,6561.0,2043.0,438.0,5612.0,831.0,6032.0,2181.0,232.0,3466.0,968.0,128.0,4.0,1685.0,827.0,1986.0,228.0,757.0,77.0,725.0,812.0,1051.0,1757.0,153.0,38.0,2139.0,141.0,365.0,202.0,315.0,195.0,1836.0,1169.0,514.0,104.0,145.0,311.0,453.0,76.0,565.0,132.0,1379.0,1899.0,149.0,128.0,982.0,18.0,476.0,1034.0,88.0,68.0,602.0,263.0,128.0,22.0,465.0,539.0,22.0,75.0,59.0,27.0,100.0,60.0,113.0,79.0,89.0,896.0,40.0,218.0,311.0,122.0,181.0,109.0,179.0,52.0,166.0,349.0,110.0,95.0,240.0,319.0,24.0,133.0,5.0,63.0,13.0,76.0,84.0,27.0,95.0,66.0,76.0,60.0,185.0,118.0,14.0,81.0,47.0,44.0,15.0,164.0,64.0,169.0,149.0,13.0,109.0,159.0,55.0,51.0,55.0,59.0,12.0,31.0,114.0,171.0,33.0,39.0,30.0,42.0,41.0,57.0,31.0,37.0,19.0,14.0,32.0,31.0,6.0,9.0,13.0,14.0,21.0,26.0,32.0,54.0,37.0,16.0,51.0,8.0,75.0,1.0,18.0,7.0,24.0,13.0,28.0,16.0,24.0,31.0,33.0,44.0,6.0,36.0,35.0,3.0,13.0,14.0,8.0,6.0,9.0,11.0,8.0,22.0,4.0,4.0,12.0,12.0,31.0,13.0,2.0,7.0,3.0,5.0,8.0,7.0,2.0,4.0,10.0,1.0,11.0,2.0,2.0,8.0,2.0,5.0,4.0,3.0,7.0,1.0,,,,
USA,1333.0,2082.0,702.0,318.0,23.0,1359.0,3.0,1122.0,1661.0,2445.0,1086.0,93.0,1407.0,181.0,2312.0,613.0,33.0,983.0,205.0,37.0,,384.0,292.0,753.0,57.0,109.0,17.0,230.0,220.0,160.0,422.0,31.0,5.0,693.0,33.0,103.0,87.0,74.0,27.0,429.0,333.0,173.0,44.0,38.0,124.0,290.0,14.0,167.0,20.0,453.0,624.0,96.0,54.0,192.0,1.0,130.0,390.0,25.0,27.0,219.0,73.0,36.0,,108.0,84.0,20.0,31.0,49.0,4.0,10.0,5.0,29.0,52.0,8.0,206.0,2.0,44.0,94.0,21.0,24.0,15.0,66.0,4.0,20.0,134.0,1.0,17.0,53.0,10.0,5.0,24.0,1.0,21.0,4.0,30.0,30.0,6.0,55.0,20.0,16.0,10.0,54.0,22.0,3.0,33.0,25.0,9.0,5.0,31.0,15.0,18.0,25.0,7.0,16.0,37.0,20.0,4.0,3.0,6.0,11.0,8.0,4.0,33.0,2.0,8.0,16.0,15.0,4.0,3.0,,7.0,,3.0,5.0,1.0,2.0,2.0,,13.0,4.0,7.0,,1.0,3.0,7.0,,3.0,8.0,1.0,,2.0,5.0,1.0,3.0,2.0,4.0,7.0,1.0,8.0,2.0,26.0,16.0,1.0,4.0,1.0,1.0,,,1.0,1.0,2.0,,,2.0,6.0,8.0,2.0,1.0,1.0,,,,,3.0,,,,1.0,,,3.0,,1.0,,,,,,,,
TUR,28.0,80.0,22.0,4.0,,13.0,1.0,9.0,23.0,75.0,4.0,4.0,66.0,,69.0,5.0,,23.0,7.0,,,19.0,8.0,8.0,2.0,,,,1.0,4.0,11.0,,,34.0,4.0,,,4.0,6.0,8.0,14.0,6.0,1.0,,1.0,,,3.0,,11.0,8.0,,,6.0,,3.0,5.0,1.0,2.0,8.0,,,,9.0,5.0,,1.0,,,,,,,,5.0,,,,,2.0,4.0,,5.0,18.0,2.0,,,3.0,,2.0,,,,,,,,1.0,,,,,2.0,,3.0,,,,1.0,,,2.0,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,9.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
CAN,83.0,169.0,37.0,13.0,,84.0,,56.0,84.0,256.0,53.0,14.0,110.0,14.0,247.0,54.0,,53.0,5.0,3.0,,22.0,24.0,30.0,10.0,7.0,,22.0,57.0,33.0,40.0,3.0,,47.0,,30.0,,2.0,,15.0,25.0,12.0,,,4.0,9.0,2.0,7.0,2.0,23.0,12.0,3.0,,9.0,2.0,3.0,4.0,,4.0,4.0,2.0,,,17.0,6.0,,11.0,,,,,,,,25.0,,,8.0,2.0,,,2.0,,,6.0,,1.0,1.0,,,10.0,,,,,1.0,,,,,,,,,4.0,,,,2.0,,1.0,1.0,,,,,,5.0,2.0,,,,7.0,,1.0,6.0,1.0,,,5.0,,,,,,,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,
ISR,245.0,106.0,38.0,14.0,,77.0,5.0,74.0,111.0,177.0,62.0,1.0,125.0,16.0,167.0,29.0,7.0,91.0,19.0,,,27.0,2.0,87.0,3.0,10.0,8.0,14.0,11.0,52.0,36.0,,,22.0,3.0,3.0,3.0,3.0,12.0,22.0,30.0,12.0,12.0,,5.0,5.0,,14.0,,3.0,107.0,1.0,1.0,22.0,2.0,10.0,28.0,1.0,17.0,14.0,4.0,,,7.0,5.0,,8.0,3.0,,1.0,6.0,,1.0,1.0,38.0,3.0,,34.0,6.0,3.0,6.0,4.0,,2.0,1.0,,3.0,15.0,11.0,,,,,6.0,3.0,4.0,,21.0,,2.0,,,,,,9.0,,,,1.0,13.0,,1.0,,,1.0,,,,,,,15.0,1.0,,,2.0,6.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,1.0,2.0,,,,,,1.0,,,,,,,,
LBY,36.0,24.0,14.0,,9.0,36.0,,,14.0,17.0,4.0,2.0,63.0,,9.0,2.0,,21.0,8.0,,,13.0,,9.0,,4.0,,,,,2.0,,33.0,22.0,,1.0,,1.0,,4.0,1.0,,1.0,4.0,,,,2.0,,,29.0,,,6.0,,3.0,5.0,,,,4.0,,,1.0,,,,1.0,,,5.0,,,,3.0,,2.0,9.0,2.0,,36.0,,15.0,9.0,2.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,8.0,,4.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,37.0,43.0,19.0,9.0,,33.0,,43.0,27.0,98.0,36.0,,44.0,1.0,89.0,5.0,,27.0,,2.0,,18.0,7.0,8.0,3.0,2.0,,6.0,2.0,5.0,,,,18.0,,13.0,2.0,6.0,1.0,14.0,6.0,1.0,,,,4.0,,7.0,,13.0,18.0,2.0,1.0,32.0,,8.0,8.0,2.0,,1.0,1.0,,,12.0,3.0,4.0,13.0,,,,,2.0,,,4.0,,,,2.0,,,1.0,,5.0,2.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,2.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,77.0,100.0,20.0,7.0,4.0,148.0,,50.0,77.0,155.0,12.0,3.0,54.0,39.0,139.0,53.0,6.0,128.0,4.0,,,12.0,8.0,55.0,,3.0,,7.0,5.0,7.0,19.0,2.0,,62.0,1.0,8.0,,9.0,6.0,19.0,27.0,10.0,6.0,3.0,6.0,10.0,3.0,5.0,,12.0,26.0,,2.0,24.0,,19.0,8.0,,,20.0,5.0,,,7.0,41.0,,,,,,,,3.0,1.0,17.0,4.0,2.0,4.0,3.0,6.0,3.0,1.0,,,5.0,,6.0,3.0,18.0,1.0,4.0,,,,2.0,,,4.0,2.0,,1.0,,1.0,,6.0,,,,2.0,1.0,13.0,4.0,,,2.0,,,2.0,,2.0,,3.0,,,,,,,,1.0,2.0,,,2.0,5.0,,1.0,,,5.0,,,8.0,,,,,,,,,,,,,,9.0,2.0,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
MYS,9.0,28.0,13.0,13.0,,43.0,,20.0,36.0,82.0,4.0,3.0,34.0,,68.0,58.0,1.0,17.0,8.0,,,,1.0,12.0,,26.0,,2.0,,,8.0,,,34.0,,6.0,,8.0,,19.0,1.0,8.0,1.0,,2.0,5.0,,3.0,,4.0,12.0,,1.0,8.0,,1.0,10.0,,3.0,5.0,,2.0,,,,,,,,,,,,,1.0,,2.0,2.0,,,,,,6.0,2.0,,,4.0,,,1.0,,2.0,,,,,,,,,1.0,,1.0,5.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,12.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
