,42,43,40,71,173,90,190,20,60,81,84,62,15,112,35,10,61,172,70,46,13,36,143,111,110,14,33,874,30,50,57,195,51,170,130,45,19,31,80,100,1014,73,163,25,12,120,1121,241,353,41,52,114,180,192,193,1821,17,18,841,181,23,311,91,128,160,125,1721,26,831,22,214,140,141,171,1822,72,332,231,202,356,21,27,32,138,16,115,186,28,131,253,11,842,124,129,1384,164,1712,162,139,174,150,1053,154,183,182,145,161,152,55,1312,1711,1241,1123,194,101,232,871,191,134,234,233,211,1041,83,1124,331,166,811,175,1823,1044,122,133,333,144,74,833,1243,56,85,213,142,82,256,44,53,1722,54,37,63,813,151,75,153,64,1043,243,39,341,1831,203,185,1383,127,1723,312,1233,1056,94,86,1724,113,38,1246,1832,1031,1234,105,862,212,123,1244,1122,873,121,196,863,1013,87,132,334,1125,344,106,1313,102,861,34,351,93,314,137,1411,116,1621,1054,201,242,1211,254,1042,107,1322
nan,12230.0,11418.0,10349.0,3043.0,6645.0,4246.0,6211.0,11906.0,2735.0,518.0,2083.0,289.0,1099.0,3871.0,181.0,15226.0,756.0,1938.0,2064.0,5139.0,3102.0,8040.0,99.0,3361.0,3307.0,1636.0,398.0,670.0,2882.0,1409.0,1643.0,212.0,9538.0,151.0,1941.0,380.0,46.0,509.0,1950.0,2150.0,138.0,1007.0,190.0,309.0,3878.0,3764.0,70.0,101.0,144.0,285.0,208.0,1171.0,1351.0,816.0,2792.0,361.0,887.0,251.0,848.0,293.0,307.0,385.0,88.0,486.0,855.0,315.0,148.0,589.0,403.0,241.0,314.0,231.0,1372.0,143.0,120.0,375.0,76.0,173.0,9.0,64.0,26.0,95.0,127.0,406.0,634.0,216.0,235.0,52.0,34.0,31.0,619.0,57.0,207.0,178.0,63.0,171.0,390.0,65.0,93.0,231.0,98.0,90.0,317.0,41.0,300.0,126.0,245.0,40.0,202.0,35.0,99.0,97.0,167.0,189.0,29.0,10.0,61.0,134.0,66.0,108.0,56.0,26.0,13.0,42.0,147.0,125.0,33.0,7.0,245.0,55.0,29.0,50.0,59.0,29.0,22.0,54.0,132.0,63.0,107.0,19.0,45.0,18.0,42.0,31.0,109.0,49.0,21.0,53.0,66.0,25.0,15.0,50.0,98.0,57.0,77.0,57.0,6.0,136.0,7.0,22.0,101.0,10.0,36.0,38.0,49.0,20.0,11.0,14.0,3.0,10.0,14.0,44.0,5.0,9.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,5.0,5.0,3.0,13.0,1.0,3.0,7.0,5.0,6.0,2.0,2.0,9.0,2.0,1.0,9.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,,,,,,,
SOM,84.0,83.0,14.0,2.0,2.0,3.0,20.0,11.0,3.0,,,,,6.0,,15.0,,19.0,11.0,4.0,6.0,27.0,,4.0,6.0,5.0,,,15.0,2.0,,1.0,13.0,,9.0,1.0,,1.0,1.0,11.0,,7.0,1.0,,4.0,25.0,2.0,,,,,,2.0,2.0,13.0,,4.0,1.0,,2.0,1.0,,,1.0,3.0,2.0,,2.0,,2.0,,,1.0,,,,4.0,,,,,,,3.0,,,,2.0,,,,,,,,8.0,,,,3.0,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,4539.0,4306.0,3245.0,989.0,2508.0,1266.0,1894.0,3421.0,814.0,173.0,733.0,69.0,511.0,1405.0,60.0,4272.0,290.0,640.0,810.0,2097.0,1565.0,2674.0,14.0,1106.0,898.0,409.0,116.0,278.0,862.0,393.0,501.0,38.0,2954.0,29.0,578.0,98.0,7.0,149.0,544.0,486.0,24.0,276.0,62.0,78.0,866.0,970.0,19.0,41.0,39.0,73.0,99.0,244.0,435.0,214.0,1355.0,140.0,236.0,40.0,168.0,67.0,68.0,121.0,22.0,94.0,295.0,119.0,28.0,185.0,117.0,57.0,97.0,51.0,263.0,34.0,16.0,35.0,14.0,60.0,6.0,9.0,10.0,19.0,19.0,122.0,243.0,143.0,80.0,30.0,20.0,14.0,251.0,7.0,80.0,103.0,27.0,69.0,86.0,21.0,23.0,121.0,31.0,14.0,28.0,4.0,104.0,4.0,98.0,11.0,48.0,11.0,9.0,15.0,33.0,43.0,7.0,,16.0,30.0,15.0,12.0,7.0,2.0,6.0,22.0,47.0,30.0,5.0,2.0,9.0,16.0,2.0,15.0,13.0,9.0,4.0,35.0,57.0,28.0,43.0,7.0,10.0,1.0,11.0,,75.0,16.0,3.0,21.0,10.0,12.0,,11.0,55.0,3.0,18.0,22.0,,52.0,1.0,,2.0,6.0,14.0,9.0,14.0,5.0,1.0,7.0,1.0,,4.0,15.0,1.0,3.0,,,,,,,,,,,,,1.0,,,2.0,,5.0,,2.0,1.0,,,1.0,2.0,3.0,,,,,,,1.0,,,,,,
AUS,429.0,382.0,191.0,49.0,270.0,109.0,162.0,319.0,69.0,11.0,51.0,6.0,52.0,95.0,5.0,433.0,28.0,49.0,63.0,200.0,83.0,169.0,2.0,82.0,123.0,45.0,1.0,10.0,61.0,20.0,63.0,,221.0,2.0,40.0,2.0,3.0,2.0,33.0,66.0,3.0,1.0,,21.0,136.0,104.0,,,6.0,,5.0,9.0,43.0,13.0,20.0,8.0,13.0,7.0,12.0,7.0,6.0,14.0,2.0,12.0,15.0,2.0,9.0,11.0,2.0,3.0,3.0,3.0,28.0,17.0,,38.0,3.0,2.0,,,,,1.0,7.0,18.0,,2.0,,,1.0,11.0,,5.0,,3.0,,3.0,,2.0,7.0,,,19.0,,2.0,,3.0,,6.0,,,27.0,1.0,,,,,,,3.0,,,,,3.0,3.0,,,,9.0,,,1.0,,,34.0,1.0,5.0,2.0,1.0,3.0,,,,1.0,,,,3.0,8.0,,,1.0,,,,,,,,,,1.0,2.0,3.0,,,1.0,,3.0,,,,,1.0,,,,,,3.0,,,,,,,1.0,,,,2.0,2.0,,,,4.0,,,,,,,,,,,4.0,,,,,
JPN,230.0,228.0,420.0,30.0,13.0,25.0,47.0,133.0,42.0,3.0,39.0,,14.0,28.0,2.0,120.0,70.0,8.0,36.0,165.0,43.0,341.0,2.0,76.0,65.0,17.0,5.0,9.0,109.0,102.0,59.0,9.0,125.0,,21.0,,2.0,3.0,28.0,28.0,,7.0,7.0,5.0,45.0,38.0,,,,,1.0,16.0,2.0,3.0,9.0,,12.0,,3.0,5.0,,5.0,,,16.0,6.0,,11.0,,4.0,,,20.0,,,2.0,,,,3.0,,1.0,2.0,5.0,,,,,,,11.0,4.0,,,2.0,2.0,2.0,,,6.0,1.0,,2.0,,4.0,,1.0,,3.0,1.0,,,,2.0,,,,,,,,7.0,,,4.0,3.0,,,,,1.0,,,,,,,,,,,,,,61.0,2.0,,1.0,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
AFR,213.0,195.0,121.0,35.0,66.0,56.0,125.0,115.0,31.0,,21.0,,11.0,53.0,,177.0,10.0,26.0,33.0,68.0,25.0,113.0,,29.0,26.0,15.0,1.0,2.0,25.0,15.0,28.0,,130.0,,25.0,5.0,1.0,8.0,14.0,22.0,1.0,5.0,3.0,1.0,19.0,44.0,,,2.0,,2.0,6.0,13.0,11.0,26.0,4.0,18.0,3.0,10.0,8.0,2.0,4.0,4.0,1.0,7.0,3.0,,11.0,4.0,,4.0,1.0,16.0,4.0,2.0,1.0,,3.0,,,1.0,,2.0,1.0,6.0,3.0,3.0,1.0,,,3.0,,3.0,,,2.0,,,,2.0,,1.0,1.0,,4.0,,2.0,,2.0,1.0,,1.0,,,,,,6.0,,,,2.0,,,1.0,4.0,1.0,,,,4.0,,,,,,,,1.0,,,,1.0,,12.0,5.0,,,2.0,,,,1.0,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
IND,275.0,254.0,225.0,35.0,157.0,85.0,87.0,176.0,32.0,19.0,36.0,4.0,1.0,55.0,8.0,205.0,4.0,36.0,15.0,95.0,27.0,87.0,3.0,42.0,63.0,11.0,1.0,6.0,47.0,1.0,37.0,2.0,100.0,1.0,13.0,14.0,,4.0,28.0,37.0,3.0,18.0,,5.0,51.0,133.0,,,,4.0,3.0,18.0,11.0,14.0,61.0,8.0,26.0,16.0,15.0,4.0,,5.0,,15.0,5.0,1.0,1.0,8.0,4.0,4.0,2.0,8.0,39.0,,,2.0,,,,,,,,2.0,19.0,9.0,6.0,2.0,,,5.0,,8.0,,,,33.0,,4.0,3.0,1.0,,10.0,,13.0,2.0,1.0,1.0,2.0,,,,2.0,4.0,3.0,,,3.0,,2.0,2.0,,,,,3.0,,,13.0,1.0,,1.0,3.0,,,,3.0,4.0,,,1.0,1.0,,,3.0,,1.0,,,,3.0,,,,,,,25.0,,,1.0,,,,2.0,,,1.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,146.0,121.0,183.0,15.0,96.0,26.0,113.0,145.0,70.0,,97.0,5.0,13.0,142.0,2.0,176.0,50.0,22.0,49.0,148.0,43.0,150.0,1.0,57.0,50.0,21.0,5.0,52.0,68.0,57.0,36.0,7.0,85.0,,175.0,1.0,2.0,,10.0,30.0,,6.0,48.0,15.0,70.0,113.0,,,2.0,,1.0,8.0,9.0,14.0,30.0,1.0,3.0,,34.0,7.0,,,,16.0,27.0,2.0,,20.0,,,2.0,,5.0,,1.0,10.0,3.0,,,,,,,17.0,12.0,,1.0,,,13.0,2.0,,,2.0,,1.0,1.0,1.0,,,7.0,13.0,11.0,,,,8.0,,2.0,4.0,,1.0,6.0,16.0,,,,,1.0,,,,,,21.0,,,,,,,,,,,2.0,1.0,,,10.0,,,,,,2.0,,,,,,,3.0,,1.0,1.0,,1.0,,,6.0,,,5.0,,,,,,7.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
KEN,75.0,68.0,40.0,17.0,49.0,13.0,26.0,31.0,11.0,,13.0,,1.0,30.0,,96.0,29.0,10.0,12.0,20.0,10.0,35.0,1.0,17.0,39.0,5.0,4.0,,17.0,1.0,15.0,,53.0,,5.0,7.0,1.0,2.0,11.0,10.0,,,,,24.0,25.0,,1.0,2.0,,2.0,9.0,,4.0,1.0,,1.0,,9.0,2.0,,4.0,,1.0,1.0,,1.0,1.0,,3.0,3.0,,3.0,,1.0,3.0,,,,3.0,,1.0,1.0,,3.0,,,2.0,,,,,,,,,2.0,,1.0,5.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,2.0,,,,,,,1.0,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
