,831,42,51,190,130,193,10,12,13,18,20,30,43,112,120,173,25,36,841,100,110,70,40,57,84,128,14,874,154,55,160,174,111,241,71,50,1722,162,32,140,26,180,60,114,35,80,90,331,15,172,46,101,64,41,52,1821,129,150,17,16,81,356,141,1822,73,256,11,56,75,138,192,1043,1711,170,1712,186,143,22,171,1121,1233,61,194,33,28,214,136,195,45,54,125,1723,72,133,213,191,182,1014,113,353,124,115,1721,181,23,231,31,53,163,164,311,105,145,833,1053,183,62,1124,1823,139,37,1125,1246,1056,175,871,332,44,1724,202,38,127,1384,39,334,144,1041,1123,1312,1411,152,92,1831,233,85,1013,873,211,82,813,83,196,21,27,91,137,151,161,842,351,132,1243,1383,153,234,862,253,86,1122,243,87,134,24,122,1241,1042,19,333,166,131,203,142,872,63,1832,1044,106,102,1031,185,184,834,74,811,314,341,1833,1662,312
GBR,32.0,430.0,325.0,173.0,78.0,32.0,415.0,187.0,127.0,11.0,340.0,52.0,379.0,135.0,168.0,124.0,12.0,292.0,48.0,47.0,98.0,41.0,304.0,49.0,59.0,31.0,34.0,21.0,11.0,12.0,36.0,5.0,134.0,4.0,42.0,91.0,1.0,2.0,3.0,13.0,12.0,36.0,56.0,17.0,4.0,68.0,79.0,12.0,19.0,36.0,234.0,2.0,7.0,5.0,10.0,3.0,2.0,1.0,54.0,9.0,7.0,3.0,73.0,6.0,12.0,4.0,9.0,9.0,4.0,3.0,31.0,8.0,1.0,7.0,5.0,4.0,4.0,11.0,11.0,1.0,4.0,17.0,4.0,14.0,1.0,1.0,2.0,8.0,7.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,7.0,5.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,5.0,5.0,3.0,1.0,2.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,242.0,177.0,61.0,20.0,6.0,176.0,56.0,15.0,3.0,90.0,44.0,238.0,68.0,58.0,36.0,5.0,112.0,21.0,48.0,34.0,18.0,94.0,82.0,22.0,7.0,8.0,6.0,3.0,,11.0,1.0,42.0,,39.0,47.0,,,2.0,,2.0,21.0,29.0,14.0,,31.0,34.0,2.0,2.0,55.0,152.0,,1.0,,,,,11.0,62.0,3.0,3.0,3.0,36.0,2.0,6.0,,8.0,3.0,8.0,5.0,14.0,,2.0,5.0,4.0,3.0,,7.0,,,3.0,84.0,,1.0,,,,1.0,,7.0,2.0,,,,,5.0,,,,,,,2.0,8.0,,,,,2.0,3.0,11.0,,13.0,1.0,,,,,,,,,,3.0,8.0,1.0,8.0,11.0,1.0,6.0,2.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,182.0,6711.0,5410.0,4167.0,1072.0,1367.0,8232.0,1841.0,1604.0,197.0,6629.0,1499.0,6348.0,2015.0,1823.0,2834.0,125.0,3896.0,574.0,991.0,1799.0,1017.0,5072.0,708.0,806.0,271.0,951.0,325.0,121.0,129.0,442.0,110.0,1885.0,35.0,1435.0,909.0,10.0,24.0,55.0,79.0,263.0,817.0,1501.0,500.0,80.0,1038.0,2146.0,81.0,484.0,966.0,2676.0,6.0,45.0,116.0,112.0,232.0,101.0,72.0,651.0,291.0,248.0,23.0,863.0,103.0,531.0,14.0,222.0,37.0,86.0,321.0,440.0,48.0,67.0,43.0,271.0,72.0,92.0,156.0,80.0,22.0,2.0,447.0,138.0,169.0,22.0,105.0,6.0,151.0,112.0,25.0,166.0,27.0,182.0,28.0,15.0,98.0,129.0,79.0,19.0,80.0,88.0,86.0,56.0,241.0,130.0,95.0,222.0,19.0,114.0,93.0,150.0,2.0,105.0,63.0,36.0,57.0,82.0,122.0,28.0,22.0,40.0,2.0,5.0,8.0,165.0,74.0,49.0,75.0,1.0,9.0,4.0,34.0,20.0,5.0,19.0,27.0,16.0,111.0,27.0,6.0,28.0,13.0,6.0,37.0,28.0,16.0,12.0,17.0,18.0,12.0,24.0,19.0,18.0,33.0,24.0,2.0,9.0,64.0,21.0,2.0,4.0,32.0,5.0,41.0,45.0,7.0,14.0,8.0,8.0,4.0,9.0,11.0,2.0,16.0,4.0,2.0,18.0,20.0,19.0,10.0,15.0,11.0,4.0,8.0,6.0,5.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,
USA,29.0,2161.0,1442.0,984.0,226.0,539.0,1924.0,349.0,653.0,23.0,1600.0,366.0,2125.0,561.0,398.0,941.0,16.0,1122.0,108.0,191.0,425.0,308.0,1530.0,175.0,271.0,36.0,232.0,139.0,23.0,19.0,138.0,22.0,371.0,3.0,341.0,206.0,2.0,4.0,13.0,20.0,52.0,237.0,385.0,106.0,19.0,268.0,631.0,23.0,147.0,332.0,837.0,2.0,7.0,44.0,27.0,71.0,50.0,21.0,173.0,89.0,83.0,13.0,130.0,14.0,99.0,,73.0,3.0,37.0,62.0,135.0,11.0,14.0,9.0,51.0,16.0,22.0,31.0,10.0,6.0,,141.0,28.0,31.0,2.0,28.0,,21.0,37.0,12.0,45.0,10.0,43.0,4.0,5.0,2.0,68.0,20.0,12.0,22.0,26.0,58.0,17.0,20.0,38.0,30.0,81.0,10.0,42.0,28.0,23.0,,8.0,12.0,2.0,5.0,22.0,39.0,9.0,5.0,20.0,,4.0,,,4.0,16.0,26.0,,8.0,,14.0,4.0,,4.0,12.0,3.0,39.0,3.0,,5.0,1.0,,8.0,19.0,,2.0,1.0,3.0,,2.0,,9.0,2.0,5.0,,4.0,17.0,2.0,,2.0,7.0,3.0,,,6.0,,,3.0,4.0,4.0,5.0,,2.0,,2.0,3.0,3.0,13.0,5.0,3.0,1.0,3.0,,,2.0,,,,,,,1.0,3.0,,,,,
AFG,,85.0,37.0,301.0,28.0,22.0,66.0,15.0,36.0,,34.0,17.0,83.0,44.0,20.0,11.0,,60.0,13.0,20.0,25.0,18.0,176.0,2.0,5.0,1.0,1.0,40.0,4.0,,13.0,,13.0,,2.0,74.0,,,4.0,,4.0,13.0,13.0,,,12.0,11.0,,8.0,27.0,179.0,,,,,,,,5.0,2.0,5.0,11.0,2.0,,1.0,,2.0,,,7.0,2.0,,,,1.0,3.0,,4.0,,,,13.0,2.0,,,,,9.0,8.0,,4.0,,19.0,,,,7.0,,,,,,,4.0,,,,,,62.0,,2.0,,,,2.0,9.0,5.0,,,5.0,,,4.0,,4.0,,8.0,,,,2.0,,,,,,16.0,,,,,7.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,6.0,,,,,,,,,,,,,,
AFR,2.0,193.0,75.0,82.0,17.0,18.0,129.0,8.0,25.0,3.0,85.0,12.0,164.0,22.0,18.0,28.0,,126.0,9.0,27.0,16.0,22.0,63.0,6.0,5.0,1.0,22.0,4.0,,12.0,18.0,3.0,56.0,,8.0,10.0,,,1.0,,1.0,25.0,30.0,1.0,8.0,11.0,34.0,,2.0,13.0,26.0,,,,4.0,16.0,,,13.0,2.0,,,15.0,,6.0,,1.0,1.0,4.0,7.0,7.0,,2.0,,5.0,3.0,,,,,,32.0,,2.0,,,,5.0,2.0,,1.0,,2.0,,,,2.0,,,,,,,6.0,,,,,,1.0,6.0,,6.0,,,1.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,2.0,,,,,,,,,2.0,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
AUS,,192.0,97.0,72.0,14.0,17.0,171.0,55.0,34.0,1.0,84.0,15.0,192.0,31.0,19.0,88.0,1.0,141.0,1.0,6.0,31.0,24.0,143.0,11.0,21.0,11.0,18.0,6.0,,2.0,,,36.0,,17.0,16.0,,,,1.0,5.0,11.0,18.0,3.0,6.0,19.0,39.0,,7.0,27.0,63.0,,,,3.0,2.0,,,8.0,6.0,2.0,,16.0,2.0,7.0,,5.0,,7.0,5.0,12.0,,,,10.0,3.0,,2.0,5.0,,,9.0,,1.0,,,,,2.0,,11.0,,3.0,,,,12.0,,,3.0,,,,1.0,3.0,1.0,2.0,,2.0,1.0,4.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
BHS,,84.0,22.0,2.0,12.0,1.0,30.0,12.0,3.0,,34.0,6.0,90.0,6.0,7.0,3.0,,18.0,8.0,3.0,7.0,13.0,14.0,,,,18.0,1.0,,,3.0,,1.0,,8.0,2.0,,,,,,,6.0,,,4.0,5.0,,10.0,,12.0,,,2.0,2.0,,,,,,,,,,18.0,,,,9.0,,4.0,,,,2.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,,,,,,,,,,,1.0,,,,,,
CAN,4.0,172.0,87.0,65.0,11.0,38.0,153.0,23.0,40.0,4.0,112.0,19.0,169.0,24.0,26.0,51.0,2.0,95.0,4.0,22.0,37.0,14.0,112.0,19.0,11.0,25.0,11.0,2.0,5.0,9.0,17.0,1.0,27.0,,34.0,20.0,1.0,,,1.0,,6.0,35.0,6.0,2.0,29.0,40.0,,10.0,12.0,46.0,,,6.0,6.0,,,,,2.0,2.0,1.0,10.0,,3.0,,2.0,,11.0,1.0,9.0,,1.0,7.0,4.0,1.0,,,,,,25.0,1.0,11.0,,,,,3.0,,,,2.0,,,,6.0,,,,3.0,,,,5.0,2.0,10.0,2.0,,,3.0,,2.0,6.0,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
