,43,42,10,100,180,190,40,161,46,62,30,36,874,14,150,154,192,112,12,20,45,130,50,15,51,61,110,25,60,174,57,80,841,160,353,193,13,35,90,128,26,71,1014,120,1712,172,173,114,125,151,141,72,11,16,214,55,74,84,138,23,145,175,1124,17,181,22,33,70,143,111,231,73,52,122,139,18,31,44,81,831,1123,185,186,131,1821,232,194,195,115,163,140,1243,32,28,356,1056,256,341,124,129,1721,1244,166,106,41,253,1043,1724,833,234,842,1121,56,83,182,1384,101,171,37,54,862,164,162,127,1822,1723,1313,1711,332,1823,1053,144,241,196,86,91,1031,113,242,333,142,202,170,191,21,311,331,233,64,39,1044,93,153,75,1832,19,203,27,82,133,87,1246,813,1041,871,1013,1312,134,53,121,85,152,94,63,873,811,344,1233,1125,183,834,123,213,1241,1412,1122,1831,312,211,1382,24,34,351,1722,020,010,036,042,051,046,040,061,013,043,014,030,0841,052,032,0353,050,080,060,0874,012,0312,084,071,073,070,090,015,0241,016,0231,011,022,0831,026,072,045,062,057,0311,017,083,0211,041,0214,0331,023,0356,056,031,033,075,0862,063,0232,035,0871,055,081,0833,091,053,1411,086,018,085,025,105,0332,0233,0333,039,0256,0842,087,044,0873,0234,021,027,074,028,054,1311,0213,0813,064,---,019,038,082,0341,1383,092,1623,38,037,92,107
nan,5081.0,5504.0,6704.0,978.0,769.0,4591.0,4707.0,79.0,2109.0,220.0,1177.0,3224.0,540.0,797.0,93.0,158.0,436.0,1828.0,1451.0,4826.0,128.0,926.0,620.0,303.0,4359.0,287.0,1981.0,106.0,990.0,132.0,521.0,948.0,436.0,629.0,45.0,1356.0,1279.0,80.0,1663.0,228.0,220.0,1208.0,123.0,1818.0,220.0,811.0,2707.0,514.0,150.0,24.0,765.0,196.0,220.0,188.0,139.0,95.0,26.0,655.0,199.0,99.0,141.0,188.0,115.0,581.0,246.0,124.0,122.0,818.0,71.0,1816.0,103.0,325.0,77.0,30.0,44.0,125.0,148.0,123.0,151.0,202.0,83.0,17.0,121.0,17.0,155.0,2.0,78.0,78.0,64.0,91.0,114.0,18.0,73.0,23.0,110.0,29.0,13.0,15.0,51.0,71.0,78.0,5.0,15.0,13.0,97.0,7.0,43.0,28.0,53.0,22.0,22.0,40.0,30.0,42.0,254.0,30.0,31.0,87.0,40.0,21.0,1.0,117.0,43.0,14.0,91.0,27.0,2.0,35.0,31.0,53.0,41.0,26.0,26.0,70.0,13.0,19.0,1.0,15.0,5.0,7.0,8.0,13.0,48.0,96.0,24.0,94.0,62.0,23.0,28.0,14.0,15.0,1.0,44.0,24.0,7.0,8.0,101.0,43.0,5.0,32.0,9.0,41.0,11.0,25.0,44.0,4.0,13.0,16.0,26.0,7.0,13.0,43.0,2.0,5.0,13.0,3.0,2.0,9.0,3.0,39.0,3.0,6.0,4.0,3.0,2.0,4.0,15.0,6.0,11.0,2.0,1.0,4.0,3.0,5.0,992.0,1459.0,675.0,1110.0,938.0,412.0,1022.0,57.0,296.0,977.0,238.0,205.0,79.0,23.0,19.0,5.0,148.0,208.0,317.0,105.0,336.0,1.0,157.0,262.0,72.0,169.0,317.0,36.0,6.0,71.0,24.0,30.0,43.0,44.0,60.0,56.0,44.0,93.0,94.0,34.0,92.0,9.0,3.0,39.0,24.0,11.0,22.0,22.0,2.0,26.0,29.0,3.0,5.0,5.0,7.0,7.0,17.0,24.0,28.0,17.0,1.0,3.0,6.0,2.0,40.0,4.0,7.0,1.0,8.0,6.0,5.0,2.0,2.0,6.0,4.0,19.0,2.0,8.0,2.0,2.0,3.0,2.0,1.0,14.0,2.0,1.0,8.0,1.0,7.0,2.0,4.0,1.0,9.0,,,,,,
USA,1799.0,1923.0,1703.0,273.0,135.0,1000.0,1275.0,13.0,705.0,51.0,332.0,876.0,228.0,168.0,14.0,37.0,140.0,511.0,282.0,1186.0,66.0,178.0,165.0,130.0,1274.0,93.0,365.0,18.0,248.0,55.0,131.0,186.0,69.0,126.0,14.0,516.0,505.0,23.0,482.0,21.0,49.0,355.0,15.0,359.0,47.0,208.0,928.0,84.0,44.0,1.0,143.0,45.0,65.0,42.0,48.0,15.0,6.0,191.0,31.0,11.0,6.0,14.0,18.0,113.0,54.0,18.0,36.0,321.0,15.0,398.0,28.0,73.0,34.0,5.0,10.0,22.0,38.0,35.0,71.0,24.0,19.0,3.0,25.0,9.0,30.0,,7.0,12.0,18.0,66.0,9.0,3.0,13.0,3.0,48.0,20.0,3.0,5.0,22.0,27.0,7.0,4.0,5.0,,24.0,1.0,,2.0,14.0,1.0,6.0,19.0,16.0,17.0,59.0,10.0,8.0,9.0,2.0,5.0,1.0,37.0,13.0,2.0,6.0,4.0,,4.0,4.0,10.0,1.0,1.0,2.0,,4.0,7.0,1.0,6.0,3.0,1.0,,1.0,14.0,15.0,11.0,22.0,17.0,3.0,7.0,1.0,,,,24.0,,6.0,18.0,,,3.0,16.0,13.0,,,11.0,,1.0,3.0,9.0,,7.0,,,4.0,6.0,,,2.0,,5.0,,,2.0,5.0,,,,,,,,,,,203.0,380.0,136.0,374.0,262.0,141.0,335.0,29.0,93.0,364.0,24.0,54.0,14.0,5.0,,,42.0,47.0,104.0,56.0,55.0,1.0,28.0,60.0,14.0,33.0,92.0,12.0,,10.0,10.0,9.0,6.0,4.0,13.0,20.0,27.0,37.0,6.0,12.0,27.0,,,11.0,15.0,3.0,12.0,10.0,5.0,5.0,5.0,1.0,1.0,,4.0,4.0,,10.0,13.0,8.0,,1.0,,,12.0,,5.0,1.0,,,,,1.0,6.0,9.0,,1.0,,,,2.0,,,17.0,1.0,,1.0,1.0,,,4.0,,6.0,1.0,,,,,
AUS,177.0,193.0,142.0,10.0,12.0,117.0,100.0,,40.0,3.0,17.0,97.0,2.0,23.0,3.0,,11.0,23.0,19.0,104.0,1.0,23.0,7.0,5.0,95.0,12.0,24.0,1.0,22.0,10.0,44.0,7.0,12.0,8.0,,16.0,38.0,3.0,36.0,7.0,2.0,25.0,1.0,26.0,1.0,17.0,76.0,8.0,7.0,,14.0,,2.0,,,2.0,,7.0,,3.0,,,,9.0,,1.0,5.0,7.0,5.0,15.0,1.0,3.0,,,2.0,2.0,,2.0,5.0,,3.0,,,,4.0,,,1.0,,,1.0,2.0,,7.0,,,,,,,1.0,,,,4.0,,,,,3.0,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,20.0,42.0,10.0,52.0,25.0,3.0,25.0,4.0,10.0,53.0,1.0,4.0,5.0,,,,,3.0,2.0,2.0,10.0,,2.0,3.0,,1.0,13.0,3.0,,,,,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,
AUT,13.0,12.0,12.0,1.0,,4.0,6.0,,4.0,,1.0,8.0,2.0,,,,,,,3.0,,,8.0,,10.0,,4.0,,,,,9.0,3.0,,,1.0,,1.0,,,,,,,,9.0,3.0,,,,4.0,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,1.0,,,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,14.0,14.0,32.0,,1.0,6.0,16.0,,6.0,,7.0,8.0,3.0,20.0,,,1.0,4.0,1.0,20.0,,2.0,4.0,,8.0,,1.0,,9.0,,,1.0,1.0,2.0,,4.0,3.0,,,,,1.0,,3.0,,,2.0,,1.0,,12.0,,,,,,,,,,,,,,,,,2.0,,5.0,,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,,8.0,1.0,,,,,6.0,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,59.0,60.0,91.0,6.0,1.0,51.0,133.0,,56.0,,11.0,30.0,5.0,4.0,19.0,2.0,7.0,26.0,17.0,50.0,,6.0,13.0,,31.0,19.0,11.0,1.0,16.0,,7.0,18.0,,2.0,,7.0,12.0,,8.0,1.0,,16.0,,22.0,,5.0,12.0,,1.0,3.0,16.0,5.0,,1.0,1.0,,,5.0,3.0,,,,3.0,3.0,,3.0,,8.0,14.0,7.0,,4.0,,1.0,,,2.0,4.0,,,,,6.0,,,,,2.0,1.0,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,4.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,11.0,9.0,14.0,15.0,11.0,26.0,,2.0,11.0,,2.0,,,,,4.0,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,421.0,452.0,392.0,63.0,30.0,183.0,413.0,12.0,166.0,29.0,127.0,375.0,27.0,58.0,12.0,5.0,46.0,103.0,110.0,292.0,5.0,107.0,78.0,23.0,245.0,18.0,136.0,1.0,40.0,10.0,61.0,49.0,12.0,30.0,,22.0,145.0,3.0,76.0,13.0,2.0,34.0,2.0,169.0,5.0,53.0,99.0,32.0,2.0,,50.0,4.0,8.0,5.0,4.0,4.0,1.0,25.0,28.0,4.0,2.0,1.0,5.0,29.0,11.0,22.0,4.0,35.0,12.0,115.0,3.0,7.0,3.0,5.0,10.0,6.0,3.0,1.0,11.0,10.0,3.0,4.0,7.0,,11.0,,3.0,2.0,,4.0,7.0,3.0,11.0,2.0,7.0,,,,5.0,,,,,,24.0,,5.0,,,,1.0,1.0,3.0,10.0,4.0,,,8.0,4.0,3.0,2.0,3.0,3.0,,1.0,1.0,1.0,5.0,,8.0,2.0,,1.0,,,,,2.0,,,,,,3.0,,10.0,1.0,,,,2.0,,,1.0,,3.0,,6.0,,,,4.0,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,67.0,48.0,78.0,58.0,6.0,75.0,,24.0,66.0,14.0,27.0,1.0,2.0,12.0,,12.0,4.0,5.0,1.0,17.0,,6.0,11.0,3.0,1.0,16.0,4.0,,1.0,3.0,,,,,,1.0,2.0,4.0,,3.0,4.0,,9.0,,2.0,,,,,,5.0,,,,,,1.0,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,58.0,60.0,49.0,7.0,21.0,30.0,40.0,,29.0,5.0,15.0,52.0,4.0,15.0,,,4.0,17.0,22.0,63.0,1.0,12.0,11.0,,48.0,3.0,43.0,,8.0,2.0,8.0,10.0,,17.0,,1.0,20.0,,26.0,1.0,,2.0,1.0,28.0,,3.0,9.0,2.0,,,7.0,,1.0,3.0,4.0,2.0,,7.0,,1.0,,,,11.0,,4.0,,6.0,,24.0,1.0,1.0,,,,1.0,3.0,,,4.0,,,,,,,,,,,1.0,1.0,1.0,,6.0,,,,,,,,,,2.0,,,,1.0,,,,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,7.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,15.0,25.0,13.0,12.0,21.0,12.0,,5.0,13.0,2.0,3.0,1.0,,2.0,,17.0,3.0,1.0,,10.0,,,5.0,1.0,,4.0,,2.0,,,,,1.0,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,76.0,77.0,78.0,38.0,5.0,24.0,140.0,3.0,37.0,,39.0,124.0,8.0,17.0,,1.0,3.0,13.0,15.0,130.0,1.0,16.0,57.0,1.0,59.0,28.0,25.0,1.0,16.0,,53.0,8.0,4.0,11.0,,6.0,43.0,,7.0,1.0,1.0,13.0,1.0,40.0,,4.0,11.0,2.0,3.0,,3.0,2.0,4.0,,1.0,,,3.0,2.0,2.0,,,,,,,1.0,5.0,,20.0,,,,3.0,,,,6.0,,8.0,,,,,1.0,,,,,11.0,3.0,,,,13.0,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,1.0,,,,1.0,,,3.0,,2.0,,,,,5.0,,,3.0,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,4.0,8.0,8.0,6.0,20.0,3.0,5.0,8.0,3.0,1.0,2.0,,,,34.0,1.0,5.0,,9.0,,1.0,3.0,3.0,3.0,,,,,,,,,1.0,,,,3.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
