,40,173,12,112,120,190,60,36,10,115,81,353,20,42,43,90,84,15,100,30,180,130,13,51,110,46,57,871,73,45,61,14,70,22,32,55,80,111,141,143,62,181,193,41,25,35,50,874,1124,1243,125,160,183,192,331,16,71,18,1831,33,831,114,31,17,11,26,172,1043,44,214,153,175,124,191,182,841,23,161,145,1822,72,1712,241,211,356,129,1123,64,170,138,24,1723,142,162,203,131,164,186,311,195,1044,27,128,256,140,233,171,231,83,833,1312,163,1721,1821,75,1121,52,139,38,87,154,56,174,28,37,332,1014,1384,133,1246,122,54,244,1122,1823,74,151,234,134,21,213,1053,1041,85,232,312,152,185,1724,1711,34,1411,53,127,113,63,166,39,150,194,842,86,91,19,116,1233,82,144,101,243,862,93,1056,333,1383,1722,1013,253,202,344,121,1622,1313,106,872,105,1031,1241,196,1621,334,123,1231,355,813,137,107,1832,341,1125,873,251,351,1311,184,132,834,94,92,102,1412,861
nan,10168.0,5459.0,3423.0,3473.0,3645.0,7173.0,2568.0,7022.0,15039.0,246.0,464.0,197.0,11407.0,11893.0,11017.0,3852.0,1725.0,1044.0,2074.0,2743.0,1372.0,1756.0,3359.0,9883.0,3170.0,4815.0,1539.0,76.0,897.0,317.0,664.0,1794.0,2050.0,272.0,165.0,239.0,1895.0,3187.0,1245.0,150.0,321.0,324.0,2325.0,232.0,225.0,166.0,1399.0,802.0,105.0,41.0,336.0,837.0,45.0,813.0,152.0,635.0,3063.0,336.0,32.0,446.0,495.0,1035.0,554.0,838.0,505.0,619.0,1748.0,90.0,194.0,385.0,52.0,225.0,161.0,115.0,360.0,870.0,285.0,99.0,163.0,159.0,361.0,434.0,143.0,32.0,69.0,152.0,143.0,100.0,103.0,399.0,23.0,94.0,23.0,72.0,79.0,50.0,160.0,152.0,343.0,185.0,14.0,60.0,461.0,43.0,157.0,77.0,141.0,202.0,102.0,137.0,47.0,160.0,177.0,322.0,77.0,68.0,207.0,127.0,20.0,34.0,272.0,58.0,230.0,38.0,69.0,74.0,185.0,55.0,92.0,13.0,58.0,36.0,3.0,13.0,48.0,19.0,22.0,85.0,28.0,28.0,40.0,53.0,31.0,50.0,10.0,22.0,35.0,18.0,23.0,89.0,10.0,22.0,51.0,61.0,35.0,29.0,22.0,14.0,107.0,88.0,46.0,18.0,49.0,26.0,3.0,17.0,31.0,42.0,35.0,7.0,13.0,5.0,10.0,19.0,19.0,59.0,9.0,17.0,21.0,2.0,8.0,1.0,3.0,1.0,2.0,6.0,6.0,38.0,5.0,2.0,13.0,2.0,1.0,1.0,9.0,7.0,2.0,4.0,10.0,6.0,9.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,
CAN,474.0,185.0,58.0,96.0,100.0,106.0,72.0,169.0,358.0,1.0,38.0,,356.0,345.0,324.0,69.0,44.0,8.0,61.0,68.0,63.0,38.0,102.0,235.0,65.0,111.0,33.0,,7.0,6.0,76.0,33.0,39.0,,4.0,8.0,48.0,100.0,29.0,5.0,4.0,,39.0,10.0,4.0,5.0,31.0,8.0,1.0,1.0,3.0,17.0,,18.0,7.0,13.0,97.0,5.0,,16.0,4.0,30.0,23.0,14.0,13.0,11.0,39.0,2.0,,11.0,,,7.0,1.0,10.0,26.0,2.0,5.0,,,,1.0,3.0,,1.0,1.0,2.0,3.0,3.0,13.0,,3.0,,,,,,3.0,9.0,,4.0,,10.0,,2.0,,,6.0,,7.0,,3.0,3.0,,7.0,,,,,,5.0,,,2.0,2.0,,3.0,,1.0,,1.0,3.0,,,2.0,,,1.0,,,1.0,,2.0,,,,,,,,,,,4.0,,2.0,47.0,,4.0,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,6.0,,,,,,,,,,,,,,,3.0,
USA,2859.0,2146.0,815.0,1442.0,1030.0,2489.0,835.0,2146.0,4189.0,138.0,134.0,53.0,3275.0,4426.0,4210.0,1203.0,637.0,450.0,513.0,713.0,456.0,471.0,1534.0,3002.0,882.0,1613.0,424.0,24.0,191.0,68.0,189.0,540.0,774.0,67.0,20.0,68.0,437.0,905.0,262.0,21.0,78.0,126.0,927.0,91.0,46.0,61.0,388.0,313.0,35.0,20.0,87.0,265.0,17.0,239.0,47.0,224.0,921.0,103.0,11.0,115.0,100.0,257.0,190.0,218.0,185.0,149.0,564.0,9.0,49.0,139.0,17.0,12.0,64.0,23.0,95.0,204.0,53.0,23.0,8.0,38.0,105.0,147.0,26.0,6.0,11.0,59.0,61.0,31.0,29.0,123.0,7.0,14.0,,32.0,3.0,13.0,49.0,49.0,82.0,52.0,,4.0,112.0,4.0,31.0,8.0,53.0,62.0,29.0,15.0,24.0,69.0,43.0,118.0,54.0,26.0,82.0,11.0,4.0,14.0,67.0,10.0,106.0,22.0,11.0,14.0,39.0,16.0,6.0,11.0,6.0,15.0,,4.0,15.0,12.0,8.0,8.0,13.0,19.0,11.0,11.0,7.0,16.0,,7.0,8.0,7.0,11.0,11.0,4.0,1.0,31.0,23.0,10.0,6.0,19.0,,11.0,22.0,22.0,4.0,13.0,7.0,,14.0,12.0,11.0,10.0,,1.0,5.0,2.0,6.0,2.0,,2.0,7.0,2.0,,1.0,1.0,5.0,4.0,,1.0,,10.0,,,6.0,,,6.0,,,,,,,8.0,,,,,3.0,1.0,6.0,,2.0,,
ISR,229.0,119.0,15.0,74.0,62.0,190.0,44.0,61.0,199.0,,5.0,,157.0,258.0,244.0,42.0,24.0,7.0,34.0,44.0,21.0,53.0,63.0,153.0,54.0,59.0,60.0,,5.0,3.0,39.0,20.0,35.0,3.0,,,25.0,66.0,38.0,1.0,,2.0,29.0,2.0,5.0,11.0,58.0,12.0,2.0,11.0,4.0,19.0,5.0,6.0,,11.0,35.0,2.0,,1.0,4.0,6.0,8.0,19.0,8.0,3.0,53.0,2.0,3.0,7.0,1.0,10.0,1.0,3.0,20.0,12.0,4.0,13.0,,1.0,6.0,11.0,,,,,2.0,,1.0,13.0,,,26.0,9.0,14.0,,3.0,11.0,1.0,5.0,,3.0,17.0,2.0,,1.0,,,,4.0,9.0,16.0,,32.0,5.0,,,4.0,,2.0,9.0,,12.0,,,,,,,,,9.0,2.0,,1.0,,4.0,,,9.0,,2.0,,,,2.0,,,,1.0,,,4.0,2.0,2.0,,,,15.0,31.0,1.0,,4.0,,,,1.0,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,
PSE,66.0,27.0,8.0,11.0,27.0,61.0,8.0,14.0,51.0,,2.0,,30.0,64.0,61.0,4.0,4.0,,14.0,18.0,14.0,11.0,12.0,50.0,11.0,19.0,15.0,,,,12.0,5.0,5.0,,,,5.0,16.0,21.0,,,4.0,17.0,,,1.0,19.0,,,3.0,2.0,4.0,,4.0,,4.0,7.0,,,,7.0,5.0,,6.0,,5.0,16.0,1.0,1.0,,1.0,4.0,1.0,1.0,11.0,8.0,1.0,1.0,,,,4.0,,,,,,,,3.0,,,6.0,2.0,6.0,,,2.0,,1.0,,,7.0,,,,,,,4.0,2.0,16.0,,,2.0,,,,,1.0,,,4.0,,3.0,,,,,,,1.0,,,2.0,,2.0,,,5.0,,,,,,,,,,,,,,2.0,,,,,,10.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
PAK,231.0,60.0,30.0,52.0,98.0,138.0,32.0,147.0,179.0,,39.0,1.0,128.0,264.0,233.0,20.0,6.0,9.0,48.0,30.0,9.0,16.0,42.0,125.0,27.0,204.0,45.0,,14.0,,27.0,22.0,17.0,3.0,1.0,,32.0,45.0,29.0,1.0,,3.0,40.0,,11.0,,17.0,9.0,12.0,,15.0,12.0,,3.0,1.0,7.0,4.0,5.0,2.0,,11.0,10.0,1.0,18.0,1.0,23.0,30.0,,2.0,6.0,,,,6.0,18.0,9.0,3.0,,2.0,4.0,6.0,2.0,,,1.0,,3.0,1.0,1.0,12.0,,1.0,,,,,13.0,,,3.0,,,1.0,1.0,,,,2.0,,1.0,,1.0,2.0,,,,1.0,,1.0,,2.0,3.0,1.0,3.0,,1.0,,,1.0,,,,,,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,4.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,42.0,26.0,9.0,10.0,9.0,33.0,14.0,79.0,61.0,,1.0,,67.0,82.0,84.0,18.0,7.0,8.0,7.0,15.0,5.0,3.0,20.0,83.0,15.0,9.0,4.0,,4.0,,10.0,14.0,6.0,,,,11.0,8.0,,,,8.0,5.0,,1.0,4.0,7.0,6.0,,,,1.0,,4.0,4.0,1.0,13.0,1.0,,8.0,,4.0,,10.0,1.0,,15.0,,,,,,1.0,,2.0,2.0,,,,,,2.0,,,,,,3.0,,,,,,,,,,,4.0,1.0,,,2.0,,,,1.0,,,,,,,1.0,,,8.0,,,,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
SLV,,20.0,10.0,1.0,5.0,1.0,,3.0,15.0,,,,9.0,25.0,25.0,,,4.0,9.0,13.0,2.0,12.0,8.0,4.0,,,45.0,,,,,3.0,1.0,,,,,,1.0,,,,,,,,10.0,,,,,1.0,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,7.0,,,,,,,,,,,,2.0,13.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,168.0,196.0,63.0,61.0,71.0,224.0,60.0,137.0,337.0,15.0,8.0,7.0,235.0,373.0,342.0,79.0,28.0,45.0,31.0,54.0,45.0,25.0,101.0,214.0,67.0,67.0,6.0,1.0,29.0,2.0,36.0,23.0,53.0,14.0,,7.0,29.0,64.0,25.0,,,,15.0,,5.0,6.0,29.0,14.0,2.0,2.0,5.0,12.0,,16.0,4.0,29.0,56.0,9.0,,8.0,8.0,15.0,11.0,23.0,7.0,,39.0,1.0,10.0,,,9.0,1.0,3.0,10.0,14.0,8.0,,4.0,,3.0,3.0,,,1.0,,5.0,,1.0,3.0,,1.0,,,,,2.0,3.0,7.0,11.0,,,15.0,,7.0,,,7.0,4.0,,,1.0,1.0,49.0,4.0,2.0,1.0,2.0,,,4.0,2.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,6.0,3.0,,,,,,,,,,,,,,,,,15.0,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
