,141,170,173,36,161,70,120,20,10,241,190,42,51,30,60,112,180,43,45,40,46,841,84,14,90,193,100,192,111,124,130,174,50,12,874,186,17,44,80,13,214,71,110,115,172,73,154,52,61,125,31,331,122,160,54,23,91,114,1712,15,72,150,166,18,1124,191,11,25,16,831,128,35,33,162,37,22,194,145,1053,1821,129,27,1721,138,195,62,181,1014,182,183,1832,203,311,26,164,1723,57,55,231,81,1313,140,53,213,143,234,171,175,32,83,144,332,353,134,842,1121,341,153,1312,873,75,833,1822,1241,1823,1711,1123,82,39,233,1411,56,185,41,834,1041,1231,87,871,811,139,131,1243,334,105,1056,243,163,142,151,28,1043,1724,356,74,1246,133,127,64,24,152,202,101,85,196,1383,1013,1042,1122,333,1384,1244,21,19,863,253,92,211,232,63,862,813,1044,1831,113,34,121,1311,86,861,312,126,1233,872,106,256,38
nan,806.0,62.0,2577.0,3520.0,72.0,888.0,1959.0,5683.0,7907.0,65.0,3701.0,6565.0,5195.0,1365.0,1155.0,1586.0,595.0,6089.0,193.0,4854.0,2329.0,487.0,807.0,919.0,1850.0,1229.0,1038.0,410.0,1701.0,53.0,783.0,138.0,703.0,1611.0,319.0,98.0,619.0,60.0,1048.0,1347.0,185.0,1496.0,1684.0,83.0,869.0,521.0,159.0,79.0,393.0,177.0,158.0,56.0,42.0,460.0,28.0,133.0,28.0,506.0,289.0,420.0,222.0,79.0,26.0,189.0,65.0,115.0,262.0,98.0,235.0,280.0,294.0,46.0,181.0,43.0,32.0,126.0,64.0,156.0,42.0,162.0,70.0,48.0,136.0,178.0,122.0,153.0,187.0,133.0,226.0,28.0,18.0,22.0,147.0,225.0,39.0,49.0,602.0,101.0,109.0,173.0,4.0,121.0,32.0,16.0,105.0,50.0,52.0,239.0,72.0,28.0,49.0,37.0,61.0,9.0,20.0,31.0,8.0,23.0,5.0,4.0,27.0,58.0,88.0,8.0,37.0,52.0,73.0,14.0,7.0,42.0,14.0,26.0,2.0,110.0,7.0,29.0,3.0,15.0,23.0,1.0,45.0,26.0,32.0,2.0,2.0,12.0,9.0,61.0,11.0,17.0,31.0,56.0,17.0,20.0,17.0,8.0,64.0,17.0,28.0,23.0,12.0,18.0,29.0,19.0,14.0,6.0,3.0,1.0,2.0,6.0,12.0,7.0,15.0,21.0,3.0,9.0,5.0,10.0,8.0,20.0,3.0,2.0,9.0,5.0,5.0,1.0,2.0,10.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0
USA,143.0,7.0,746.0,888.0,29.0,313.0,450.0,1397.0,1870.0,7.0,970.0,2122.0,1456.0,335.0,299.0,447.0,129.0,2041.0,59.0,1306.0,718.0,85.0,255.0,294.0,490.0,544.0,195.0,162.0,414.0,18.0,186.0,44.0,244.0,293.0,165.0,25.0,120.0,25.0,261.0,583.0,66.0,382.0,406.0,29.0,258.0,75.0,31.0,31.0,130.0,52.0,26.0,2.0,10.0,128.0,6.0,14.0,5.0,88.0,52.0,117.0,51.0,6.0,10.0,40.0,18.0,10.0,71.0,14.0,78.0,29.0,45.0,10.0,41.0,27.0,,39.0,7.0,11.0,7.0,42.0,25.0,1.0,15.0,27.0,21.0,39.0,31.0,21.0,52.0,6.0,,3.0,26.0,49.0,13.0,6.0,144.0,16.0,27.0,57.0,2.0,19.0,12.0,3.0,4.0,5.0,11.0,11.0,9.0,5.0,11.0,5.0,20.0,4.0,2.0,8.0,,,,,23.0,4.0,7.0,11.0,9.0,11.0,22.0,4.0,,1.0,,4.0,4.0,21.0,1.0,2.0,,2.0,9.0,,1.0,5.0,5.0,,,,,38.0,,,18.0,8.0,5.0,12.0,6.0,2.0,1.0,5.0,19.0,,5.0,1.0,,17.0,,1.0,,,,1.0,1.0,4.0,4.0,,1.0,4.0,,2.0,1.0,,,,,,2.0,,,,,,,3.0,1.0,,5.0,,1.0
CUB,,,4.0,19.0,,1.0,5.0,11.0,7.0,,,32.0,23.0,3.0,,,,28.0,,9.0,19.0,2.0,,1.0,,1.0,,,3.0,,4.0,,,,,,11.0,,,2.0,,,2.0,,6.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,29.0,3.0,25.0,38.0,,8.0,20.0,19.0,83.0,,160.0,81.0,62.0,38.0,8.0,61.0,7.0,74.0,2.0,78.0,30.0,12.0,2.0,2.0,15.0,23.0,14.0,34.0,49.0,,15.0,1.0,30.0,8.0,54.0,4.0,5.0,,24.0,21.0,,8.0,20.0,,13.0,5.0,16.0,,13.0,4.0,,3.0,2.0,5.0,,,,5.0,,4.0,,9.0,,2.0,11.0,,,,10.0,,2.0,,,,3.0,,6.0,,,1.0,,1.0,,7.0,11.0,10.0,7.0,,2.0,5.0,22.0,12.0,,,,,17.0,,,,,2.0,1.0,3.0,,,,,,,,13.0,,,,1.0,,,1.0,,9.0,,,,,,2.0,,,,,,,,,,,3.0,5.0,4.0,,,,,,2.0,,15.0,,,,,,15.0,,,,4.0,,,,,,8.0,,,,,,,16.0,,,2.0,,,,,,,,,,,6.0,,,,,,,,,,,,
SYR,19.0,1.0,35.0,11.0,1.0,16.0,17.0,37.0,69.0,,214.0,115.0,79.0,20.0,19.0,55.0,4.0,103.0,1.0,41.0,29.0,28.0,1.0,3.0,38.0,14.0,16.0,50.0,43.0,,17.0,2.0,22.0,19.0,95.0,4.0,,,19.0,17.0,,9.0,22.0,,6.0,11.0,38.0,,1.0,,,,,10.0,2.0,,,6.0,3.0,4.0,20.0,12.0,2.0,,9.0,,7.0,3.0,2.0,,1.0,,,,2.0,,8.0,,,,,,,3.0,15.0,,8.0,,,7.0,18.0,7.0,,,,,16.0,,3.0,,,2.0,,,2.0,3.0,,,,,,,,,,,,,,,28.0,,,,,,,,,1.0,,,,,,,,9.0,7.0,4.0,,,,,,,,,,,,,,5.0,,1.0,,,,,,3.0,,2.0,,,,,,,,,,2.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
UKR,2.0,,29.0,35.0,4.0,18.0,42.0,129.0,115.0,1.0,25.0,64.0,38.0,31.0,16.0,51.0,1.0,64.0,,125.0,57.0,3.0,26.0,10.0,63.0,8.0,49.0,14.0,14.0,2.0,12.0,,23.0,18.0,3.0,,,3.0,14.0,17.0,62.0,4.0,14.0,6.0,2.0,1.0,,1.0,4.0,6.0,5.0,,,5.0,,1.0,4.0,15.0,1.0,2.0,2.0,,,,,,3.0,,1.0,4.0,,5.0,,10.0,,,,,25.0,,,3.0,,2.0,,4.0,1.0,6.0,,,,,8.0,7.0,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,21.0,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,7.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,
VNM,3.0,,31.0,18.0,6.0,4.0,,18.0,37.0,,16.0,95.0,56.0,49.0,4.0,6.0,1.0,79.0,,53.0,45.0,7.0,,2.0,35.0,,1.0,,28.0,,5.0,,3.0,15.0,3.0,,4.0,,14.0,12.0,,,20.0,,1.0,,,,14.0,,4.0,,,,2.0,3.0,,3.0,,,,,,16.0,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,41.0,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
GBR,15.0,,142.0,141.0,10.0,40.0,89.0,284.0,345.0,9.0,118.0,449.0,265.0,61.0,41.0,66.0,11.0,418.0,5.0,160.0,99.0,31.0,24.0,38.0,61.0,24.0,37.0,13.0,74.0,,53.0,19.0,43.0,74.0,16.0,2.0,37.0,2.0,48.0,74.0,,40.0,77.0,4.0,22.0,11.0,2.0,5.0,22.0,5.0,10.0,4.0,1.0,4.0,,8.0,,15.0,11.0,20.0,2.0,,10.0,24.0,1.0,,16.0,9.0,7.0,7.0,6.0,2.0,6.0,1.0,,5.0,6.0,,,10.0,1.0,,3.0,2.0,2.0,12.0,1.0,,61.0,,,,5.0,3.0,1.0,2.0,41.0,28.0,,4.0,,3.0,3.0,,1.0,,1.0,,5.0,,,,3.0,,1.0,3.0,,,,,4.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,10.0,,3.0,,,1.0,,3.0,,,,,1.0,,,,,,3.0,,1.0,,,,,,,3.0,,,,,,,,,3.0,,,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,
AFG,2.0,2.0,21.0,18.0,,1.0,1.0,17.0,32.0,,87.0,34.0,23.0,10.0,10.0,21.0,3.0,31.0,,53.0,16.0,2.0,,,8.0,19.0,,2.0,3.0,2.0,6.0,2.0,14.0,19.0,7.0,1.0,2.0,,4.0,14.0,3.0,6.0,9.0,,4.0,,2.0,5.0,,,,,,,,,,11.0,16.0,6.0,7.0,2.0,,2.0,1.0,,2.0,,,3.0,,,5.0,,,4.0,,,,,,,,1.0,29.0,,5.0,,,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,,
AUS,12.0,,44.0,88.0,,31.0,21.0,107.0,189.0,,59.0,186.0,94.0,60.0,30.0,23.0,10.0,169.0,,70.0,60.0,17.0,15.0,20.0,35.0,13.0,6.0,9.0,42.0,2.0,19.0,,12.0,34.0,15.0,,10.0,5.0,19.0,33.0,,21.0,21.0,,16.0,4.0,2.0,,17.0,1.0,,,1.0,,,,,1.0,9.0,14.0,1.0,1.0,,12.0,1.0,,4.0,2.0,8.0,1.0,9.0,1.0,4.0,,,,,,,4.0,,1.0,,,1.0,2.0,11.0,,1.0,,,,8.0,5.0,7.0,,8.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,3.0,,,,,,,,,,,,,,4.0,,5.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
