,20,43,10,231,874,141,84,1053,129,193,1125,42,40,180,190,1056,125,51,36,111,173,182,19,30,61,112,841,55,100,130,32,166,25,41,46,60,332,214,138,14,71,110,1124,120,172,181,139,12,11,13,15,311,331,73,124,1721,22,831,170,50,90,191,175,1123,1014,171,1311,1313,162,70,26,1043,81,1821,16,24,241,33,80,1712,192,57,143,1121,186,144,18,1241,128,213,1411,140,1723,17,44,312,174,114,160,1044,31,1823,1243,45,353,202,23,74,75,64,52,194,63,62,72,195,871,1822,203,85,145,106,233,54,82,161,154,1041,53,150,163,1711,833,27,91,28,153,21,133,356,115,185,86,38,333,234,131,842,1724,105,1013,142,334,152,83,1383,183,1233,122,35,101,164,1244,253,94,341,862,113,1222,56,123,211,1722,243,37,1384,151,132,136,87,1211,127,1312,256,93,134,1621,861,1246,39,1031,1412,873,196,137,232,244,872,811,1122,121,1831,92,1054,1662,1832,1042
nan,10248.0,9811.0,12785.0,193.0,622.0,1444.0,1621.0,75.0,92.0,2102.0,16.0,10609.0,8560.0,1126.0,5799.0,9.0,274.0,8666.0,6287.0,3040.0,4743.0,312.0,36.0,2656.0,749.0,2985.0,951.0,226.0,1800.0,1481.0,155.0,35.0,203.0,198.0,4395.0,2377.0,48.0,238.0,346.0,1692.0,2706.0,2868.0,129.0,3155.0,1466.0,440.0,70.0,2728.0,462.0,2679.0,729.0,330.0,109.0,633.0,174.0,155.0,242.0,547.0,108.0,1354.0,3092.0,179.0,267.0,100.0,134.0,108.0,18.0,5.0,111.0,1786.0,467.0,72.0,358.0,290.0,481.0,25.0,81.0,358.0,1656.0,277.0,767.0,1365.0,170.0,52.0,184.0,69.0,232.0,30.0,441.0,26.0,13.0,215.0,74.0,1062.0,148.0,5.0,150.0,959.0,696.0,27.0,371.0,98.0,56.0,268.0,173.0,25.0,257.0,26.0,77.0,117.0,155.0,101.0,12.0,225.0,272.0,127.0,55.0,124.0,44.0,32.0,192.0,16.0,32.0,25.0,25.0,119.0,198.0,37.0,70.0,138.0,202.0,45.0,119.0,59.0,54.0,24.0,53.0,26.0,101.0,31.0,173.0,5.0,6.0,1.0,29.0,62.0,40.0,45.0,13.0,5.0,4.0,47.0,10.0,39.0,78.0,30.0,50.0,14.0,63.0,116.0,45.0,123.0,3.0,28.0,3.0,13.0,17.0,46.0,3.0,72.0,5.0,17.0,5.0,7.0,79.0,37.0,26.0,6.0,6.0,6.0,1.0,44.0,9.0,17.0,5.0,32.0,6.0,5.0,5.0,47.0,5.0,1.0,7.0,8.0,7.0,11.0,11.0,4.0,3.0,5.0,7.0,10.0,4.0,4.0,6.0,3.0,
EUR,132.0,174.0,120.0,,17.0,3.0,13.0,,2.0,7.0,,193.0,144.0,4.0,34.0,,3.0,102.0,114.0,50.0,22.0,,,40.0,58.0,28.0,5.0,,39.0,26.0,7.0,,1.0,,57.0,19.0,,,3.0,9.0,65.0,28.0,1.0,38.0,15.0,,1.0,33.0,2.0,44.0,6.0,8.0,,9.0,,,3.0,,,55.0,10.0,,,,,,,,,14.0,8.0,2.0,6.0,1.0,2.0,1.0,4.0,3.0,23.0,,14.0,47.0,,,1.0,,1.0,,5.0,,,,,5.0,,,,17.0,7.0,,7.0,,,5.0,1.0,,,,4.0,1.0,1.0,3.0,,2.0,1.0,,,,,,,,1.0,,,3.0,3.0,,,,10.0,,2.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,2.0,3.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,
CHN,340.0,579.0,440.0,1.0,24.0,27.0,17.0,,3.0,12.0,,603.0,649.0,14.0,82.0,1.0,6.0,262.0,253.0,189.0,72.0,2.0,8.0,228.0,281.0,110.0,30.0,1.0,72.0,56.0,2.0,,6.0,,315.0,97.0,2.0,7.0,15.0,24.0,52.0,112.0,,81.0,60.0,,2.0,109.0,17.0,139.0,22.0,57.0,3.0,5.0,2.0,22.0,5.0,1.0,2.0,181.0,54.0,1.0,7.0,2.0,,,,,,74.0,16.0,2.0,9.0,1.0,15.0,,2.0,15.0,44.0,19.0,10.0,239.0,,,1.0,,3.0,,5.0,6.0,1.0,4.0,,52.0,24.0,8.0,,35.0,25.0,1.0,21.0,,3.0,3.0,3.0,,1.0,,1.0,4.0,5.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,,,3.0,,,4.0,,,4.0,2.0,1.0,6.0,4.0,,4.0,,2.0,,1.0,7.0,2.0,,4.0,,,,,8.0,1.0,,,,,,,,,1.0,,,3.0,3.0,,,,,,,6.0,,,1.0,,,1.0,1.0,17.0,3.0,,,,,,3.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,
ITA,38.0,130.0,81.0,,7.0,13.0,8.0,,,7.0,,134.0,47.0,6.0,28.0,,,64.0,56.0,16.0,22.0,3.0,,15.0,9.0,2.0,10.0,1.0,5.0,5.0,,,2.0,,64.0,13.0,,,,9.0,11.0,22.0,,15.0,8.0,,,14.0,,24.0,1.0,4.0,,22.0,1.0,,,2.0,,6.0,8.0,2.0,,2.0,,,,,,10.0,1.0,,2.0,,1.0,,,,4.0,,1.0,16.0,,,4.0,,1.0,,1.0,,,,1.0,20.0,2.0,,3.0,,3.0,,6.0,,,2.0,,,,1.0,4.0,,,,,,1.0,,,,,,,,,4.0,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA,2648.0,3786.0,3374.0,52.0,321.0,315.0,545.0,6.0,40.0,877.0,,4021.0,2437.0,323.0,1610.0,2.0,95.0,2705.0,1886.0,764.0,1623.0,76.0,3.0,716.0,230.0,953.0,241.0,63.0,424.0,388.0,17.0,13.0,60.0,73.0,1338.0,623.0,11.0,87.0,80.0,557.0,800.0,757.0,46.0,734.0,472.0,115.0,16.0,647.0,145.0,1133.0,301.0,48.0,34.0,153.0,54.0,16.0,41.0,83.0,9.0,398.0,940.0,20.0,11.0,19.0,21.0,37.0,12.0,,72.0,598.0,80.0,9.0,155.0,108.0,143.0,1.0,14.0,112.0,417.0,74.0,256.0,372.0,19.0,12.0,54.0,7.0,40.0,20.0,95.0,5.0,,22.0,14.0,293.0,44.0,,35.0,195.0,217.0,4.0,126.0,38.0,11.0,105.0,49.0,7.0,49.0,3.0,46.0,33.0,33.0,11.0,3.0,64.0,54.0,33.0,12.0,17.0,5.0,14.0,36.0,7.0,8.0,,3.0,47.0,42.0,,20.0,9.0,74.0,9.0,25.0,16.0,7.0,9.0,,10.0,13.0,18.0,60.0,2.0,7.0,1.0,5.0,9.0,1.0,10.0,,,3.0,,1.0,7.0,24.0,15.0,17.0,8.0,24.0,47.0,5.0,62.0,,3.0,1.0,1.0,5.0,2.0,,9.0,2.0,4.0,7.0,,24.0,10.0,,4.0,4.0,2.0,,9.0,1.0,2.0,,6.0,,,,7.0,1.0,,,,,1.0,,,,4.0,5.0,2.0,,,,,
ERI,,5.0,,,4.0,,,,,,,5.0,4.0,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,141.0,161.0,133.0,3.0,3.0,5.0,23.0,,,25.0,,180.0,132.0,10.0,65.0,,4.0,121.0,128.0,25.0,71.0,2.0,,28.0,28.0,25.0,4.0,1.0,20.0,7.0,2.0,4.0,,,38.0,46.0,,3.0,2.0,26.0,29.0,22.0,1.0,28.0,12.0,18.0,,20.0,,28.0,3.0,6.0,,6.0,,,5.0,,,19.0,23.0,,,,3.0,,,,1.0,35.0,5.0,,1.0,4.0,8.0,,,1.0,21.0,1.0,3.0,19.0,,,2.0,,4.0,,1.0,,,,1.0,6.0,2.0,5.0,,6.0,6.0,,5.0,,,5.0,4.0,,2.0,1.0,2.0,,,,,2.0,1.0,1.0,,4.0,,,1.0,,,,,7.0,2.0,,,,1.0,4.0,1.0,1.0,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,
GIN,4.0,11.0,1.0,,,3.0,,,,1.0,,11.0,,,8.0,,,3.0,,3.0,13.0,,,,,1.0,,,,,,,,,,3.0,,,,,,1.0,1.0,2.0,,11.0,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
ETH,19.0,49.0,15.0,,,8.0,,,,1.0,,52.0,44.0,,14.0,,,14.0,56.0,5.0,2.0,,3.0,7.0,3.0,,1.0,,,2.0,,,,,38.0,,,,2.0,6.0,1.0,1.0,2.0,5.0,,,,6.0,,6.0,,,,1.0,,,,,,16.0,3.0,,,1.0,,,,,,1.0,5.0,,,,,,,,,,,8.0,,,2.0,,4.0,,,,,,,,24.0,,,1.0,,,,,,4.0,,,,,2.0,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
