,111,42,141,190,10,20,43,51,61,84,128,130,180,192,193,71,36,110,120,12,40,112,173,194,80,311,90,46,25,114,62,831,874,172,214,15,100,231,1043,30,17,13,138,14,160,45,140,70,871,161,1821,72,57,60,18,16,1121,32,125,73,143,53,50,35,64,191,841,181,26,124,23,1383,22,52,233,75,1711,56,33,81,11,150,861,74,1041,174,41,63,1124,1712,186,833,163,87,171,153,133,129,1723,139,175,195,170,182,54,44,115,154,185,332,1123,1312,1311,164,28,31,1721,131,331,91,234,145,341,151,1822,162,144,38,1014,27,1722,213,183,55,83,82,1241,1724,1122,24,1056,1243,353,842,39,105,241,166,142,1031,1044,152,202,1823,127,134,34,872,873,113,356,1053,122,102,85,1384,136,253,211,21,86,92,196,1125,203,862,106,94,93,1246,107,334,19,333,101,811,1013,37,1831,312,256,1621,1411,344,863,1313,1233,813,232,1232,121,1832,1662
AUS,42.0,161.0,14.0,61.0,174.0,90.0,143.0,99.0,9.0,22.0,3.0,15.0,17.0,11.0,16.0,21.0,55.0,19.0,41.0,26.0,58.0,33.0,70.0,1.0,13.0,2.0,48.0,58.0,1.0,12.0,5.0,2.0,4.0,21.0,3.0,9.0,8.0,8.0,3.0,24.0,9.0,26.0,4.0,9.0,5.0,1.0,1.0,18.0,1.0,3.0,4.0,3.0,49.0,21.0,9.0,16.0,1.0,1.0,2.0,3.0,4.0,1.0,7.0,1.0,2.0,1.0,10.0,10.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,1542.0,6594.0,978.0,3814.0,7449.0,5863.0,6123.0,5508.0,330.0,897.0,153.0,949.0,655.0,356.0,1524.0,1426.0,3477.0,1691.0,1751.0,1584.0,4624.0,1781.0,3032.0,84.0,959.0,130.0,2055.0,2471.0,151.0,560.0,189.0,520.0,300.0,746.0,160.0,415.0,1009.0,107.0,26.0,1213.0,587.0,1471.0,195.0,779.0,355.0,124.0,197.0,1113.0,29.0,31.0,363.0,175.0,625.0,1239.0,180.0,220.0,18.0,66.0,102.0,442.0,100.0,44.0,618.0,59.0,32.0,103.0,649.0,177.0,275.0,73.0,177.0,15.0,117.0,81.0,18.0,52.0,38.0,32.0,148.0,193.0,237.0,89.0,,8.0,32.0,94.0,101.0,12.0,107.0,164.0,118.0,81.0,73.0,7.0,61.0,53.0,77.0,40.0,62.0,61.0,192.0,79.0,55.0,170.0,11.0,116.0,109.0,106.0,2.0,32.0,89.0,6.0,7.0,80.0,19.0,173.0,71.0,18.0,75.0,40.0,31.0,139.0,17.0,13.0,80.0,34.0,32.0,21.0,89.0,56.0,11.0,5.0,28.0,132.0,34.0,16.0,10.0,17.0,18.0,6.0,3.0,10.0,87.0,37.0,8.0,2.0,51.0,29.0,18.0,7.0,13.0,26.0,11.0,57.0,15.0,8.0,1.0,9.0,7.0,12.0,15.0,39.0,8.0,2.0,19.0,26.0,2.0,13.0,7.0,14.0,11.0,5.0,12.0,3.0,14.0,9.0,5.0,3.0,9.0,17.0,3.0,6.0,5.0,2.0,8.0,5.0,6.0,32.0,11.0,7.0,5.0,2.0,9.0,2.0,1.0,2.0,2.0,3.0,5.0,1.0,2.0,11.0,
JPN,45.0,188.0,8.0,11.0,88.0,96.0,180.0,78.0,29.0,11.0,1.0,40.0,2.0,2.0,12.0,16.0,91.0,15.0,29.0,21.0,159.0,8.0,15.0,18.0,14.0,3.0,8.0,200.0,,7.0,22.0,2.0,5.0,14.0,,2.0,9.0,,,22.0,12.0,16.0,3.0,13.0,6.0,,,26.0,,1.0,,1.0,70.0,13.0,10.0,,,,,7.0,,,40.0,4.0,,,4.0,7.0,12.0,3.0,1.0,,,,,2.0,,,2.0,,2.0,5.0,,,,1.0,6.0,,,2.0,4.0,,,,,,,,,,,21.0,,,,3.0,,1.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,2.0,54.0,,2.0,22.0,13.0,55.0,11.0,4.0,1.0,2.0,,,2.0,3.0,12.0,26.0,8.0,2.0,4.0,21.0,2.0,23.0,,8.0,3.0,12.0,10.0,,1.0,,,,2.0,,,,,,13.0,13.0,12.0,,,,2.0,,2.0,,,,,11.0,,,,,,,5.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
CHN,62.0,311.0,19.0,63.0,214.0,140.0,291.0,116.0,60.0,59.0,2.0,39.0,8.0,10.0,9.0,37.0,72.0,53.0,37.0,46.0,120.0,48.0,125.0,,16.0,16.0,52.0,75.0,,11.0,42.0,6.0,13.0,13.0,2.0,24.0,25.0,4.0,,51.0,16.0,38.0,8.0,27.0,26.0,1.0,3.0,27.0,2.0,2.0,2.0,4.0,96.0,33.0,17.0,11.0,,3.0,5.0,7.0,,,55.0,1.0,4.0,,11.0,4.0,5.0,3.0,8.0,,1.0,3.0,,1.0,1.0,,5.0,4.0,3.0,,,,,2.0,,,4.0,,7.0,1.0,9.0,,1.0,,5.0,1.0,,,3.0,,,1.0,,2.0,,3.0,,4.0,,,,10.0,,10.0,3.0,,5.0,,,1.0,,,2.0,1.0,,,1.0,,,,,2.0,,,,,3.0,,,3.0,,,,,2.0,,,,8.0,,,,,,,,,,,,,,,2.0,,3.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,
GRC,19.0,51.0,,5.0,15.0,23.0,45.0,28.0,,2.0,,4.0,1.0,2.0,2.0,12.0,27.0,14.0,3.0,7.0,23.0,1.0,2.0,,10.0,,3.0,31.0,,,,3.0,1.0,2.0,,2.0,2.0,,,18.0,,2.0,,,,,,3.0,,,,,17.0,2.0,,1.0,,2.0,,2.0,,,18.0,,,,,,1.0,,,,,,,,,,2.0,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,175.0,707.0,17.0,357.0,395.0,287.0,663.0,393.0,30.0,87.0,3.0,64.0,33.0,33.0,156.0,74.0,241.0,56.0,86.0,90.0,337.0,96.0,433.0,1.0,55.0,6.0,160.0,115.0,14.0,22.0,8.0,10.0,19.0,43.0,2.0,30.0,49.0,12.0,,71.0,80.0,102.0,40.0,22.0,26.0,5.0,6.0,31.0,5.0,2.0,6.0,11.0,56.0,63.0,26.0,13.0,2.0,3.0,3.0,20.0,,3.0,31.0,3.0,1.0,7.0,96.0,6.0,22.0,5.0,5.0,3.0,15.0,9.0,,,,,7.0,5.0,16.0,,,,,14.0,2.0,5.0,2.0,4.0,1.0,2.0,2.0,,2.0,,,,,2.0,,7.0,2.0,43.0,,30.0,2.0,2.0,,,7.0,,,10.0,6.0,15.0,3.0,3.0,,1.0,4.0,6.0,,1.0,3.0,2.0,,4.0,3.0,,,,,11.0,,2.0,,,1.0,,,1.0,10.0,,4.0,,5.0,5.0,,,1.0,1.0,,67.0,3.0,,,,,2.0,,,2.0,,,3.0,,1.0,1.0,2.0,,,,,,,,2.0,,,,,,,1.0,,,,2.0,,,,,,2.0,,,,,,,,
USA,284.0,2014.0,107.0,743.0,1546.0,1161.0,1950.0,1301.0,128.0,230.0,25.0,195.0,133.0,83.0,493.0,360.0,815.0,334.0,327.0,251.0,1020.0,404.0,790.0,12.0,206.0,27.0,537.0,588.0,15.0,81.0,40.0,37.0,98.0,187.0,21.0,98.0,161.0,41.0,8.0,250.0,112.0,494.0,30.0,150.0,67.0,27.0,13.0,389.0,,5.0,33.0,30.0,174.0,329.0,9.0,49.0,4.0,1.0,30.0,97.0,7.0,15.0,147.0,18.0,8.0,4.0,79.0,23.0,47.0,26.0,35.0,1.0,27.0,24.0,,25.0,5.0,5.0,46.0,48.0,84.0,12.0,,1.0,3.0,31.0,22.0,5.0,12.0,24.0,23.0,12.0,18.0,1.0,11.0,,5.0,15.0,11.0,15.0,8.0,31.0,4.0,23.0,,12.0,68.0,22.0,,1.0,14.0,,1.0,29.0,3.0,37.0,8.0,3.0,17.0,3.0,2.0,5.0,,1.0,13.0,2.0,2.0,,8.0,9.0,,3.0,,33.0,3.0,,7.0,2.0,,1.0,,2.0,18.0,,,,6.0,12.0,6.0,1.0,,1.0,10.0,1.0,2.0,2.0,,1.0,7.0,2.0,5.0,4.0,5.0,,1.0,3.0,,1.0,3.0,12.0,,,,1.0,3.0,,3.0,,,4.0,2.0,,2.0,,,1.0,1.0,3.0,,,,,1.0,,,,,5.0,2.0,,5.0,,
DEU,37.0,102.0,23.0,47.0,95.0,49.0,95.0,85.0,36.0,5.0,,15.0,3.0,5.0,5.0,17.0,116.0,17.0,28.0,28.0,137.0,12.0,21.0,,18.0,4.0,37.0,50.0,,,,8.0,2.0,12.0,,1.0,12.0,,,33.0,10.0,29.0,7.0,5.0,5.0,1.0,,18.0,,,,,53.0,11.0,,1.0,1.0,,,3.0,9.0,,6.0,,,1.0,7.0,14.0,1.0,2.0,1.0,,,,,2.0,,,,,1.0,,,,,1.0,,,,,3.0,,2.0,,1.0,,15.0,,,1.0,,8.0,2.0,1.0,3.0,1.0,,,,,2.0,,,,,4.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,3.0,,,,,3.0,,
