,43,42,71,36,51,26,20,110,193,60,100,111,831,40,173,13,1724,10,15,57,16,46,81,84,180,190,841,192,31,874,14,30,45,1123,125,50,1312,112,120,141,80,61,130,52,12,17,44,170,1823,232,25,32,70,1121,1124,182,73,160,90,64,331,311,23,55,114,161,186,11,862,1241,128,53,129,113,214,124,171,172,181,91,1712,21,1723,833,122,83,1821,18,28,33,871,131,162,27,1711,1311,241,231,175,1043,139,72,334,154,140,1014,1053,134,138,163,356,353,62,41,22,1044,174,1243,164,1721,75,1822,115,85,101,1056,143,234,54,35,1831,63,195,150,133,86,183,191,233,56,93,1041,1125,19,333,116,332,37,203,1383,842,1384,312,185,151,152,1722,194,145,127,211,253,121,82,1122,106,74,144,202,314,87,1013,1233,153,256,213,255,166,1246,39,1244,1031,1411,142,1662,243,24,873,1313,165,196,1832,105,254,38,341,34,861,94,137,811,863,834,102,344,126,132,136
nan,10672.0,11457.0,3240.0,7105.0,10036.0,526.0,11928.0,3381.0,2655.0,2818.0,2067.0,3496.0,729.0,10820.0,6055.0,3152.0,11.0,15340.0,1096.0,1327.0,585.0,5282.0,685.0,1837.0,1515.0,5859.0,854.0,757.0,618.0,546.0,1836.0,2659.0,351.0,99.0,339.0,1485.0,56.0,3931.0,3624.0,1382.0,1892.0,699.0,1850.0,272.0,3359.0,918.0,183.0,174.0,90.0,30.0,224.0,143.0,2319.0,118.0,109.0,273.0,804.0,938.0,4237.0,156.0,140.0,331.0,278.0,308.0,1036.0,142.0,158.0,608.0,18.0,47.0,455.0,75.0,144.0,56.0,347.0,207.0,138.0,1522.0,262.0,84.0,335.0,47.0,55.0,118.0,85.0,69.0,582.0,265.0,43.0,547.0,61.0,68.0,102.0,84.0,76.0,13.0,103.0,254.0,105.0,89.0,58.0,350.0,6.0,182.0,173.0,166.0,52.0,42.0,379.0,214.0,56.0,190.0,224.0,210.0,221.0,23.0,188.0,50.0,166.0,182.0,108.0,160.0,289.0,44.0,49.0,31.0,157.0,77.0,121.0,146.0,36.0,36.0,134.0,156.0,55.0,15.0,31.0,129.0,65.0,56.0,16.0,27.0,4.0,26.0,33.0,5.0,92.0,68.0,18.0,25.0,65.0,70.0,6.0,19.0,31.0,22.0,17.0,93.0,86.0,38.0,21.0,38.0,19.0,34.0,13.0,11.0,30.0,25.0,14.0,2.0,21.0,2.0,20.0,52.0,8.0,16.0,1.0,22.0,15.0,25.0,2.0,10.0,7.0,34.0,2.0,2.0,12.0,4.0,9.0,1.0,4.0,9.0,4.0,1.0,6.0,10.0,8.0,1.0,4.0,4.0,3.0,5.0,4.0,1.0,1.0,2.0,,
IRQ,96.0,106.0,3.0,26.0,56.0,,82.0,18.0,10.0,24.0,11.0,16.0,51.0,87.0,35.0,30.0,,76.0,,10.0,,18.0,,2.0,26.0,56.0,6.0,7.0,1.0,8.0,20.0,3.0,1.0,,2.0,3.0,,13.0,18.0,40.0,9.0,3.0,11.0,,12.0,2.0,5.0,3.0,,,,,5.0,,,,5.0,2.0,9.0,,,3.0,,,4.0,,,,,,,2.0,,,,2.0,,3.0,1.0,,,,,3.0,1.0,,,,,,1.0,,,,,,3.0,,11.0,,,12.0,,10.0,12.0,,,,,1.0,,,4.0,14.0,1.0,,,2.0,,,2.0,,,,,,,,,,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
NMR,34.0,34.0,5.0,38.0,24.0,,8.0,7.0,,8.0,2.0,4.0,,16.0,2.0,5.0,,12.0,,13.0,,7.0,,4.0,,3.0,,,,4.0,1.0,3.0,,,2.0,3.0,,,5.0,,1.0,8.0,,,2.0,,,,,,,,4.0,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,4002.0,4258.0,1008.0,2030.0,3413.0,162.0,3219.0,1053.0,1046.0,736.0,512.0,954.0,285.0,3515.0,2082.0,1381.0,,4270.0,530.0,549.0,210.0,2003.0,202.0,663.0,525.0,1707.0,169.0,269.0,263.0,234.0,495.0,833.0,91.0,51.0,87.0,383.0,13.0,1342.0,956.0,207.0,524.0,237.0,514.0,43.0,875.0,276.0,78.0,11.0,21.0,3.0,61.0,22.0,867.0,39.0,35.0,90.0,200.0,298.0,1256.0,49.0,37.0,99.0,49.0,62.0,263.0,40.0,65.0,204.0,1.0,12.0,96.0,27.0,47.0,12.0,126.0,100.0,53.0,485.0,49.0,13.0,74.0,15.0,17.0,24.0,18.0,33.0,91.0,55.0,10.0,158.0,14.0,38.0,44.0,9.0,3.0,,36.0,84.0,8.0,16.0,10.0,108.0,3.0,53.0,14.0,31.0,8.0,14.0,74.0,53.0,12.0,32.0,36.0,97.0,57.0,,32.0,16.0,52.0,36.0,29.0,21.0,161.0,29.0,8.0,3.0,18.0,8.0,32.0,50.0,,4.0,25.0,20.0,11.0,8.0,7.0,14.0,13.0,10.0,,12.0,,13.0,7.0,,13.0,6.0,1.0,2.0,13.0,21.0,3.0,,4.0,2.0,5.0,18.0,6.0,7.0,4.0,3.0,11.0,7.0,,6.0,4.0,4.0,3.0,,9.0,,8.0,7.0,4.0,6.0,,6.0,4.0,1.0,2.0,2.0,,,,,4.0,3.0,,2.0,,,1.0,3.0,,2.0,1.0,1.0,,,,1.0,4.0,,,,2.0,
AFR,180.0,192.0,32.0,82.0,123.0,11.0,125.0,29.0,30.0,27.0,17.0,38.0,6.0,91.0,98.0,42.0,,183.0,10.0,15.0,6.0,46.0,1.0,21.0,14.0,94.0,12.0,8.0,,12.0,14.0,35.0,5.0,1.0,1.0,25.0,,31.0,34.0,7.0,23.0,17.0,29.0,1.0,39.0,17.0,1.0,,,,,4.0,28.0,,,3.0,10.0,9.0,34.0,,1.0,5.0,4.0,6.0,7.0,2.0,1.0,3.0,4.0,,1.0,1.0,,,,6.0,1.0,4.0,4.0,,1.0,2.0,,1.0,,,5.0,4.0,,7.0,1.0,,,,1.0,,,1.0,,,,3.0,,,1.0,2.0,,,4.0,1.0,,,3.0,,,,2.0,,,,1.0,2.0,1.0,,,,2.0,,,,,,,,,,,3.0,,2.0,,,,2.0,,,,,,,,,,,3.0,,,,7.0,3.0,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,60.0,66.0,5.0,48.0,23.0,3.0,6.0,3.0,1.0,3.0,,4.0,,137.0,13.0,22.0,,31.0,1.0,2.0,,21.0,,1.0,1.0,6.0,,5.0,,,2.0,1.0,,,5.0,2.0,,5.0,2.0,,4.0,,4.0,1.0,,,,,,,,26.0,1.0,1.0,,,,,20.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,183.0,197.0,29.0,122.0,179.0,23.0,215.0,99.0,15.0,69.0,97.0,76.0,5.0,606.0,73.0,86.0,,340.0,19.0,16.0,16.0,212.0,8.0,17.0,29.0,66.0,7.0,22.0,4.0,6.0,15.0,69.0,,7.0,12.0,45.0,,127.0,59.0,17.0,35.0,2.0,26.0,6.0,81.0,5.0,16.0,,,3.0,1.0,,31.0,4.0,,3.0,2.0,27.0,170.0,7.0,,13.0,5.0,,13.0,15.0,3.0,12.0,,,6.0,,5.0,1.0,66.0,3.0,,9.0,7.0,2.0,1.0,1.0,,1.0,1.0,5.0,,,1.0,15.0,2.0,,39.0,1.0,1.0,1.0,,,,1.0,2.0,11.0,,2.0,,14.0,,,5.0,2.0,1.0,,,19.0,1.0,3.0,1.0,,,2.0,,5.0,19.0,1.0,,,,,3.0,16.0,,,,,,,,1.0,,,,7.0,,2.0,,,3.0,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,3.0,,,1.0,,,,,,,,5.0,,,,,,,3.0,,,,,,,,,,,,,,,,,
CAN,423.0,439.0,89.0,160.0,259.0,28.0,382.0,76.0,50.0,83.0,70.0,195.0,8.0,665.0,139.0,85.0,,519.0,26.0,48.0,6.0,253.0,13.0,56.0,22.0,155.0,4.0,32.0,20.0,16.0,56.0,62.0,4.0,4.0,14.0,48.0,,112.0,76.0,15.0,45.0,42.0,48.0,3.0,92.0,30.0,5.0,5.0,,,2.0,27.0,73.0,3.0,4.0,9.0,24.0,16.0,88.0,3.0,5.0,23.0,5.0,2.0,27.0,18.0,2.0,29.0,1.0,2.0,15.0,2.0,,,6.0,11.0,5.0,49.0,4.0,3.0,12.0,2.0,1.0,,,1.0,4.0,1.0,,12.0,3.0,,,,4.0,,1.0,10.0,,,,18.0,,6.0,1.0,5.0,,1.0,8.0,3.0,,4.0,14.0,2.0,3.0,,8.0,2.0,12.0,3.0,2.0,,,,1.0,,6.0,14.0,,,,,,1.0,,,,1.0,4.0,,3.0,,,1.0,2.0,,1.0,4.0,,,1.0,1.0,,,,1.0,,,3.0,4.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
GBR,1317.0,1402.0,143.0,616.0,654.0,69.0,603.0,150.0,92.0,111.0,84.0,339.0,29.0,1169.0,312.0,275.0,,718.0,30.0,93.0,39.0,709.0,12.0,77.0,65.0,444.0,51.0,26.0,46.0,45.0,72.0,189.0,31.0,7.0,17.0,153.0,2.0,222.0,195.0,62.0,103.0,48.0,109.0,10.0,213.0,126.0,13.0,4.0,32.0,,7.0,37.0,96.0,1.0,11.0,23.0,22.0,38.0,183.0,5.0,3.0,21.0,20.0,13.0,43.0,23.0,3.0,11.0,4.0,,26.0,,5.0,,8.0,2.0,,75.0,8.0,4.0,8.0,3.0,4.0,4.0,6.0,3.0,15.0,19.0,5.0,17.0,5.0,,7.0,,1.0,,3.0,8.0,,7.0,2.0,9.0,2.0,11.0,13.0,2.0,2.0,2.0,18.0,4.0,2.0,10.0,8.0,9.0,10.0,1.0,4.0,1.0,4.0,2.0,4.0,,1.0,1.0,1.0,,8.0,6.0,,1.0,3.0,,9.0,6.0,2.0,3.0,8.0,3.0,6.0,3.0,,2.0,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,9.0,1.0,1.0,,2.0,,3.0,,5.0,,,,,,,2.0,3.0,,1.0,,7.0,7.0,14.0,,2.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
