,60,14,81,51,46,111,36,15,173,193,30,20,57,180,160,84,43,141,71,42,10,40,90,1243,241,190,874,112,191,25,311,73,13,31,70,100,110,33,80,120,130,50,138,192,32,114,181,72,62,172,134,75,12,831,128,115,16,163,1121,1821,23,182,11,171,17,161,841,154,195,44,353,61,18,162,842,164,64,45,133,1053,143,1014,28,253,131,82,125,214,35,331,150,183,26,91,1043,124,129,174,213,52,1712,231,170,1312,142,1123,83,203,232,1711,175,140,234,144,194,233,41,53,74,1124,1382,1721,871,54,122,127,63,256,1384,1044,186,1056,145,356,101,1823,22,1723,1241,55,334,39,19,833,21,27,333,24,113,1233,87,813,166,1246,153,152,211,1031,862,1831,37,1822,873,116,1412,1724,1013,137,1122,139,1832,123,312,93,1041,121,38,94,332,243,254,1125,85,92,56,863,151,196,1411,861,202,1383,185,341,132,351,102,201,184,1662,1722,344,811,86,1413,1322,34,1211,1244,105,1311
nan,1794.0,954.0,466.0,6980.0,2826.0,2067.0,4160.0,718.0,4634.0,1803.0,1826.0,7895.0,939.0,987.0,699.0,1338.0,7720.0,1701.0,1790.0,8336.0,9797.0,5860.0,2715.0,26.0,63.0,4792.0,430.0,2532.0,121.0,170.0,204.0,687.0,1894.0,339.0,1566.0,1393.0,2165.0,244.0,1508.0,2438.0,1110.0,878.0,209.0,591.0,77.0,724.0,295.0,245.0,174.0,1104.0,12.0,156.0,2010.0,356.0,217.0,114.0,407.0,154.0,48.0,216.0,195.0,268.0,340.0,108.0,794.0,150.0,719.0,164.0,93.0,63.0,96.0,456.0,192.0,76.0,64.0,115.0,109.0,143.0,55.0,149.0,78.0,142.0,44.0,16.0,36.0,26.0,189.0,178.0,116.0,101.0,65.0,38.0,261.0,59.0,52.0,108.0,112.0,111.0,26.0,154.0,361.0,118.0,100.0,24.0,18.0,120.0,88.0,10.0,9.0,52.0,221.0,224.0,40.0,80.0,87.0,61.0,174.0,43.0,25.0,104.0,2.0,96.0,55.0,30.0,31.0,42.0,17.0,17.0,53.0,17.0,125.0,15.0,84.0,58.0,18.0,32.0,153.0,38.0,28.0,83.0,14.0,13.0,24.0,82.0,25.0,70.0,31.0,6.0,44.0,8.0,10.0,3.0,23.0,27.0,50.0,31.0,25.0,2.0,15.0,21.0,35.0,90.0,6.0,3.0,5.0,11.0,23.0,2.0,21.0,41.0,7.0,5.0,2.0,11.0,19.0,8.0,4.0,22.0,29.0,6.0,1.0,5.0,29.0,6.0,36.0,1.0,14.0,5.0,7.0,2.0,19.0,25.0,3.0,6.0,3.0,2.0,3.0,5.0,2.0,2.0,8.0,2.0,2.0,6.0,2.0,2.0,4.0,,,,
ARE,15.0,12.0,,67.0,19.0,3.0,50.0,,34.0,,5.0,20.0,15.0,1.0,,8.0,53.0,,7.0,53.0,18.0,18.0,14.0,,,12.0,1.0,8.0,,,2.0,,9.0,3.0,13.0,7.0,2.0,3.0,7.0,20.0,1.0,2.0,,,,,,,,10.0,,,,9.0,2.0,,2.0,,,,,,,,7.0,,,,,1.0,,5.0,,,,,,,,1.0,,,,2.0,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,,,,8.0,58.0,2.0,,,,4.0,,4.0,,,,,5.0,,,4.0,2.0,,4.0,,,6.0,,,,,,,,,,3.0,6.0,,,7.0,1.0,,,,,,,,,,,,,,,,3.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,20.0,13.0,,82.0,20.0,19.0,35.0,2.0,39.0,29.0,10.0,77.0,3.0,15.0,4.0,38.0,91.0,10.0,16.0,101.0,74.0,58.0,29.0,,,40.0,19.0,19.0,,,2.0,9.0,18.0,3.0,21.0,8.0,8.0,2.0,18.0,16.0,3.0,7.0,,4.0,,2.0,1.0,4.0,3.0,3.0,,2.0,16.0,,1.0,,1.0,7.0,,1.0,,3.0,1.0,,3.0,1.0,19.0,2.0,,,1.0,31.0,1.0,,,,1.0,,,,,,,,1.0,,4.0,,,,1.0,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
CHL,,,,2.0,,4.0,1.0,3.0,8.0,,3.0,13.0,,2.0,,1.0,12.0,10.0,1.0,13.0,8.0,5.0,6.0,,,10.0,,6.0,,,,,3.0,,5.0,,2.0,5.0,,,1.0,,,2.0,,2.0,,,3.0,,,,4.0,,,,,,,,,,,,2.0,,,,,,,5.0,,,,,,,,,,1.0,,,1.0,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,550.0,261.0,148.0,2135.0,850.0,483.0,1156.0,271.0,1480.0,732.0,556.0,2097.0,327.0,257.0,193.0,310.0,2645.0,162.0,537.0,2735.0,2426.0,1577.0,790.0,5.0,47.0,1402.0,142.0,744.0,9.0,33.0,26.0,159.0,761.0,156.0,547.0,290.0,531.0,64.0,385.0,497.0,308.0,260.0,51.0,160.0,48.0,120.0,34.0,50.0,33.0,317.0,2.0,62.0,427.0,115.0,44.0,67.0,66.0,48.0,19.0,41.0,33.0,77.0,110.0,27.0,118.0,67.0,123.0,25.0,10.0,9.0,37.0,169.0,26.0,25.0,5.0,48.0,16.0,56.0,5.0,13.0,20.0,24.0,2.0,9.0,25.0,,52.0,77.0,26.0,22.0,4.0,7.0,78.0,8.0,7.0,39.0,48.0,34.0,2.0,40.0,44.0,37.0,2.0,4.0,,27.0,7.0,2.0,,5.0,4.0,10.0,1.0,11.0,16.0,18.0,86.0,7.0,6.0,25.0,,15.0,24.0,5.0,5.0,7.0,11.0,2.0,25.0,1.0,42.0,2.0,10.0,9.0,3.0,8.0,20.0,7.0,6.0,20.0,1.0,3.0,6.0,19.0,7.0,4.0,2.0,,5.0,1.0,14.0,,10.0,,,4.0,2.0,2.0,1.0,,8.0,16.0,2.0,,,2.0,5.0,,16.0,8.0,,,1.0,2.0,8.0,2.0,,,2.0,,1.0,6.0,8.0,,5.0,,6.0,,,,2.0,1.0,1.0,,5.0,,1.0,3.0,,,3.0,,,,,,,,,,
CHN,74.0,21.0,9.0,167.0,282.0,123.0,223.0,8.0,213.0,14.0,141.0,261.0,83.0,8.0,20.0,19.0,458.0,36.0,43.0,476.0,262.0,528.0,64.0,2.0,,82.0,3.0,62.0,,2.0,58.0,7.0,73.0,13.0,49.0,43.0,75.0,5.0,35.0,75.0,43.0,121.0,3.0,27.0,13.0,1.0,7.0,9.0,18.0,48.0,,2.0,70.0,7.0,3.0,,46.0,10.0,,1.0,1.0,,8.0,2.0,49.0,22.0,21.0,4.0,,20.0,1.0,146.0,2.0,,,11.0,,11.0,2.0,,1.0,,1.0,,,,1.0,,11.0,5.0,,,31.0,2.0,,5.0,12.0,4.0,,4.0,5.0,4.0,5.0,4.0,,,,,,3.0,,,1.0,,,6.0,,3.0,,3.0,,9.0,2.0,2.0,1.0,2.0,6.0,,,,32.0,,3.0,5.0,3.0,1.0,6.0,1.0,,,2.0,,,5.0,,1.0,,,2.0,,2.0,,,,5.0,,4.0,,,,11.0,4.0,,,,,,,,,,,,,,,,,2.0,,,,15.0,4.0,,1.0,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,1.0,,,
SAU,17.0,8.0,27.0,112.0,39.0,84.0,38.0,8.0,293.0,18.0,71.0,93.0,71.0,11.0,18.0,21.0,155.0,7.0,31.0,160.0,106.0,93.0,60.0,,,284.0,1.0,88.0,,1.0,3.0,,29.0,9.0,41.0,20.0,29.0,,17.0,56.0,14.0,15.0,3.0,1.0,2.0,9.0,3.0,,1.0,22.0,,,20.0,3.0,7.0,1.0,24.0,20.0,,2.0,1.0,4.0,3.0,,18.0,4.0,25.0,4.0,,,1.0,9.0,2.0,,,3.0,6.0,3.0,,1.0,,10.0,,1.0,,,,2.0,,2.0,,,1.0,,3.0,1.0,4.0,1.0,3.0,,,,21.0,1.0,,5.0,,,,,1.0,5.0,,,5.0,,,,,6.0,,,,2.0,,,,,,,9.0,,,,1.0,3.0,5.0,,,,,,,7.0,,,,,,,,,,,,,2.0,,,,2.0,2.0,,3.0,,,,,2.0,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
TUR,38.0,20.0,9.0,118.0,107.0,74.0,69.0,7.0,83.0,5.0,58.0,109.0,88.0,17.0,6.0,16.0,189.0,9.0,18.0,187.0,167.0,243.0,27.0,,,222.0,9.0,67.0,,12.0,2.0,7.0,16.0,6.0,40.0,21.0,27.0,,38.0,38.0,60.0,29.0,1.0,6.0,1.0,5.0,5.0,31.0,4.0,19.0,,8.0,28.0,,,1.0,7.0,11.0,,,3.0,2.0,1.0,2.0,20.0,,25.0,17.0,,,1.0,26.0,8.0,,,3.0,4.0,4.0,,,,,,4.0,4.0,,1.0,9.0,,1.0,3.0,1.0,1.0,,,,,5.0,,,1.0,,,5.0,,5.0,,1.0,,,,,,,2.0,3.0,16.0,4.0,,3.0,,4.0,,5.0,,,1.0,14.0,1.0,,1.0,,1.0,,,1.0,13.0,,,,,,1.0,2.0,,,2.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,4.0,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
