,42,43,36,40,51,112,10,100,110,130,174,20,190,90,193,111,114,23,12,17,30,120,173,70,81,71,60,80,180,14,831,13,84,172,182,15,46,1121,125,122,154,26,61,241,311,141,192,57,45,32,181,128,11,50,841,55,75,35,160,1721,333,31,231,25,186,874,72,41,1712,331,833,52,21,133,124,1241,140,62,37,244,1124,73,195,139,16,214,138,170,22,171,191,871,194,332,162,56,129,18,27,82,85,44,175,150,356,1243,211,145,1822,1123,33,115,353,113,83,134,253,153,64,1823,1122,1056,164,163,861,1821,74,1014,144,34,87,131,54,143,101,63,202,842,1053,233,1711,151,127,1722,19,196,161,1233,1383,86,1031,28,166,334,94,1384,872,1411,53,91,152,1244,1013,1044,1043,1723,234,213,1246,203,862,183,1832,811,1312,1833,1041,312,1412,39,142,38,341,1621,106,232,24,1125,92,256,121,1831,123,105,107,834,1313,873,201,1311
CAN,177.0,160.0,64.0,85.0,121.0,25.0,155.0,7.0,11.0,31.0,1.0,112.0,48.0,42.0,22.0,34.0,6.0,2.0,14.0,32.0,52.0,39.0,31.0,15.0,5.0,32.0,35.0,20.0,13.0,20.0,19.0,30.0,15.0,10.0,7.0,10.0,42.0,3.0,5.0,1.0,13.0,4.0,19.0,2.0,7.0,7.0,17.0,40.0,3.0,2.0,2.0,6.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,1.0,11.0,1.0,1.0,1.0,6.0,4.0,28.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,6713.0,6265.0,3334.0,4712.0,5762.0,2157.0,8015.0,1116.0,1983.0,1047.0,113.0,6115.0,4728.0,2204.0,1432.0,1968.0,666.0,219.0,1541.0,617.0,1477.0,2041.0,3383.0,1279.0,342.0,1670.0,1482.0,1092.0,948.0,907.0,329.0,1577.0,1143.0,977.0,232.0,411.0,2450.0,23.0,176.0,36.0,149.0,306.0,452.0,11.0,186.0,1600.0,497.0,820.0,118.0,106.0,295.0,288.0,247.0,815.0,619.0,62.0,95.0,85.0,490.0,114.0,13.0,275.0,132.0,122.0,120.0,343.0,295.0,148.0,258.0,67.0,102.0,118.0,35.0,90.0,86.0,35.0,204.0,207.0,34.0,2.0,83.0,577.0,114.0,51.0,270.0,150.0,222.0,103.0,113.0,103.0,154.0,41.0,172.0,63.0,29.0,21.0,80.0,144.0,92.0,17.0,23.0,53.0,179.0,92.0,52.0,22.0,19.0,122.0,83.0,92.0,200.0,116.0,82.0,36.0,65.0,12.0,33.0,33.0,30.0,44.0,13.0,7.0,79.0,83.0,4.0,111.0,18.0,112.0,37.0,13.0,24.0,19.0,17.0,42.0,24.0,12.0,20.0,40.0,39.0,57.0,67.0,15.0,25.0,18.0,9.0,15.0,78.0,21.0,18.0,19.0,1.0,16.0,12.0,11.0,23.0,27.0,2.0,9.0,42.0,38.0,29.0,2.0,7.0,16.0,33.0,42.0,31.0,11.0,4.0,9.0,8.0,35.0,15.0,2.0,8.0,3.0,6.0,15.0,8.0,7.0,14.0,9.0,10.0,1.0,1.0,9.0,1.0,3.0,6.0,6.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,
GBR,359.0,345.0,151.0,153.0,234.0,44.0,290.0,38.0,45.0,44.0,6.0,175.0,117.0,121.0,37.0,74.0,7.0,,49.0,28.0,21.0,31.0,92.0,22.0,3.0,27.0,75.0,49.0,22.0,34.0,5.0,93.0,30.0,35.0,5.0,15.0,99.0,,8.0,,3.0,7.0,20.0,,4.0,16.0,11.0,31.0,,1.0,,5.0,3.0,32.0,16.0,2.0,,6.0,3.0,1.0,,10.0,4.0,2.0,1.0,9.0,,4.0,2.0,,1.0,2.0,,,,,2.0,8.0,4.0,,1.0,17.0,,,6.0,1.0,5.0,1.0,4.0,2.0,5.0,1.0,,3.0,,3.0,7.0,4.0,,,,3.0,,7.0,,,,,,,10.0,,,,,,,,,1.0,,,9.0,,,3.0,2.0,,3.0,2.0,,,,,,,2.0,,,,,,,,,,4.0,3.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,6.0,,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,1.0,,,,,2.0,,
SSD,6.0,5.0,,2.0,4.0,,6.0,2.0,,,,12.0,7.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,2.0,2.0,,,,5.0,,,,,,,,,,,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2356.0,2265.0,840.0,1453.0,1688.0,691.0,2069.0,203.0,629.0,277.0,33.0,1570.0,1082.0,662.0,592.0,473.0,106.0,42.0,421.0,155.0,419.0,455.0,1140.0,411.0,148.0,469.0,440.0,269.0,292.0,199.0,59.0,683.0,331.0,261.0,78.0,167.0,809.0,13.0,32.0,9.0,17.0,57.0,167.0,9.0,29.0,124.0,183.0,229.0,43.0,13.0,33.0,49.0,92.0,199.0,109.0,25.0,16.0,23.0,104.0,22.0,3.0,84.0,30.0,15.0,23.0,150.0,28.0,31.0,48.0,42.0,30.0,40.0,11.0,7.0,43.0,2.0,22.0,24.0,14.0,,33.0,137.0,11.0,3.0,76.0,54.0,50.0,9.0,21.0,14.0,38.0,12.0,4.0,4.0,9.0,6.0,42.0,31.0,14.0,,16.0,18.0,6.0,9.0,14.0,8.0,2.0,8.0,5.0,18.0,56.0,57.0,14.0,8.0,13.0,3.0,5.0,,10.0,16.0,4.0,,33.0,55.0,,46.0,4.0,2.0,19.0,1.0,13.0,13.0,10.0,2.0,9.0,14.0,5.0,8.0,1.0,10.0,8.0,5.0,2.0,,3.0,,20.0,2.0,1.0,,1.0,2.0,6.0,,,7.0,,,7.0,11.0,5.0,1.0,6.0,2.0,5.0,9.0,8.0,7.0,,2.0,3.0,,1.0,,16.0,,,2.0,,9.0,2.0,,3.0,,,,1.0,,,5.0,2.0,,,,,,7.0,,,
CYP,4.0,4.0,4.0,31.0,4.0,1.0,16.0,,29.0,6.0,,7.0,1.0,3.0,,8.0,,,1.0,,34.0,,4.0,,,,,,,1.0,,3.0,,,,,2.0,,,,,,11.0,,1.0,,,74.0,2.0,,,,,14.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,87.0,75.0,38.0,188.0,136.0,7.0,46.0,14.0,21.0,9.0,,24.0,51.0,1.0,,27.0,,1.0,13.0,2.0,68.0,18.0,2.0,7.0,,,16.0,3.0,,23.0,,3.0,,,1.0,2.0,20.0,,3.0,2.0,33.0,5.0,,,,2.0,3.0,155.0,,7.0,32.0,,,35.0,,,2.0,,,,,37.0,,,,,159.0,5.0,,,,,,,,,,8.0,,,,,11.0,1.0,,,5.0,2.0,25.0,,3.0,2.0,2.0,34.0,,,,1.0,,,,,,5.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,1.0,,,,,74.0,,2.0,,12.0,,,,,9.0,,,,,,,,,,,2.0,,,,,,,,44.0,,,,17.0,,,,2.0,,,,,,,,,,,,,,
ISR,264.0,232.0,46.0,169.0,218.0,82.0,147.0,24.0,82.0,43.0,15.0,141.0,199.0,61.0,33.0,70.0,9.0,1.0,24.0,16.0,62.0,60.0,134.0,13.0,3.0,22.0,25.0,30.0,23.0,35.0,8.0,58.0,11.0,11.0,15.0,32.0,73.0,,3.0,,4.0,5.0,16.0,,3.0,34.0,13.0,115.0,9.0,19.0,7.0,15.0,10.0,5.0,10.0,2.0,17.0,7.0,35.0,5.0,,22.0,3.0,6.0,4.0,5.0,7.0,,8.0,2.0,1.0,2.0,,9.0,3.0,,1.0,,3.0,,10.0,1.0,26.0,,4.0,,21.0,2.0,4.0,2.0,1.0,1.0,163.0,,,1.0,,,1.0,1.0,,1.0,3.0,3.0,,,,5.0,2.0,13.0,1.0,2.0,,,,,,,,1.0,,1.0,1.0,7.0,,1.0,,,,,3.0,,,,1.0,4.0,1.0,,,4.0,3.0,,5.0,,,,4.0,2.0,,,,,2.0,,18.0,4.0,,,2.0,,2.0,,,,2.0,,,1.0,,,,,,,2.0,,14.0,,,,,,,,,,,,2.0,,,,,,,,,,,
AUS,193.0,179.0,64.0,77.0,99.0,14.0,120.0,10.0,9.0,13.0,5.0,99.0,156.0,26.0,14.0,19.0,2.0,4.0,37.0,17.0,31.0,26.0,66.0,9.0,1.0,20.0,32.0,25.0,4.0,12.0,,38.0,21.0,17.0,,9.0,27.0,1.0,1.0,,4.0,2.0,21.0,,4.0,1.0,2.0,64.0,,,2.0,6.0,4.0,1.0,21.0,,,1.0,1.0,3.0,,4.0,5.0,2.0,,3.0,1.0,,10.0,3.0,,2.0,,,,,,2.0,,,,16.0,1.0,,,,4.0,,,5.0,,,,,,,,1.0,,,,4.0,,,,1.0,,,1.0,1.0,4.0,,1.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,4.0,,,,,,,,
