,13,173,20,43,190,17,40,42,16,12,1721,30,192,36,100,10,311,61,141,874,130,151,110,194,46,50,160,841,211,63,57,51,90,18,62,170,73,120,54,111,129,172,45,52,161,31,71,133,163,84,70,60,112,81,35,331,138,1821,25,80,11,1822,186,150,72,26,114,1014,14,193,44,128,154,181,234,174,139,1712,32,175,1411,75,182,256,214,1312,143,145,1044,180,842,23,15,332,164,831,1243,1123,1121,333,873,124,125,131,191,140,1241,115,101,94,202,1823,21,27,353,56,171,834,231,41,33,55,1043,1124,233,142,871,64,1122,166,813,86,1053,1711,152,22,153,53,91,83,833,134,232,1233,356,195,19,85,253,24,162,123,241,74,127,1056,37,1246,1013,113,28,82,1832,1722,312,92,144,203,1723,121,1384,1831,38,1724,183,122,34,196,1031,334,106,1041,213,1412,87,255,201,863,1311,1383,862,93,1661
CHN,37.0,168.0,128.0,165.0,48.0,32.0,167.0,186.0,10.0,34.0,12.0,64.0,5.0,53.0,31.0,153.0,5.0,74.0,51.0,2.0,41.0,3.0,36.0,1.0,160.0,26.0,19.0,9.0,5.0,7.0,24.0,110.0,30.0,15.0,114.0,6.0,5.0,38.0,3.0,54.0,24.0,30.0,11.0,2.0,5.0,10.0,17.0,1.0,6.0,13.0,24.0,10.0,66.0,3.0,3.0,1.0,4.0,6.0,7.0,15.0,8.0,4.0,1.0,5.0,3.0,21.0,9.0,5.0,10.0,10.0,1.0,4.0,3.0,6.0,2.0,4.0,1.0,1.0,1.0,7.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0,12.0,2.0,1.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,1368.0,3164.0,5219.0,5326.0,4089.0,542.0,3921.0,5803.0,267.0,1347.0,79.0,1175.0,375.0,2846.0,783.0,7215.0,117.0,262.0,1334.0,289.0,833.0,11.0,1610.0,176.0,1846.0,567.0,443.0,515.0,19.0,16.0,539.0,4392.0,1938.0,185.0,192.0,109.0,491.0,1846.0,22.0,1803.0,69.0,832.0,88.0,100.0,84.0,196.0,1276.0,33.0,112.0,963.0,945.0,1175.0,2197.0,276.0,43.0,56.0,148.0,149.0,92.0,1076.0,218.0,82.0,70.0,58.0,190.0,258.0,572.0,126.0,687.0,1540.0,32.0,237.0,66.0,179.0,60.0,81.0,39.0,163.0,44.0,187.0,5.0,65.0,137.0,15.0,107.0,15.0,94.0,156.0,13.0,660.0,30.0,131.0,398.0,26.0,58.0,256.0,14.0,74.0,25.0,21.0,12.0,78.0,124.0,17.0,67.0,173.0,23.0,78.0,12.0,10.0,15.0,47.0,28.0,43.0,56.0,30.0,53.0,7.0,55.0,80.0,164.0,98.0,46.0,84.0,49.0,26.0,36.0,58.0,9.0,15.0,14.0,12.0,42.0,44.0,17.0,84.0,70.0,18.0,45.0,56.0,87.0,24.0,3.0,13.0,25.0,70.0,10.0,7.0,28.0,7.0,19.0,4.0,19.0,11.0,15.0,18.0,24.0,10.0,10.0,21.0,10.0,13.0,22.0,6.0,12.0,1.0,15.0,16.0,28.0,7.0,20.0,7.0,5.0,7.0,31.0,10.0,5.0,5.0,2.0,14.0,7.0,6.0,4.0,2.0,3.0,2.0,1.0,1.0,5.0,4.0,1.0,,
KOR,2.0,8.0,21.0,27.0,19.0,3.0,45.0,30.0,4.0,4.0,,,2.0,24.0,1.0,23.0,2.0,4.0,5.0,,1.0,,6.0,,27.0,74.0,4.0,,,,4.0,6.0,,2.0,,,1.0,19.0,,7.0,,1.0,,2.0,,,2.0,,,9.0,12.0,3.0,6.0,,,,4.0,,,23.0,2.0,,,3.0,,1.0,1.0,,6.0,,,,,2.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
JPN,12.0,30.0,37.0,120.0,69.0,8.0,105.0,128.0,1.0,9.0,1.0,12.0,7.0,58.0,17.0,75.0,5.0,12.0,1.0,5.0,8.0,,30.0,3.0,65.0,80.0,3.0,3.0,,,14.0,50.0,17.0,2.0,,,,15.0,,12.0,,3.0,2.0,,7.0,2.0,14.0,,,2.0,19.0,11.0,6.0,2.0,,,6.0,2.0,,28.0,,,6.0,3.0,4.0,3.0,1.0,,10.0,3.0,,,2.0,9.0,,,,9.0,,2.0,,,1.0,,2.0,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,7.0,,,,,,,1.0,,2.0,,2.0,,1.0,8.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,584.0,1068.0,1255.0,1876.0,1046.0,125.0,1062.0,1928.0,85.0,325.0,19.0,380.0,86.0,754.0,192.0,1639.0,18.0,50.0,134.0,106.0,226.0,,397.0,71.0,596.0,193.0,102.0,76.0,13.0,3.0,147.0,1123.0,548.0,14.0,30.0,15.0,128.0,417.0,1.0,303.0,25.0,251.0,21.0,19.0,14.0,69.0,351.0,1.0,41.0,285.0,297.0,317.0,644.0,90.0,9.0,5.0,47.0,21.0,28.0,256.0,69.0,13.0,19.0,6.0,52.0,45.0,58.0,3.0,183.0,592.0,29.0,56.0,11.0,27.0,,28.0,6.0,31.0,14.0,3.0,,16.0,62.0,4.0,42.0,,11.0,5.0,,188.0,1.0,25.0,105.0,2.0,15.0,38.0,4.0,30.0,20.0,6.0,,25.0,26.0,5.0,3.0,13.0,3.0,44.0,,3.0,,6.0,17.0,10.0,28.0,11.0,15.0,7.0,12.0,20.0,41.0,20.0,1.0,25.0,10.0,,7.0,12.0,10.0,9.0,,3.0,3.0,2.0,6.0,9.0,11.0,4.0,9.0,2.0,6.0,5.0,2.0,,6.0,8.0,6.0,1.0,4.0,,3.0,2.0,4.0,2.0,6.0,1.0,6.0,,4.0,5.0,1.0,,,2.0,,,3.0,2.0,3.0,,2.0,,,,2.0,1.0,1.0,,,,3.0,,2.0,,2.0,,,,1.0,2.0,3.0,,
GBR,57.0,144.0,230.0,297.0,143.0,47.0,167.0,303.0,16.0,61.0,2.0,31.0,17.0,113.0,22.0,318.0,5.0,4.0,20.0,14.0,49.0,,39.0,1.0,132.0,54.0,11.0,23.0,,,34.0,284.0,85.0,3.0,,,20.0,70.0,,70.0,,33.0,3.0,4.0,2.0,4.0,57.0,,,33.0,38.0,49.0,61.0,2.0,3.0,1.0,6.0,2.0,1.0,38.0,9.0,3.0,5.0,,,6.0,11.0,,24.0,60.0,,7.0,,3.0,,14.0,2.0,1.0,3.0,1.0,,1.0,7.0,6.0,17.0,,,2.0,,13.0,3.0,1.0,12.0,,,10.0,4.0,2.0,,3.0,,4.0,9.0,1.0,,1.0,,1.0,,,1.0,,,,2.0,1.0,,,2.0,20.0,6.0,4.0,,4.0,1.0,2.0,1.0,,,,,,,4.0,,3.0,,2.0,2.0,1.0,,5.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,2.0,,,,,,,,,3.0,,,
IRQ,16.0,30.0,29.0,60.0,158.0,2.0,34.0,62.0,1.0,13.0,,3.0,2.0,2.0,21.0,63.0,,7.0,26.0,2.0,9.0,,2.0,134.0,14.0,5.0,1.0,6.0,,3.0,8.0,15.0,5.0,3.0,2.0,3.0,8.0,38.0,2.0,15.0,10.0,3.0,,1.0,,,2.0,,2.0,2.0,2.0,16.0,44.0,1.0,,,7.0,,3.0,8.0,4.0,,3.0,,4.0,,2.0,,5.0,21.0,,5.0,12.0,,,,,1.0,,,,,4.0,,,,,,,2.0,,,3.0,,,11.0,,4.0,,,,,,,10.0,5.0,,,,1.0,,,,,,,3.0,,,2.0,,,1.0,2.0,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,8.0,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
MEX,7.0,67.0,61.0,110.0,44.0,4.0,25.0,122.0,,8.0,,6.0,12.0,14.0,5.0,63.0,,6.0,10.0,7.0,6.0,,10.0,,6.0,,,1.0,,3.0,11.0,32.0,17.0,,,6.0,,12.0,1.0,5.0,,5.0,4.0,,,3.0,32.0,8.0,,1.0,10.0,9.0,47.0,,,,,,1.0,15.0,,,,2.0,,11.0,16.0,,4.0,16.0,,1.0,,,,10.0,,,,,,24.0,2.0,,,,,,,2.0,,2.0,1.0,,,,,,,,,,,,1.0,2.0,,,10.0,2.0,2.0,,,,,,,,,4.0,,,,,6.0,,,,,,,,,,,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,2.0,1.0,13.0,,,10.0,15.0,,,,,,7.0,,9.0,,2.0,,,2.0,,3.0,,3.0,,,,,,2.0,2.0,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,3.0,,,,1.0,,,9.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
